PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,13:03:34.30,1,1,"Johnson, Jeb",10061066,Right,MER_BEA,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.76692,-0.91826,-1.721019,2402.558587,173.105408,11:45,5.11036,1.5419,5.40318,-33.73222,6.73367,-0.66409,1.43844,-0.1266,77.05446,-7.09338,-1.839173,0.457842,,,,,,,,,,,,-0.13102,4.02083,-1.38802,50,5.00495,3.68108,-121.5839,-3.13656,-0.1967,23.21783,-26.13859,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,b3851530-3c11-11f1-a28d-6f332c26529c,82.32624,,,6.71247,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:03:34.30,2026-04-19T13:03:34.3024640-04:00,2026-04-19T17:03:34.3024640Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,1723a9d1-2c74-4373-b70a-e65884f611a7,55.09701,-122.55337,11.60891,5.11313,-2.04513,-13.06929,-1.5419,3.68929,-0.09835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,13:03:46.55,1,2,"Johnson, Jeb",10061066,Right,MER_BEA,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7636,-1.34191,-2.846514,2544.301919,186.648164,12:15,5.29864,1.04107,5.54495,-25.23143,12.97426,1.38354,1.94013,-1.5061,79.24396,-6.000672,-2.600226,0.444872,,,,,,,,,,,,-1.4102,7.2437,-0.79521,50,5.16552,6.13118,-124.47542,-3.76728,-2.23479,22.63167,-20.69476,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,bad1d3a0-3c11-11f1-a28d-6f332c26529c,84.72641,,,6.51964,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:03:46.55,2026-04-19T13:03:46.5554432-04:00,2026-04-19T17:03:46.5554432Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,0993acd0-904e-4dd6-8c1e-60a10822a2d9,54.95581,-125.37323,11.31583,5.29869,-2.94631,-10.34738,-1.04019,6.21984,-1.1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,13:04:02.25,1,3,"Johnson, Jeb",10061066,Right,MER_BEA,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.33827,1.06294,-0.689604,2609.503855,75.134785,8:30,5.1305,1.31064,4.6701,-50.53928,-4.13851,-22.21084,1.9287,-1.19531,72.23835,-8.062605,-4.589174,0.490269,,,,,,,,,,,,10.50237,-1.79622,-1.21936,50,5.19363,2.40552,-116.21355,0.19216,14.00689,26.80897,-34.56967,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,c4403990-3c11-11f1-a28d-6f332c26529c,76.88121,,,8.09992,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:04:02.25,2026-04-19T13:04:02.2512640-04:00,2026-04-19T17:04:02.2512640Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,acbc8306-f8ba-4b23-90a9-bfa9bf172d55,55.82868,-117.55046,13.40449,5.14106,1.91609,-17.28483,-1.3219,1.70702,7.00345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,13:04:16.69,1,4,"Johnson, Jeb",10061066,Right,MER_BEA,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.27587,-0.563316,-2.434101,1533.849135,261.179641,2:45,4.91722,1.26508,5.30376,-39.61451,4.52047,20.54753,1.08668,0.69091,74.05561,-7.778972,1.216661,0.478149,,,,,,,,,,,,-10.94489,2.82118,-1.05935,50,4.83713,4.12049,-116.54425,-2.52046,-15.12625,20.90961,-28.27508,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,cccf8a20-3c11-11f1-a28d-6f332c26529c,78.82996,,,6.22027,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:04:16.69,2026-04-19T13:04:16.6990000-04:00,2026-04-19T17:04:16.6990000Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,394a4ce6-10d1-4635-81b3-ca37dd6716d6,55.19913,-117.47334,10.4548,4.92121,-1.2641,-14.13754,-1.25737,4.79261,-7.56313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.51366,,,1.017603,,,,1.84077,4.60796,-0.50806,68.15608,7.6118,-56.64631,1.85904,68.77748,-3.5679,4.65413,18.82335,-15.65003,-0.55751,-61.14694,5.93324,High,High,High,,,High,High,High
5,2026-04-19,13:04:50.42,2,1,"Johnson, Jeb",10061066,Right,MER_BEA,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.04154,-0.281354,0.012654,2525.56154,89.218518,9:00,4.92718,1.53094,4.78794,-43.16148,1.15008,-16.78206,1.06373,0.14443,74.53695,-8.057031,-2.943211,0.479104,,,,,,,,,,,,8.25756,1.0611,-1.51679,50,4.86148,0.70365,-117.59955,-2.21386,11.56039,22.36331,-30.68854,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,e0e83160-3c11-11f1-a28d-6f332c26529c,78.67275,,,6.5046,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:04:50.42,2026-04-19T13:04:50.4213504-04:00,2026-04-19T17:04:50.4213504Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,008d8b71-26b9-4502-80fc-5a969fba21ca,55.71397,-118.68118,11.18165,4.93266,-0.72958,-15.34427,-1.53731,0.14452,5.78019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-19,13:05:04.74,2,2,"Johnson, Jeb",10061066,Right,MER_BEA,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.42632,1.52105,0.582432,2605.863621,72.561085,8:30,4.97172,1.71166,4.69968,-51.87774,-3.71303,-17.24765,2.09296,0.8273,71.03731,-7.844375,-2.448861,0.4995,,,,,,,,,,,,8.54654,-1.71996,-1.75454,50,5.07977,-0.39723,-113.56123,1.05303,11.00097,23.57244,-34.38794,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,e975ad30-3c11-11f1-a28d-6f332c26529c,75.46027,,,7.38901,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:05:04.74,2026-04-19T13:05:04.7417856-04:00,2026-04-19T17:05:04.7417856Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,b50bb126-df51-4456-8dbd-1737cac3d9b0,55.80008,-114.75887,11.78622,4.98189,2.80016,-17.19397,-1.72016,-0.95615,5.50049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-19,13:05:20.54,2,3,"Johnson, Jeb",10061066,Right,MER_BEA,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,1,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.00033,0.801121,-0.789633,2288.968051,227.918537,1:30,5.20594,1.18314,5.6851,-19.88414,16.74863,17.1819,4.29579,1.87888,79.65797,-2.970458,2.28131,0.435619,,,,,,,,,,,,-8.90981,8.60973,-1.12738,50,5.26113,1.00735,-127.68941,1.17557,-14.58344,28.40773,-18.0818,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,f2dc7200-3c11-11f1-a28d-6f332c26529c,86.52625,,,8.34236,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:05:20.54,2026-04-19T13:05:20.5442048-04:00,2026-04-19T17:05:20.5442048Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,54afc090-8d01-4b0d-a7ec-7c5e75b90da4,54.81361,-128.75586,14.20387,5.20426,1.85438,-9.0409,-1.17547,1.55483,-7.29172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,13:05:36.37,2,4,"Johnson, Jeb",10061066,Right,MER_BEA,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.46975,0.415887,-1.897056,1543.504144,279.805171,3:15,4.78209,1.65618,5.3255,-46.89195,-1.66488,17.88966,1.26492,1.36613,72.95952,-8.114592,1.284431,0.484028,,,,,,,,,,,,-9.4813,-0.49909,-1.49779,50,4.78591,3.09503,-115.35722,-0.80584,-12.75689,21.75988,-32.84555,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,fc50cb60-3c11-11f1-a28d-6f332c26529c,77.87242,,,6.51023,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:05:36.37,2026-04-19T13:05:36.3737600-04:00,2026-04-19T17:05:36.3737600Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,c68eee62-7edd-4d75-9b59-e96d31a9fa0b,55.17703,-116.32967,10.87994,4.78912,0.66202,-16.42278,-1.64884,3.66513,-6.37845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,13:05:50.89,2,5,"Johnson, Jeb",10061066,Right,MER_BEA,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,3,1,TwoSeamFastBall,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,86.43529,0.53225,-2.040355,2283.587975,240.996608,2:00,5.09277,1.27996,5.80209,-26.07009,11.64855,18.75777,3.41563,0.9446,78.52103,-4.350588,1.31916,0.442028,,,,,,,,,,,,-10.08595,6.15866,-1.1232,50,5.12109,3.66969,-125.43144,0.32192,-15.98009,26.67129,-22.41635,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,04f5ede0-3c12-11f1-a28d-6f332c26529c,85.27168,,,7.91426,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:05:50.89,2026-04-19T13:05:50.8930560-04:00,2026-04-19T17:05:50.8930560Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,3ff8a10e-6f91-4f9f-aa52-8e282099c7e8,54.69726,-126.4263,13.33564,5.09349,1.15807,-11.20818,-1.2712,4.26577,-7.99005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,13:06:21.34,3,1,"Johnson, Jeb",10061066,Right,MER_BEA,"Heckelman, Brian",824547,Right,TOW_TIG,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.006,0.62961,-1.098214,2451.618337,84.43542,8:45,4.96694,1.76471,4.71578,-45.12412,-0.54839,-19.8908,1.80426,-0.93523,74.36176,-7.489271,-4.5914,0.48053,,,,,,,,,,,,9.43189,-0.02232,-1.63497,50,4.99035,3.12644,-117.49639,-0.44166,13.15238,22.78037,-32.20516,MER_BEA,TOW_TIG,MercerUniversity,D1,SOCON,20260419-MercerUniversity-1,171adb70-3c12-11f1-a28d-6f332c26529c,78.43926,,,6.64423,,,,,,,fd0117e9-9b95-4d04-8d0b-2640fecfe14d,2026-04-19,17:06:21.34,2026-04-19T13:06:21.3445120-04:00,2026-04-19T17:06:21.3445120Z,,v3,471354,471469,1611db70cbb7475b9a737571503825fe,"Gonzalez, Gabe",1000107076,Right,MER_BEA,e92d1ac9-10bd-4f56-8c70-058abcbde13b,55.78651,-118.61299,11.39019,4.97331,1.13689,-16.10258,-1.77241,2.48177,6.57619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
