PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,12:05:32.44,1,1,"Christopher, Mason",831012,Left,SET_PIR,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.11745,-1.519768,1.241076,1954.928519,127.792983,10:15,6.57174,-0.68607,5.86553,-25.47415,11.09359,-12.92178,3.03647,-0.60983,80.3944,-6.248589,-1.07871,0.435231,,,,,,,,,,,,6.91351,6.40701,0.59295,50,6.43374,-2.2088,-126.60868,-4.19453,11.30889,23.9722,-21.6937,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,982dd9f0-3c09-11f1-9d73-33566707329c,86.6032,,,6.72305,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:05:32.44,2026-04-19T12:05:32.4488192-04:00,2026-04-19T16:05:32.4488192Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,6f839a74-86fd-4c87-880c-f4c2f0b907d9,54.63292,-127.48286,11.9861,6.57227,-3.40344,-10.84685,0.68102,-2.62119,5.65445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,12:05:48.40,1,2,"Christopher, Mason",831012,Left,SET_PIR,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,0,1,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.09018,-1.874683,0.304267,1885.731311,125.281203,10:15,6.60311,-0.45437,5.60345,-26.74478,10.22969,-12.923,2.6237,-1.24725,80.43798,-6.800259,-2.00525,0.437645,81.88129,-26.580284,19.404667,,,,,6.90494,6.62685,25.392312,0.048027,6.68323,6.00134,0.43709,50,6.42528,-0.13612,-126.54464,-5.06238,10.91025,24.19202,-22.37698,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,a1a8ea10-3c09-11f1-9d73-33566707329c,86.12553,2.58772,,6.65221,,,,1.35967,2.58772,1.2426,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:05:48.40,2026-04-19T12:05:48.4074496-04:00,2026-04-19T16:05:48.4074496Z,GroundBall,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,4dc4abf2-4eeb-4762-829f-dc066eeb453a,54.89648,-127.47729,12.09601,6.60381,-4.1997,-11.18849,0.45045,-0.55673,5.45513,180,1.35756,101.57285,,,,,,,,2.58884,-53.88086,,,,,,,,1.24186,35.77875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-19,12:06:24.55,2,1,"Christopher, Mason",831012,Left,SET_PIR,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.16328,-2.436909,2.344505,1908.118744,131.129582,10:15,6.60163,-0.57928,5.69748,-22.58856,13.63154,-14.29583,2.44512,0.41537,80.85866,-6.642673,-0.211871,0.433158,108.35508,21.547542,-11.284769,2024.646621,107.67236,43.54914,-22.50801,439.85558,417.80448,-13.587122,4.962528,7.98205,7.95493,0.39178,50,6.38283,-4.64209,-127.90335,-6.19228,13.23735,26.10552,-18.98171,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,b7354590-3c09-11f1-9d73-33566707329c,87.01778,73.56469,,7.30462,,,,2.16156,2.57737,-0.42054,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:06:24.55,2026-04-19T12:06:24.5556224-04:00,2026-04-19T16:06:24.5556224Z,LineDrive,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,4420421e-0fdf-4bc4-9ba2-2d3282b24453,54.80212,-128.87975,13.05276,6.60116,-5.48232,-9.49086,0.57466,-5.1372,6.61867,173.776756,2.16137,144.95619,-27.88689,6.60706,-1.30628,0.22959,-0.035,0.00373,-0.00018,2.57942,58.33212,-10.61348,-1.32348,0.55255,-0.15817,0.0325,-0.00375,0.00017,-0.42052,-28.9254,3.7614,-0.83419,0.15303,-0.02638,0.00422,-0.00048,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-19,12:07:10.63,3,1,"Christopher, Mason",831012,Left,SET_PIR,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.92142,-2.156113,0.768467,2010.12117,133.034941,10:30,6.57084,-0.31435,5.68542,-23.67966,13.38048,-12.8589,2.58676,-0.66962,79.25209,-6.597412,-1.532601,0.438152,,,,,,,,,,,,6.80473,7.90725,0.25799,50,6.37485,-1.15718,-127.3944,-5.5673,10.9789,30.6227,-19.41636,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,d2a75570-3c09-11f1-9d73-33566707329c,86.0259,,,8.66933,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:07:10.63,2026-04-19T12:07:10.6396672-04:00,2026-04-19T16:07:10.6396672Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,59330770-859e-4a12-b1fb-b282d5477b59,54.81069,-128.54558,15.31135,6.57042,-4.83739,-9.70818,0.30925,-1.5699,5.48945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-19,12:07:30.74,3,2,"Christopher, Mason",831012,Left,SET_PIR,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.2802,-0.113642,0.718161,2407.017958,328.927479,5:00,6.54775,-0.55412,5.37851,-54.49625,-8.88008,6.25441,1.89986,0.64034,72.70325,-9.986874,1.833735,0.486106,,,,,,,,,,,,-2.92335,-3.97099,0.4853,50,6.49903,-1.69292,-115.0794,-2.15025,-3.88437,23.18115,-37.45049,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,deb2fb80-3c09-11f1-9d73-33566707329c,77.53959,,,6.57695,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:07:30.74,2026-04-19T12:07:30.7439104-04:00,2026-04-19T16:07:30.7439104Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,f1376b5f-b615-49c9-82a9-6bcdbd6658d4,55.12136,-116.10645,11.59057,6.55754,-0.491,-18.72524,0.5565,-1.52082,-1.94219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-19,12:07:51.23,3,3,"Christopher, Mason",831012,Left,SET_PIR,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.26093,-3.051095,2.09226,2064.861099,124.543041,10:15,6.59982,-0.63735,5.83269,-25.45513,12.19209,-15.5982,1.63799,0.00843,78.45605,-7.820242,-0.706486,0.441609,,,,,,,,,,,,8.62335,7.68835,0.47561,50,6.3359,-3.94179,-126.24182,-7.54861,13.61476,30.89035,-20.03545,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,eae5b190-3c09-11f1-9d73-33566707329c,85.35256,,,8.80488,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:07:51.23,2026-04-19T12:07:51.2322048-04:00,2026-04-19T16:07:51.2322048Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,68ab39b6-5a56-4373-ad38-c2334e0f8b43,54.6616,-127.37736,15.44518,6.59986,-6.81209,-10.01773,0.62971,-4.44227,6.80738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-19,12:08:11.29,3,4,"Christopher, Mason",831012,Left,SET_PIR,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.80413,-1.262435,1.234191,2077.969404,252.499214,2:30,6.59652,-0.38306,6.09647,-37.33238,2.91961,4.50681,2.3174,1.13418,75.63579,-8.200932,2.047444,0.456631,88.13957,-19.305562,17.244005,,,,,8.37123,8.09167,9.008834,0.057012,-1.90445,2.36898,0.28574,50,6.48,-2.79402,-121.52607,-3.87028,-2.78543,28.69817,-28.70923,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,f6d89f80-3c09-11f1-9d73-33566707329c,82.5447,2.44177,,8.16834,,,,1.61085,2.44177,-0.7555,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:08:11.29,2026-04-19T12:08:11.2909824-04:00,2026-04-19T16:08:11.2909824Z,GroundBall,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,0fbe3da6-7ce1-4998-a9af-aa04addb1e21,54.39947,-122.5606,14.34909,6.60087,-2.83536,-14.35462,0.38465,-2.69361,-1.39271,180,1.60856,116.76756,,,,,,,,2.44261,-42.82928,,,,,,,,-0.75621,36.2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2026-04-19,12:08:48.15,4,1,"Christopher, Mason",831012,Left,SET_PIR,"Fitz, Jonathan",812192,Right,XAV_MUS,Undefined,1,Top,2,0,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.33186,-2.854725,0.606552,2211.842915,183.519719,12:00,6.60984,-0.54814,5.7502,-23.20068,15.96623,0.89425,2.01652,0.09107,77.21837,-7.212486,0.766761,0.450434,,,,,,,,,,,,-0.25862,9.44768,0.49726,50,6.35879,-1.34617,-123.58256,-6.87114,-0.39438,27.82005,-17.76599,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,0cd792f0-3c0a-11f1-9d73-33566707329c,83.68032,,,8.11349,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:08:48.15,2026-04-19T12:08:48.1548288-04:00,2026-04-19T16:08:48.1548288Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,5503b90d-e7d3-4155-9b0c-554c0954e25e,54.7434,-124.64579,13.91003,6.60842,-6.19216,-8.883,0.54842,-1.3311,-0.19719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,12:09:03.69,4,2,"Christopher, Mason",831012,Left,SET_PIR,"Fitz, Jonathan",812192,Right,XAV_MUS,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.2452,-3.45361,0.434693,1623.358069,141.232193,10:45,6.48527,-0.50148,5.52328,-23.91092,17.77056,-13.01115,1.25989,-1.17934,75.20046,-7.927175,-1.88696,0.464668,,,,,,,,,,,,6.65918,10.54575,0.47237,50,6.16907,-0.36146,-120.42007,-7.9979,9.61261,27.07752,-16.95113,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,16157300-3c0a-11f1-9d73-33566707329c,81.11689,,,8.04474,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:09:03.69,2026-04-19T12:09:03.6962304-04:00,2026-04-19T16:09:03.6962304Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,17cd3eaf-b1f2-4d6d-9696-6a5abf54438a,54.97034,-121.53255,13.53876,6.48335,-7.30146,-8.47556,0.49534,-0.7564,4.80631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,12:09:22.22,4,3,"Christopher, Mason",831012,Left,SET_PIR,"Fitz, Jonathan",812192,Right,XAV_MUS,Undefined,1,Top,2,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.35018,-0.655439,-0.496993,2428.932546,338.395801,5:15,6.52716,-0.28498,5.59754,-52.1096,-6.71036,3.28067,1.57272,-0.47559,72.4177,-10.151342,0.090843,0.484949,,,,,,,,,,,,-1.82024,-2.71354,0.32539,50,6.43737,0.87013,-115.13828,-3.0916,-2.40781,24.28777,-35.76355,SET_PIR,XAV_MUS,OwenTCarrollField,D1,BEAST,20260419-OwenTCarrollField-1,212294d0-3c0a-11f1-9d73-33566707329c,77.72461,,,6.93248,,,,,,,1b80e4d5-17ee-4585-b2e0-d6be2a303ac1,2026-04-19,16:09:22.22,2026-04-19T12:09:22.2262784-04:00,2026-04-19T16:09:22.2262784Z,,v3,471438,471497,b405312590cb45f0b745a938e0c325c0,"Duffy, Vincent",1000175652,Right,SET_PIR,ccb7117e-03ce-4711-b40e-3b65793980f9,54.90095,-116.16751,12.14388,6.53627,-1.57608,-17.88178,0.28635,0.97217,-1.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
