PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,12:04:18.05,1,1,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Quiban, Rominic",1000111279,Left,NEV_WOL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.81254,-0.866684,-1.439295,2217.634873,223.614539,1:30,5.85603,1.2921,5.62309,-21.33934,13.52013,11.86453,3.26864,0.93736,82.35463,-4.849648,0.679528,0.424944,,,,,,,,,,,,-6.39095,7.41103,-1.17709,50,5.76847,2.7551,-130.44092,-2.69479,-11.05159,26.49425,-19.35848,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,2f45dd00-3c1a-11f1-bf0c-cfae8986f364,88.69976,,,7.45791,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:04:18.05,2026-04-19T12:04:18.0559360-06:00,2026-04-19T18:04:18.0559360Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,e9b58030-f2b1-4fe4-9436-d389e1e3266a,54.87775,-131.42792,13.24713,5.85543,-1.97362,-9.67924,-1.2874,3.1668,-5.52579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,12:04:31.74,1,2,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Quiban, Rominic",1000111279,Left,NEV_WOL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.33293,-1.446418,-2.501777,1316.464204,238.33726,2:00,5.83062,1.13044,5.59813,-34.78455,8.15217,10.91308,1.57989,-0.2974,74.3958,-7.85098,-0.553112,0.471613,,,,,,,,,,,,-6.25977,4.97315,-0.92316,50,5.68403,4.71785,-117.93624,-4.12324,-8.77777,23.34774,-25.20047,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,377cfb70-3c1a-11f1-bf0c-cfae8986f364,79.92239,,,6.93713,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:04:31.74,2026-04-19T12:04:31.7484032-06:00,2026-04-19T18:04:31.7484032Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,7b2aea29-2e44-41c8-b5f9-00b81538fa46,54.90233,-118.90279,11.67387,5.83313,-3.07999,-12.60023,-1.12599,5.08124,-4.38888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,12:04:45.49,1,3,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Quiban, Rominic",1000111279,Left,NEV_WOL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.99083,-0.728716,-2.317178,1259.890437,228.261027,1:30,5.76974,1.29491,5.74301,-34.29616,8.68697,8.16682,2.23261,-0.18327,74.0794,-7.072652,-0.855503,0.471868,,,,,,,,,,,,-4.87744,5.01941,-1.10734,50,5.68798,4.44616,-117.54127,-2.58181,-6.79615,23.11643,-25.18008,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,3fa9b9a0-3c1a-11f1-bf0c-cfae8986f364,79.8792,,,6.91142,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:04:45.49,2026-04-19T12:04:45.4913024-06:00,2026-04-19T18:04:45.4913024Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,41890460-b41b-43aa-8607-52310dfb42dd,54.75896,-118.47349,11.55822,5.77163,-1.56636,-12.59004,-1.29217,4.72023,-3.39807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,12:05:05.41,1,4,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Quiban, Rominic",1000111279,Left,NEV_WOL,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.70851,3.854476,-0.34334,2440.30006,16.499699,6:30,5.878,1.22033,4.969,-62.7883,-14.70631,-4.80177,4.29226,0.49585,71.06249,-7.454036,-1.190337,0.499071,,,,,,,,,,,,2.26055,-7.8191,-1.18302,50,6.19934,0.87574,-112.59957,5.25184,2.89762,20.74681,-42.19671,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,4b9617e0-3c1a-11f1-bf0c-cfae8986f364,75.52514,,,6.64601,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:05:05.41,2026-04-19T12:05:05.4127104-06:00,2026-04-19T18:05:05.4127104Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,57e7c5a3-b613-4ad6-99c7-f2fba3d0df3a,55.536,-113.61502,10.37341,5.89175,7.31715,-21.09836,-1.22242,0.73392,1.44881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-19,12:05:22.72,1,5,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Quiban, Rominic",1000111279,Left,NEV_WOL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,80.82711,-0.088524,-2.132531,1338.287873,250.873526,2:15,5.73188,1.25884,5.7105,-37.4214,5.72111,12.50288,2.5309,0.31297,73.98638,-6.990235,0.104523,0.472742,97.64336,15.405603,-4.579303,1965.327457,109.25053,24.12053,-12.81234,285.20326,282.33487,-9.869827,2.732944,-7.00276,3.32532,-1.08822,50,5.70115,3.88654,-117.33974,-1.39395,-9.73779,22.74638,-27.54998,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,55e1be70-3c1a-11f1-bf0c-cfae8986f364,79.73155,26.53632,,6.84073,,,,2.00028,2.61022,-0.32065,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:05:22.72,2026-04-19T12:05:22.7206144-06:00,2026-04-19T18:05:22.7206144Z,LineDrive,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,44802cf3-b173-4fea-8e8e-9014eb25e468,54.79141,-118.26491,11.37319,5.73506,-0.2734,-13.77499,-1.25435,4.28261,-4.86889,131.496733,2.00028,137.62184,-20.40614,4.12565,-0.67643,0.03905,0.01791,-0.00547,0.00052,2.61022,38.0466,-16.1858,1.19585,-0.51221,0.2743,-0.09601,0.01886,-0.00155,-0.32065,-11.02581,-4.64155,1.15213,0.00791,-0.16833,0.07715,-0.01621,0.00136,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-19,12:06:04.97,2,1,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Dobie, Jayce",833435,Right,NEV_WOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.19152,-2.03138,-2.211388,2219.563681,207.593442,1:00,5.91205,1.11368,5.73142,-19.54611,15.08383,7.29985,2.38913,-0.33854,82.43001,-5.700648,-0.905926,0.423543,104.27438,9.477237,-14.807587,881.114574,105.54838,11.54928,-30.97552,205.97884,149.29245,-18.529346,1.631587,-4.37717,8.60323,-0.93392,50,5.73061,4.74326,-130.85277,-5.27961,-7.57849,27.97684,-17.27873,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,6f032790-3c1a-11f1-bf0c-cfae8986f364,88.99324,11.5714,,7.76151,,,,2.63764,2.49083,0.33747,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:06:04.97,2026-04-19T12:06:04.9762304-06:00,2026-04-19T18:06:04.9762304Z,LineDrive,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,b5bbf32d-908c-4d5d-bfc2-defc557286f2,54.77044,-131.86876,13.98842,5.91095,-4.65212,-8.63936,-1.11117,5.01848,-3.78925,99.104579,2.63764,145.83836,-21.96342,4.14547,-0.91274,0.19214,-0.03957,0.00649,-0.00056,2.49083,25.18171,-18.59146,1.79576,-0.36861,0.08291,-0.01586,0.00259,-0.00024,0.33747,-38.55283,-2.2413,1.08458,-0.33455,0.08874,-0.02043,0.00353,-0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-19,12:06:43.56,3,1,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Cruz Jr., Mikey",1000138361,Right,NEV_WOL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.61082,-1.358118,-2.396403,2296.465637,97.496519,9:15,5.93957,1.15633,5.54829,-37.27045,1.41681,-1.5678,1.56316,-1.21511,78.69936,-8.158882,-2.676084,0.447667,,,,,,,,,,,,0.12091,1.45941,-0.94766,50,5.79713,5.26352,-124.20287,-4.28764,0.18867,25.11547,-29.89667,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,86118f30-3c1a-11f1-bf0c-cfae8986f364,84.19742,,,6.91146,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:06:43.56,2026-04-19T12:06:43.5688448-06:00,2026-04-19T18:06:43.5688448Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,1fe3d00c-0d68-4222-9863-70f2b03e7cfa,54.95314,-125.20046,12.55774,5.94385,-3.10015,-14.94833,-1.15658,5.25602,0.09433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,12:06:59.92,3,2,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Cruz Jr., Mikey",1000138361,Right,NEV_WOL,Undefined,1,Top,0,1,0,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,84.8992,-2.52085,-2.952561,2332.35633,131.753689,10:30,5.95164,1.20671,5.47524,-36.94305,2.39122,-1.36654,0.5094,-1.67261,78.6113,-9.217832,-3.195946,0.451395,,,,,,,,,,,,-0.0902,2.19032,-0.9461,50,5.70426,6.40488,-123.09987,-6.74462,-0.13895,23.50618,-28.79943,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,8fc73750-3c1a-11f1-bf0c-cfae8986f364,83.50209,,,6.28789,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:06:59.92,2026-04-19T12:06:59.9294976-06:00,2026-04-19T18:06:59.9294976Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,b7021895-2ab6-4485-954d-0c2dff22fbc8,55.02781,-124.05623,11.75309,5.95483,-5.57291,-14.39972,-1.2068,6.41053,-0.06947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,12:07:24.23,3,3,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Cruz Jr., Mikey",1000138361,Right,NEV_WOL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,1,,88.28892,-2.035434,-2.167861,2196.215438,224.100789,1:30,5.89481,1.25723,5.77048,-25.64718,10.27709,8.89052,1.86114,-0.02035,81.19709,-6.785467,-0.575601,0.431385,105.91746,5.944872,-4.744007,1190.481907,109.66695,5.04088,-8.55028,156.7674,156.7674,-4.336635,1.171189,-5.14548,6.11953,-1.08345,50,5.71072,4.48299,-128.16136,-5.42436,-8.58716,25.6469,-21.96136,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,9e434120-3c1a-11f1-bf0c-cfae8986f364,87.37538,6.01956,,7.09183,,,,1.46419,1.87161,-0.00344,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:07:24.23,2026-04-19T12:07:24.2321408-06:00,2026-04-19T18:07:24.2321408Z,GroundBall,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,e504ed3b-f231-4c11-9393-23c6099fa145,54.73163,-129.10476,12.82345,5.89539,-4.61654,-10.98068,-1.25416,4.79886,-4.29358,194.329367,1.46419,153.98058,-23.52774,5.33145,-1.19978,0.27718,-0.06342,0.01209,-0.0013,1.87161,16.08935,-16.06021,0.94073,-0.1173,0.00991,0.00115,-0.00047,7E-05,-0.00344,-12.77858,2.56777,-0.26529,0.0035,0.00869,-0.00325,0.0008,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-19,12:07:58.97,4,1,"Alvarez, Diego",1000273577,Right,MEX_LOB,"Doyle, Jacob",833448,Right,NEV_WOL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.56683,-0.894987,-1.887231,2520.778626,18.944722,6:45,5.89221,1.09193,5.05448,-56.93948,-11.21249,-4.34158,0.30264,-1.05042,73.47316,-11.093758,-2.6572,0.486696,,,,,,,,,,,,1.63154,-5.05134,-0.90851,50,5.76071,3.9782,-115.44899,-3.88061,2.18969,22.61344,-38.95351,MEX_LOB,NEV_WOL,SantaAnaStarField,D1,MW,20260419-SantaAnaStarField-1,b300b3e0-3c1a-11f1-bf0c-cfae8986f364,77.44554,,,6.09367,,,,,,,39b2b5a3-c99d-4b49-ace1-6cd9f5e9da9e,2026-04-19,18:07:58.97,2026-04-19T12:07:58.9702144-06:00,2026-04-19T18:07:58.9702144Z,,v3,471380,471377,7f18e3fdbdbd491e9acfec95e4cb4dad,"Herd, Caleb",830577,Right,MEX_LOB,c00e0bd1-eaee-44cd-b00c-4add86919b3a,55.45065,-116.51174,11.30672,5.90007,-2.04994,-19.47676,-1.09306,3.87529,1.09485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
