PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,12:02:15.58,1,1,"Kasey, Graham",1000189311,Left,IlI_SPR,"Rauser, Matthew",1000465958,Right,MAR_SAI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.60894,0.343643,4.902308,2101.884787,124.788805,10:15,4.60725,-3.21159,6.20303,-29.64478,12.03146,-15.39426,2.45523,0.04189,74.50302,-5.217543,2.137713,0.464639,,,,,,,,,,,,9.30071,6.53819,2.84965,50,4.61825,-9.56171,-118.21237,-0.14046,13.16347,22.49051,-22.92042,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,8495dac0-3c11-11f1-aa5f-eb78d342601b,81.12199,,,7.10592,,,,,,,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:02:15.58,2026-04-19T12:02:15.5870000-05:00,2026-04-19T17:02:15.5870000Z,,v3,643-145058,643-145280,,"Suchoski, Chris",10098381,Right,IlI_SPR,a0174659-2b7f-45c6-a8fc-bcd1f894af84,54.29744,-119.02718,11.24525,4.6083,0.68991,-11.46021,3.2047,-10.03861,6.58173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,12:02:32.90,1,2,"Kasey, Graham",1000189311,Left,IlI_SPR,"Rauser, Matthew",1000465958,Right,MAR_SAI,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.28878,0.970804,4.955501,2132.259829,115.642103,9:45,4.58615,-3.20787,,-28.44128,12.98855,-23.93883,3.12565,-0.56589,74.93277,-4.353596,0.702084,0.463263,68.58147,51.81751,125.208564,4484.229769,,,,,46.459,,,13.67855,6.68741,2.79948,50,4.65136,-9.44979,-120.39557,1.1433,19.82556,26.10778,-22.48137,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,8eea8200-3c11-11f1-aa5f-eb78d342601b,81.36287,48.57667,,8.356,,,,1.69626,3.17826,0.58095,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:02:32.90,2026-04-19T12:02:32.9090000-05:00,2026-04-19T17:02:32.9090000Z,,v3,643-145058,643-145280,,"Suchoski, Chris",10098381,Right,IlI_SPR,2edff7e8-33ca-4d84-93a0-4b776b5ed485,54.88683,-121.45066,13.05389,4.58679,2.05183,-11.24069,3.19756,-10.25099,9.91278,337.76582,1.69626,-35.84991,-2.40297,1.2138,-0.22803,0.43703,-1.02998,0.99282,-0.34949,3.17826,79.06476,-28.94586,3.36798,-0.7199,1.07378,-2.09681,1.88251,-0.63941,0.58094,50.80428,-3.77164,-0.25482,0.01658,-0.43219,1.13448,-1.11082,0.39313,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-04-19,12:02:52.54,1,3,"Kasey, Graham",1000189311,Left,IlI_SPR,"Rauser, Matthew",1000465958,Right,MAR_SAI,Undefined,1,Top,0,0,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.16314,0.544755,4.958626,1941.674585,120.792111,10:00,4.69338,-3.00692,5.98489,-27.10462,12.70658,-19.01666,2.94151,0.01599,76.15347,-4.551929,1.557145,0.454123,80.27362,-20.89902,6.172128,,,,,9.03335,9.03335,5.138306,0.069696,11.25627,6.75481,2.62499,50,4.72164,-9.81217,-121.78891,0.34336,16.77465,25.65919,-22.10769,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,9a9e6b20-3c11-11f1-aa5f-eb78d342601b,83.00042,2.93633,,8.00967,,,,1.35175,2.93633,-0.01775,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:02:52.54,2026-04-19T12:02:52.5420000-05:00,2026-04-19T17:02:52.5420000Z,GroundBall,v3,643-145058,643-145280,,"Suchoski, Chris",10098381,Right,IlI_SPR,efdfba47-dd82-4f2a-a8ec-e18398a45a47,54.51576,-122.73663,12.82959,4.69387,1.1599,-11.05385,2.99884,-10.43174,8.38733,,1.34789,109.69516,,,,,,,,2.93781,-42.13057,,,,,,,,-0.01817,11.86272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-04-19,12:03:28.62,2,1,"Kasey, Graham",1000189311,Left,IlI_SPR,"Leark, Tim",10282963,Left,MAR_SAI,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.03768,0.461581,6.428278,2116.49201,118.715052,10:00,4.65135,-2.94529,5.99721,-27.64923,13.55544,-22.02761,2.7777,1.20115,74.78939,-4.744853,2.50271,0.462003,,,,,,,,,,,,13.23182,7.23717,2.44883,50,4.67284,-12.62201,-119.81788,0.15609,19.03124,25.44542,-21.7649,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,b0226230-3c11-11f1-aa5f-eb78d342601b,81.58487,,,8.24828,,,,,,,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:03:28.62,2026-04-19T12:03:28.6270000-05:00,2026-04-19T17:03:28.6270000Z,,v3,643-145058,643-145280,,"Suchoski, Chris",10098381,Right,IlI_SPR,dce78922-0d15-4449-9dca-ca7efe3affd4,54.5026,-120.7703,12.72271,4.65175,0.97075,-10.88245,2.9346,-13.33434,9.51562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-19,12:03:43.45,2,2,"Kasey, Graham",1000189311,Left,IlI_SPR,"Leark, Tim",10282963,Left,MAR_SAI,Undefined,1,Top,1,0,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.86895,-0.11065,5.62782,2236.221824,116.516507,10:00,4.78646,-3.04709,5.96512,-27.11624,13.13812,-23.46682,2.42368,0.23252,75.76476,-5.211371,1.436218,0.456644,72.09223,-17.971882,10.355403,,,,,9.71677,9.71677,6.873379,0.075957,13.78918,7.17914,2.61269,50,4.76261,-11.02126,-121.24038,-1.05103,20.32865,25.81547,-21.59023,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,b8f21720-3c11-11f1-aa5f-eb78d342601b,82.54228,2.48622,,8.1042,,,,2.10718,2.48622,-0.21488,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:03:43.45,2026-04-19T12:03:43.4540000-05:00,2026-04-19T17:03:43.4540000Z,GroundBall,v3,643-145058,643-145280,,"Suchoski, Chris",10098381,Right,IlI_SPR,a1a396f2-b807-49ec-a861-474af1eae2d8,54.53641,-122.20249,12.90774,4.78679,-0.24639,-10.79512,3.03756,-11.77888,10.16432,,2.1032,99.2635,,,,,,,,2.48754,-32.73197,,,,,,,,-0.21561,18.13841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-19,12:04:24.35,3,1,"Kasey, Graham",1000189311,Left,IlI_SPR,"Meyer, Jack",1000230529,Right,MAR_SAI,Undefined,1,Top,2,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,83.31395,0.049659,5.540371,2068.55815,119.831727,10:00,4.81636,-3.11902,6.13118,-25.22096,16.19284,-25.18942,2.76073,-0.08092,73.62846,-4.790452,1.026205,0.463174,92.96167,39.188252,-0.692653,3984.91333,109.64415,82.60569,8.83964,352.89207,349.69074,13.436527,5.49448,15.06135,8.80256,2.7073,50,4.8074,-10.66762,-120.21784,-0.58301,21.32817,30.3277,-19.70884,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,d1503040-3c11-11f1-aa5f-eb78d342601b,81.37862,108.13507,,9.68549,,,,2.03673,2.95111,0.14384,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:04:24.35,2026-04-19T12:04:24.3500000-05:00,2026-04-19T17:04:24.3500000Z,FlyBall,v3,643-145058,643-145280,,"Suchoski, Chris",10098381,Right,IlI_SPR,6a015c69-4bd9-402d-a64f-d1b21819cf91,54.36711,-121.31454,15.16385,4.81559,0.12969,-9.85442,3.107,-11.43888,10.66408,209.979156,2.04287,105.54486,-22.66738,5.70247,-0.8227,0.00789,0.0199,-0.00302,0.00014,2.94623,86.23361,-19.81022,0.85776,0.09024,-0.07769,0.02351,-0.00336,0.00018,0.14129,-1.22636,8.8662,-2.56847,0.5028,-0.0557,0.00161,0.00026,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-19,12:07:32.23,1,1,"Miller, Nolan",10006756,Right,MAR_SAI,"Atkinson, Tommy",1000095460,Right,IlI_SPR,Undefined,1,Bottom,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.11678,-2.382251,-1.778602,2104.761898,232.970891,1:45,5.48413,1.47654,6.09487,-25.83757,13.25005,15.21631,1.12515,1.09887,75.72254,-7.311455,0.964948,0.449978,,,,,,,,,,,,-8.48886,8.29193,-1.34692,50,5.28733,3.22059,-124.42727,-5.93622,-12.71282,35.34885,-19.75616,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,41542ef0-3c12-11f1-aa5f-eb78d342601b,83.76515,,,10.39424,,,,,,,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:07:32.23,2026-04-19T12:07:32.2350000-05:00,2026-04-19T17:07:32.2350000Z,,v3,643-145058,643-145280,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,1f65f9cb-71df-46d2-9d8b-83462fef4d97,54.39792,-125.67048,17.67442,5.48388,-5.24141,-9.87808,-1.46804,3.6677,-6.35641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,12:07:45.29,1,2,"Miller, Nolan",10006756,Right,MAR_SAI,"Atkinson, Tommy",1000095460,Right,IlI_SPR,Undefined,1,Bottom,0,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.6393,-1.520057,-3.097403,2237.53838,204.284099,12:45,5.36903,1.41172,6.28137,-25.49171,12.22615,4.83933,1.84128,-1.04273,77.38026,-6.363998,-2.223915,0.442023,,,,,,,,,,,,-3.58284,7.31957,-1.18501,50,5.24462,6.5839,-125.3676,-4.07395,-5.54992,31.64868,-20.83584,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,491b9ba0-3c12-11f1-aa5f-eb78d342601b,85.27259,,,9.25905,,,,,,,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:07:45.29,2026-04-19T12:07:45.2990000-05:00,2026-04-19T17:07:45.2990000Z,,v3,643-145058,643-145280,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,000fa9d4-088a-4273-9f58-a46b3709115b,54.21278,-126.42663,15.82434,5.36928,-3.37674,-10.41792,-1.40843,6.76962,-2.77496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,12:08:06.35,1,3,"Miller, Nolan",10006756,Right,MAR_SAI,"Atkinson, Tommy",1000095460,Right,IlI_SPR,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,87.40768,-1.259971,-2.436989,2117.493069,207.499359,1:00,5.46624,1.37398,6.13986,-23.48887,13.72209,6.37233,2.34314,-0.3486,77.98162,-5.736074,-1.28892,0.439043,102.09818,0.802595,-3.29678,1023.028848,,,,60.04273,55.98073,-1.906646,0.411209,-4.17339,7.95603,-1.19128,50,5.35816,5.12713,-126.57726,-3.47558,-6.58231,32.53781,-19.62579,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,55a57260-3c12-11f1-aa5f-eb78d342601b,85.85143,2.45121,,9.42606,,,,1.67396,2.39686,0.36261,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:08:06.35,2026-04-19T12:08:06.3570000-05:00,2026-04-19T17:08:06.3570000Z,GroundBall,v3,643-145058,643-145280,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,15c3c966-74f4-4123-916a-aec875623618,54.35733,-127.69244,16.2689,5.46575,-2.80294,-9.81289,-1.37087,5.35273,-3.29116,300.524837,1.68197,149.22102,-17.98526,,,,,,,2.40363,1.87731,-18.81875,,,,,,,0.3575,-8.44387,6.63466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-19,12:08:38.90,2,1,"Miller, Nolan",10006756,Right,MAR_SAI,"Caceres, Noah",10083855,Left,IlI_SPR,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.77306,-0.835475,-1.76395,2142.323725,215.979241,1:15,5.50291,1.77685,6.10913,-24.95293,11.36879,7.33933,2.6505,0.75677,79.53131,-5.536085,-0.441352,0.433765,87.65367,54.012895,-26.51071,,87.65063,130.3066,-66.46298,208.9776,99.22746,-41.92942,5.838849,-4.34571,6.49555,-1.64518,50,5.42572,3.62639,-127.38467,-2.63093,-7.05987,28.92775,-21.6216,IlI_SPR,MAR_SAI,UISBaseballField,D2,Team,20260419-UISBaseballField-2,69079ae0-3c12-11f1-aa5f-eb78d342601b,86.89598,132.97413,,8.24175,,,,0.87839,2.82322,-0.71223,cf6929fe-2c81-4877-ba4f-379116de5ac5,2026-04-19,17:08:38.90,2026-04-19T12:08:38.9040000-05:00,2026-04-19T17:08:38.9040000Z,FlyBall,v3,643-145058,643-145280,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,d221bb1a-e12d-4972-ba9f-9d9613a119f9,54.39049,-128.37783,14.46387,5.50331,-1.8886,-10.8108,-1.77384,3.86878,-3.52993,161.726786,0.87817,67.56276,-23.36977,6.76284,-1.2253,0.07796,0.01725,-0.00366,0.0002,2.81417,104.17713,-25.57447,2.67466,-0.48867,0.06635,0.00103,-0.00159,0.00013,-0.71176,-33.73366,2.81423,-0.17839,0.00632,-0.02192,0.00915,-0.00143,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
