PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,13:06:29.55,1,1,"Nikolis, Trevor",10106579,Right,NOF_OSP,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.57346,-4.198731,-1.569708,2111.193083,191.490195,12:30,6.57503,0.39785,5.66368,-11.28323,24.83958,4.80398,1.71109,-0.66589,80.90598,-6.392311,-0.711801,0.432576,81.49615,50.906834,37.084632,5228.281994,76.76332,105.80651,78.78662,242.10098,107.54634,51.393328,5.41769,-2.88917,14.17607,-0.26828,50,6.2126,3.30974,-128.25627,-9.68861,-4.80768,26.77469,-8.58468,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,1c430c30-3c12-11f1-848e-0388a80c30bf,87.13491,111.45716,,7.66748,,,,1.06885,1.74383,0.63869,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:06:29.55,2026-04-19T13:06:29.5503360-04:00,2026-04-19T17:06:29.5503360Z,FlyBall,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,f1690b29-bb68-4e9c-bff1-21981c26a3fd,54.835,-129.26168,13.38734,6.57036,-9.36625,-4.29234,-0.39595,3.49027,-2.40384,206.798817,1.07938,59.89716,-16.22766,2.79244,0.6397,-0.55067,0.14612,-0.0178,0.00084,1.73408,92.93387,-23.94016,2.97131,-0.8535,0.1901,-0.0203,0.0003,6E-05,0.63689,45.48043,-3.3884,0.48205,-0.13383,0.04722,-0.00981,0.00099,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-04-19,13:07:03.66,1,2,"Nikolis, Trevor",10106579,Right,NOF_OSP,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.55346,-3.661451,-1.568969,2077.703196,199.600052,12:45,6.49322,0.0981,5.81276,-13.24768,23.77793,7.99508,1.97867,-0.69493,79.33516,-6.236371,-0.136799,0.437948,,,,,,,,,,,,-4.56126,13.64568,0.02566,50,6.1851,3.1355,-126.76855,-8.43307,-7.34909,28.3105,-10.18819,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,30938c50-3c12-11f1-848e-0388a80c30bf,86.06604,,,8.21831,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:07:03.66,2026-04-19T13:07:03.6633600-04:00,2026-04-19T17:07:03.6633600Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,7c890361-6bf1-431b-a7bf-6e6027aacb93,54.68433,-127.81039,14.15525,6.48854,-8.05814,-5.09409,-0.09471,3.40594,-3.67455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,13:07:27.27,1,3,"Nikolis, Trevor",10106579,Right,NOF_OSP,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.13316,-1.95818,-1.1687,1959.068133,146.805157,11:00,6.41683,0.22626,5.81385,-39.14601,4.98221,-2.2578,1.33277,-1.04875,73.11679,-9.164205,-1.574201,0.478112,,,,,,,,,,,,0.79177,3.59362,-0.12915,50,6.23319,2.45667,-116.21667,-5.21521,1.06974,24.24742,-27.31889,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,3eaeff90-3c12-11f1-848e-0388a80c30bf,78.83602,,,7.01637,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:07:27.27,2026-04-19T13:07:27.2721408-04:00,2026-04-19T17:07:27.2721408Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,40aac4ed-2a7a-4b10-b818-d25629a8be58,54.6842,-117.18991,12.12371,6.42051,-4.11869,-13.65945,-0.2269,2.41373,0.53487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,13:07:47.59,1,4,"Nikolis, Trevor",10106579,Right,NOF_OSP,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.82558,-2.788845,-1.541716,2094.77741,194.788798,12:30,6.55995,0.20033,5.72454,-9.33142,27.2699,6.8091,3.18179,-0.66855,79.11791,-4.703646,-0.324416,0.435431,87.79722,23.408403,-27.070138,2156.514015,95.50139,37.53434,-54.5843,292.33364,276.1067,-35.318279,3.334764,-4.04087,15.33166,-0.07603,50,6.322,3.16612,-128.51228,-6.41553,-6.57597,33.3083,-7.22386,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,4ac57b10-3c12-11f1-848e-0388a80c30bf,86.56346,41.6708,,9.70767,,,,2.71316,3.32715,0.64498,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:07:47.59,2026-04-19T13:07:47.5988480-04:00,2026-04-19T17:07:47.5988480Z,LineDrive,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,39187b15-1896-45fd-a4ec-c5fcd2a994fe,54.77196,-129.7432,16.65415,6.55415,-6.14858,-3.61193,-0.19753,3.40914,-3.28799,123.970779,2.71291,105.2339,-18.91043,4.69821,-1.15875,0.29853,-0.07309,0.01161,-0.00076,3.32731,51.1526,-18.44141,0.93084,0.04065,-0.06303,0.0189,-0.00171,-4E-05,0.64505,-53.77995,-0.39186,1.07316,-0.38394,0.07935,-0.00851,-8E-05,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-19,13:08:21.53,2,1,"Nikolis, Trevor",10106579,Right,NOF_OSP,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.47037,-4.388296,-1.654135,2057.741278,192.117291,12:30,6.60037,0.0834,5.60033,-11.25587,24.60076,5.00075,1.55585,-1.04455,80.949,-6.591998,-0.762174,0.430979,,,,,,,,,,,,-3.05406,14.21894,0.05492,50,6.21697,3.51671,-129.36797,-10.19628,-5.11757,29.81705,-8.34776,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,5efd6a20-3c12-11f1-848e-0388a80c30bf,87.45771,,,8.52137,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:08:21.53,2026-04-19T13:08:21.5379968-04:00,2026-04-19T17:08:21.5379968Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,aabf44f9-1ebc-4266-8e6a-a88dc2f12085,54.89709,-130.49179,14.90852,6.59534,-9.88165,-4.17388,-0.08126,3.70959,-2.55879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-19,13:08:33.12,2,2,"Nikolis, Trevor",10106579,Right,NOF_OSP,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.59654,-1.652008,-1.71909,2024.158907,192.145488,12:30,6.42199,0.58066,5.73265,-34.92797,6.38,1.08744,1.97176,-0.93013,75.79544,-8.07804,-1.524296,0.462582,,,,,,,,,,,,-1.04728,4.11059,-0.43806,50,6.26277,3.55477,-119.86801,-4.60768,-1.5196,23.75479,-26.20951,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,65eb3fb0-3c12-11f1-848e-0388a80c30bf,81.48279,,,6.8011,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:08:33.12,2026-04-19T13:08:33.1286016-04:00,2026-04-19T17:08:33.1286016Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,d422a8f8-bc6c-4847-82b2-2570487604e1,54.76619,-120.80886,11.8774,6.4247,-3.56962,-13.10476,-0.58004,3.61495,-0.7598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-19,13:08:47.82,2,3,"Nikolis, Trevor",10106579,Right,NOF_OSP,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.97082,-4.658912,-1.521473,2081.873914,183.086597,12:00,6.53504,0.2288,5.64829,-11.84012,24.35824,1.24256,1.19169,-1.08712,80.5939,-6.963813,-1.299641,0.433028,,,,,,,,,,,,-1.10469,14.21442,-0.10058,50,6.13199,3.36293,-128.62597,-10.77247,-1.83059,29.38551,-8.61912,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,6eaf34d0-3c12-11f1-848e-0388a80c30bf,87.04389,,,8.37692,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:08:47.82,2026-04-19T13:08:47.8256640-04:00,2026-04-19T17:08:47.8256640Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,b26be0c2-5215-45e0-81ba-b689c5a38ab3,54.84945,-129.72912,14.69276,6.53033,-10.4489,-4.30956,-0.22811,3.43165,-0.9153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,13:09:01.67,2,4,"Nikolis, Trevor",10106579,Right,NOF_OSP,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,1,2,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.76873,-1.935671,-0.383114,1911.679386,194.277244,12:30,6.44238,0.46932,5.76471,-37.75671,5.6654,1.06339,1.49373,0.20137,73.76056,-8.886458,-0.192249,0.474271,,,,,,,,,,,,-0.66327,3.90024,-0.43828,50,6.25925,0.74276,-117.17557,-5.1706,-0.91267,24.26167,-26.8071,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,76faecb0-3c12-11f1-848e-0388a80c30bf,79.47443,,,7.00817,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:09:01.67,2026-04-19T13:09:01.6765440-04:00,2026-04-19T17:09:01.6765440Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,1ff087e3-8ef4-44cd-881d-29a252c62a4c,54.73372,-118.15164,12.13083,6.44557,-4.09213,-13.40355,-0.4689,0.77948,-0.45634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,13:09:17.69,2,5,"Nikolis, Trevor",10106579,Right,NOF_OSP,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,1,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.65002,-2.966372,-1.562834,1991.811429,168.709994,11:30,6.40735,0.25632,5.84886,-36.54128,6.30524,-0.94043,0.60229,-1.27465,74.01067,-9.705606,-1.731851,0.471117,,,,,,,,,,,,-0.04244,4.64422,-0.12866,50,6.14457,3.26166,-118.23553,-7.28345,-0.05886,26.86802,-25.73504,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,8077f8a0-3c12-11f1-848e-0388a80c30bf,80.00645,,,7.63934,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:09:17.69,2026-04-19T13:09:17.6953344-04:00,2026-04-19T17:09:17.6953344Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,d5f167c8-1883-4e1a-a76e-f4a74f671d98,54.64925,-119.28736,13.43401,6.40998,-6.27597,-12.86752,-0.2564,3.26396,-0.02943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,13:09:32.98,2,6,"Nikolis, Trevor",10106579,Right,NOF_OSP,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.26315,-4.172757,-1.168944,2147.801078,197.180753,12:30,6.46061,0.29003,5.85378,-12.748,23.68997,6.91717,1.51348,-0.21982,79.94628,-6.654027,0.071379,0.434459,,,,,,,,,,,,-3.89347,13.77942,-0.19914,50,6.11381,2.31346,-127.73461,-9.61974,-6.36362,28.94771,-9.65241,NOF_OSP,STE_HAT,UNorthFlorida,D1,ASUN,20260419-UNorthFlorida-1,89a58500-3c12-11f1-848e-0388a80c30bf,86.75726,,,8.31686,,,,,,,43764cf8-058c-4537-bae3-8636b99c34d3,2026-04-19,17:09:32.98,2026-04-19T13:09:32.9880000-04:00,2026-04-19T17:09:32.9880000Z,,v3,471510,471456,,"Hosey, Boone",1000226075,Right,NOF_OSP,d958e46a-42ae-4530-bfaf-cbabe7973ec6,54.64305,-128.78254,14.47386,6.45572,-9.27032,-4.82621,-0.28706,2.54383,-3.18181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.56109,2.945041,1.981491,0.96355,2.2911,1.6151,0.22075,-0.20266,5.49668,-2.60916,69.77437,10.50331,-55.01326,-0.19528,75.56907,-3.06064,5.55442,19.81226,-15.2023,-2.7071,-61.90712,7.86455,High,High,High,,,High,High,High
