PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,12:58:31.10,1,1,"Gleason, Joseph",10276451,Right,SHE_UNI,"Healy, Seth",1000484854,Right,POT_STA,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.29857,-0.592743,-3.131587,2255.997356,226.798911,1:30,5.29066,1.91012,6.63079,-22.21926,11.25512,10.81843,2.8955,-0.05854,82.22068,-4.817868,-1.166066,0.416416,,,,,,,,,,,,-6.57083,6.42717,-1.70175,50,5.24129,6.74696,-131.10916,-1.99118,-11.38767,28.84468,-21.03538,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,59bdb760-2ac7-11f1-9082-2b8374d6d50e,90.51624,,,8.07789,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,16:58:31.10,2026-03-28T12:58:31.1063040-04:00,2026-03-28T16:58:31.1063040Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,650826c8-1978-4312-93cd-f96886b179f0,53.86865,-131.95754,14.42234,5.29076,-1.37249,-10.51769,-1.90511,7.08189,-5.69384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,12:58:45.87,1,2,"Gleason, Joseph",10276451,Right,SHE_UNI,"Healy, Seth",1000484854,Right,POT_STA,Undefined,1,Top,0,0,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.51634,-0.204009,-3.015191,2208.057196,234.041862,1:45,5.13255,2.21039,6.77694,-19.55131,13.90032,17.50434,3.31674,0.91346,81.49404,-3.981437,0.17498,0.416275,41.20226,4.62867,45.607765,3980.516538,,,,38.52736,34.51075,47.880845,0.66806,-10.18906,7.76115,-2.01931,50,5.11161,6.23708,-131.37676,-0.9719,-17.52825,31.9096,-18.82256,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,628751d0-2ac7-11f1-9082-2b8374d6d50e,90.54701,3.55382,,9.0223,,,,0.09322,3.14449,-0.82356,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,16:58:45.87,2026-03-28T12:58:45.8732032-04:00,2026-03-28T16:58:45.8732032Z,GroundBall,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,c793519e-c721-4022-9bcc-f6c4822e2514,53.72211,-132.27772,15.9548,5.13155,-0.44045,-9.41128,-2.2024,6.73198,-8.76413,253.598535,0.09861,42.02599,-5.243,,,,,,,3.1487,4.79479,-14.242,,,,,,,-0.82634,43.09723,1.37817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-28,12:59:08.86,1,3,"Gleason, Joseph",10276451,Right,SHE_UNI,"Healy, Seth",1000484854,Right,POT_STA,Undefined,1,Top,0,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.48782,-0.427328,-4.126201,2240.135552,221.495335,1:30,5.33469,1.6937,6.87538,-20.52466,12.13642,9.90619,3.23384,-1.24771,83.38259,-4.332721,-2.321792,0.411326,,,,,,,,,,,,-6.2915,6.85508,-1.43457,50,5.29983,9.11661,-131.45301,-1.53143,-11.11143,25.42935,-20.0673,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,7033af90-2ac7-11f1-9082-2b8374d6d50e,91.63631,,,7.10523,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,16:59:08.86,2026-03-28T12:59:08.8637952-04:00,2026-03-28T16:59:08.8637952Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,05fb1820-006c-4285-a01b-09e72c6f5c24,53.62611,-132.15261,12.71468,5.33437,-0.97934,-10.03365,-1.68958,9.42231,-5.55572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,12:59:24.91,1,4,"Gleason, Joseph",10276451,Right,SHE_UNI,"Healy, Seth",1000484854,Right,POT_STA,Undefined,1,Top,0,1,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86653,1.006197,-1.920983,2413.374905,66.641009,8:15,5.26613,1.84617,5.74085,-53.28901,-6.17028,-17.23477,1.76292,-1.37945,71.61562,-8.687005,-5.005107,0.494047,,,,,,,,,,,,8.35937,-3.07229,-1.67533,50,5.31671,4.36753,-111.79224,0.26553,10.66303,18.65062,-36.09298,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,79c7c5f0-2ac7-11f1-9082-2b8374d6d50e,76.29323,,,5.25091,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,16:59:24.91,2026-03-28T12:59:24.9132032-04:00,2026-03-28T16:59:24.9132032Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,1e92dcd5-3012-48ba-ad0d-cfe24e5c6a3e,54.76497,-112.58439,9.32531,5.27287,1.79851,-18.04649,-1.85121,3.91464,5.33152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,12:59:42.13,1,5,"Gleason, Joseph",10276451,Right,SHE_UNI,"Healy, Seth",1000484854,Right,POT_STA,Undefined,1,Top,0,2,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.65874,1.212519,-0.95263,2298.167074,85.906716,8:45,5.30016,1.9629,5.72851,-47.80825,0.04102,-19.88651,2.44576,-0.58164,70.51077,-7.554236,-4.511004,0.497862,,,,,,,,,,,,9.84701,0.13165,-1.87106,50,5.37195,2.58823,-111.37386,0.84841,12.34224,20.39604,-32.00904,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,84184e80-2ac7-11f1-9082-2b8374d6d50e,75.70861,,,6.14796,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,16:59:42.13,2026-03-28T12:59:42.1352448-04:00,2026-03-28T16:59:42.1352448Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,ed9c97ff-9192-44c9-a635-2480243afa0e,54.77429,-112.24477,10.19802,5.30654,2.2152,-16.00452,-1.97033,2.06122,6.17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,13:00:09.69,2,1,"Gleason, Joseph",10276451,Right,SHE_UNI,"Wescott, Lextyn",1000484842,Right,POT_STA,Undefined,1,Top,1,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.18639,1.705214,-0.161846,2448.122908,65.190814,8:15,5.41812,1.84048,5.70699,-55.29125,-6.29697,-16.35544,2.39982,0.32673,70.25552,-8.35658,-3.090883,0.503784,,,,,,,,,,,,8.33327,-3.26256,-1.8164,50,5.52605,0.88739,-109.4377,1.51815,10.25199,16.70294,-36.18781,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,947881a0-2ac7-11f1-9082-2b8374d6d50e,74.81872,,,4.93087,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,17:00:09.69,2026-03-28T13:00:09.6919552-04:00,2026-03-28T17:00:09.6919552Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,0d38f488-52a6-4218-918e-ea282fab69d2,54.79935,-110.16777,8.35147,5.42513,3.09987,-18.0939,-1.84539,0.43929,5.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,13:00:30.68,2,2,"Gleason, Joseph",10276451,Right,SHE_UNI,"Wescott, Lextyn",1000484842,Right,POT_STA,Undefined,1,Top,1,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.63115,0.700739,-2.226236,2445.697596,69.477406,8:15,5.36616,1.89586,5.65013,-53.18526,-5.34666,-17.93619,1.58819,-1.67636,71.11003,-8.963167,-5.429352,0.497807,,,,,,,,,,,,8.53748,-2.50543,-1.69532,50,5.39157,4.98714,-111.35399,-0.35502,10.7466,19.5247,-35.3278,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,a0ffc050-2ac7-11f1-9082-2b8374d6d50e,75.71703,,,5.52111,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,17:00:30.68,2026-03-28T13:00:30.6853376-04:00,2026-03-28T17:00:30.6853376Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,440ca0ee-8cfe-4af6-a381-aa11d5a665e4,54.85465,-112.20197,9.76235,5.37367,1.17931,-17.6639,-1.90178,4.5204,5.3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,13:00:45.66,2,3,"Gleason, Joseph",10276451,Right,SHE_UNI,"Wescott, Lextyn",1000484842,Right,POT_STA,Undefined,1,Top,1,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.50569,-1.949497,-4.458008,2235.111823,238.087791,2:00,5.21436,2.17275,6.82431,-21.76639,10.21504,14.94241,1.616,-0.65705,84.63048,-6.06079,-1.737977,0.407024,,,,,,,,,,,,-9.05052,6.18922,-1.89051,50,5.0803,9.80788,-132.85488,-5.15053,-16.36287,25.38112,-20.9843,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,a9df2cb0-2ac7-11f1-9082-2b8374d6d50e,92.60488,,,6.87521,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,17:00:45.66,2026-03-28T13:00:45.6613888-04:00,2026-03-28T17:00:45.6613888Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,3ded9bce-631e-44db-8479-603afb86632e,53.67895,-133.55587,12.69056,5.21454,-4.57097,-10.49215,-2.16762,10.2598,-8.18144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:01:02.29,2,4,"Gleason, Joseph",10276451,Right,SHE_UNI,"Wescott, Lextyn",1000484842,Right,POT_STA,Undefined,1,Top,1,2,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.97347,-1.521455,-4.13538,2108.921219,242.323783,2:00,5.18929,2.09111,6.85273,-24.07619,9.11465,15.47505,1.79182,-0.39627,82.77963,-6.073597,-1.314603,0.414649,,,,,,,,,,,,-9.31241,5.55244,-1.83169,50,5.08306,8.87942,-130.65193,-4.15416,-16.18259,26.14874,-22.5253,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,b3c581c0-2ac7-11f1-9082-2b8374d6d50e,90.90204,,,7.19384,,,,,,,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,17:01:02.29,2026-03-28T13:01:02.2923776-04:00,2026-03-28T17:01:02.2923776Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,ae36a721-ad01-4c78-9fb3-01067c1680eb,53.64968,-131.38035,13.07437,5.19004,-3.52668,-11.26265,-2.08532,9.33022,-8.0913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,13:01:20.06,2,5,"Gleason, Joseph",10276451,Right,SHE_UNI,"Wescott, Lextyn",1000484842,Right,POT_STA,Undefined,1,Top,1,2,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.72066,1.067959,-0.710389,2383.288278,74.796914,8:30,5.27724,1.98799,5.86847,-52.07727,-4.25189,-21.36509,1.92971,-0.45237,70.24647,-8.492486,-4.546784,0.497738,65.90455,67.966271,58.680316,4577.462274,,,,,32.44014,,,10.77217,-2.09213,-1.91775,50,5.33337,2.15139,-111.4597,0.45823,13.41393,21.92869,-34.77923,SHE_UNI,POT_STA,BridgeforthField,D3,Team,20260328-BridgeforthField-1,be70ad70-2ac7-11f1-9082-2b8374d6d50e,75.72749,66.64554,,6.47419,,,,2.04867,2.02368,0.40237,241df75e-1736-449c-b04f-097593dec7b8,2026-03-28,17:01:20.06,2026-03-28T13:01:20.0684544-04:00,2026-03-28T17:01:20.0684544Z,,v3,643-145787,643-147525,ekcklnytf5ixfmgj,"Reynolds, Dean",10324769,Right,SHE_UNI,3345e4fd-a3a2-4b76-80f4-cdfd8e50d69d,54.63534,-112.36796,10.96434,5.28456,1.89875,-17.38962,-1.99535,1.5958,6.70696,,2.04866,18.85113,-8.15097,2.747,-1.90808,2.83136,-2.72555,1.31905,-0.2426,2.02368,89.60013,-25.14662,2.69784,-0.4982,0.03181,0.0812,-0.07478,0.02322,0.40237,30.97731,-0.16293,-0.59744,0.81327,-1.3535,1.33435,-0.66013,0.12552,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
