PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,14:01:18.52,1,1,"Henderson, Christian",1000370202,Right,CAR_EAG,"Groppuso, Gavin",1000210567,Left,WIN_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.07685,-1.491887,-2.446419,2024.348512,248.465365,2:15,5.78793,0.87153,5.71737,-26.75722,7.67209,16.8808,2.16679,-0.00212,83.09845,-6.426811,0.573947,0.422314,,,,,,,,,,,,-9.21056,4.60272,-0.67739,50,5.64641,4.85823,-130.82911,-4.36322,-16.09041,25.55045,-24.13331,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,1ea92cd0-2f87-11f1-b59f-fb0b577701d2,89.25213,,,6.97841,,,,,,,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:01:18.52,2026-04-03T14:01:18.5240576-04:00,2026-04-03T18:01:18.5240576Z,,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,6503fa50-7acc-47eb-a33b-741d4c2d6043,54.78518,-131.76033,12.77522,5.78941,-3.48365,-12.06665,-0.86513,5.44466,-8.04521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,14:01:31.17,1,2,"Henderson, Christian",1000370202,Right,CAR_EAG,"Groppuso, Gavin",1000210567,Left,WIN_BUL,Undefined,1,Top,0,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.88148,1.735132,-1.02327,2437.522432,55.857075,7:45,5.78157,0.85809,5.13586,-58.27436,-5.60004,-10.64599,2.56013,-0.99281,68.04272,-8.801387,-2.90902,0.522361,94.85764,23.76887,44.036367,3431.759365,74.44874,43.8771,80.97699,351.00322,142.52218,59.202122,4.445518,5.1065,-3.00106,-0.7532,50,5.89831,2.30658,-107.24931,1.32741,5.93781,18.8368,-35.6637,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,26336970-2f87-11f1-b59f-fb0b577701d2,72.15782,58.75874,,5.83876,,,,3.9424,3.35875,0.8268,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:01:31.17,2026-04-03T14:01:31.1718400-04:00,2026-04-03T18:01:31.1718400Z,FlyBall,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,61e99d9f-5916-4714-88ce-38435e99c2ce,55.36922,-108.18823,9.4184,5.78784,3.10506,-17.83185,-0.86079,2.01061,2.9689,,3.94242,91.53746,-23.92207,5.7843,-1.34577,0.2845,-0.05288,0.0067,-0.00037,3.35928,56.05622,-15.0018,0.10914,0.34012,-0.16681,0.04802,-0.007,0.0004,0.82665,88.50798,-6.13578,0.05695,0.15401,-0.02604,-0.00313,0.00155,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-03,14:01:49.02,1,3,"Henderson, Christian",1000370202,Right,CAR_EAG,"Groppuso, Gavin",1000210567,Left,WIN_BUL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.01356,-0.392516,-0.33137,1766.786214,244.765928,2:15,5.50029,1.0176,5.91585,-39.19746,9.79859,17.048,1.86952,2.13072,68.89537,-7.690634,2.733206,0.503793,,,,,,,,,,,,-8.75563,5.7004,-1.00026,50,5.447,0.00316,-110.26867,-1.89636,-10.60748,22.54078,-25.26802,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,30e4fdc0-2f87-11f1-b59f-fb0b577701d2,74.81733,,,7.11818,,,,,,,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:01:49.02,2026-04-03T14:01:49.0242048-04:00,2026-04-03T18:01:49.0242048Z,,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,c9d7b4ff-1d1e-4b7f-b6de-0182dae97688,54.58163,-111.2013,11.27039,5.50384,-0.8509,-12.63401,-1.00947,0.44204,-5.30374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,14:02:03.59,1,4,"Henderson, Christian",1000370202,Right,CAR_EAG,"Groppuso, Gavin",1000210567,Left,WIN_BUL,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.26935,1.511393,0.105988,2490.030985,44.765626,7:30,5.79262,0.69257,5.24432,-61.6707,-11.21418,-12.64182,2.07417,-0.26131,69.49646,-9.626184,-2.141693,0.511246,81.65061,-28.050808,59.543467,,,,,6.88165,6.88165,36.071269,0.042257,6.41847,-5.71685,-0.69228,50,5.88467,0.27138,-109.35175,0.80367,7.76495,19.44109,-39.09021,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,39945970-2f87-11f1-b59f-fb0b577701d2,73.72659,2.38566,,5.77289,,,,3.29291,2.38566,0.19244,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:02:03.59,2026-04-03T14:02:03.5980288-04:00,2026-04-03T18:02:03.5980288Z,GroundBall,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,ff5ff7bf-306d-4784-9ece-9e1374fab8a4,55.26178,-110.28325,9.72054,5.80129,2.67663,-19.54511,-0.69637,-0.10067,3.88248,,3.29199,53.70575,,,,,,,,2.38663,-56.45659,,,,,,,,0.19088,91.33264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-04-03,14:02:23.61,1,5,"Henderson, Christian",1000370202,Right,CAR_EAG,"Groppuso, Gavin",1000210567,Left,WIN_BUL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.21094,-1.620379,-1.528616,2173.910101,219.224805,1:15,5.93765,0.58486,5.05302,-19.45796,15.41028,11.61875,2.78692,0.11101,82.89778,-5.24434,0.524415,0.424997,85.45793,-77.980596,-84.147334,,,,,2.1188,2.1188,-19.483098,0.023056,-6.2437,8.47595,-0.44911,50,5.7684,2.97775,-132.19431,-4.44759,-10.9871,29.64574,-17.2589,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,45708b10-2f87-11f1-b59f-fb0b577701d2,88.68863,2.8344,,8.31317,,,,1.93594,2.8344,-0.10635,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:02:23.61,2026-04-03T14:02:23.6148224-04:00,2026-04-03T18:02:23.6148224Z,GroundBall,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,7372c947-f018-4fc1-9046-b825d40fa37f,55.44741,-133.41035,14.82287,5.93631,-3.73964,-8.62945,-0.5805,3.42843,-5.49355,,1.93591,2.669,,,,,,,,2.83568,-122.93494,,,,,,,,-0.10608,-26.03771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-03,14:02:57.65,2,1,"Henderson, Christian",1000370202,Right,CAR_EAG,"Powell, Bowen",10292969,Left,WIN_BUL,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.75703,-0.114973,-2.472696,2469.810429,69.3768,8:15,5.70616,0.91974,4.74694,-48.45861,-0.4161,-4.86366,1.5588,-1.83238,72.00539,-8.800018,-3.327389,0.498866,,,,,,,,,,,,1.73815,0.27886,-0.66642,50,5.65169,5.07356,-112.77557,-2.01185,2.25126,19.41365,-31.81288,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,59c725b0-2f87-11f1-b59f-fb0b577701d2,75.55619,,,5.75164,,,,,,,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:02:57.65,2026-04-03T14:02:57.6567296-04:00,2026-04-03T18:02:57.6567296Z,,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,520695cf-c860-4d54-a315-2a1220cd87f5,55.75487,-113.76192,9.70682,5.71285,-0.39552,-15.90644,-0.92129,4.95918,1.12563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,14:03:13.58,2,2,"Henderson, Christian",1000370202,Right,CAR_EAG,"Powell, Bowen",10292969,Left,WIN_BUL,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,1,0,,90.56797,-1.670618,-1.411049,2020.216229,224.712913,1:30,5.96276,0.58946,5.52095,-21.32324,13.30438,12.05666,2.62289,0.27459,82.66393,-5.646143,0.738749,0.423529,101.95689,8.47746,-11.790442,1689.288908,106.33565,9.30387,-28.15326,186.8312,186.8312,-16.876736,1.464194,-6.51548,7.53548,-0.475,50,5.80319,2.70078,-131.4139,-4.57149,-11.36459,28.51536,-19.03032,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,63373950-2f87-11f1-b59f-fb0b577701d2,88.99619,9.62703,,7.90404,,,,0.90586,2.50826,-0.32288,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:03:13.58,2026-04-03T14:03:13.5800832-04:00,2026-04-03T18:03:13.5800832Z,LineDrive,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,15ef94df-f768-42d2-87a0-d37aac380c12,54.98001,-132.4901,14.25768,5.96217,-3.85327,-9.51516,-0.58503,3.12969,-5.6823,95.888396,1.18125,142.17641,-14.37226,,,,,,,2.64528,20.76018,-15.47028,,,,,,,-0.15052,-31.87881,-3.52579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-03,14:03:51.67,3,1,"Henderson, Christian",1000370202,Right,CAR_EAG,"McCammon, Tanner",824568,Right,WIN_BUL,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.42076,1.646829,-1.077315,2490.436234,66.079212,8:15,5.6266,0.85759,4.74886,-47.73975,-1.60189,-6.76532,3.21096,-0.7281,72.98343,-6.95345,-2.26616,0.488878,,,,,,,,,,,,3.02162,-0.78941,-0.74299,50,5.74995,2.45776,-115.19549,1.5111,4.07177,20.82948,-33.23783,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,79fe5ec0-2f87-11f1-b59f-fb0b577701d2,77.09997,,,6.43733,,,,,,,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:03:51.67,2026-04-03T14:03:51.6703744-04:00,2026-04-03T18:03:51.6703744Z,,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,96768b3e-c28b-4a94-a97e-4112c160aa3a,55.75281,-116.23105,10.41474,5.63375,3.16355,-16.61892,-0.86015,2.25533,2.03588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,14:04:06.48,3,2,"Henderson, Christian",1000370202,Right,CAR_EAG,"McCammon, Tanner",824568,Right,WIN_BUL,Undefined,1,Top,2,1,0,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,78.21248,0.758054,-0.375637,2456.772666,65.382133,8:15,5.64377,0.76639,4.50386,-50.0677,-2.17886,-7.87847,2.19375,-0.24804,72.18691,-8.197936,-1.755923,0.498068,89.19914,58.078009,7.335507,,,,,,72.14251,,,3.76851,-0.90917,-0.71893,50,5.67488,1.0777,-113.50283,-0.39941,4.93604,19.98702,-33.36491,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,82ca6a30-2f87-11f1-b59f-fb0b577701d2,75.67731,119.96751,,6.02557,,,,1.24289,2.57133,0.48359,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:04:06.48,2026-04-03T14:04:06.4873472-04:00,2026-04-03T18:04:06.4873472Z,,v3,643-144590,643-146250,,"Cochran, Carson",10085797,Right,CAR_EAG,1a40e1fc-a7e6-48fe-8567-8a69f0f57ea4,55.99962,-114.55445,9.99351,5.64971,1.35609,-16.68245,-0.7688,0.818,2.46802,179.543863,1.24293,68.60331,-21.98125,6.09752,-0.7396,-0.22319,0.08551,0.01847,-0.00943,2.57131,111.04411,-25.13098,2.51423,-0.7966,0.44937,-0.16485,0.02174,0.0012,0.4836,8.83139,-3.04095,0.85614,-0.1018,-0.03442,0.01325,0.00247,-0.00135,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2026-04-03,14:06:45.69,1,1,"Harvey, Chad",10034770,Right,WIN_BUL,"Evans, Colton",1000531511,Right,CAR_EAG,Undefined,1,Bottom,0,0,0,Fastball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,90.13485,-0.756826,-2.245364,2396.719241,206.330529,1:00,5.59885,1.39477,5.08444,-28.45813,6.84185,2.86201,2.51336,-0.48432,82.89345,-5.946863,-1.739608,0.427621,67.03507,-9.490483,10.60498,,,,,15.79402,15.58404,10.390301,0.136859,-2.02835,3.89803,-1.18449,50,5.50473,4.99764,-130.79535,-2.84359,-3.53167,26.26665,-25.38692,CAR_EAG,WIN_BUL,CarsonNewman,D2,Team,20260403-CarsonNewman-1,e1b80520-2f87-11f1-b59f-fb0b577701d2,88.14457,2.60361,,7.2414,,,,2.76678,2.60361,0.3836,94e65e37-c043-4f23-af4f-36d94bb87920,2026-04-03,18:06:45.69,2026-04-03T14:06:45.6915968-04:00,2026-04-03T18:06:45.6915968Z,GroundBall,v3,643-144590,643-146250,,"Hart, Bradley",1000210561,Right,WIN_BUL,2673a91c-5f01-426f-bc15-5584536bec8d,55.41793,-131.87891,13.13332,5.60043,-1.79633,-12.69346,-1.39366,5.14333,-1.76583,331.12703,2.76694,95.30117,-14.67718,,,,,,,2.60393,-16.24264,-20.35737,,,,,,,0.38352,17.85385,1.15209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
