PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,16:03:50.20,1,1,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Robinette, Bryce",10264925,Right,AZU_PAC,Undefined,1,Top,0,0,0,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,80.57166,-0.215463,1.337942,1819.649202,,,6.39712,-2.42391,4.69867,,,,3.47198,-1.07475,73.2564,-6.183296,1.503888,0.484611,,,,,,,,,,,,-0.06366,6.74367,2.28735,50,6.34679,-2.76755,-116.67398,-1.61682,-0.08726,23.13634,-22.93202,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,8bfec8f0-307a-11f1-9380-bf4988d074e1,77.77869,,,7.31526,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:03:50.20,2026-04-04T16:03:50.2041600-07:00,2026-04-04T23:03:50.2041600Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,66897a28-ec4c-45b8-894c-25b3bea4c5d4,55.79688,-117.81789,11.56817,6.3987,-0.48302,-11.46601,2.42407,-2.76323,-0.04363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2026-04-04,16:04:07.93,1,2,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Robinette, Bryce",10264925,Right,AZU_PAC,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.96784,-2.396185,4.067666,1953.765156,135.175378,10:30,6.33478,-2.41581,5.0457,-20.3071,20.2219,-18.65001,2.37522,-0.12657,76.90768,-6.205628,0.782323,0.458199,,,,,,,,,,,,10.52379,11.18512,2.04323,50,6.09033,-7.905,-122.78422,-5.8104,15.92172,26.34374,-15.25175,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,95f2d9a0-307a-11f1-9380-bf4988d074e1,82.26213,,,8.06017,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:04:07.93,2026-04-04T16:04:07.9397888-07:00,2026-04-04T23:04:07.9397888Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,43f01359-c454-4330-a5ee-4b461900cce1,55.45418,-123.94891,13.17187,6.33231,-5.1361,-7.62588,2.40828,-8.60892,7.96086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,16:04:30.03,1,3,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Robinette, Bryce",10264925,Right,AZU_PAC,Undefined,1,Top,0,1,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.83783,0.804445,1.311111,1212.202128,121.39143,10:00,6.14637,-2.5708,4.63052,-40.08561,10.74737,-14.3467,3.57079,-2.5199,68.72249,-6.541013,-1.204882,0.51315,,,,,,,,,,,,7.33079,5.57689,2.44992,50,6.19348,-1.90585,-111.01579,0.14981,8.94016,24.09755,-25.37281,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,a332b9f0-307a-11f1-9380-bf4988d074e1,73.45309,,,8.11533,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:04:30.03,2026-04-04T16:04:30.0354560-07:00,2026-04-04T23:04:30.0354560Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,231bace3-78e7-4c91-8283-a331378d95ce,55.86207,-112.28102,12.04877,6.15064,1.482,-12.6864,2.56231,-2.37525,4.47008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-04,16:04:50.40,1,4,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Robinette, Bryce",10264925,Right,AZU_PAC,Undefined,1,Top,0,2,1,Slider,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,82.43718,-2.415309,2.660688,1946.596055,177.754908,12:00,6.15606,-2.6238,4.71651,-31.2436,11.84701,-0.41035,1.25641,-0.13113,75.75294,-8.071854,2.58867,0.472457,50.60684,-30.123539,-9.915868,,,,,3.77042,1.5971,-3.657254,0.034218,0.93539,6.88402,2.35504,50,5.88407,-5.52766,-119.33617,-6.19414,1.35015,22.76797,-22.23775,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,af49d1b0-307a-11f1-9380-bf4988d074e1,79.77954,1.2792,,6.68424,,,,1.59103,1.2792,0.13914,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:04:50.40,2026-04-04T16:04:50.4039936-07:00,2026-04-04T23:04:50.4039936Z,GroundBall,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,8778cd41-282d-4438-ac8f-285ef1aca198,55.7834,-120.43452,11.38399,6.15701,-5.12137,-11.11888,2.62328,-5.5928,0.67508,,1.58977,63.46758,,,,,,,,1.27993,-37.38417,,,,,,,,0.13936,-11.09498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-04-04,16:05:25.62,2,1,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Hagerty, Blake",1000217871,Right,AZU_PAC,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.90767,-2.409706,3.603905,1787.432172,141.903404,10:45,6.30418,-2.43231,5.10143,-19.87851,19.85816,-14.40603,2.37111,-0.23234,77.4015,-6.152611,1.062098,0.453698,,,,,,,,,,,,8.26091,11.03516,2.1035,50,6.06149,-7.15804,-124.10426,-5.86873,12.70749,28.00726,-15.19902,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,c43e0be0-307a-11f1-9380-bf4988d074e1,83.07821,,,8.50617,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:05:25.62,2026-04-04T16:05:25.6206336-07:00,2026-04-04T23:05:25.6206336Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,d8ab6240-7d28-4c4c-b814-a2f994e3af08,55.39546,-125.31596,14.00363,6.30116,-5.21116,-7.59951,2.42508,-7.70781,6.35375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,16:05:41.42,2,2,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Hagerty, Blake",1000217871,Right,AZU_PAC,Undefined,1,Top,1,0,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.60899,0.19875,1.854608,1372.077751,124.249795,10:15,6.14006,-2.57009,4.62826,-37.05722,12.99379,-16.09107,3.24099,-2.14747,69.13158,-6.619937,-0.966791,0.509188,,,,,,,,,,,,8.39304,6.85973,2.39512,50,6.1279,-2.91107,-112.05851,-0.90152,10.38365,25.34835,-23.68737,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,cdb57280-307a-11f1-9380-bf4988d074e1,74.02464,,,8.47741,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:05:41.42,2026-04-04T16:05:41.4233600-07:00,2026-04-04T23:05:41.4233600Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,e881ab50-f20c-4c6a-955f-8c0825afac76,55.8641,-113.37725,12.67417,6.14275,0.3308,-11.84368,2.56062,-3.45127,5.19183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,16:05:59.23,2,3,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Hagerty, Blake",1000217871,Right,AZU_PAC,Undefined,1,Top,1,1,1,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,72.87954,-0.073305,4.560416,2214.494861,336.129291,5:15,6.26137,-2.53683,4.62898,-67.74181,-10.83233,5.75591,0.54633,2.28692,66.12215,-12.142171,5.56797,0.542955,,,,,,,,,,,,-1.20504,-4.88374,2.06216,50,6.19105,-8.60951,-105.13935,-2.49161,-1.31063,22.53548,-37.4857,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,d85309a0-307a-11f1-9380-bf4988d074e1,69.42094,,,6.7574,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:05:59.23,2026-04-04T16:05:59.2311296-07:00,2026-04-04T23:05:59.2311296Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,02b7ee78-8286-42c9-9475-a408fa5851ee,55.87332,-106.39078,11.26774,6.27161,-0.40997,-18.74285,2.53824,-8.53673,-0.65531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,16:07:15.49,3,1,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Preece, Tyler",1000074626,Right,AZU_PAC,Undefined,1,Top,1,0,0,Slider,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,81.85269,-1.634452,1.500384,1983.262335,179.811944,12:00,6.25563,-2.53801,4.68293,-34.24053,10.09052,-0.0278,1.84921,-1.11522,74.08608,-7.867814,1.4955,0.47921,,,,,,,,,,,,0.49118,5.95024,2.38545,50,6.05932,-3.09922,-118.37269,-4.65219,0.68726,25.51838,-23.84844,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,05bdee00-307b-11f1-9380-bf4988d074e1,78.65545,,,7.76661,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:07:15.49,2026-04-04T16:07:15.4907136-07:00,2026-04-04T23:07:15.4907136Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,c0ce2d00-6c88-4654-8d80-83dd799ea940,55.81222,-119.61911,12.75919,6.25811,-3.48734,-11.92422,2.53765,-3.13279,0.34363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,16:07:33.36,3,2,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Preece, Tyler",1000074626,Right,AZU_PAC,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.91192,-0.689862,4.113537,1296.215417,101.092361,9:15,6.14866,-2.46775,4.60602,-46.67018,5.80823,-18.72316,1.60172,-0.1095,67.97671,-9.156724,0.835998,0.521389,,,,,,,,,,,,10.53138,3.70969,2.06166,50,6.03518,-7.07035,-109.45142,-2.9809,12.43806,24.06861,-27.79275,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,106fd070-307b-11f1-9380-bf4988d074e1,72.29236,,,7.93521,,,,,,,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:07:33.36,2026-04-04T16:07:33.3692416-07:00,2026-04-04T23:07:33.3692416Z,,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,2fd5be11-98bd-43db-b3f9-16afd068e501,55.89005,-110.73908,12.0343,6.15488,-1.494,-13.89638,2.45772,-7.73579,6.21903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,16:08:08.85,3,3,"Knapp, Oscar",1000162863,Left,BIO_UNI,"Preece, Tyler",1000074626,Right,AZU_PAC,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,75.78365,-0.260296,4.176,1152.997204,102.05924,9:30,6.10796,-2.52003,4.55725,-46.37786,6.52355,-20.22064,1.99472,-0.2233,67.58267,-8.690866,0.641057,0.523486,101.55904,2.211607,-24.552794,2710.788807,,,,69.28726,67.21774,-24.637848,0.482336,11.44308,3.82977,2.10617,50,6.03808,-7.1297,-109.24678,-2.13154,13.41175,24.65794,-27.68543,BIO_UNI,AZU_PAC,BiolaUniversity,D2,Team,20260404-BiolaUniversity-2,25952cc0-307b-11f1-9380-bf4988d074e1,72.00277,2.65476,,8.20098,,,,2.99618,2.29711,0.22467,a95274ce-29e0-4d70-bd5b-56c6f0cc370b,2026-04-04,23:08:08.85,2026-04-04T16:08:08.8566272-07:00,2026-04-04T23:08:08.8566272Z,GroundBall,v3,643-144498,643-144444,,"Whippo, Nicholas",1000391452,Right,BIO_UNI,c9d97fd1-7eb7-4b28-8004-9a1e7b97542c,55.94081,-110.57954,12.32897,6.11285,-0.63514,-13.84272,2.51113,-7.85461,6.70587,,3.01661,134.81405,-21.84461,,,,,,,2.31356,5.28877,-20.97578,,,,,,,0.22639,-61.8982,3.1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
