PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:03:05.15,1,1,"Koehler, Evan",816226,Right,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.42098,-0.469718,-4.378348,2187.08175,213.36305,1:00,5.49357,3.26997,6.05165,-16.71607,20.36163,12.5017,3.66445,0.25067,78.44158,-3.71242,-2.138131,0.438256,,,,,,,,,,,,-7.80725,10.98768,-2.93507,50,5.44791,9.15651,-126.45927,-1.46056,-12.4362,29.71695,-14.6717,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,0d4234d0-3529-11f1-b0e3-8733efccfb7f,86.00554,,,8.9794,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:03:05.15,2026-04-10T18:03:05.1540000-04:00,2026-04-10T22:03:05.1540000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,fe1e4475-400a-405c-a56e-f53eb323edf2,54.44595,-127.49975,14.85847,5.49005,-0.94686,-7.33585,-3.26328,9.59194,-6.2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,18:03:20.95,1,2,"Koehler, Evan",816226,Right,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.40222,-0.888482,-3.763605,2193.580996,217.415046,1:15,5.39265,3.28499,5.9129,-19.27068,18.07532,12.74245,2.96026,0.8486,78.30938,-4.584951,-1.482655,0.439839,,,,,,,,,,,,-7.7493,9.93654,-2.98979,50,5.31043,7.77687,-126.45846,-2.50757,-12.30604,30.43798,-16.39462,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,16aa5930-3529-11f1-b0e3-8733efccfb7f,85.69604,,,9.09284,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:03:20.95,2026-04-10T18:03:20.9580000-04:00,2026-04-10T22:03:20.9580000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,1913c0b6-053e-49bc-b296-b7dbc759afd2,54.58484,-127.55724,15.21899,5.39027,-1.91574,-8.19731,-3.27854,8.22111,-6.15302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:03:37.76,1,3,"Koehler, Evan",816226,Right,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,1,1,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.99457,1.743571,-2.18486,1301.759862,331.247106,5:00,5.46421,3.30558,5.49447,-54.84924,-8.34863,5.54437,2.52618,1.72276,71.02366,-8.294545,-1.19671,0.490796,,,,,,,,,,,,-3.60811,-4.53122,-3.11831,50,5.5792,4.15136,-114.4033,1.63009,-4.66345,25.97582,-38.03064,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,20b01d20-3529-11f1-b0e3-8733efccfb7f,76.79863,,,7.97092,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:03:37.76,2026-04-10T18:03:37.7600000-04:00,2026-04-10T22:03:37.7600000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,d1c1abbb-1048-47bb-a3e3-db0648796b19,55.00861,-115.53494,12.98791,5.47209,3.28689,-19.01532,-3.30359,4.35452,-2.33173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:03:56.22,1,4,"Koehler, Evan",816226,Right,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.3685,-0.251023,-4.308046,2154.556554,208.143474,1:00,5.37182,3.28648,6.00015,-17.70627,20.62159,10.22886,3.66303,0.13935,76.98334,-3.690865,-2.477034,0.445583,,,,,,,,,,,,-6.79567,11.11721,-2.95255,50,5.34263,8.99212,-124.87781,-1.00506,-10.46529,30.95178,-15.05364,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,2ba941c0-3529-11f1-b0e3-8733efccfb7f,84.59124,,,9.38515,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:03:56.22,2026-04-10T18:03:56.2280000-04:00,2026-04-10T22:03:56.2280000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,a4c5c1b5-532d-4868-a18d-7efa0f43e7fd,54.49864,-125.9879,15.47589,5.36899,-0.46516,-7.52682,-3.28178,9.36746,-5.23264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,18:04:18.84,1,5,"Koehler, Evan",816226,Right,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,2,2,OneSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.27243,-3.135237,-3.967721,2231.405974,224.837076,1:30,5.54739,3.10639,5.74962,-19.28765,16.82926,15.35009,1.01122,0.68566,80.17782,-6.798266,-1.227423,0.43254,,,,,,,,,,,,-9.10745,9.99709,-2.78571,50,5.2746,8.26852,-128.9428,-7.6656,-15.04419,31.52284,-15.66025,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,392c1e80-3529-11f1-b0e3-8733efccfb7f,87.142,,,9.09461,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:04:18.84,2026-04-10T18:04:18.8440000-04:00,2026-04-10T22:04:18.8440000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,571741db-84f8-450e-b03a-0138045258f7,54.74891,-130.0986,15.76142,5.54514,-7.09141,-7.83012,-3.09899,8.82012,-7.5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:04:40.66,1,6,"Koehler, Evan",816226,Right,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,89.16996,-1.120954,-4.412255,2267.525083,219.34289,1:15,5.42186,3.21185,6.18055,-17.80725,17.71371,13.42434,2.89952,0.24781,79.97184,-4.557369,-2.000238,0.428957,90.14439,4.480183,-37.791439,2695.874724,,,,79.04813,79.04813,-38.396649,0.642875,-8.4589,9.93119,-2.88471,50,5.328,9.41009,-129.02297,-3.01463,-13.98722,31.61598,-15.75234,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,46224ba0-3529-11f1-b0e3-8733efccfb7f,87.86992,4.06741,,9.19812,,,,2.65492,2.98385,-0.23507,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:04:40.66,2026-04-10T18:04:40.6630000-04:00,2026-04-10T22:04:40.6630000Z,GroundBall,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,7975e59f-3b23-49e4-b13c-01993553afdf,54.31966,-130.07716,15.80799,5.41976,-2.48939,-7.87617,-3.20625,9.87648,-6.99361,49.300019,2.65492,104.16048,-20.96319,4.32165,-0.99435,0.2177,-0.05375,0.01484,-0.00312,2.98385,10.32761,-25.2981,3.60865,-0.85881,0.211,-0.05053,0.01192,-0.00191,-0.23507,-80.77023,7.4937,-0.03866,-0.18321,0.08505,-0.02475,0.00547,-0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-10,18:05:35.64,2,1,"Koehler, Evan",816226,Right,GEO_SOU,"Hunerberg, Anthony",1000218533,Right,FLA_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,85.41604,-1.165369,-3.890505,2305.177895,219.452367,1:15,5.47222,3.18274,5.88706,-20.02962,19.27123,14.58757,2.71827,0.78004,76.28105,-5.015112,-1.280713,0.451203,52.86768,-78.146283,-1.627325,,,,,1.78966,1.78966,-26.11509,0.035141,-8.79016,10.68237,-2.87681,50,5.36675,7.7941,-123.51256,-3.06714,-13.26245,29.94145,-16.05664,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,66ed1220-3529-11f1-b0e3-8733efccfb7f,83.53758,2.68541,,9.13499,,,,1.04354,2.68541,-0.77176,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:05:35.64,2026-04-10T18:05:35.6410000-04:00,2026-04-10T22:05:35.6410000Z,GroundBall,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,84fad9e5-a4d4-4253-be87-dabc469db759,54.61076,-124.62527,14.97073,5.46965,-2.47043,-8.02832,-3.17562,8.28697,-6.63122,,1.04291,16.03275,,,,,,,,2.68842,-76.41743,,,,,,,,-0.77174,-0.45549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2026-04-10,18:06:13.02,3,1,"Koehler, Evan",816226,Right,GEO_SOU,"Gilson, George",1000127230,Right,FLA_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.91178,2.677175,-3.117704,1631.731633,26.574502,7:00,5.48947,3.14176,5.16466,-48.89294,-1.20862,-1.37551,3.94044,0.08979,71.00456,-6.216328,-3.36046,0.497003,,,,,,,,,,,,-0.22032,-0.90567,-2.84955,50,5.70232,6.19803,-112.76605,3.57357,-0.28257,21.27518,-33.33554,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,7d412a70-3529-11f1-b0e3-8733efccfb7f,75.83943,,,6.90722,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:06:13.02,2026-04-10T18:06:13.0270000-04:00,2026-04-10T22:06:13.0270000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,1ce959ad-d4bb-4c8d-83b2-2fb56ec6fe07,55.33653,-113.76842,10.63759,5.49695,5.14415,-16.66777,-3.14188,6.21134,-0.14128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,18:06:33.09,3,2,"Koehler, Evan",816226,Right,GEO_SOU,"Gilson, George",1000127230,Right,FLA_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.80538,-1.330691,-4.655062,2330.274625,217.728141,1:15,5.42591,3.13566,5.81492,-20.58765,16.9341,12.12855,2.46859,-0.19178,78.97381,-5.217476,-2.492091,0.440873,,,,,,,,,,,,-7.53544,9.39772,-2.76075,50,5.30439,9.72549,-125.62822,-3.5477,-12.0005,26.28272,-17.20781,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,892b8ce0-3529-11f1-b0e3-8733efccfb7f,85.49509,,,7.83157,,,,,,,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:06:33.09,2026-04-10T18:06:33.0910000-04:00,2026-04-10T22:06:33.0910000Z,,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,1fffb4fa-6b0a-4cfe-8b60-97086bdc5939,54.68573,-126.60473,13.14136,5.42433,-2.90836,-8.6039,-3.13037,10.17135,-6.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:06:52.86,3,3,"Koehler, Evan",816226,Right,GEO_SOU,"Gilson, George",1000127230,Right,FLA_COL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,1,,89.11,-1.069647,-3.249132,2394.009575,218.850175,1:15,5.45038,3.14844,6.04436,-18.1934,17.35836,12.93721,2.94221,1.21506,80.21625,-4.561018,-0.925357,0.429143,96.53517,21.771592,-33.91064,1582.138651,88.73772,33.4926,-65.0045,263.51846,147.15758,-40.579318,2.895318,-7.82965,9.69835,-2.90236,50,5.35735,6.81186,-129.14593,-2.93622,-13.00461,31.04719,-16.0656,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260410-SusanKSmithBaseballComplex-1,94ebd210-3529-11f1-b0e3-8733efccfb7f,87.83193,36.04169,,8.89375,,,,2.10444,3.01641,-1.2511,2d832a9e-40c9-4a35-813a-670c2c851a48,2026-04-10,22:06:52.86,2026-04-10T18:06:52.8630000-04:00,2026-04-10T22:06:52.8630000Z,LineDrive,v3,643-144953,643-144885,8605,"Hogue, Samuel",10056609,Right,GEO_SOU,8892dc4d-6f51-4ea1-93c7-582ff4967e1c,54.45766,-130.21316,15.52359,5.44879,-2.38398,-8.0328,-3.1442,7.25888,-6.50231,,2.10423,109.12898,-24.06147,5.89718,-1.5148,0.38161,-0.06704,0.00515,3E-05,3.01686,52.49783,-24.24462,3.31282,-0.67212,0.15384,-0.06489,0.01875,-0.00202,-1.25103,-73.35842,8.81468,-2.20577,0.56398,-0.15004,0.03014,-0.00326,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
