PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:04:20.69,1,1,"Kuskie, Darin",1000255785,Right,OLD_MON,"Edwards, Bennett",838125,Left,GEO_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.37514,-1.916742,-2.995191,2170.725895,220.91654,1:15,6.56209,1.1565,5.72478,-16.88788,16.83686,13.4619,3.36621,-0.51425,82.64957,-5.152251,-0.590386,0.417971,85.78067,15.903417,16.694137,6667.218706,105.62885,18.64685,30.7009,195.53722,194.9588,15.635889,2.035121,-7.88245,9.58689,-0.91455,50,6.39162,6.38449,-133.65386,-4.99623,-13.94534,34.69803,-15.21323,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,631d1390-3aa9-11f1-b436-59ad01c82def,90.17964,18.77394,,9.72557,,,,1.12056,3.31799,0.53984,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:04:20.69,2026-04-17T18:04:20.6977024-04:00,2026-04-17T22:04:20.6977024Z,LineDrive,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,3ab38d7f-ee71-40d3-aa64-3c5497872825,54.77743,-134.88843,17.34901,6.55976,-4.45494,-7.60661,-1.15054,6.88067,-6.97267,86.58036,1.12056,115.89623,-15.98024,3.01267,-0.65077,0.13323,-0.02614,0.00391,-0.00029,3.31799,34.4744,-20.92439,2.23489,-0.48564,0.10628,-0.01953,0.00294,-0.00024,0.53984,34.7576,-6.17141,1.20523,-0.26216,0.05386,-0.01054,0.00157,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-17,18:05:00.66,2,1,"Kuskie, Darin",1000255785,Right,OLD_MON,"McCoy, James",701294,Left,GEO_EAG,Undefined,1,Top,0,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.88836,-1.331992,-1.599101,2187.448185,203.830001,12:45,6.61415,1.02209,5.48141,-19.27572,16.61552,6.72788,3.76072,0.086,80.43594,-4.992321,-0.401211,0.431187,,,,,,,,,,,,-3.89898,9.1906,-0.88623,50,6.48451,3.31806,-130.09373,-3.64068,-6.53979,32.70642,-16.75862,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,7af81a00-3aa9-11f1-b436-59ad01c82def,87.41556,,,9.45242,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:05:00.66,2026-04-17T18:05:00.6637056-04:00,2026-04-17T22:05:00.6637056Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,bfa69209-535d-4800-bdd1-f7719c50d80c,55.01746,-131.3491,16.35321,6.61191,-2.99743,-8.37931,-1.0184,3.56908,-3.2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,18:05:22.18,2,2,"Kuskie, Darin",1000255785,Right,OLD_MON,"McCoy, James",701294,Left,GEO_EAG,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.161,-0.925897,-1.629142,2289.043002,13.758298,6:30,6.53465,0.77933,4.92555,-46.58904,-0.74004,-0.58823,1.77641,-0.81038,72.73186,-9.351637,-1.733038,0.487345,,,,,,,,,,,,-0.24339,0.35449,-0.6199,50,6.40547,3.32572,-116.06168,-3.58458,-0.32617,25.26569,-31.699,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,87d1e580-3aa9-11f1-b436-59ad01c82def,77.34245,,,7.42914,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:05:22.18,2026-04-17T18:05:22.1847552-04:00,2026-04-17T22:05:22.1847552Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,e1146bd3-6a23-4c2a-b260-06e061766451,55.5786,-117.26981,12.63284,6.54063,-2.06883,-15.8495,-0.7793,3.34132,-0.16308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,18:05:44.81,2,3,"Kuskie, Darin",1000255785,Right,OLD_MON,"McCoy, James",701294,Left,GEO_EAG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.69035,-2.320916,-1.844719,2190.901277,220.290758,1:15,6.70524,0.69526,5.5244,-15.9165,18.62131,14.63221,3.2065,0.18921,81.90294,-5.378193,0.762652,0.422979,73.33027,42.461079,-132.790919,3705.831466,,,,,29.14664,,,-8.02595,10.5854,-0.54475,50,6.49294,3.59562,-132.6515,-5.85921,-13.95605,34.75086,-13.76743,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,9545f530-3aa9-11f1-b436-59ad01c82def,89.11186,26.43448,,9.7874,,,,0.70345,3.2991,-0.1199,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:05:44.81,2026-04-17T18:05:44.8135168-04:00,2026-04-17T22:05:44.8135168Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,587c148b-19ae-44ff-adb6-8281d99752cf,54.97707,-133.949,17.37543,6.70211,-5.34517,-6.88372,-0.68873,4.1167,-6.97803,,0.71321,-54.24273,-0.78729,,,,,,,3.31927,71.91158,-32.95049,,,,,,,-0.13209,-57.80654,14.19255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-17,18:06:09.65,2,4,"Kuskie, Darin",1000255785,Right,OLD_MON,"McCoy, James",701294,Left,GEO_EAG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.06041,-1.690646,-2.150737,1146.67166,238.339975,2:00,6.5136,1.09377,5.15344,-36.229,6.74146,8.06996,1.90124,-0.25955,74.13201,-8.353577,-0.720773,0.471798,84.48046,54.475778,-4.732592,,106.61992,124.96654,-27.05812,212.4501,100.15099,-18.990898,5.726993,-4.8339,4.4502,-0.89911,50,6.328,4.15832,-120.01785,-4.83318,-6.83073,29.97538,-25.88553,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,a4152810-3aa9-11f1-b436-59ad01c82def,79.891,127.55996,,8.92839,,,,2.88927,2.35937,0.5051,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:06:09.65,2026-04-17T18:06:09.6535040-04:00,2026-04-17T22:06:09.6535040Z,FlyBall,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,8f6215ab-c8a9-4fff-9954-37b2909b9ad1,55.34759,-121.3461,14.98769,6.51675,-3.68615,-12.94277,-1.09008,4.461,-3.41537,,2.88979,71.7097,-19.88933,5.32979,-0.85325,0.01817,0.02186,-0.00368,0.00019,2.35138,100.97909,-24.78403,2.57198,-0.49524,0.07014,0.00016,-0.00147,0.00012,0.50636,-5.98059,-5.74449,2.06631,-0.32004,-0.03121,0.02248,-0.00347,0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-04-17,18:06:49.65,3,1,"Kuskie, Darin",1000255785,Right,OLD_MON,"Myers, Jack",812669,Right,GEO_EAG,Undefined,1,Top,1,0,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.75527,-1.459181,-1.747252,2133.315397,206.827196,1:00,6.56296,0.94049,5.42064,-25.2286,10.60796,4.70894,3.09267,-0.30445,81.0206,-6.14809,-0.909448,0.430858,,,,,,,,,,,,-2.90508,6.18142,-0.78847,50,6.41604,3.74654,-129.98358,-4.21739,-4.90005,30.8361,-21.74778,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,bbe33630-3aa9-11f1-b436-59ad01c82def,87.48224,,,8.73468,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:06:49.65,2026-04-17T18:06:49.6514048-04:00,2026-04-17T22:06:49.6514048Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,e3a29777-00aa-4505-89d0-93f61a660a13,55.07973,-131.18311,15.41805,6.56365,-3.37139,-10.87389,-0.93792,3.93716,-2.45003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,18:07:29.45,3,2,"Kuskie, Darin",1000255785,Right,OLD_MON,"Myers, Jack",812669,Right,GEO_EAG,Undefined,1,Top,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.27734,0.203387,0.066221,2313.18887,57.330677,8:00,6.59775,0.53295,5.07601,-46.15837,0.53283,-1.87567,2.94298,0.43907,71.53839,-8.211463,-0.265927,0.4918,,,,,,,,,,,,0.94917,0.72476,-0.53768,50,6.58096,-0.05342,-114.80348,-1.24425,1.24202,25.12733,-31.22571,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,d3aab4a0-3aa9-11f1-b436-59ad01c82def,76.64174,,,7.73894,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:07:29.45,2026-04-17T18:07:29.4598144-04:00,2026-04-17T22:07:29.4598144Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,ca993413-8131-4d7a-951a-d5946eccf56c,55.42558,-115.98491,12.56367,6.60495,0.22391,-15.61285,-0.5338,-0.11182,0.62101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,18:08:10.43,3,3,"Kuskie, Darin",1000255785,Right,OLD_MON,"Myers, Jack",812669,Right,GEO_EAG,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.09031,-2.931748,-2.698955,2249.302055,216.913672,1:15,6.78336,0.32934,5.63786,-12.89095,21.16422,14.90261,2.96831,-0.94882,82.43775,-5.448914,-0.040461,0.420013,,,,,,,,,,,,-8.36339,12.02312,-0.10889,50,6.52544,5.5723,-133.12758,-7.15194,-14.70865,33.91716,-11.02911,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,ec0aa280-3aa9-11f1-b436-59ad01c82def,89.74105,,,9.65256,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:08:10.43,2026-04-17T18:08:10.4382464-04:00,2026-04-17T22:08:10.4382464Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,a50da330-f996-40fb-93e9-4b5e7f008f60,54.8619,-134.36054,16.95858,6.77815,-6.751,-5.51455,-0.32117,6.10699,-7.35432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:08:33.75,3,4,"Kuskie, Darin",1000255785,Right,OLD_MON,"Myers, Jack",812669,Right,GEO_EAG,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.86984,-1.957491,-1.782742,2301.577601,157.383625,11:15,6.56734,0.62177,5.11672,-38.89553,6.25154,-1.86705,1.48026,-1.2139,72.74069,-9.067333,-2.113454,0.4836,,,,,,,,,,,,0.29925,4.30981,-0.45231,50,6.35315,3.7183,-116.90224,-5.36764,0.40375,27.18107,-26.35931,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,f9fc46a0-3aa9-11f1-b436-59ad01c82def,77.94138,,,8.12915,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:08:33.75,2026-04-17T18:08:33.7580000-04:00,2026-04-17T22:08:33.7580000Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,259ff2f1-2fa6-4eaa-bae4-cf2d6b35b711,55.38348,-118.14733,13.59054,6.57137,-4.1602,-13.17966,-0.62221,3.69981,0.20188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.84289,,0.811776,,-0.84005,1.11313,1.29746,-1.11436,5.86825,2.19729,,,,-1.0189,112.77502,-10.72417,5.8669,4.47309,-10.26408,2.19482,-3.11311,0.28154,High,High,High,,,High,Medium,Low
10,2026-04-17,18:09:02.31,3,5,"Kuskie, Darin",1000255785,Right,OLD_MON,"Myers, Jack",812669,Right,GEO_EAG,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.26643,-1.750061,-0.274134,2284.931548,75.343508,8:30,6.71039,0.51831,5.04285,-44.32361,0.9013,-2.48669,1.36522,0.05246,73.37713,-9.762384,-0.714826,0.484017,,,,,,,,,,,,1.16244,1.37039,-0.49001,50,6.50767,0.65878,-116.33365,-5.14842,1.57565,24.04774,-30.31653,OLD_MON,GEO_EAG,BudMethenyBBStad,D1,SBELT,20260417-BudMethenyBBStad-1,0b02f2f0-3aaa-11f1-b436-59ad01c82def,77.87428,,,6.88929,,,,,,,36d71c82-1d42-4a1a-aec0-b4eef83af6a0,2026-04-17,22:09:02.31,2026-04-17T18:09:02.3184384-04:00,2026-04-17T22:09:02.3184384Z,,v3,3090,471303,75952ce3b8464980acf24c2b64ed7d44,"Dye, Macaddin",831173,Right,OLD_MON,1e859550-4b52-4a19-8422-460f48718bcc,55.46234,-117.45736,12.02387,6.71515,-3.73178,-15.15826,-0.51907,0.58515,0.78782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
