PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:05:11.38,1,1,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.70227,-3.137327,-2.188978,2219.051006,235.745257,1:45,6.32172,1.33374,5.78035,-19.39678,11.8839,16.0171,1.78122,0.63083,86.94088,-6.749981,0.680459,0.402541,,,,,,,,,,,,-8.73052,7.20524,-1.16269,50,6.05082,4.51831,-137.34229,-8.20894,-16.72696,29.54489,-18.36941,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,e32e70d0-3ab1-11f1-9229-876edc65bff9,93.63637,,,7.76139,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:05:11.38,2026-04-17T18:05:11.3893376-05:00,2026-04-17T23:05:11.3893376Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,2a0994fd-2fd7-472d-a6dc-bcd5444fb951,54.71846,-138.3536,14.77244,6.32105,-7.58016,-9.18471,-1.32715,5.09087,-8.36348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,18:05:27.45,1,2,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,0,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.21946,-1.914481,-2.220764,2168.15746,234.358559,1:45,6.28926,1.59098,5.65892,-20.11332,12.62678,16.03233,2.82581,0.85502,84.54091,-5.686802,0.643932,0.411824,,,,,,,,,,,,-8.73815,7.31197,-1.41303,50,6.11457,4.49064,-135.11111,-5.21186,-16.01861,31.71753,-18.76992,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,ecbcbad0-3ab1-11f1-9229-876edc65bff9,91.52568,,,8.67854,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:05:27.45,2026-04-17T18:05:27.4598400-05:00,2026-04-17T23:05:27.4598400Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,bdecc3ec-5d2a-4fcf-a6cd-6a70eb85ccee,54.83747,-136.24198,15.85876,6.28847,-4.54263,-9.38496,-1.58332,5.06177,-8.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,18:05:44.35,1,3,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,0,2,Sinker,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,93.07519,-2.901366,-1.963382,2393.944453,224.34366,1:30,6.35511,1.71008,5.75304,-16.38017,16.17115,14.75957,2.28532,1.11161,84.95754,-5.995844,0.678568,0.410634,78.9231,8.60555,-32.849247,2932.849071,86.52973,8.25455,-67.91614,170.77398,108.18675,-40.543553,1.715457,-8.0754,9.38268,-1.55625,50,6.10421,3.96451,-134.95572,-7.36404,-14.86177,29.9474,-14.9064,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,f6e5e540-3ab1-11f1-9229-876edc65bff9,91.79069,9.08535,,8.11766,,,,0.21435,2.59289,-1.44515,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:05:44.35,2026-04-17T18:05:44.3556864-05:00,2026-04-17T23:05:44.3556864Z,GroundBall,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,c6fa365d-217d-4afa-976c-977c941bbdb9,54.74535,-136.00466,14.9737,6.353,-6.84193,-7.4532,-1.70423,4.48506,-7.43088,,0.21435,96.14996,-15.269,2.52344,-0.46677,0.06884,-0.008,0.00098,-0.0001,2.59289,17.32035,-11.96294,0.52852,0.02809,-0.0029,0.00232,-0.00077,8E-05,-1.44515,-62.08146,-2.26771,1.18528,-0.38524,0.08819,-0.01776,0.00277,-0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-17,18:06:16.48,2,1,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,1,0,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.46736,-1.703675,-2.421606,1988.480254,217.351026,1:15,6.05542,1.42323,6.20549,-23.8195,9.94441,6.77469,2.4961,-0.24869,82.85183,-6.16557,-1.199038,0.418213,,,,,,,,,,,,-4.16965,5.95882,-1.24455,50,5.91544,5.27343,-131.33696,-4.67002,-7.28267,27.82917,-21.76644,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,0a03b1c0-3ab2-11f1-9229-876edc65bff9,90.12734,,,7.61553,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:06:16.48,2026-04-17T18:06:16.4804608-05:00,2026-04-17T23:06:16.4804608Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,7f5089be-b173-4f4b-bb67-8468e28362d1,54.29204,-132.24328,13.91458,6.05599,-3.96115,-10.88322,-1.42015,5.51061,-3.64134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,18:06:31.26,2,2,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.74399,-4.646501,-3.137141,2270.830094,227.133048,1:30,6.21335,1.33068,6.0075,-17.5558,14.12784,14.17548,0.42965,-0.39737,86.42849,-7.927922,-0.589701,0.405125,,,,,,,,,,,,-8.12437,8.78008,-1.0919,50,5.83747,6.83053,-135.71269,-11.61051,-15.25579,27.79514,-15.68692,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,12c5f930-3ab2-11f1-9229-876edc65bff9,93.03907,,,7.31549,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:06:31.26,2026-04-17T18:06:31.2675328-05:00,2026-04-17T23:06:31.2675328Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,a4a376b7-9b80-469e-ac10-cec79637af21,54.49247,-136.62969,13.89757,6.21198,-11.09298,-7.84346,-1.32555,7.33384,-7.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,18:06:47.94,2,3,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,1,1,1,Cutter,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16129,-2.19365,-4.205744,2195.730036,228.666726,1:30,6.01227,1.43904,6.29322,-24.8221,9.60815,9.79638,1.91593,-1.62705,82.48274,-6.817826,-2.439662,0.42232,,,,,,,,,,,,-6.12764,5.86095,-1.13368,50,5.83838,9.1222,-129.32925,-5.7446,-10.48978,24.25865,-22.14083,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,1cb3a140-3ab2-11f1-9229-876edc65bff9,89.2509,,,6.67855,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:06:47.94,2026-04-17T18:06:47.9414272-05:00,2026-04-17T23:06:47.9414272Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,9aa07e59-4c5d-4544-91f9-9e88a77a30a0,54.20616,-130.11582,12.12933,6.01301,-5.0267,-11.07042,-1.43497,9.46232,-5.24489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,18:07:04.71,2,4,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,1,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,94.14557,-2.655755,-3.26846,2393.027937,239.80091,2:00,6.2765,1.20454,5.72026,-19.77993,12.17072,19.07651,2.1486,-0.25353,85.77741,-6.355603,0.141047,0.406828,77.495,-33.041634,-21.075733,,,,,4.52057,4.52057,-11.878543,0.034466,-10.69005,7.28059,-0.94341,50,6.04204,6.9282,-136.39695,-7.02375,-20.05682,31.13804,-18.51408,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,26bee370-3ab2-11f1-9229-876edc65bff9,92.64946,2.14137,,8.36816,,,,1.35181,2.14137,0.25337,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:07:04.71,2026-04-17T18:07:04.7166976-05:00,2026-04-17T23:07:04.7166976Z,GroundBall,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,cb2c552e-c3b9-4961-9af8-56f3c88549d0,54.77926,-137.48368,15.56902,6.2759,-6.37761,-9.25704,-1.19741,7.62819,-10.02841,,1.35056,89.12948,,,,,,,,2.14224,-62.12959,,,,,,,,0.25385,-34.34884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2026-04-17,18:07:38.47,3,1,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Worcester, Chris",10034522,Right,EIU_PAN,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.61727,-2.705969,-2.144656,2248.001439,237.377649,2:00,6.31406,1.29565,5.76486,-20.51418,11.4965,16.40123,2.08248,0.66547,85.91915,-6.52379,0.792913,0.40721,,,,,,,,,,,,-8.89961,6.89662,-1.12793,50,6.0774,4.3413,-135.81588,-7.13864,-16.67074,28.94671,-19.25528,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,3af5c110-3ab2-11f1-9229-876edc65bff9,92.56255,,,7.69813,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:07:38.47,2026-04-17T18:07:38.4716800-05:00,2026-04-17T23:07:38.4716800Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,a0479540-b4c5-4b68-95f4-15ce42c15cfa,54.73376,-136.82108,14.47335,6.31368,-6.46998,-9.62764,-1.28874,4.92021,-8.33537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:07:53.30,3,2,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Worcester, Chris",10034522,Right,EIU_PAN,Undefined,1,Top,2,0,1,Cutter,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.86641,-2.678331,-4.654227,2163.757688,227.174551,1:30,6.13818,1.2021,6.10222,-22.76804,11.47942,11.29351,1.7539,-2.17053,82.97955,-6.918042,-2.627715,0.421197,,,,,,,,,,,,-6.98,6.91941,-0.84927,50,5.9194,10.13207,-130.17445,-6.8376,-12.09333,24.83898,-20.18571,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,43ac96d0-3ab2-11f1-9229-876edc65bff9,89.4888,,,6.88686,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:07:53.30,2026-04-17T18:07:53.3095424-05:00,2026-04-17T23:07:53.3095424Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,663a1cac-aa18-41bd-bce7-dceec38de3d0,54.39683,-131.01074,12.41949,6.13817,-6.15798,-10.09285,-1.19725,10.53923,-6.04666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,18:08:09.48,3,3,"Westmoreland, Brannon",1000164548,Right,LIT_TRO,"Worcester, Chris",10034522,Right,EIU_PAN,Undefined,1,Top,2,1,1,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.91017,-1.36675,-4.143455,2009.494177,211.011543,1:00,5.97567,1.29003,6.37636,-22.84686,11.06579,6.03382,2.8108,-2.02587,82.61722,-5.658975,-3.054792,0.419133,,,,,,,,,,,,-4.23984,6.45579,-0.99344,50,5.86618,9.20775,-130.41673,-3.81146,-7.33529,26.26432,-21.00493,LIT_TRO,EIU_PAN,GaryHoganField,D1,OVC,20260417-GaryHoganField-1,4d58f020-3ab2-11f1-9229-876edc65bff9,89.92949,,,7.29295,,,,,,,703506fa-0df3-4d8c-ae08-19058ec82143,2026-04-17,23:08:09.48,2026-04-17T18:08:09.4829056-05:00,2026-04-17T23:08:09.4829056Z,,v3,471235,471287,5cf858354cb44bca90f969d636a5523d,"Bilski, Jack",1000394479,Right,LIT_TRO,48c61b7a-dbff-43c7-b5b8-50515ae5b1ed,54.12197,-131.24422,13.13216,5.97584,-3.14968,-10.50246,-1.28719,9.43886,-3.66764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
