PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,13:04:56.97,1,1,"Robles, Damian",1000143623,Right,PER_BAS6,"Allen, Blake",10295148,Right,STM_RAT,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.75189,-1.50544,-4.07535,1255.074216,196.501114,12:30,4.96755,1.8834,6.76919,-23.96041,18.04068,5.00587,1.59227,-1.42738,74.16374,-6.039625,-3.165598,0.466446,,,,,,,,,,,,-3.60256,10.28493,-1.61865,50,4.8594,8.09152,-115.84911,-3.61871,-4.97448,18.38759,-17.97233,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,538060e0-3a90-11f1-a103-bdbd68580cc8,80.80768,,,5.58815,,,,,,,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:04:56.97,2026-04-17T13:04:56.9712640-06:00,2026-04-17T19:04:56.9712640Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,d48f83f4-229d-46f6-867a-b741f32fba79,53.73257,-116.44004,9.19379,4.96642,-3.04113,-8.98616,-1.88126,8.25139,-2.48724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,13:05:14.72,1,2,"Robles, Damian",1000143623,Right,PER_BAS6,"Allen, Blake",10295148,Right,STM_RAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.93811,-1.983615,-2.663063,2250.192563,218.184445,1:15,5.14499,2.74302,6.31683,-24.77375,8.89796,6.43941,1.25069,0.82491,84.2283,-6.554847,-1.498757,0.417642,,,,,,,,,,,,-3.88756,5.23311,-2.55126,50,4.98733,5.79141,-129.54155,-5.27276,-6.83884,18.09963,-22.96817,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,5e095e90-3a90-11f1-a103-bdbd68580cc8,90.2506,,,4.70981,,,,,,,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:05:14.72,2026-04-17T13:05:14.7284480-06:00,2026-04-17T19:05:14.7284480Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,e7784fda-e883-489f-84e8-d7d2a321d397,54.1891,-130.12553,9.04982,5.1455,-4.53169,-11.48409,-2.74168,6.01206,-3.41942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,13:05:34.30,1,3,"Robles, Damian",1000143623,Right,PER_BAS6,"Allen, Blake",10295148,Right,STM_RAT,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.00776,-1.21213,-4.486213,2184.459341,225.369476,1:30,5.09381,2.76455,6.47566,-24.32686,10.24934,9.5391,1.94985,-0.5688,82.47456,-5.742975,-2.762647,0.423214,,,,,,,,,,,,-5.9591,5.89721,-2.45231,50,4.99709,9.68846,-127.89538,-3.43955,-10.12793,19.91684,-22.15125,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,69b72d30-3a90-11f1-a103-bdbd68580cc8,89.06238,,,5.5332,,,,,,,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:05:34.30,2026-04-17T13:05:34.3092224-06:00,2026-04-17T19:05:34.3092224Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,84faac50-82d9-42d5-be70-45f05feb63ce,54.02897,-128.52128,9.95842,5.09424,-2.74345,-11.07563,-2.76177,10.00673,-5.06396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,13:05:55.28,1,4,"Robles, Damian",1000143623,Right,PER_BAS6,"Allen, Blake",10295148,Right,STM_RAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.3496,-0.054008,-4.554695,2290.563712,226.57309,1:30,5.0886,2.72883,6.50507,-24.01899,10.21079,9.93355,3.03729,-0.63259,82.72564,-4.537129,-2.759917,0.421088,77.05239,37.286573,135.985627,4593.615231,,,,,37.08405,,,-6.17052,5.63713,-2.41417,50,5.07397,9.86934,-128.42305,-0.83447,-10.58456,19.82517,-22.50439,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,7638eda0-3a90-11f1-a103-bdbd68580cc8,89.51193,26.23074,,5.62396,,,,0.52096,2.81632,0.8426,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:05:55.28,2026-04-17T13:05:55.2889856-06:00,2026-04-17T19:05:55.2889856Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,d1749759-cd3b-490b-bdda-24e7822d4b26,53.99961,-129.039,9.91259,5.08903,-0.13527,-11.2522,-2.72591,10.1982,-5.29228,,0.52781,-64.88144,1.02523,,,,,,,2.83493,67.87426,-30.54102,,,,,,,0.84997,62.24294,-10.38372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-17,13:06:21.97,1,5,"Robles, Damian",1000143623,Right,PER_BAS6,"Allen, Blake",10295148,Right,STM_RAT,Undefined,1,Top,0,2,2,ChangeUp,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,80.21951,0.084848,-3.694767,2498.552134,0.592518,6:00,5.14409,2.72604,5.881,-50.40373,-7.3287,-0.08787,1.02275,-0.71742,74.75887,-9.088048,-3.710518,0.472372,53.92691,-37.707177,-37.125665,,,,,4.34945,4.34945,-5.037885,0.026277,-0.87728,-3.53091,-2.42714,50,5.12106,7.52837,-116.53341,-1.4651,-1.21844,19.84858,-37.07803,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,862661c0-3a90-11f1-a103-bdbd68580cc8,79.79397,1.27517,,5.46063,,,,3.01751,1.27517,0.61361,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:06:21.97,2026-04-17T13:06:21.9701760-06:00,2026-04-17T19:06:21.9701760Z,GroundBall,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,f9378b3c-5cee-4274-8641-a620dd82ad3c,54.62473,-117.31847,9.92429,5.15001,0.00144,-18.53901,-2.72586,7.57656,-0.60922,,3.01684,50.04939,,,,,,,,1.27582,-48.52869,,,,,,,,0.61412,-37.88731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-17,13:07:22.26,2,1,"Robles, Damian",1000143623,Right,PER_BAS6,"Beaird, Ashton",10132461,Left,STM_RAT,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,Bunt,Sacrifice,0,1,,86.75695,-0.84403,-4.416211,1979.994144,232.947833,1:45,4.99358,2.5798,6.4259,-28.25584,7.78386,8.99792,1.86073,-0.73781,80.46233,-6.107833,-2.79145,0.432078,31.50598,-30.107378,-37.004638,,,,,6.34558,6.34558,-12.388732,0.083887,-5.82433,4.56166,-2.26863,50,4.92013,9.40456,-125.97808,-2.71102,-9.48455,22.40175,-24.74569,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,aa0dd190-3a90-11f1-a103-bdbd68580cc8,87.23531,2.02771,,6.29462,,,,3.52199,2.02771,0.63281,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:07:22.26,2026-04-17T13:07:22.2641664-06:00,2026-04-17T19:07:22.2641664Z,GroundBall,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,46b953d0-820f-4f92-859c-c4d554c9a5bb,54.07831,-126.70122,11.20088,4.99475,-1.91221,-12.37284,-2.57715,9.71073,-4.74228,219.18206,3.522,31.92165,-0.28554,,,,,,,2.02773,-23.18314,-11.81398,,,,,,,0.63281,-24.05952,3.42177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-17,13:08:14.07,3,1,"Robles, Damian",1000143623,Right,PER_BAS6,"Lopez, Dillon",1000299884,Right,STM_RAT,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,87.62983,-0.62518,-2.952031,2132.502499,227.41162,1:30,5.09826,2.92979,6.10104,-25.35812,10.27426,10.1215,2.40609,1.04058,81.24449,-5.3445,-1.130791,0.429629,33.87415,-9.620019,-36.344997,,,,,11.36796,11.31097,-36.425718,0.193364,-5.96512,5.75851,-2.70792,50,5.03653,6.17587,-127.39755,-2.19774,-9.94508,22.63004,-22.57339,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,c8f09e30-3a90-11f1-a103-bdbd68580cc8,87.73247,2.31425,,6.38533,,,,1.61872,2.31425,-1.08523,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:08:14.07,2026-04-17T13:08:14.0749824-06:00,2026-04-17T19:08:14.0749824Z,GroundBall,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,7d65631e-8153-4626-883a-443270fe768e,54.40242,-128.17718,11.31502,5.09885,-1.42006,-11.2867,-2.92658,6.51848,-4.97254,43.944887,1.61844,39.47297,-2.77722,,,,,,,2.3143,-8.30565,-18.94451,,,,,,,-1.0851,-29.03864,-1.33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
8,2026-04-17,13:08:55.92,4,1,"Robles, Damian",1000143623,Right,PER_BAS6,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.62053,-0.846138,-1.841526,2209.995131,233.03581,1:45,5.01671,2.79482,6.21651,-25.69179,9.16052,10.82843,2.0944,1.99714,81.73968,-5.643619,0.114134,0.424901,,,,,,,,,,,,-6.07618,5.28772,-2.66199,50,4.94036,3.71015,-128.86224,-2.71909,-10.29834,24.77977,-23.212,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,e1e21db0-3a90-11f1-a103-bdbd68580cc8,88.70885,,,6.88084,,,,,,,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:08:55.92,2026-04-17T13:08:55.9218688-06:00,2026-04-17T19:08:55.9218688Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,abc7c9a0-db51-4f6d-a3b0-89e7b179c4e2,54.28523,-129.68365,12.38989,5.01774,-1.94965,-11.606,-2.79063,4.05153,-5.14917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,13:09:13.60,4,2,"Robles, Damian",1000143623,Right,PER_BAS6,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.42083,-0.970964,-4.775751,1587.026645,263.453144,2:45,4.91299,2.97431,6.75602,-36.20718,3.06969,17.75221,1.00563,0.08118,76.92977,-7.706771,-1.546907,0.451066,,,,,,,,,,,,-10.59654,2.12331,-2.66748,50,4.83495,9.43076,-119.75445,-3.03609,-15.66214,19.26653,-29.03569,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,ec6e4fb0-3a90-11f1-a103-bdbd68580cc8,83.56307,,,5.49106,,,,,,,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:09:13.60,2026-04-17T13:09:13.6030208-06:00,2026-04-17T19:09:13.6030208Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,c65a8255-581d-4cd2-ad2f-25e09ade8450,53.7499,-120.35624,9.63326,4.91562,-2.12917,-14.51784,-2.96969,9.91997,-7.83107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,13:09:36.95,4,3,"Robles, Damian",1000143623,Right,PER_BAS6,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,2,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.02307,-0.652482,-3.063556,2166.909937,221.23735,1:15,5.13033,2.67268,6.21257,-21.81493,12.92776,10.4019,2.70935,0.70937,81.62849,-4.763772,-1.188628,0.424232,85.02221,42.963215,-51.709217,4793.830917,,,,,94.86658,,,-6.22414,7.20213,-2.44785,50,5.0703,6.50393,-129.28546,-2.13485,-10.57142,26.0711,-19.9415,PER_BAS6,STM_RAT,RodenField,D2,LS,20260417-RodenField-1,fa5bd520-3a90-11f1-a103-bdbd68580cc8,88.84873,73.4103,,7.39458,,,,0.24193,2.51188,-0.44718,cefbd31f-24dc-41a1-a037-d2a0df17b9fd,2026-04-17,19:09:36.95,2026-04-17T13:09:36.9582592-06:00,2026-04-17T19:09:36.9582592Z,,v3,643-146099,5067,,"Garcia, Cruz",822844,Right,PER_BAS6,fc5b9579-3aee-400a-ae95-e839e279b479,54.28904,-130.1475,13.03555,5.12999,-1.47549,-9.97075,-2.66868,6.85347,-5.28571,,0.24191,56.54851,-14.18576,3.78687,-1.95968,1.9796,-1.39545,0.50242,-0.06973,2.51188,84.98508,-23.96358,2.49806,-0.16224,-0.47778,0.43143,-0.16884,0.02527,-0.44719,-71.6217,5.65925,-0.69155,-0.3563,0.71479,-0.55849,0.21133,-0.03091,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
