PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,16:02:52.46,1,1,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Potts, Drew",10128668,Right,ERS_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.38986,-1.83707,-3.117843,2038.780541,245.940521,2:15,5.65929,1.8516,6.07898,-28.20541,8.80713,16.65099,1.60599,0.35156,78.79963,-7.122918,-0.12004,0.437871,93.09944,-14.985815,-25.757255,,,,,7.29663,6.9588,-23.424615,0.045111,-9.63339,5.53835,-1.61914,50,5.5022,6.21885,-126.59151,-4.96367,-15.34858,30.21979,-23.34995,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,187db1c0-3dbd-11f1-84d1-a38ee1c16c3a,86.0812,1.59469,,8.59023,,,,1.3298,1.59469,-0.31188,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:02:52.46,2026-04-21T16:02:52.4610560-04:00,2026-04-21T20:02:52.4610560Z,GroundBall,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,675a6364-82ee-4491-986f-49ce2f3e4ce3,54.42053,-127.64242,15.10989,5.6607,-4.15168,-11.67497,-1.84468,6.7526,-7.67429,180,1.32876,118.9403,,,,,,,,1.595,-35.35074,,,,,,,,-0.31138,-57.38856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-21,16:03:21.71,2,1,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"McManus, Mason",10118503,Right,ERS_COL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.72668,0.107882,-2.573256,2151.523636,141.952472,10:45,5.74608,1.64857,6.41427,-40.21408,4.60654,-2.09827,2.4942,-0.89372,70.55257,-7.482555,-2.953279,0.481848,,,,,,,,,,,,0.05177,2.97666,-1.46378,50,5.73673,5.26359,-115.34937,-0.93967,0.06695,29.5194,-28.32558,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,29f3c1b0-3dbd-11f1-84d1-a38ee1c16c3a,78.22471,,,9.17411,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:03:21.71,2026-04-21T16:03:21.7124352-04:00,2026-04-21T20:03:21.7124352Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,699ae8f9-adf6-41cf-87b0-c0876541fc9d,54.07807,-116.38832,14.7597,5.75225,0.05726,-14.16279,-1.64899,5.26123,0.03347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,16:03:33.75,2,2,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"McManus, Mason",10118503,Right,ERS_COL,Undefined,1,Top,1,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,78.93224,0.544638,-1.903458,2121.992312,28.364438,7:00,5.78134,1.57075,6.06293,-47.05357,-1.69421,-1.80787,2.36458,-0.34226,71.34572,-8.172927,-2.229176,0.484735,92.54737,-17.864031,-8.25107,,,,,8.36595,8.31075,-6.176499,0.055304,0.28937,-0.5774,-1.42206,50,5.79885,3.87152,-114.47904,-0.36804,0.37624,25.11356,-32.92483,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,31294ea0-3dbd-11f1-84d1-a38ee1c16c3a,77.75878,2.30695,,7.58653,,,,1.23365,2.30695,0.12712,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:03:33.75,2026-04-21T16:03:33.7510400-04:00,2026-04-21T20:03:33.7510400Z,GroundBall,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,a4e0ac19-9677-4298-a2e4-b5f9363d914b,54.43639,-115.44816,12.55678,5.78853,0.90251,-16.46242,-1.57118,3.857,0.18812,180,1.23159,128.08598,,,,,,,,2.30762,-41.71365,,,,,,,,0.12742,-18.57403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-21,16:04:02.99,3,1,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Radke, Pierce ",1000073230,Right,ERS_COL,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.33235,-1.087047,-1.461157,1984.339342,248.253044,2:15,5.86858,1.85812,6.02762,-28.00675,8.11725,17.09505,2.52747,1.92917,79.80613,-6.330032,1.617413,0.432583,,,,,,,,,,,,-9.43957,4.86922,-1.75367,50,5.7683,2.59266,-128.20051,-3.33951,-15.43718,30.79458,-24.21111,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,427eb730-3dbd-11f1-84d1-a38ee1c16c3a,87.13345,,,8.52622,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:04:02.99,2026-04-21T16:04:02.9985792-04:00,2026-04-21T20:04:02.9985792Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,a290c383-ecb8-4b29-b836-b6696c8c88f6,54.47445,-129.27083,15.39729,5.86975,-2.49801,-12.10555,-1.85311,3.12921,-7.71859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-21,16:04:15.46,3,2,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Radke, Pierce ",1000073230,Right,ERS_COL,Undefined,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.95368,-1.334083,-2.767069,2467.208032,47.321929,7:30,5.74881,1.63671,6.18087,-46.06006,-0.89201,-2.73614,0.67683,-1.1486,71.75919,-9.839169,-3.261279,0.483712,,,,,,,,,,,,0.49236,0.44055,-1.42619,50,5.62488,5.63002,-114.45469,-4.05725,0.64026,24.99758,-31.60115,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,49ff2fd0-3dbd-11f1-84d1-a38ee1c16c3a,77.92326,,,7.19449,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:04:15.46,2026-04-21T16:04:15.4693632-04:00,2026-04-21T20:04:15.4693632Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,f7bf69c7-8939-4ffa-a5d5-5c42d45a330c,54.319,-115.39413,12.49879,5.75504,-2.86964,-15.80058,-1.63732,5.60596,0.32013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,16:04:27.29,3,3,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Radke, Pierce ",1000073230,Right,ERS_COL,Undefined,1,Top,2,2,0,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.71315,1.746832,-1.101216,2224.46959,177.304314,12:00,5.73996,1.63366,5.94048,-39.74565,5.85138,-0.2002,4.0491,0.5953,71.12584,-5.660739,-1.137167,0.486004,,,,,,,,,,,,-0.24693,2.96579,-1.54575,50,5.85743,2.20152,-114.12789,2.26256,-0.32137,23.58798,-28.31393,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,51085590-3dbd-11f1-84d1-a38ee1c16c3a,77.55585,,,7.58731,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:04:27.29,2026-04-21T16:04:27.2957952-04:00,2026-04-21T20:04:27.2957952Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,a30571ac-1321-4220-a0c8-bd5caf703a7f,54.55599,-115.06567,11.79399,5.74511,3.38822,-14.15697,-1.63353,2.2143,-0.16069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,16:04:43.92,3,4,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Radke, Pierce ",1000073230,Right,ERS_COL,Undefined,1,Top,2,3,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.87455,-1.910639,-2.755603,2061.316277,217.649673,1:15,5.74772,1.70862,6.1414,-23.02088,13.63859,9.63603,2.06089,-0.03696,79.70029,-6.233623,-1.019555,0.435777,,,,,,,,,,,,-5.72398,7.923,-1.50325,50,5.5899,5.68568,-126.09036,-4.90154,-9.23435,25.13738,-19.39207,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,5afe8920-3dbd-11f1-84d1-a38ee1c16c3a,86.49474,,,7.17426,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:04:43.92,2026-04-21T16:04:43.9276544-04:00,2026-04-21T20:04:43.9276544Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,80b5a970-ea24-41b3-8dd4-0617745a7d60,54.35875,-126.95635,12.56869,5.74725,-4.23348,-9.69604,-1.7046,6.00381,-4.61718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-21,16:04:56.46,3,5,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Radke, Pierce ",1000073230,Right,ERS_COL,Undefined,1,Top,2,3,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.47205,-0.328061,-2.218812,2345.395182,56.603915,8:00,5.77311,1.55246,6.11191,-43.95963,0.13067,-1.96957,1.80624,-0.66437,72.84336,-8.443355,-2.573974,0.477906,67.64254,-61.639539,-80.669666,,,,,2.41898,2.41898,-9.437168,0.021975,0.36409,0.5526,-1.38108,50,5.72488,4.54231,-115.4111,-2.00393,0.48786,22.79872,-31.43362,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,626b2ba0-3dbd-11f1-84d1-a38ee1c16c3a,78.86993,1.92433,,6.62869,,,,2.21783,1.92433,0.62839,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:04:56.46,2026-04-21T16:04:56.4646400-04:00,2026-04-21T20:04:56.4646400Z,GroundBall,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,1a52b56d-74db-49fe-bff8-51c1055d00c7,54.38962,-116.27501,11.39936,5.77825,-0.81282,-15.71681,-1.55285,4.52383,0.24393,,2.21775,7.6637,,,,,,,,1.92527,-87.56833,,,,,,,,0.62889,-46.64457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-04-21,16:05:19.72,3,6,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Radke, Pierce ",1000073230,Right,ERS_COL,Undefined,1,Top,2,3,2,Slider,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,80.70153,-3.304274,-3.566825,2235.435152,63.114825,8:00,5.64612,1.55709,6.47124,-42.1877,0.67972,-1.67583,-0.91343,-1.86258,73.67129,-11.087742,-3.871026,0.471232,,,,,,,,,,,,-0.30055,1.77583,-1.30468,50,5.39375,7.33937,-116.84612,-7.961,-0.40746,26.00244,-29.76661,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,7041cdb0-3dbd-11f1-84d1-a38ee1c16c3a,79.98696,,,7.03025,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:05:19.72,2026-04-21T16:05:19.7227520-04:00,2026-04-21T20:05:19.7227520Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,03c68252-0ab3-4ac2-b3a9-a6212d084ded,54.03096,-117.73973,13.00122,5.64977,-6.93802,-14.88331,-1.55715,7.35337,-0.20373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,16:05:54.02,4,1,"Holbrook, Dylan",1000091638,Right,NOR_GEO3,"Villafane, Daniel",10132201,Right,ERS_COL,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.60617,-2.115281,-3.592709,2114.947993,218.535961,1:15,5.87857,1.75719,6.1193,-22.90836,13.40127,9.72284,2.00913,-0.75855,79.9996,-6.421317,-1.843993,0.433693,,,,,,,,,,,,-6.03414,7.88437,-1.48651,50,5.70417,7.57816,-126.9704,-5.39204,-9.82493,26.62856,-19.33654,NOR_GEO3,ERS_COL,BobSteinStadium,D2,NCAAPB,20260421-BobSteinStadium-1,84b8e8a0-3dbd-11f1-84d1-a38ee1c16c3a,86.91043,,,7.60657,,,,,,,801df7dc-98f6-47ad-9f06-f9b6cd0ed6d6,2026-04-21,20:05:54.02,2026-04-21T16:05:54.0225536-04:00,2026-04-21T20:05:54.0225536Z,,v3,643-145481,643-144855,11804,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,f2d67096-cd86-4660-9cba-b003710421bc,54.38017,-127.88572,13.31428,5.87809,-4.72737,-9.66827,-1.7528,7.91588,-4.91246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
