PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,18:03:22.50,1,1,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,90.09883,-3.212104,-3.132187,2377.775255,219.208668,1:15,5.45347,2.28587,6.70444,-16.79721,16.91548,12.8539,1.10946,0.49046,81.92843,-6.450529,-0.792781,0.417896,,,,,,,,,,,,-7.75433,10.25493,-2.08249,50,5.23294,6.66369,-130.63418,-7.75722,-13.29334,29.56095,-14.59397,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,e9dcd5b0-3dcd-11f1-bd0e-0d17decfe1b3,90.19578,,,8.1704,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:03:22.50,2026-04-21T18:03:22.5080000-04:00,2026-04-21T22:03:22.5080000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,c3b3777c-0c90-43d5-ac9b-470fcfa6b06a,53.79354,-131.48981,14.78048,5.45136,-7.33481,-7.29699,-2.28093,7.04846,-6.64667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,18:03:34.97,1,2,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.35066,2.116075,-1.975198,2417.351678,63.100255,8:00,5.13818,2.32078,5.79311,-54.43019,-7.86693,-18.76828,2.57275,-1.08128,70.89055,-7.880954,-5.333357,0.491126,,,,,,,,,,,,8.79083,-4.10347,-2.14752,50,5.28085,4.65191,-113.55123,2.39261,11.24459,24.7291,-37.42294,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,f16ae2e0-3dcd-11f1-bd0e-0d17decfe1b3,76.74697,,,7.46011,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:03:34.97,2026-04-21T18:03:34.9700000-04:00,2026-04-21T22:03:34.9700000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,fa71f910-06d7-4835-8481-911f4efe1458,54.70483,-114.57126,12.36455,5.15032,3.93624,-18.71147,-2.32984,4.18809,5.6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,18:03:50.02,1,3,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,0,2,0,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.30506,0.304617,-2.152821,2309.663126,219.448011,1:15,5.24147,2.49586,6.75627,-18.5808,14.74776,11.22638,3.9715,1.46412,81.93834,-3.279899,-0.106466,0.415508,45.84203,0.325699,156.889775,4516.453708,,,,29.56373,29.56373,159.658814,0.483343,-6.66398,8.06079,-2.35907,50,5.25412,4.5239,-131.27194,0.21898,-11.53077,29.96461,-18.22632,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,fa401610-3dcd-11f1-bd0e-0d17decfe1b3,90.71406,3.90206,,8.36672,,,,1.48694,3.90066,-1.54314,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:03:50.02,2026-04-21T18:03:50.0230000-04:00,2026-04-21T22:03:50.0230000Z,GroundBall,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,089d044a-7400-428c-aca1-1812f1d219ba,53.74284,-132.12353,14.9823,5.24054,0.73697,-9.11316,-2.4923,4.85161,-5.76538,304.198705,1.48694,-61.83837,3.1295,-0.47744,0.09491,-0.01331,0.01071,-0.01153,0.00565,3.90066,0.38219,-17.9343,1.00931,-0.19267,0.03787,-0.00302,0.00026,0.00018,-1.54314,26.38934,-4.29893,0.67324,-0.13557,0.01534,-0.00502,0.00341,-0.00141,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-21,18:04:35.33,2,1,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.86774,-0.214191,-4.904462,2305.301858,89.102831,9:00,5.04623,2.65551,6.46042,-41.32864,1.47083,-4.60583,1.40471,-2.2443,73.19712,-7.911341,-5.734943,0.470859,,,,,,,,,,,,0.73583,1.39012,-2.30671,50,5.01384,10.20818,-116.96865,-1.66075,0.99994,25.98957,-30.28492,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,154ef750-3dce-11f1-bd0e-0d17decfe1b3,80.05042,,,7.67062,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:04:35.33,2026-04-21T18:04:35.3310000-04:00,2026-04-21T22:04:35.3310000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,4ad5724b-b867-4459-9526-9b69356ab4b0,54.03348,-117.86145,12.99479,5.05302,-0.62039,-15.14246,-2.65679,10.17383,0.49997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-21,18:04:51.43,2,2,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,0,1,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.04275,-0.73803,-3.953577,2108.163588,223.898115,1:30,5.14292,2.59026,6.97369,-22.74363,10.81131,9.4867,2.57468,-0.22101,82.22381,-5.054859,-2.221231,0.416917,,,,,,,,,,,,-6.02674,6.26075,-2.34868,50,5.08936,8.60242,-129.39983,-2.27255,-10.32446,24.37971,-21.44867,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,1ede2bb0-3dce-11f1-bd0e-0d17decfe1b3,90.40756,,,6.81894,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:04:51.43,2026-04-21T18:04:51.4330000-04:00,2026-04-21T22:04:51.4330000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,8aff21b3-e464-43a8-9a37-18c68a393143,53.52491,-130.06224,12.18986,5.1432,-1.68978,-10.72433,-2.58623,8.88295,-5.16223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,18:05:08.11,2,3,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.50787,0.540054,-2.827715,2275.793563,52.653633,7:45,5.16127,2.81637,5.91622,-54.91428,-8.66311,-13.05375,1.0869,-0.8978,72.08366,-9.461775,-5.170504,0.489478,,,,,,,,,,,,5.97603,-4.23252,-2.58217,50,5.17309,6.0286,-112.65021,-0.66897,7.70835,19.73609,-37.63349,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,28ddd520-3dce-11f1-bd0e-0d17decfe1b3,77.00545,,,5.4242,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:05:08.11,2026-04-21T18:05:08.1140000-04:00,2026-04-21T22:05:08.1140000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,a2877437-eae5-40aa-8af0-d0f53a47c7cb,54.58637,-113.45089,9.86804,5.16926,0.85779,-18.81675,-2.8204,5.71588,3.85417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,18:05:25.18,2,4,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.54228,-1.701407,-4.159967,2177.659792,207.886173,1:00,5.16092,2.53391,6.82972,-17.01824,16.57103,8.22741,2.18632,-0.58144,82.21627,-4.97279,-2.662971,0.41713,,,,,,,,,,,,-5.46933,9.56351,-2.26916,50,5.0447,9.15019,-129.95996,-4.28327,-9.39608,26.08531,-15.74428,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,33092270-3dce-11f1-bd0e-0d17decfe1b3,90.3613,,,7.326,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:05:25.18,2026-04-21T18:05:25.1840000-04:00,2026-04-21T22:05:25.1840000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,68cdafe8-7963-4852-abd3-7eaf2a540d5f,53.66855,-130.69423,13.04265,5.15904,-3.84009,-7.87214,-2.53045,9.41468,-4.69804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-21,18:05:47.85,2,5,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.56061,-2.346786,-4.701681,2406.217541,204.707604,12:45,5.40432,2.21062,6.78302,-12.92261,18.25639,7.91796,2.17659,-1.43143,85.05691,-4.875375,-3.264432,0.401886,,,,,,,,,,,,-5.52343,10.62591,-1.90676,50,5.24562,10.82343,-135.49129,-5.84745,-10.21844,30.92819,-12.51589,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,409c79f0-3dce-11f1-bd0e-0d17decfe1b3,93.78897,,,8.50371,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:05:47.85,2026-04-21T18:05:47.8510000-04:00,2026-04-21T22:05:47.8510000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,5c86dd41-89e9-4902-b7cd-46dfc1a8e727,53.71262,-136.33613,15.46409,5.40068,-5.50556,-6.25795,-2.20622,11.10256,-5.10922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,18:06:07.52,2,6,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,0,3,2,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.81489,0.613567,-3.715604,2284.915877,211.259163,1:00,5.09778,2.73885,6.97946,-15.71473,16.66021,9.53453,4.34744,0.14937,83.263,-2.432352,-1.974602,0.409521,,,,,,,,,,,,-6.00914,8.99752,-2.51216,50,5.12951,8.20972,-131.9456,1.06332,-10.65666,26.50884,-16.21781,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,4c44a340-3dce-11f1-bd0e-0d17decfe1b3,92.04035,,,7.55188,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:06:07.52,2026-04-21T18:06:07.5200000-04:00,2026-04-21T22:06:07.5200000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,45c77be7-b9e6-4bd7-9cb5-3a2adad836c3,53.51756,-132.65042,13.25442,5.09551,1.49452,-8.1089,-2.7342,8.49306,-5.32833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,18:07:49.23,3,1,"Dallmayer, AJ",1000310804,Right,OHI_BOB,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.55508,-2.650829,-3.056227,2164.931733,220.575515,1:15,5.23408,2.74163,6.57685,-20.11135,15.5178,12.30032,1.12343,0.96294,80.11918,-6.479815,-0.822455,0.42961,,,,,,,,,,,,-7.3063,9.2493,-2.53648,50,5.04321,6.31709,-127.03963,-6.42098,-11.92774,26.28055,-17.07427,OHI_BOB,NOK_NOR,BobWrenStadium,D1,MAC,20260421-BobWrenStadium-1,88de8dc0-3dce-11f1-bd0e-0d17decfe1b3,87.73644,,,7.4359,,,,,,,e1dc5673-c5b7-4e21-9436-e04950c0859a,2026-04-21,22:07:49.23,2026-04-21T18:07:49.2330000-04:00,2026-04-21T22:07:49.2330000Z,,v3,471399,471393,a082cb29e980470caea0b121960c281a,"Stack, Tyler",806491,Right,OHI_BOB,22b72274-8c4e-466c-8db7-c2de5cb3dbc9,53.92061,-127.84811,13.14027,5.23266,-5.89572,-8.53713,-2.73645,6.68403,-5.96387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
