PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,19:04:50.96,1,1,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Wawro, Wyatt",1000539318,Left,NIU_HUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.06134,-3.291143,-1.19258,2209.276433,209.406093,1:00,6.88688,1.1093,6.39504,-21.07363,11.09646,5.71914,2.09989,0.48892,85.04632,-7.235908,-0.15536,0.408223,,,,,,,,,,,,-3.29095,6.94516,-1.02616,50,6.64056,2.5535,-133.71915,-8.34095,-6.00217,26.86259,-19.50719,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,814ae1a0-3dd6-11f1-b9f2-29ab97384828,92.33294,,,7.01501,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:04:50.96,2026-04-21T19:04:50.9699072-04:00,2026-04-21T23:04:50.9699072Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,5f210ef1-c9a6-49c4-ad89-23faa0ca1f68,54.10436,-134.54114,13.4313,6.88666,-7.74404,-9.75359,-1.10711,2.73716,-3.00109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,19:05:05.69,1,2,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Wawro, Wyatt",1000539318,Left,NIU_HUS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.44289,-1.830858,-0.3767,2426.977397,187.375864,12:15,6.93373,1.15545,6.44443,-14.24552,17.46611,2.14236,4.06373,0.98785,85.24232,-4.562461,0.0119,0.405304,,,,,,,,,,,,-1.21221,9.87875,-1.12962,50,6.79705,0.79736,-134.46741,-4.67026,-2.2398,26.65699,-13.92106,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,8a0e6190-3dd6-11f1-b9f2-29ab97384828,92.99798,,,7.20057,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:05:05.69,2026-04-21T19:05:05.6927744-04:00,2026-04-21T23:05:05.6927744Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,80a2b748-a4bb-47e7-b88e-7f5d0dc95130,54.05453,-135.26879,13.32849,6.93116,-4.25175,-6.96053,-1.1546,0.86469,-1.1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,19:05:19.73,1,3,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Wawro, Wyatt",1000539318,Left,NIU_HUS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.78881,-3.380551,-1.877188,2353.705794,203.682104,12:45,6.90017,1.04808,6.36911,-20.77005,11.6593,4.6915,2.05342,-0.28888,84.7579,-7.26958,-1.027257,0.409865,98.95828,6.978058,-15.605963,3073.354644,102.89651,6.7904,-38.88795,165.05021,161.97299,-23.447745,1.364984,-2.95303,7.26768,-0.91463,50,6.64581,4.18395,-133.27913,-8.51411,-5.34622,26.9023,-19.01656,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,9267fc20-3dd6-11f1-b9f2-29ab97384828,91.96313,7.53038,,7.03091,,,,1.13284,2.04193,0.28631,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:05:19.73,2026-04-21T19:05:19.7332992-04:00,2026-04-21T23:05:19.7332992Z,LineDrive,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,11f9a472-1899-4262-a5c9-884b876bd8e3,54.13142,-134.11046,13.45115,6.89983,-7.92646,-9.50828,-1.04648,4.34916,-2.67311,104.966417,1.13284,138.75253,-27.52237,6.11035,-1.19565,0.19981,-0.02955,0.00335,-0.00018,2.04193,17.63278,-14.11931,-0.23919,0.35311,-0.12566,0.03461,-0.0065,0.00066,0.28631,-38.75598,-11.39642,4.71019,-1.53197,0.43458,-0.10898,0.02077,-0.00212,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-21,19:05:55.25,2,1,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Sandee, Nolan",1000380524,Left,NIU_HUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.29555,-3.82028,-0.005959,2327.337937,183.741262,12:00,6.95515,1.16125,6.52534,-14.65068,17.98253,1.11067,2.22423,1.24834,84.06021,-6.622956,0.195873,0.411151,,,,,,,,,,,,-0.58236,10.74162,-1.16127,50,6.68252,-0.03019,-132.54579,-9.22006,-1.04163,26.89279,-12.96131,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,a7991840-3dd6-11f1-b9f2-29ab97384828,91.67547,,,7.23534,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:05:55.25,2026-04-21T19:05:55.2504320-04:00,2026-04-21T23:05:55.2504320Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,5dbe8616-78f2-48a6-8e3d-ac232961055f,53.97317,-133.34948,13.44639,6.95228,-8.8327,-6.48065,-1.16083,0.00094,-0.52082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-21,19:06:16.68,2,2,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Sandee, Nolan",1000380524,Left,NIU_HUS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.09163,-3.812577,-1.86609,2366.03448,183.143753,12:00,6.86033,1.156,6.5578,-15.61871,17.07517,0.88433,2.05613,-0.48186,84.09398,-6.785218,-1.705439,0.411533,103.60375,-18.878228,69.226705,,,,,7.17872,7.17872,58.886509,0.042112,-0.94709,10.27997,-1.0277,50,6.59011,4.27491,-132.24121,-9.22824,-1.68941,26.26175,-13.8365,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,b45ee690-3dd6-11f1-b9f2-29ab97384828,91.59034,2.0731,,6.99765,,,,1.55929,2.0731,0.47761,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:06:16.68,2026-04-21T19:06:16.6895104-04:00,2026-04-21T23:06:16.6895104Z,GroundBall,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,ca0dc53f-db01-4133-adda-c6e14a0439bc,53.94245,-133.02183,13.13088,6.8583,-8.81696,-6.91825,-1.15552,4.32513,-0.8447,,1.55884,51.0598,,,,,,,,2.07353,-49.2287,,,,,,,,0.47643,134.60482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-21,19:06:39.42,2,3,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Sandee, Nolan",1000380524,Left,NIU_HUS,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.92287,-2.089527,-2.114254,1497.213761,217.135708,1:15,6.71844,1.42446,6.09863,-25.80171,11.55804,7.90622,2.63357,0.127,79.26033,-6.896057,-0.689483,0.43992,,,,,,,,,,,,-4.62339,6.86374,-1.26575,50,6.54385,4.29542,-124.79406,-5.35387,-7.33796,23.59956,-21.28031,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,c1ee9490-3dd6-11f1-b9f2-29ab97384828,85.68028,,,6.66255,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:06:39.42,2026-04-21T19:06:39.4205696-04:00,2026-04-21T23:06:39.4205696Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,403ab90e-e710-40d4-984a-36258d7ff238,54.40025,-125.62343,11.79978,6.71886,-4.60601,-10.64015,-1.42123,4.5533,-3.66898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,19:06:59.71,2,4,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Sandee, Nolan",1000380524,Left,NIU_HUS,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.76514,-2.650578,-2.598004,1463.244752,225.218938,1:30,6.65198,1.61463,6.06721,-25.44009,11.2806,10.25729,2.07479,0.0635,80.08955,-7.379309,-0.751112,0.436141,80.60307,16.012824,29.38857,2285.893033,92.21632,17.25163,59.96783,184.91763,184.37707,35.976419,2.050579,-6.0065,6.84815,-1.41877,50,6.43254,5.31637,-125.95107,-6.63445,-9.70852,24.09389,-21.10511,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,cdfef590-3dd6-11f1-b9f2-29ab97384828,86.4226,17.55226,,6.6756,,,,1.61119,2.31588,-0.1961,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:06:59.71,2026-04-21T19:06:59.7133824-04:00,2026-04-21T23:06:59.7133824Z,LineDrive,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,f9c37231-601d-4b12-990e-0ef9b8ed5c47,54.43338,-126.79632,12.04695,6.65229,-5.89405,-10.55256,-1.61125,5.65696,-4.85426,,1.61115,99.0122,-18.93123,4.35357,-1.39136,0.71327,-0.32754,0.08569,-0.00929,2.31591,32.60836,-18.5022,1.15892,0.10378,-0.27444,0.16151,-0.04478,0.00499,-0.19606,55.75823,-0.34694,-1.11619,0.83317,-0.60344,0.2974,-0.07957,0.00877,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-21,19:07:44.10,3,1,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Robertson, Caden",10957694,Right,NIU_HUS,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.05878,0.213048,-1.214285,2527.808279,25.348278,6:45,6.73194,1.15651,5.98151,-70.07689,-17.16406,-8.99083,1.08973,-0.71844,67.05956,-12.563518,-2.839467,0.523542,,,,,,,,,,,,4.22886,-8.40087,-1.05564,50,6.71033,2.55593,-106.1373,-1.7085,4.73003,21.46266,-41.57054,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,e8837120-3dd6-11f1-b9f2-29ab97384828,71.99501,,,5.99922,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:07:44.10,2026-04-21T19:07:44.1007104-04:00,2026-04-21T23:07:44.1007104Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,45657a1b-63f1-44c6-ba82-48f9ba80b7af,54.52218,-107.04785,10.73133,6.7454,0.05512,-20.78527,-1.15981,2.35526,2.36501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,19:08:02.71,3,2,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Robertson, Caden",10957694,Right,NIU_HUS,Undefined,1,Top,0,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.89507,-1.183904,-1.772634,2858.616614,52.096933,7:45,6.75686,1.46226,5.68645,-43.94349,-2.26965,-4.43547,1.99074,-0.5601,76.10448,-9.173521,-2.567097,0.464626,,,,,,,,,,,,1.82831,-0.58768,-1.31014,50,6.62904,3.85174,-119.03532,-3.94358,2.64022,21.4652,-33.0227,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,f391f280-3dd6-11f1-b9f2-29ab97384828,81.12434,,,5.79059,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:08:02.71,2026-04-21T19:08:02.7107840-04:00,2026-04-21T23:08:02.7107840Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,f258fcf8-ace3-433b-9d13-76cd73863767,54.81611,-119.90064,10.7326,6.76118,-2.61234,-16.51135,-1.46327,3.74531,1.32011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,19:08:28.64,3,3,"Luxem, Keegan",1000302732,Right,UIC_FLA,"Robertson, Caden",10957694,Right,NIU_HUS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.83548,-3.634089,-1.860706,2418.518876,184.120437,12:15,6.87822,0.93698,6.57325,-15.16269,17.09647,1.15969,2.27745,-0.67249,84.42786,-6.533315,-1.649976,0.408788,,,,,,,,,,,,-1.10602,10.26548,-0.80963,50,6.62147,4.28421,-133.28293,-8.85819,-1.99684,27.66467,-13.64067,UIC_FLA,NIU_HUS,CurtisGrandisonStadium,D1,MVC,20260421-CurtisGrandisonStadium-2,03030ab0-3dd7-11f1-b9f2-29ab97384828,92.20541,,,7.40762,,,,,,,00be42d6-87e6-401d-bfb7-441c0c87dc6c,2026-04-21,23:08:28.64,2026-04-21T19:08:28.6468608-04:00,2026-04-21T23:08:28.6468608Z,,v3,471318,471392,e52cf622a5b449a2a5e97e03745b342f,"Colon, Vidal",1000268582,Right,UIC_FLA,04a5b6bb-8dcc-41e7-bba0-eff3a85f4bea,53.92535,-134.09522,13.83233,6.87568,-8.45767,-6.82033,-0.93628,4.34284,-0.99842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
