PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,18:02:16.24,1,1,"Marsten, Duncan",824024,Right,WAK_DEA,"Truitt, Brantley",1000088222,Left,UNC_SPA,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,94.38243,-1.529197,-2.722665,2370.944619,232.221444,1:45,5.66591,1.56093,6.75258,-17.44891,13.18953,15.65532,2.81307,0.37663,85.5117,-4.888776,0.130837,0.398387,104.38798,19.236713,0.271937,1660.726892,109.88637,34.30658,-4.9943,354.43945,344.94237,-7.330153,3.482743,-9.13367,7.76138,-1.38776,50,5.55868,5.89693,-137.05321,-4.13475,-17.1895,33.26893,-17.56713,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,c2b248d0-3dcd-11f1-9499-4393a5276aa2,94.61274,43.76284,,8.87073,,,,1.25087,2.79713,-0.38204,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:02:16.24,2026-04-21T18:02:16.2485760-04:00,2026-04-21T22:02:16.2485760Z,LineDrive,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Conte, Matt",807266,Right,WAK_DEA,c0161053-9174-4812-a440-f7f7b294522c,53.74606,-137.95955,16.63447,5.66481,-3.65617,-8.78357,-1.55479,6.36522,-8.59475,132.738719,1.25094,144.54953,-24.08743,5.79721,-1.17275,0.19514,-0.02472,0.00184,-3E-05,2.79697,50.44845,-15.8628,-0.08203,0.25301,-0.05141,-0.00189,0.0027,-0.00032,-0.382,0.68448,-9.42766,3.30896,-0.92486,0.21034,-0.03642,0.004,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-21,18:02:48.85,2,1,"Marsten, Duncan",824024,Right,WAK_DEA,"Mueller, Jake",1000276602,Right,UNC_SPA,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,93.89621,-1.572792,-2.831388,2345.547567,236.432302,2:00,5.64995,1.49615,6.8407,-18.25194,12.64638,17.433,2.69259,0.36481,84.97446,-5.087675,0.351579,0.400073,98.2336,23.056723,14.247039,3407.621709,104.97434,41.64769,32.8692,337.54226,326.5454,23.657657,3.931979,-10.16162,7.52347,-1.32045,50,5.5423,6.0659,-136.34571,-4.23627,-18.89482,33.3988,-18.18465,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,d603cf80-3dcd-11f1-9499-4393a5276aa2,94.21399,52.87738,,8.92174,,,,0.86471,2.66205,-0.3632,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:02:48.85,2026-04-21T18:02:48.8508416-04:00,2026-04-21T22:02:48.8508416Z,FlyBall,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Conte, Matt",807266,Right,WAK_DEA,f1b9cc89-62f2-49fd-adc4-32ea182edcea,53.65818,-137.23888,16.6994,5.64909,-3.74996,-9.09232,-1.48943,6.5712,-9.44741,224.856056,0.8642,128.50365,-25.24109,6.19657,-1.48469,0.35419,-0.07501,0.01038,-0.00061,2.66248,56.41458,-16.72793,0.21499,0.31662,-0.14229,0.03473,-0.00398,0.00015,-0.36332,32.62861,3.88836,-2.26088,0.72353,-0.16465,0.02619,-0.00244,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-21,18:03:30.37,3,1,"Marsten, Duncan",824024,Right,WAK_DEA,"Dilley, Jacob",10056943,Right,UNC_SPA,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.3624,-2.439858,-3.681899,2541.690847,241.082601,2:00,5.70824,1.43672,6.69959,-18.88564,11.2776,18.50887,1.89751,-0.39218,86.41952,-6.048568,-0.314496,0.395285,,,,,,,,,,,,-10.84296,7.01111,-1.19788,50,5.53812,8.13134,-138.2523,-6.44709,-20.77227,33.7544,-18.74257,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,eed2f9f0-3dcd-11f1-9499-4393a5276aa2,95.35505,,,8.94288,,,,,,,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:03:30.37,2026-04-21T18:03:30.3761920-04:00,2026-04-21T22:03:30.3761920Z,,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Conte, Matt",807266,Right,WAK_DEA,6953a947-b4b1-40e3-9998-1ba5038e860a,53.79841,-139.1766,16.8772,5.70763,-5.93387,-9.37128,-1.42832,8.70014,-10.38614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,18:03:47.03,3,2,"Marsten, Duncan",824024,Right,WAK_DEA,"Dilley, Jacob",10056943,Right,UNC_SPA,Undefined,1,Top,2,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.94939,-2.672137,-3.651277,2485.628981,177.347252,12:00,5.58054,1.58495,6.48824,-28.76891,6.47386,-0.25213,0.72315,-1.79273,81.3847,-8.012615,-3.696943,0.427274,,,,,,,,,,,,-0.82079,4.42256,-1.32844,50,5.38001,8.15207,-127.60027,-6.84688,-1.36141,24.77196,-24.83857,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,f8c5f930-3dcd-11f1-9499-4393a5276aa2,88.2161,,,6.56469,,,,,,,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:03:47.03,2026-04-21T18:03:47.0311936-04:00,2026-04-21T22:03:47.0311936Z,,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Conte, Matt",807266,Right,WAK_DEA,5e218acb-0a72-4e93-b413-a131c6f88b17,54.01106,-128.37661,12.38598,5.58239,-6.06846,-12.41929,-1.58458,8.19474,-0.68071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-21,18:04:10.15,3,3,"Marsten, Duncan",824024,Right,WAK_DEA,"Dilley, Jacob",10056943,Right,UNC_SPA,Undefined,1,Top,2,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.50196,-1.996217,-3.502081,2372.064467,207.798798,1:00,5.57768,1.65978,6.64289,-30.95982,4.42784,1.65114,1.16626,-1.41233,79.96026,-7.810095,-3.201965,0.428151,,,,,,,,,,,,-2.05126,3.37666,-1.42394,50,5.4305,7.78577,-128.24236,-5.40789,-3.34785,31.46024,-26.66306,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,06919ec0-3dce-11f1-9499-4393a5276aa2,88.03528,,,8.5417,,,,,,,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:04:10.15,2026-04-21T18:04:10.1555200-04:00,2026-04-21T22:04:10.1555200Z,,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Conte, Matt",807266,Right,WAK_DEA,b8d452b3-a11a-4e8d-a2a2-2c4870db4fb3,53.85415,-129.18439,15.73012,5.58048,-4.6095,-13.33153,-1.65858,7.88602,-1.67392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,18:04:29.01,3,4,"Marsten, Duncan",824024,Right,WAK_DEA,"Dilley, Jacob",10056943,Right,UNC_SPA,Undefined,1,Top,2,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,94.34289,-0.461297,-3.08589,2270.120125,249.506084,2:15,5.66039,1.37343,6.87548,-23.37643,7.15949,16.34686,3.29135,-0.07926,85.42174,-4.912862,-0.100154,0.39772,98.16651,-13.244903,-14.486747,,,,,16.30572,15.94096,-12.864433,0.105685,-9.69162,4.24847,-1.18291,50,5.62273,6.75822,-137.03685,-1.79079,-18.21356,33.59279,-24.18987,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,11bd4510-3dce-11f1-9499-4393a5276aa2,94.77141,3.49437,,8.92114,,,,1.52249,3.49437,0.08342,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:04:29.01,2026-04-21T18:04:29.0119680-04:00,2026-04-21T22:04:29.0119680Z,GroundBall,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Conte, Matt",807266,Right,WAK_DEA,5aee0d35-48e1-41a9-837c-45786dab40e8,53.62396,-137.92236,16.79639,5.66153,-1.15315,-12.09493,-1.36738,7.23833,-9.10678,180,1.51713,136.00684,,,,,,,,3.49567,-33.06384,,,,,,,,0.08481,-35.1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-21,18:07:10.50,1,1,"Dear, Mayson",10074548,Right,UNC_SPA,"Williams, Javar",814191,Left,WAK_DEA,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.42723,-0.333133,-3.951506,2469.940969,222.741871,1:30,4.96941,2.81642,5.80892,-17.58399,15.71981,13.42827,3.19355,0.25499,83.25407,-3.685944,-1.553342,0.415354,89.11079,-25.924379,57.612153,,,,,8.17002,5.28455,41.297464,0.058527,-8.11012,8.46831,-2.50012,50,4.93181,8.64653,-133.81564,-1.32757,-14.51818,32.30973,-17.01469,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,72019660-3dce-11f1-9499-4393a5276aa2,90.74779,3.35393,,9.17317,,,,2.44229,3.35393,-0.43442,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:07:10.50,2026-04-21T18:07:10.5090048-04:00,2026-04-21T22:07:10.5090048Z,GroundBall,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Berry, Tanner",1000456586,Right,UNC_SPA,01adcc6c-7793-488d-a289-97deaa64c7af,54.68849,-134.94293,16.15487,4.96777,-0.73392,-8.50735,-2.81063,9.15306,-7.25909,180,2.44054,63.14714,,,,,,,,3.35551,-57.30598,,,,,,,,-0.43716,99.55065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-04-21,18:07:51.51,2,1,"Dear, Mayson",10074548,Right,UNC_SPA,"Wentz, Dalton",807275,Left,WAK_DEA,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.11188,0.582906,-2.840878,2459.870577,219.29292,1:15,5.10098,2.78887,6.02791,-21.04533,12.09146,8.9541,3.88772,0.90195,83.14843,-3.402666,-1.23261,0.414311,,,,,,,,,,,,-5.44807,6.36878,-2.57126,50,5.13527,6.23083,-133.53884,0.68746,-9.73164,31.65365,-20.79779,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,8a6d1d00-3dce-11f1-9499-4393a5276aa2,90.97619,,,8.96345,,,,,,,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:07:51.51,2026-04-21T18:07:51.5113984-04:00,2026-04-21T22:07:51.5113984Z,,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Berry, Tanner",1000456586,Right,UNC_SPA,22bcea2d-edfc-43e2-bb59-7d4ffa4551d0,54.46769,-134.59368,15.82683,5.10081,1.38053,-10.39889,-2.7843,6.55513,-4.86582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,18:08:05.61,2,2,"Dear, Mayson",10074548,Right,UNC_SPA,"Wentz, Dalton",807275,Left,WAK_DEA,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.0832,0.588243,-3.821643,2458.244673,212.833581,1:00,5.05214,2.81198,5.92742,-19.92729,13.29296,7.85815,3.93857,-0.08439,83.39866,-3.17999,-2.415603,0.414833,,,,,,,,,,,,-5.13114,6.95571,-2.5104,50,5.08802,8.56045,-133.39338,0.73571,-9.18547,30.42777,-19.7223,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,92e6e9c0-3dce-11f1-9499-4393a5276aa2,90.8618,,,8.68454,,,,,,,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:08:05.61,2026-04-21T18:08:05.6164352-04:00,2026-04-21T22:08:05.6164352Z,,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Berry, Tanner",1000456586,Right,UNC_SPA,bc6b7b07-617e-479a-8af6-14c84589eb66,54.56856,-134.43146,15.21389,5.05144,1.40856,-9.86115,-2.80779,8.87382,-4.59274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,18:08:23.14,2,3,"Dear, Mayson",10074548,Right,UNC_SPA,"Wentz, Dalton",807275,Left,WAK_DEA,Undefined,1,Bottom,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.18221,1.140466,-4.665986,1447.605681,220.65727,1:15,4.98317,2.83843,5.74431,-25.01427,13.47875,10.40343,3.96415,-0.64854,77.59456,-3.563341,-2.814348,0.446542,,,,,,,,,,,,-6.69638,6.8876,-2.45597,50,5.06324,9.71862,-124.57209,1.6973,-10.39954,27.75498,-21.47754,WAK_DEA,UNC_SPA,David F. Couch,D1,ACC,20260421-David F. Couch-1,9d4c80f0-3dce-11f1-9499-4393a5276aa2,84.40958,,,8.58765,,,,,,,5080b733-c86c-4950-9a79-da1e7f074436,2026-04-21,22:08:23.14,2026-04-21T18:08:23.1498752-04:00,2026-04-21T22:08:23.1498752Z,,v3,471484,471372,bd35d9c17dd04fd18acf787020aaedc4,"Berry, Tanner",1000456586,Right,UNC_SPA,f34a8f38-95e9-4881-a364-6464c49c943c,54.75035,-125.62602,13.87749,4.98331,2.51286,-10.73877,-2.83251,10.11352,-5.19977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
