PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,18:05:22.72,1,1,"Richardson, Cole",835277,Right,SOU_GOL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.36727,-2.659712,-4.961755,1983.390386,244.339885,2:15,5.41857,2.28814,6.25993,-22.20824,10.08304,18.50403,1.1045,-0.75631,84.16893,-6.853632,-1.631219,0.408991,,,,,,,,,,,,-11.2754,6.4363,-1.92854,50,5.20976,10.94407,-134.96725,-6.99987,-20.4671,33.73936,-20.49087,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,938f6520-3dd6-11f1-9ad9-e78d94f04df3,92.15951,,,9.19834,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:05:22.72,2026-04-21T18:05:22.7260416-05:00,2026-04-21T23:05:22.7260416Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,38ffb972-baac-4a34-a077-c4b604d81ac1,54.23869,-136.02271,16.86968,5.41871,-6.35886,-10.24543,-2.28092,11.58434,-10.23355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,18:05:37.96,1,2,"Richardson, Cole",835277,Right,SOU_GOL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,1,0,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.3363,-1.696013,-3.865808,2144.050434,247.923687,2:15,5.31109,2.44147,6.17232,-24.11895,9.04268,19.18147,1.73075,0.46412,82.84403,-6.247965,-0.411105,0.414467,87.52982,-29.087375,7.345527,,,,,4.34066,4.34066,-0.908264,0.027451,-11.20729,5.61229,-2.15803,50,5.17039,8.20496,-133.6495,-4.75129,-19.84995,34.38328,-22.23376,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,9ca63530-3dd6-11f1-9ad9-e78d94f04df3,90.94205,1.71587,,9.49226,,,,1.28101,1.71587,-0.46316,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:05:37.96,2026-04-21T18:05:37.9625984-05:00,2026-04-21T23:05:37.9625984Z,GroundBall,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,8d6e4090-fdad-4afc-b53a-0cf22c47d5d5,54.32441,-134.75742,17.19164,5.31194,-4.03486,-11.11688,-2.43273,8.84458,-9.92497,,1.28024,111.44024,,,,,,,,1.71631,-62.50768,,,,,,,,-0.46326,14.36584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2026-04-21,18:06:17.35,2,1,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64564,-0.813951,-5.487992,1942.764855,259.401922,2:45,5.44766,2.52963,6.25527,-29.36147,5.34922,21.00107,2.2468,-0.79646,80.57314,-6.343168,-1.712522,0.424036,,,,,,,,,,,,-12.79871,3.48839,-2.13071,50,5.37307,11.67278,-130.85761,-2.8336,-21.54939,35.06528,-26.30062,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,b425fc40-3dd6-11f1-9ad9-e78d94f04df3,88.88966,,,10.0725,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:06:17.35,2026-04-21T18:06:17.3586944-05:00,2026-04-21T23:06:17.3586944Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,a86175dc-9cd9-4d42-9374-4181116bd974,54.24002,-131.9889,17.53264,5.4508,-1.98508,-13.15031,-2.51852,12.36801,-10.7747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,18:06:50.55,2,2,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,1,0,,76.07065,1.158999,-2.859244,1539.062472,300.779684,4:00,5.46039,2.67983,6.47506,-54.99239,-6.68174,14.28658,1.94346,1.24257,68.54216,-9.088589,-0.264631,0.500257,,,,,,,,,,,,-8.45056,-3.33622,-2.48419,50,5.51889,5.0201,-110.32422,0.66799,-10.1539,24.21553,-36.18273,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,c8093ba0-3dd6-11f1-9ad9-e78d94f04df3,75.34621,,,7.52849,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:06:50.55,2026-04-21T18:06:50.5510000-05:00,2026-04-21T23:06:50.5510000Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,77ecb22a-9573-418c-afde-184e068d6028,54.02336,-111.20382,12.10777,5.47075,1.98228,-18.09137,-2.67324,5.38893,-5.07695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.04914,2.167527,0.950682,1.216846,0.6582,1.82104,-1.23931,-0.43593,6.08423,-0.88061,127.28001,3.37271,-1.87249,-0.25681,119.40559,-12.14173,6.05618,9.00898,-9.19726,-0.88715,-1.24274,0.36105,High,High,High,,,High,Medium,Medium
5,2026-04-21,18:07:25.07,2,3,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.50769,0.191913,-3.187655,1619.825189,274.482864,3:15,5.31962,2.47696,6.6814,-44.48723,0.25772,17.47737,1.78816,1.01467,71.00993,-8.155453,-0.003445,0.481441,,,,,,,,,,,,-10.34312,0.49122,-2.27046,50,5.31509,5.76709,-113.94426,-0.82525,-13.33496,24.7142,-31.54076,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,dc89f380-3dd6-11f1-9ad9-e78d94f04df3,78.2908,,,7.49776,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:07:25.07,2026-04-21T18:07:25.0728448-05:00,2026-04-21T23:07:25.0728448Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,de799e5e-c399-414f-abf0-a4fe8964359b,53.81798,-114.76938,12.3571,5.32506,0.22779,-15.77038,-2.47043,6.21229,-6.66748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,18:07:44.41,2,4,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,0,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,79.3791,-0.441441,-1.551752,1869.067227,298.521678,4:00,5.40486,2.54038,6.17046,-52.92192,-8.00898,17.88469,0.58682,2.59721,71.64718,-10.213681,1.687004,0.482344,,,,,,,,,,,,-9.76953,-3.43839,-2.43152,50,5.34546,2.45316,-115.16201,-2.55546,-12.75819,26.88002,-36.66432,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,e8117570-3dd6-11f1-9ad9-e78d94f04df3,78.14425,,,7.73191,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:07:44.41,2026-04-21T18:07:44.4152320-05:00,2026-04-21T23:07:44.4152320Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,0814342d-55bc-43ad-9e9d-f5ac08520641,54.32799,-116.16781,13.44001,5.41541,-1.18354,-18.33216,-2.53224,2.93055,-6.37909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,18:08:01.81,2,5,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.88926,-0.994557,-3.097702,1775.414719,344.117988,5:30,5.46296,2.4095,5.77697,-40.85628,1.03413,0.16299,1.13141,-0.46207,74.5729,-8.53063,-3.068522,0.465831,,,,,,,,,,,,-1.17764,1.30827,-2.15367,50,5.3563,6.48552,-119.96103,-3.45029,-1.67236,28.71243,-30.31617,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,f26c3730-3dd6-11f1-9ad9-e78d94f04df3,80.91435,,,8.31635,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:08:01.81,2026-04-21T18:08:01.8147840-05:00,2026-04-21T23:08:01.8147840Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,0deb4a06-bcd6-4ed4-9a98-84ebb39a007e,54.71936,-121.08533,14.35621,5.46816,-2.26319,-15.15809,-2.40891,6.55101,-0.83618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-21,18:08:20.45,2,6,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,2,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.91605,-2.528912,-3.841376,2078.396043,247.56687,2:15,5.41594,2.34276,6.13703,-24.35781,9.11382,19.03312,1.04213,0.37335,82.74587,-7.108958,-0.414478,0.416399,,,,,,,,,,,,-11.09571,5.90973,-2.05898,50,5.21011,8.11541,-132.99746,-6.68314,-19.50621,33.44554,-21.78478,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,fd819660-3dd6-11f1-9ad9-e78d94f04df3,90.51997,,,9.17017,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:08:20.45,2026-04-21T18:08:20.4528640-05:00,2026-04-21T23:08:20.4528640Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,ad862f56-7cf1-45fe-85c2-066f6ee2525c,54.36012,-134.08944,16.72277,5.4167,-5.97188,-10.89239,-2.33434,8.75228,-9.7531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,18:08:39.26,2,7,"Richardson, Cole",835277,Right,SOU_GOL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,3,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.78428,0.555391,-2.963773,1588.943787,289.710812,3:45,5.41487,2.39063,6.5414,-49.93916,-4.10524,16.10469,1.76334,1.01207,70.41727,-8.760267,-0.035295,0.487265,,,,,,,,,,,,-9.38402,-1.7889,-2.19134,50,5.43316,5.28332,-112.87323,-0.33546,-11.87399,24.2212,-34.43762,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,08c35cc0-3dd7-11f1-9ad9-e78d94f04df3,77.35517,,,7.36701,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:08:39.26,2026-04-21T18:08:39.2660000-05:00,2026-04-21T23:08:39.2660000Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,478ab064-9d10-49d9-8a5c-c5b1e0c7955f,53.95696,-113.71917,12.1106,5.42387,0.8673,-17.21881,-2.3831,5.69803,-5.93699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8239,,1.543322,,-0.75811,1.42004,-1.01305,-0.94915,5.42766,0.16712,,,,-0.76139,89.35878,-6.50991,5.58687,23.32387,-14.90862,0.0624,-26.06093,2.91513,High,High,High,,,High,High,Low
10,2026-04-21,18:09:10.81,3,1,"Richardson, Cole",835277,Right,SOU_GOL,"Haas, Matthias",809920,Right,TUL_GRE,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.92377,-1.786023,-4.197803,2066.20474,237.016061,2:00,5.40321,2.21074,6.30174,-19.44036,12.8591,18.05489,2.13272,-0.15914,84.03793,-5.486856,-0.941853,0.409043,,,,,,,,,,,,-10.61536,7.56063,-1.9101,50,5.26238,9.10472,-134.57784,-4.79136,-19.26516,32.0464,-18.4527,SOU_GOL,TUL_GRE,HillDensonField,D1,SBELT,20260421-HillDensonField-1,1b877080-3dd7-11f1-9ad9-e78d94f04df3,92.14785,,,8.88585,,,,,,,f4249ada-342a-4587-a03c-b5c6aae8d616,2026-04-21,23:09:10.81,2026-04-21T18:09:10.8102656-05:00,2026-04-21T23:09:10.8102656Z,,v3,471449,471471,ec8b745a60c84775a2411bfd73f25592,"Stockman, Tucker",838152,Right,SOU_GOL,a15d98d5-899c-4ae6-a481-2fd7d6c8578b,54.19531,-135.57316,16.0232,5.40229,-4.21824,-9.22635,-2.20218,9.70308,-9.63258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
