PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,15:01:00.48,1,1,"Freitas, Cody",1000463336,Right,JOH_LOG,"Adams, Bryce",1000516570,Right,WAB_VAL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.79561,-2.378442,-4.638878,2308.862747,219.840817,1:15,5.44242,2.90258,5.57958,-12.34446,23.58068,18.51324,2.18387,0.10353,80.36654,-4.81358,-1.35053,0.431391,79.52931,-6.058443,-68.317249,,,,,23.37144,9.83499,-58.953241,0.186504,-10.9928,13.1543,-2.51572,50,5.2299,9.70798,-129.67561,-5.71031,-18.35825,31.98035,-10.20606,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,d1fde760-3dbc-11f1-9db3-3bc8679b4296,87.37427,2.3007,,9.42907,,,,4.04459,2.3007,0.11982,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:01:00.48,2026-04-21T15:01:00.4829184-05:00,2026-04-21T20:01:00.4829184Z,GroundBall,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,5113ee66-bcc7-4f47-923d-57a0bd093361,54.91772,-130.88279,15.99018,5.43818,-5.32506,-5.10303,-2.89525,10.40096,-9.17912,180,4.04196,42.94251,,,,,,,,2.30146,-12.33596,,,,,,,,0.12642,-108.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2026-04-21,15:01:32.45,1,2,"Freitas, Cody",1000463336,Right,JOH_LOG,"Adams, Bryce",1000516570,Right,WAB_VAL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.87178,-2.28087,-5.514517,2328.837727,214.430652,1:15,5.54632,2.85694,5.49261,-15.92906,20.03533,12.64131,2.07424,-1.26407,79.92115,-5.378421,-3.278879,0.431626,,,,,,,,,,,,-8.45552,11.37241,-2.38165,50,5.33574,12.01956,-130.6907,-5.67482,-14.08418,37.00466,-13.23127,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,e5104230-3dbc-11f1-9db3-3bc8679b4296,87.32659,,,10.95063,,,,,,,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:01:32.45,2026-04-21T15:01:32.4534272-05:00,2026-04-21T20:01:32.4534272Z,,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,b9363e79-d85a-448f-b731-589fbc825f7f,54.99802,-132.09829,18.50233,5.54203,-5.17153,-6.61563,-2.84904,12.5553,-7.04209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,15:01:48.11,1,3,"Freitas, Cody",1000463336,Right,JOH_LOG,"Adams, Bryce",1000516570,Right,WAB_VAL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.15974,-2.570258,-6.496172,2349.66654,211.034649,1:00,5.65512,2.55572,5.41449,-13.4278,22.76879,12.68705,2.11114,-2.49883,79.63142,-5.235594,-4.263484,0.433017,,,,,,,,,,,,-8.93544,12.86115,-1.985,50,5.41672,14.27271,-130.72387,-6.22818,-14.80665,38.4165,-10.86221,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,ee646960-3dbc-11f1-9db3-3bc8679b4296,87.04601,,,11.52831,,,,,,,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:01:48.11,2026-04-21T15:01:48.1103360-05:00,2026-04-21T20:01:48.1103360Z,,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,47fe5b8a-44c4-492b-8277-0a856981ebef,55.0746,-132.20676,19.20825,5.64904,-5.80889,-5.43111,-2.54697,14.84425,-7.40333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,15:02:05.16,1,4,"Freitas, Cody",1000463336,Right,JOH_LOG,"Adams, Bryce",1000516570,Right,WAB_VAL,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.4968,-3.1965,-5.216685,2446.034844,223.26286,1:30,5.51146,3.00644,5.3864,-16.10379,19.956,17.36426,1.15786,-0.44962,80.4016,-6.29805,-2.147087,0.432198,101.62192,-1.28726,5.929087,,,,,29.83625,27.49493,7.229369,0.19567,-10.63579,11.5967,-2.55204,50,5.21396,11.09829,-130.29347,-7.78822,-17.77639,34.44707,-12.79167,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,f8913d50-3dbc-11f1-9db3-3bc8679b4296,87.21099,1.17094,,10.09521,,,,1.39804,1.17094,0.45822,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:02:05.16,2026-04-21T15:02:05.1623936-05:00,2026-04-21T20:02:05.1623936Z,GroundBall,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,3df5000b-5a72-41b2-8d9f-f43ae42b26e8,55.10881,-131.63721,17.22353,5.50804,-7.28924,-6.39583,-2.99849,11.79172,-8.8882,259.084052,1.39921,148.13141,-20.53205,,,,,,,1.17121,-3.367,-13.39046,,,,,,,0.45748,15.44185,7.21861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-21,15:02:42.40,2,1,"Freitas, Cody",1000463336,Right,JOH_LOG,"Dixon, Andrew",1000516563,Right,WAB_VAL,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Triple,0,0,,89.5079,-1.955107,-5.104787,2426.268744,222.747356,1:30,5.36497,3.21235,5.4647,-18.75143,18.09328,15.27198,1.96453,-0.30535,79.15893,-5.547974,-2.400884,0.436877,95.75254,40.771012,2.324036,3689.606551,109.99934,84.8215,-0.21283,383.88934,383.88934,-4.216544,5.617246,-9.63552,10.27674,-2.77306,50,5.18024,10.82898,-128.95833,-4.99706,-15.69668,34.96365,-15.43278,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,0ec04170-3dbd-11f1-9db3-3bc8679b4296,86.27709,116.67039,,10.34897,,,,3.2303,2.22921,0.23825,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:02:42.40,2026-04-21T15:02:42.4090624-05:00,2026-04-21T20:02:42.4090624Z,FlyBall,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,3fd52ea1-1abf-4bff-a807-cf110b1fe85d,55.02948,-130.31481,17.48182,5.36249,-4.39832,-7.71639,-3.205,11.43796,-7.84834,160.930193,3.23425,106.18285,-20.83234,5.52504,-0.90072,0.05467,0.00855,-0.00165,8E-05,2.22777,91.72969,-21.05694,1.02333,0.20939,-0.16253,0.04676,-0.00645,0.00034,0.23959,4.28479,-5.34158,1.57554,-0.30358,0.03102,-8E-05,-0.00028,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-21,15:03:28.20,3,1,"Freitas, Cody",1000463336,Right,JOH_LOG,"Veach, Enrico",10294290,Right,WAB_VAL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.42577,-0.309102,-4.265269,2432.31183,247.516303,2:15,5.12795,3.53087,5.50516,-43.16727,2.75567,2.57854,1.24079,-0.25057,71.80123,-8.227801,-3.80732,0.487737,,,,,,,,,,,,-2.73768,1.91945,-3.15977,50,5.07188,8.4642,-114.83675,-2.04543,-3.58644,25.02936,-29.6595,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,2a0ec3c0-3dbd-11f1-9db3-3bc8679b4296,77.28017,,,7.62454,,,,,,,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:03:28.20,2026-04-21T15:03:28.2066432-05:00,2026-04-21T20:03:28.2066432Z,,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,7e233aa6-a007-4087-9c4f-2dc986937abe,54.99191,-115.91966,12.51468,5.13261,-0.76219,-14.82975,-3.52933,8.61937,-1.79322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,15:03:46.83,3,2,"Freitas, Cody",1000463336,Right,JOH_LOG,"Veach, Enrico",10294290,Right,WAB_VAL,Undefined,1,Top,1,0,1,Slider,Slider,InPlay,Undefined,FlyBall,HomeRun,0,2,,78.53131,0.129088,-4.039662,2664.376283,159.377083,11:15,5.00867,3.51854,5.63405,-40.10376,5.94807,-1.68228,1.78743,-0.39677,71.92657,-7.236232,-4.33894,0.488422,102.18742,22.947169,2.93035,2480.958431,109.68208,42.09824,8.35195,395.99545,395.99545,7.131175,4.192369,-0.30819,3.38677,-3.17337,50,4.99394,8.09746,-113.76372,-1.01552,-0.40237,21.59579,-27.75212,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,352b9d00-3dbd-11f1-9db3-3bc8679b4296,77.17194,59.16031,,6.60474,,,,1.41302,1.82777,0.40168,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:03:46.83,2026-04-21T15:03:46.8383232-05:00,2026-04-21T20:03:46.8383232Z,LineDrive,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,16c736cc-a4aa-4818-ba6c-33f4a2902fad,54.86414,-114.68336,10.7979,5.01202,0.16629,-13.87606,-3.51856,8.1146,-0.20118,198.854905,1.41273,137.84236,-23.92736,6.34671,-1.48674,0.34269,-0.06953,0.00929,-0.00054,1.82885,58.40499,-14.86,-0.74173,0.75992,-0.31674,0.07941,-0.01056,0.00056,0.40171,7.05467,2.58736,-0.82295,0.23995,-0.06107,0.01205,-0.00149,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-21,15:04:29.65,4,1,"Freitas, Cody",1000463336,Right,JOH_LOG,"Schallmoser, Brady",1000516568,Left,WAB_VAL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.49164,-1.740564,-4.182139,2389.230622,227.1569,1:30,5.44933,2.96667,5.43032,-17.32926,19.04722,18.74489,2.37029,0.60511,79.17887,-5.103619,-0.857568,0.434092,,,,,,,,,,,,-11.02237,10.68418,-2.60881,50,5.28361,8.63695,-130.3645,-4.4787,-18.16515,38.19803,-14.56623,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,4eae11e0-3dbd-11f1-9db3-3bc8679b4296,86.83051,,,11.31277,,,,,,,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:04:29.65,2026-04-21T15:04:29.6561664-05:00,2026-04-21T20:04:29.6561664Z,,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,e9448bd1-6a05-4ac3-aefe-9b6b1b84f5af,55.05995,-131.83877,19.09902,5.44562,-3.91651,-7.28311,-2.95568,9.33804,-9.08258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,15:04:42.44,4,2,"Freitas, Cody",1000463336,Right,JOH_LOG,"Schallmoser, Brady",1000516568,Left,WAB_VAL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.34853,-1.935268,-4.61599,2251.373672,225.172358,1:30,5.42577,3.0443,5.48854,-17.18044,17.92615,16.58863,2.17704,0.09905,81.17573,-5.231449,-1.673824,0.426448,,,,,,,,,,,,-10.0363,10.12713,-2.65102,50,5.24479,9.87647,-131.79305,-4.9992,-17.17092,35.12434,-14.84771,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,564e95a0-3dbd-11f1-9db3-3bc8679b4296,88.38705,,,10.1728,,,,,,,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:04:42.44,2026-04-21T15:04:42.4455680-05:00,2026-04-21T20:04:42.4455680Z,,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,db2a8742-96ca-4f3a-8bb2-66de4a7a49ea,55.00636,-133.12061,17.56217,5.42313,-4.43802,-7.42386,-3.03658,10.52547,-8.58546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,15:05:01.90,4,3,"Freitas, Cody",1000463336,Right,JOH_LOG,"Schallmoser, Brady",1000516568,Left,WAB_VAL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.10403,-0.536187,-3.89101,2265.52305,215.982472,1:15,5.53398,2.78203,5.44796,-15.03001,21.09001,14.23682,3.77832,0.32001,79.8096,-3.466865,-1.365397,0.432559,70.29215,36.244645,-166.369637,2229.484619,-106.82275,39.31869,-26.2466,176.84906,74.25488,-166.774292,2.776842,-8.55406,11.19186,-2.44816,50,5.47702,8.18916,-130.11584,-1.63423,-14.23883,34.68575,-13.5444,JOH_LOG,WAB_VAL,JohnALogan,JUCO,NJCAA,20260421-JohnALogan-1,61e66b40-3dbd-11f1-9db3-3bc8679b4296,87.13826,40.489,,10.29443,,,,0.77384,3.83376,-0.32163,c20eee9e-5ddd-432b-9f29-e8080b59e256,2026-04-21,20:05:01.90,2026-04-21T15:05:01.9072000-05:00,2026-04-21T20:05:01.9072000Z,FlyBall,v3,643-147403,643-147619,020k8wk9ydar6pgx,"Craft, Eli",1000463339,Right,JOH_LOG,09907265-b5be-4230-8d3f-6e3f6f7a4854,55.04511,-131.45387,17.34288,5.52999,-1.11175,-6.7722,-2.77466,8.73844,-7.11941,358.505001,0.77406,-80.81408,7.12484,-0.47668,0.38054,-0.29765,0.14154,-0.03299,0.00293,3.83377,60.95408,-28.94769,3.69248,-0.79887,0.17188,-0.03504,0.00689,-0.00072,-0.32156,-19.59726,1.5246,0.10476,0.07754,-0.09482,0.04882,-0.01151,0.00102,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
