PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,19:02:05.79,1,1,"Bell, Talan",803829,Left,CLE_TIG,"Bentley, Trey",812939,Right,USC_UPS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.6409,0.478956,2.119834,2090.246373,139.559866,10:45,5.35825,-1.32599,4.85592,-21.96741,13.75981,-10.66819,3.98132,-0.20753,81.82644,-3.599521,0.24327,0.430201,,,,,,,,,,,,5.84335,6.97685,1.12625,50,5.38755,-4.32444,-131.216,0.26795,10.09715,30.06824,-20.11825,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,1e276530-3dd6-11f1-8fe8-716dc0fac3cb,87.61596,,,8.81445,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:02:05.79,2026-04-21T19:02:05.7900000-04:00,2026-04-21T23:02:05.7900000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,48c2035c-eba2-4fe8-b000-a981d0f40862,55.639,-132.50188,15.03412,5.3577,1.12832,-10.05913,1.32042,-4.75625,5.04858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,19:02:22.28,1,2,"Bell, Talan",803829,Left,CLE_TIG,"Bentley, Trey",812939,Right,USC_UPS,Undefined,1,Top,0,1,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.87617,-0.2178,0.801753,2000.851236,138.531715,10:30,5.22508,-1.35703,4.82732,-21.81249,13.67757,-11.0119,3.20108,-1.51533,82.27107,-4.258388,-1.136178,0.42877,,,,,,,,,,,,5.62016,7.14107,1.28744,50,5.18546,-1.29446,-131.66266,-1.33307,9.78902,29.97363,-19.73595,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,27f61390-3dd6-11f1-8fe8-716dc0fac3cb,87.9082,,,8.60509,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:02:22.28,2026-04-21T19:02:22.2860000-04:00,2026-04-21T23:02:22.2860000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,66d89e34-a24d-4ef1-a056-466f2a27716d,55.66841,-132.94683,14.98681,5.22446,-0.48751,-9.86798,1.35188,-1.71386,4.89451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,19:02:37.43,1,3,"Bell, Talan",803829,Left,CLE_TIG,"Bentley, Trey",812939,Right,USC_UPS,Undefined,1,Top,0,2,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.46915,-1.570447,1.51638,2056.225102,131.63197,10:30,5.29573,-1.20657,4.82337,-21.91013,13.22627,-13.48855,1.98157,-0.89406,82.77771,-5.618848,-0.857652,0.426629,,,,,,,,,,,,7.05083,7.33922,1.06824,50,5.12172,-2.82928,-132.42147,-4.4777,12.40042,30.79366,-19.26644,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,310653f0-3dd6-11f1-8fe8-716dc0fac3cb,88.34951,,,8.69144,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:02:37.43,2026-04-21T19:02:37.4350000-04:00,2026-04-21T23:02:37.4350000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,17b1ef57-4416-4377-8691-5520fa8d8555,55.67246,-133.73405,15.39683,5.29508,-3.65646,-9.63322,1.20011,-3.35785,6.20021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,19:02:54.16,1,4,"Bell, Talan",803829,Left,CLE_TIG,"Bentley, Trey",812939,Right,USC_UPS,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.72093,-0.783106,1.856546,2121.279383,144.214735,10:45,5.26604,-1.28115,5.18514,-18.68036,15.6278,-10.4326,2.97215,-0.40325,83.24064,-4.283034,0.009466,0.42157,97.01087,22.902415,7.886473,3522.931412,107.7509,43.66207,22.12873,340.98063,330.50722,19.722369,4.297405,5.7654,8.36611,1.11702,50,5.17965,-3.81822,-132.96858,-2.47911,10.26171,30.06808,-17.28334,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,3af7cc90-3dd6-11f1-8fe8-716dc0fac3cb,89.40959,58.3832,,8.48029,,,,1.1386,3.00503,0.40279,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:02:54.16,2026-04-21T19:02:54.1690000-04:00,2026-04-21T23:02:54.1690000Z,LineDrive,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,ba114e9a-cefa-4daf-9e96-fdeab78b1750,55.31295,-134.16462,15.03404,5.26458,-1.79162,-8.64167,1.27702,-4.2264,5.13086,216.275641,1.13841,129.82866,-26.23735,5.98494,-1.2874,0.2738,-0.05062,0.00612,-0.00032,3.00557,55.36146,-14.32462,0.06206,0.21106,-0.10151,0.02614,-0.00311,0.00013,0.40274,17.98738,5.8203,-1.98291,0.53174,-0.1264,0.02397,-0.00284,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-21,19:03:27.64,2,1,"Bell, Talan",803829,Left,CLE_TIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.11352,-0.603375,0.564962,2126.720398,139.057035,10:45,5.28405,-1.27373,5.14842,-20.01607,14.68847,-11.75827,3.04794,-1.72168,82.93545,-4.333339,-1.516664,0.423999,,,,,,,,,,,,5.98489,7.81548,1.23022,50,5.21268,-0.73984,-132.16109,-2.11216,10.55391,28.94519,-18.39197,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,4ef2b2a0-3dd6-11f1-8fe8-716dc0fac3cb,88.89755,,,8.17806,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:03:27.64,2026-04-21T19:03:27.6400000-04:00,2026-04-21T23:03:27.6400000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,988356ad-ddb7-4026-a580-0408154cf345,55.34854,-133.32735,14.4726,5.28286,-1.37111,-9.19599,1.26859,-1.16508,5.27695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,19:03:41.56,2,2,"Bell, Talan",803829,Left,CLE_TIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.59025,0.627617,0.997443,2269.015513,293.570871,3:45,5.39811,-1.21561,4.37463,-44.13219,-0.88579,5.06122,2.3199,0.15878,75.91679,-7.266605,1.881432,0.473311,,,,,,,,,,,,-2.18299,-0.20543,1.10348,50,5.4213,-2.31883,-119.76449,-0.49085,-3.1794,22.53247,-32.47323,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,57432570-3dd6-11f1-8fe8-716dc0fac3cb,79.63573,,,6.67347,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:03:41.56,2026-04-21T19:03:41.5680000-04:00,2026-04-21T23:03:41.5680000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,862e10ba-0dc5-4938-a48a-ed1781d344a8,56.125,-120.91135,11.26623,5.40422,1.16198,-16.23662,1.21739,-2.15701,-1.5897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,19:03:56.09,2,3,"Bell, Talan",803829,Left,CLE_TIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.12313,1.007774,2.910983,2242.710058,319.907023,4:45,5.34489,-1.12194,4.61511,-49.02585,-5.32469,5.65953,2.2189,2.11975,75.18145,-7.777294,3.901662,0.475793,,,,,,,,,,,,-1.91874,-2.4565,0.81683,50,5.40328,-6.30254,-118.91951,0.13549,-2.7377,23.57661,-35.679,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,5fec8db0-3dd6-11f1-8fe8-716dc0fac3cb,79.22029,,,6.94168,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:03:56.09,2026-04-21T19:03:56.0990000-04:00,2026-04-21T23:03:56.0990000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,eee27959-d717-47e7-a762-cd52bf071420,55.88453,-120.08049,11.78831,5.35335,1.89243,-17.8395,1.12387,-6.16772,-1.36885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-21,19:04:11.77,2,4,"Bell, Talan",803829,Left,CLE_TIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.56296,-1.12861,2.844126,2144.679145,141.385918,10:45,5.26478,-1.1003,5.48036,-20.30572,14.32099,-10.55926,2.51519,0.6831,82.76009,-4.921105,0.966051,0.423523,56.45401,34.304112,118.385356,4702.69212,,,,,39.91865,,,6.12036,7.86493,0.85805,50,5.15206,-6.05184,-131.34068,-3.28804,10.70001,27.59644,-18.42413,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,69412a10-3dd6-11f1-8fe8-716dc0fac3cb,88.99737,23.43235,,7.80288,,,,0.30596,2.39087,-0.72255,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:04:11.77,2026-04-21T19:04:11.7770000-04:00,2026-04-21T23:04:11.7770000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,7fcd739d-9cb9-4e79-8abc-533600d42946,55.01856,-132.39095,13.79822,5.26386,-2.58685,-9.21206,1.09612,-6.45907,5.35,307.191787,0.30596,-32.51575,-2.19761,1.3133,-0.36455,0.01356,0.11338,-0.11339,0.04309,2.39087,46.66437,-21.95165,1.94951,-0.3707,0.03706,0.02642,-0.02908,0.01114,-0.72255,60.17351,-7.81522,1.2115,-0.21601,-0.01219,0.04227,-0.04027,0.01503,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-04-21,19:04:34.45,2,5,"Bell, Talan",803829,Left,CLE_TIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,1,2,2,Curveball,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,81.19263,1.484999,-0.706431,2432.538369,305.753381,4:15,5.30565,-1.10659,4.62752,-48.85885,-4.46953,8.11481,2.64608,-1.10189,74.50026,-7.288761,0.717843,0.479524,,,,,,,,,,,,-4.13618,-2.12689,1.17127,50,5.4131,1.087,-117.75569,1.11773,-5.8156,22.0746,-35.16452,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,76cabd90-3dd6-11f1-8fe8-716dc0fac3cb,78.60379,,,6.69237,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:04:34.45,2026-04-21T19:04:34.4540000-04:00,2026-04-21T23:04:34.4540000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,2f9e9813-5b83-4e7a-9859-12cef69e66a0,55.87227,-118.85142,11.0373,5.3143,2.8632,-17.58226,1.11015,1.37567,-2.9078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.93989,2.924765,1.877402,1.047363,-2.15265,2.16985,1.05425,-4.63058,5.32897,3.3071,72.00591,9.94687,52.78249,-4.51847,81.75695,-8.27481,5.38353,19.53372,-14.47658,3.30147,48.46434,-1.16682,High,High,High,,,High,Medium,High
10,2026-04-21,19:05:02.91,3,1,"Bell, Talan",803829,Left,CLE_TIG,"Lang, Tyler",1000211515,Right,USC_UPS,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.97224,-0.370672,0.902627,2086.104418,145.157608,10:45,5.35142,-1.2186,5.24307,-23.69411,11.53166,-7.27863,3.0285,-0.97678,82.47708,-4.746804,-0.388322,0.427171,,,,,,,,,,,,3.86847,6.19095,1.14125,50,5.29999,-1.72102,-130.62121,-1.71944,6.71053,26.47377,-21.43481,CLE_TIG,USC_UPS,KingsmoreStadium,D1,ACC,20260421-KingsmoreStadium-1,87b70410-3dd6-11f1-8fe8-716dc0fac3cb,88.23739,,,7.49516,,,,,,,194b1cbb-c3e5-4c90-93d3-885f03d3cb26,2026-04-21,23:05:02.91,2026-04-21T19:05:02.9110000-04:00,2026-04-21T23:05:02.9110000Z,,v3,471272,471513,5e1f18aef47b4ba28faee318521b9ee1,"Jarrell, Jacob",703447,Right,CLE_TIG,66034e22-743a-4ffd-8b67-44c379fd1284,55.255,-131.68196,13.23689,5.35168,-0.86059,-10.71741,1.21559,-1.9899,3.35526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
