PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,15:20:06.66,1,1,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f0-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:06.66,2026-04-21T15:20:06.6680000-04:00,2026-04-21T19:20:06.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,7fffdc78-86f6-492e-b49c-233bfc5a620e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-21,15:20:11.66,1,2,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,0,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f1-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:11.66,2026-04-21T15:20:11.6680000-04:00,2026-04-21T19:20:11.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,47688092-cb2f-43c7-913d-945ebbdadfd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-04-21,15:20:16.66,1,3,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,0,1,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f2-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:16.66,2026-04-21T15:20:16.6680000-04:00,2026-04-21T19:20:16.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,6a8d909e-bd78-4468-a2f2-958a3fd6ab15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-04-21,15:20:21.66,1,4,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,0,2,1,Undefined,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f3-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:21.66,2026-04-21T15:20:21.6680000-04:00,2026-04-21T19:20:21.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,3c3983f8-255d-4249-bf54-0f72a7006405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-21,15:20:26.66,2,1,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Fahey, Will",10124229,Right,MON_HAW,Undefined,1,Top,1,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f4-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:26.66,2026-04-21T15:20:26.6680000-04:00,2026-04-21T19:20:26.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,047dfa11-c1a3-4342-b6b2-75316105d1ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-04-21,15:20:31.66,2,2,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Fahey, Will",10124229,Right,MON_HAW,Undefined,1,Top,1,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f5-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:31.66,2026-04-21T15:20:31.6680000-04:00,2026-04-21T19:20:31.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,58b7f552-2bc1-4dc9-812a-44abc74f16f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-04-21,15:20:36.66,2,3,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Fahey, Will",10124229,Right,MON_HAW,Undefined,1,Top,1,1,1,Undefined,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f6-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:36.66,2026-04-21T15:20:36.6680000-04:00,2026-04-21T19:20:36.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,8660d070-24f4-40e2-a86f-e02eeec99043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-04-21,15:20:41.66,3,1,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,2,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f7-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:41.66,2026-04-21T15:20:41.6680000-04:00,2026-04-21T19:20:41.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,d36c5dd6-0eea-4505-af54-f3b8d5c9d869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-04-21,15:20:46.66,3,2,"Benhardt, Nicolas",1000346127,Right,LON_ISL22,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,2,0,1,Undefined,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a121e6f8-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:46.66,2026-04-21T15:20:46.6680000-04:00,2026-04-21T19:20:46.6680000Z,,v3,longisland,4164,,"Durso, Joe",1000113947,Right,LON_ISL22,089f0158-f18e-4fdd-8463-39ccee0d9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-04-21,15:20:51.66,1,1,"Yagodzinskie, Drew",10180411,Right,MON_HAW,"Sorensen, Noah",808816,Right,LON_ISL22,Undefined,1,Bottom,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LON_ISL22,MON_HAW,LIUField,D1,NEC,20260421-LIUField-3,a1220e00-3e52-11f1-8816-6bfc30f5399f,,,,,,,,,,,b7e25040-c3f0-4cd3-b271-7c3f2b3b6309,2026-04-21,19:20:51.66,2026-04-21T15:20:51.6680000-04:00,2026-04-21T19:20:51.6680000Z,,v3,longisland,4164,,"Fedoruk, Kevin",1000300391,Right,MON_HAW,d9d9fe16-ad78-4c75-8e63-b52e60a6691d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
