PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,18:06:28.02,1,1,"Johnson, Alec",10927439,Left,LOY_LIO,"Pitts, Robert",702975,Right,CAL_HIG,Undefined,1,Top,0,0,0,Sinker,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,86.16589,-1.931561,2.736627,2037.152659,128.123495,10:15,5.98263,-1.53083,5.65849,-25.2745,13.63351,-15.4304,2.07223,-0.26246,77.17877,-6.682367,-0.019345,0.448943,89.63296,48.5312,4.878415,4298.173226,107.79456,112.73927,21.91646,259.8392,128.98362,17.116818,5.865035,8.82516,8.01622,1.30909,50,5.80317,-5.30901,-124.67099,-5.01897,13.55647,30.66925,-19.86025,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,7e0bac70-3de7-11f1-94c9-95442790a479,83.95821,128.55685,,8.98712,,,,2.67492,2.37339,0.42519,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:06:28.02,2026-04-21T18:06:28.0281088-07:00,2026-04-22T01:06:28.0281088Z,FlyBall,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,9cc94b0b-05b7-469d-a787-b86964b3d3a9,54.84326,-125.8568,15.33463,5.98239,-4.25108,-9.93012,1.52449,-5.83317,6.77824,,2.67913,86.65811,-22.754,5.7433,-0.84448,0.00668,0.02184,-0.00336,0.00016,2.36616,98.6136,-22.86713,1.94516,-0.32623,0.0432,0.00037,-0.00087,7E-05,0.42412,7.42412,5.19083,-1.92878,0.37101,-0.01762,-0.00761,0.00144,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2026-04-21,18:07:01.97,2,1,"Johnson, Alec",10927439,Left,LOY_LIO,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.58084,-1.957608,2.22686,2067.793639,126.666144,10:15,5.90271,-1.75565,5.81758,-22.45895,13.58898,-16.57808,2.20874,-1.06544,80.41839,-6.174503,-0.74425,0.432127,,,,,,,,,,,,9.10611,7.89461,1.58293,50,5.72895,-4.28108,-128.42744,-5.1126,15.07603,28.76157,-19.10379,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,92434d60-3de7-11f1-94c9-95442790a479,87.22532,,,8.16245,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:07:01.97,2026-04-21T18:07:01.9761664-07:00,2026-04-22T01:07:01.9761664Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,0ab58881-b64a-4803-a664-45d5526c2e16,54.68483,-129.47236,14.38078,5.90209,-4.41854,-9.5519,1.74842,-4.8288,7.53802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,18:07:18.88,2,2,"Johnson, Alec",10927439,Left,LOY_LIO,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.60176,-0.68643,1.874604,2274.418178,271.321673,3:00,5.90076,-1.56983,5.73703,-41.1164,1.34268,2.30512,1.83477,0.36865,74.6638,-8.233702,2.287479,0.468983,,,,,,,,,,,,-0.62232,1.25583,1.41208,50,5.8181,-3.96537,-118.43438,-2.78142,-0.87746,24.15467,-30.40333,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,9c5c4b30-3de7-11f1-94c9-95442790a479,80.37066,,,6.93795,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:07:18.88,2026-04-21T18:07:18.8882944-07:00,2026-04-22T01:07:18.8882944Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,a829b047-034b-4e8d-b464-beafc89587b4,54.76746,-119.40274,12.07733,5.90517,-1.56255,-15.20166,1.57035,-3.9302,-0.43873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,18:07:37.91,2,3,"Johnson, Alec",10927439,Left,LOY_LIO,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.96631,-2.619212,2.285379,2272.269452,251.291,2:30,5.81698,-1.4941,5.718,-38.63636,2.55406,3.55032,0.15358,0.93196,76.18489,-9.672109,2.921341,0.461923,,,,,,,,,,,,-1.15973,2.36858,1.30043,50,5.57318,-4.93527,-120.29312,-6.78905,-1.68613,25.02472,-28.7303,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,a7b47fc0-3de7-11f1-94c9-95442790a479,81.59897,,,6.78142,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:07:37.91,2026-04-21T18:07:37.9130368-07:00,2026-04-22T01:07:37.9130368Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,1b239efc-c281-4c25-b91d-877abaf6ce91,54.78821,-121.28513,12.51236,5.81973,-5.65015,-14.36515,1.49474,-4.86844,-0.84307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-21,18:08:08.63,3,1,"Johnson, Alec",10927439,Left,LOY_LIO,"Sanderson, Jarren",822618,Right,CAL_HIG,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.17722,-2.323363,2.425566,2076.297776,131.376249,10:30,5.95162,-1.70871,5.84025,-20.90659,14.89272,-15.41028,2.04679,-0.73706,80.42244,-6.275673,-0.336616,0.430635,,,,,,,,,,,,8.67103,8.74182,1.52007,50,5.74986,-4.81178,-129.16676,-5.89758,14.41501,30.91546,-17.64132,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,b9fde540-3de7-11f1-94c9-95442790a479,87.52765,,,8.75477,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:08:08.63,2026-04-21T18:08:08.6361600-07:00,2026-04-22T01:08:08.6361600Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,4b080cb8-d2dc-44a8-bb3a-1319f65dc674,54.66199,-130.27781,15.45773,5.95041,-5.26358,-8.82066,1.7023,-5.32983,7.2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,18:08:26.26,3,2,"Johnson, Alec",10927439,Left,LOY_LIO,"Sanderson, Jarren",822618,Right,CAL_HIG,Undefined,1,Top,2,0,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Error,0,0,,89.20483,-2.128976,3.246747,2146.379575,126.889708,10:15,5.82881,-1.73562,5.81338,-21.75879,13.7852,-16.74387,2.03166,-0.10843,81.0759,-6.214819,0.249934,0.429096,90.04587,46.770859,30.039001,4354.375468,86.80839,102.281,67.55961,279.81921,114.41089,46.399344,5.658809,9.53087,8.02965,1.47929,50,5.64105,-6.61859,-129.25163,-5.51265,16.01159,28.67674,-18.68445,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,c4942960-3de7-11f1-94c9-95442790a479,87.84149,118.84816,,8.12894,,,,1.41654,1.95993,0.06388,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:08:26.26,2026-04-21T18:08:26.2675968-07:00,2026-04-22T01:08:26.2675968Z,FlyBall,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,38e1e395-d5e5-4517-8bab-c7df3ce9ca50,54.69027,-130.28809,14.33837,5.82809,-4.83734,-9.34222,1.72897,-7.1973,8.0058,209.545515,1.43323,77.97946,-21.6171,4.10586,0.40644,-0.51196,0.13664,-0.01613,0.00073,1.94941,96.38548,-24.05292,2.5714,-0.54272,0.0722,0.00459,-0.00234,0.00017,0.06003,45.34371,-1.74659,-0.17442,-0.00559,0.03607,-0.00965,0.00098,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2026-04-21,18:09:16.11,4,1,"Johnson, Alec",10927439,Left,LOY_LIO,"Walton, Ty",1000242439,Right,CAL_HIG,Undefined,1,Top,2,0,0,ChangeUp,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.34146,-0.026225,0.844817,2180.790778,275.949012,3:15,5.89169,-1.85438,5.5227,-43.79278,1.00189,6.53209,2.21777,-0.52007,72.39277,-8.080046,2.010701,0.481709,82.71489,28.624151,2.577052,3036.698751,109.50327,49.00365,10.43947,296.65087,291.73695,8.658063,4.121506,-3.01862,0.96665,1.77625,50,5.86026,-1.97809,-116.42365,-1.53067,-4.04877,26.49851,-30.87751,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,e2404ac0-3de7-11f1-94c9-95442790a479,78.24733,56.77085,,7.94869,,,,1.70607,2.26469,0.52804,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:09:16.11,2026-04-21T18:09:16.1124352-07:00,2026-04-22T01:09:16.1124352Z,LineDrive,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Ortiz, Jordan",1000111907,Right,LOY_LIO,4495cf93-a14f-4a33-bbd8-995a8d0725d6,54.97936,-117.55151,13.24925,5.89744,-0.21642,-15.43875,1.85678,-1.80576,-2.02439,209.929,1.70632,106.37273,-17.21249,3.7198,-0.62877,0.08325,-0.01471,0.00306,-0.00027,2.26561,58.09353,-16.5873,0.49723,0.19295,-0.15677,0.05753,-0.00981,0.00063,0.52808,4.79017,4.26792,-1.39614,0.24966,-0.01223,-0.00321,0.00041,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-21,18:12:21.64,1,1,"Higgins, Ryan",10971964,Left,CAL_HIG,"Mhoon, Andrew",1000435374,Right,LOY_LIO,Undefined,1,Bottom,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.73233,0.705668,3.693969,2033.061016,95.773605,9:15,4.54099,-2.71001,5.52312,-35.67022,3.22803,-18.9084,2.22969,-0.82704,77.83065,-5.860147,0.330246,0.448886,,,,,,,,,,,,10.61674,1.81421,2.40094,50,4.57879,-7.20413,-124.19629,0.25265,16.47009,26.44688,-29.35961,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,50d09530-3de8-11f1-94c9-95442790a479,83.96876,,,7.90168,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:12:21.64,2026-04-21T18:12:21.6489984-07:00,2026-04-22T01:12:21.6489984Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Sepulveda, Esteban",832508,Right,CAL_HIG,4e7d00c9-16f2-4de7-81da-9d63c7bfb9df,54.9809,-125.25245,13.22344,4.54528,1.42514,-14.6798,2.70178,-7.86186,8.23504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,18:12:40.18,1,2,"Higgins, Ryan",10971964,Left,CAL_HIG,"Mhoon, Andrew",1000435374,Right,LOY_LIO,Undefined,1,Bottom,0,0,1,Sweeper,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,72.52999,2.335402,4.026034,1975.941056,276.1351,3:15,4.38172,-2.7338,5.54073,-53.72467,0.5263,10.76701,2.09417,1.93278,66.56816,-7.471394,5.934525,0.530121,,,,,,,,,,,,-4.36988,-0.06886,2.37621,50,4.54859,-7.76041,-105.01879,2.6807,-4.85961,18.48748,-32.25062,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,5be55820-3de8-11f1-94c9-95442790a479,71.10156,,,5.96183,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:12:40.18,2026-04-21T18:12:40.1894400-07:00,2026-04-22T01:12:40.1894400Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Sepulveda, Esteban",832508,Right,CAL_HIG,2fafb6ce-b34b-4db7-a486-84f4e7ecfa81,54.96591,-105.88938,9.24374,4.3866,4.19941,-16.12531,2.73627,-7.53157,-2.42981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,18:13:17.20,2,1,"Higgins, Ryan",10971964,Left,CAL_HIG,"Wadas, Zach",806253,Left,LOY_LIO,Undefined,1,Bottom,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.83498,1.648833,4.225692,1980.651362,106.305274,9:30,4.5663,-2.39963,5.67291,-32.03317,6.76201,-18.47513,3.43884,0.00792,77.43028,-4.300274,0.935981,0.448291,,,,,,,,,,,,10.60119,3.3328,2.05378,50,4.68601,-8.38025,-124.18187,2.48505,16.38797,27.20026,-27.02202,LOY_LIO,CAL_HIG,LoyolaMarymount,D1,WCC,20260421-LoyolaMarymount-1,722d1460-3de8-11f1-94c9-95442790a479,84.08023,,,8.4047,,,,,,,aba9d592-edf7-4d57-92c8-f4654d56219c,2026-04-22,01:13:17.20,2026-04-21T18:13:17.2071424-07:00,2026-04-22T01:13:17.2071424Z,,v3,471343,471263,e21b046cdd3e4ac8bf0fa6806fd48f37,"Sepulveda, Esteban",832508,Right,CAL_HIG,dcd0449d-8134-496e-94fc-b7a98d1f90af,54.82943,-125.23522,13.60013,4.56951,3.5315,-13.51101,2.3906,-9.01489,8.19399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
