PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,17:02:06.07,1,1,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Peterson, Tyce",804941,Right,SAN_AZT,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.73546,-0.311822,-2.350352,2462.445323,205.413437,12:45,5.5247,0.88023,5.43934,-34.88309,4.23866,1.36717,2.32553,-1.20798,77.7464,-6.725815,-2.107134,0.450174,,,,,,,,,,,,-1.41425,2.65681,-0.67313,50,5.47333,5.03871,-124.22313,-1.93931,-2.18509,27.49465,-28.06919,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,801c2c00-3dde-11f1-a497-39df49044489,83.72859,,,7.98906,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:02:06.07,2026-04-21T17:02:06.0755968-07:00,2026-04-22T00:02:06.0755968Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,87492584-35c7-4976-b571-32901d60d750,55.05858,-125.33776,13.74733,5.52888,-0.80139,-14.0346,-0.87919,5.1273,-1.09255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,17:02:23.65,1,2,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Peterson, Tyce",804941,Right,SAN_AZT,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.23031,-0.160571,-2.865844,2132.904362,218.036981,1:15,5.57723,0.97106,5.29934,-16.34493,19.48505,14.17898,4.06422,-0.54023,80.65893,-3.296397,-0.353247,0.430819,,,,,,,,,,,,-7.97465,10.14209,-0.72078,50,5.55138,5.85544,-130.51267,-0.86133,-13.49118,32.37852,-15.01606,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,8a954b30-3dde-11f1-a497-39df49044489,87.49024,,,9.57138,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:02:23.65,2026-04-21T17:02:23.6539904-07:00,2026-04-22T00:02:23.6539904Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,168bf017-a1e6-4072-80bd-11280eda1319,55.19636,-131.79552,16.18926,5.57372,-0.26639,-7.50803,-0.96336,6.38996,-6.74559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,17:02:42.62,1,3,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Peterson, Tyce",804941,Right,SAN_AZT,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.87992,-1.084479,-1.996465,1910.324863,228.976247,1:45,5.50361,1.05082,5.47547,-21.02757,15.0969,15.96013,2.73574,0.51182,80.8005,-5.02501,0.84508,0.432586,,,,,,,,,,,,-8.59725,8.27745,-0.88647,50,5.39426,3.77624,-128.89585,-3.14312,-14.38939,28.0757,-18.31993,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,95dda140-3dde-11f1-a497-39df49044489,87.1329,,,8.07942,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:02:42.62,2026-04-21T17:02:42.6245120-07:00,2026-04-22T00:02:42.6245120Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,154139da-0f9a-4a30-9e63-401db9c68f43,55.02396,-129.98555,14.03785,5.50245,-2.43207,-9.15997,-1.04388,4.33473,-7.1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,17:02:58.83,1,4,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Peterson, Tyce",804941,Right,SAN_AZT,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.56145,-0.37392,-1.882771,2733.176228,87.446079,9:00,5.47494,0.99784,5.17298,-41.73538,1.21272,-8.39461,1.64492,-1.47415,74.52551,-7.989111,-3.369942,0.471675,,,,,,,,,,,,3.53339,1.21264,-0.81582,50,5.40868,4.29305,-119.5141,-2.30821,5.00801,27.34375,-30.45531,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,9f96cbd0-3dde-11f1-a497-39df49044489,79.9118,,,8.03593,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:02:58.83,2026-04-21T17:02:58.8371456-07:00,2026-04-22T00:02:58.8371456Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,b6209e87-2e65-4df9-99ef-91f7bc21459f,55.32482,-120.72622,13.67188,5.48108,-0.95815,-15.22765,-1.00121,4.07105,2.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-21,17:03:16.22,1,5,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Peterson, Tyce",804941,Right,SAN_AZT,Undefined,1,Top,0,3,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.65013,-1.091831,-2.211901,2004.488401,243.314604,2:00,5.49145,0.99958,5.58123,-25.24151,11.12087,19.58887,2.36741,0.56518,80.2702,-5.797941,1.28367,0.434008,91.70696,31.368974,4.021191,3807.185484,109.25257,60.49446,12.79925,323.84529,320.53102,12.433738,4.804849,-10.63693,6.33327,-0.82261,50,5.38122,4.11097,-128.53199,-3.31836,-17.59009,29.49281,-21.70082,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,a9ea88b0-3dde-11f1-a497-39df49044489,86.84737,78.28375,,8.37993,,,,1.2009,2.37109,-0.55209,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:03:16.22,2026-04-21T17:03:16.2251776-07:00,2026-04-22T00:03:16.2251776Z,FlyBall,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,370dd4b0-16fb-44b9-823e-70c8f719e779,54.9195,-129.65589,14.7464,5.49192,-2.49138,-10.85041,-0.99204,4.78129,-8.79504,206.470925,1.20144,114.55136,-22.85746,5.41858,-1.19026,0.25857,-0.04866,0.00597,-0.00032,2.37275,69.97452,-17.74502,0.57281,0.32743,-0.2126,0.05901,-0.00782,0.0004,-0.55254,8.06247,4.39577,-1.49338,0.39648,-0.08977,0.01559,-0.00172,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-21,17:03:52.02,2,1,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Santana, Dawson",822168,Right,SAN_AZT,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.89671,-0.997162,-1.533316,1954.726212,230.688704,1:45,5.43354,1.0202,5.36715,-22.51631,14.48414,16.20556,2.62174,0.93257,80.10153,-5.192892,1.347195,0.437799,,,,,,,,,,,,-8.64111,7.92666,-0.89477,50,5.32839,2.70602,-127.53632,-2.99188,-14.17756,27.1723,-19.16869,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,bf439f30-3dde-11f1-a497-39df49044489,86.09529,,,7.79518,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:03:52.02,2026-04-21T17:03:52.0223232-07:00,2026-04-22T00:03:52.0223232Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,14a5b746-8c5a-4bb3-b213-c343c959f7cc,55.13424,-128.62555,13.58615,5.43292,-2.22348,-9.58435,-1.01464,3.27434,-7.08878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,17:04:08.99,2,2,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Santana, Dawson",822168,Right,SAN_AZT,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.15922,0.021779,-2.233766,2467.094674,173.164085,11:45,5.48188,1.09698,5.41628,-31.13773,7.5939,-0.7839,2.90749,-1.06203,78.96646,-5.676441,-2.37307,0.447924,,,,,,,,,,,,-0.13657,4.15579,-0.89779,50,5.46204,4.85933,-123.72776,-1.06116,-0.21475,21.40199,-25.6405,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,c969bc60-3dde-11f1-a497-39df49044489,84.1492,,,6.19276,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:04:08.99,2026-04-21T17:04:08.9921536-07:00,2026-04-22T00:04:08.9921536Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,e3d14d89-ffcc-4b58-b663-532dbac6afa8,55.08509,-124.60426,10.70099,5.484,-0.01108,-12.82025,-1.09698,4.86813,-0.10738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-21,17:04:27.28,2,3,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Santana, Dawson",822168,Right,SAN_AZT,Undefined,1,Top,1,1,1,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.09112,-1.038376,-2.744736,1894.863821,234.687308,1:45,5.49766,1.15258,5.51965,-24.60509,11.65607,14.94879,2.47512,-0.17001,81.17388,-5.588046,-0.082386,0.433403,,,,,,,,,,,,-8.26784,6.47977,-0.9238,50,5.39068,5.48778,-127.89683,-3.17743,-13.81265,24.24959,-21.34861,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,d44f0ae0-3dde-11f1-a497-39df49044489,86.96849,,,6.91724,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:04:27.28,2026-04-21T17:04:27.2890880-07:00,2026-04-22T00:04:27.2890880Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,3a182b60-3209-4895-a96d-692142bf2ad8,54.98249,-128.83806,12.1248,5.49793,-2.3488,-10.67431,-1.14721,6.02391,-6.90633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,17:04:48.62,2,4,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Santana, Dawson",822168,Right,SAN_AZT,Undefined,1,Top,1,1,2,Sinker,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.12181,-2.099665,-1.621608,1956.922134,229.786,1:45,5.61134,0.90126,5.34851,-21.88407,15.01048,15.99843,1.81652,0.71299,79.49546,-6.219878,1.22178,0.437172,,,,,,,,,,,,-8.64012,8.69701,-0.76727,50,5.40717,2.92215,-128.89662,-5.46494,-14.13551,33.66758,-17.94549,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,e0fe43f0-3dde-11f1-a497-39df49044489,86.21878,,,9.62634,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:04:48.62,2026-04-21T17:04:48.6203392-07:00,2026-04-22T00:04:48.6203392Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,5bb67851-0290-4efb-8f6b-218c65240809,55.14938,-130.23468,16.83379,5.61019,-4.75173,-8.97274,-0.89457,3.48394,-7.06775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,17:05:17.28,3,1,"Hernandez, Gabriel",822625,Right,CAL_MAT,"Jackson, Jake",1000118742,Left,SAN_AZT,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.48763,1.614414,-0.411056,2724.732337,108.781608,9:45,5.50649,1.04267,4.95239,-38.73171,5.42166,-11.38284,3.80477,-0.29431,73.6066,-5.472459,-2.41813,0.478248,,,,,,,,,,,,5.46803,2.63575,-0.99298,50,5.63162,1.34687,-118.00595,1.91049,7.61183,25.13555,-28.50491,CAL_MAT,SAN_AZT,Matador Field,D1,BW,20260421-Matador Field-1,f220dcb0-3dde-11f1-a497-39df49044489,78.81357,,,7.88103,,,,,,,eb218af8-5bda-4a86-8945-a25f57c02149,2026-04-22,00:05:17.28,2026-04-21T17:05:17.2892160-07:00,2026-04-22T00:05:17.2892160Z,,v3,471256,471432,17380,"Rios, Xavier",822555,Right,CAL_MAT,ea3f1f4a-9660-4c88-bde8-864bcda66125,55.54562,-119.18133,12.56778,5.51112,3.24342,-14.25245,-1.04764,0.99093,3.80592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
