PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,15:57:28.77,1,1,"Whitaker, James",816112,Right,NOR_CAT,"Rezaei, Sohrab",1000157314,Right,BRA_BRA,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.37386,-0.765142,-0.785877,1876.059441,257.425773,2:30,5.82437,1.3729,6.75603,-28.56754,4.82776,16.52627,2.74474,2.03221,82.03393,-6.158778,2.232357,0.415924,,,,,,,,,,,,-9.11323,3.08949,-1.32758,50,5.76329,1.19826,-131.42366,-2.59971,-15.71973,31.42715,-26.84487,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,b57e6580-3dc4-11f1-926f-69df2d00f97a,90.62336,,,8.33993,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,20:57:28.77,2026-04-21T15:57:28.7744512-05:00,2026-04-21T20:57:28.7744512Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,915a3b10-3a41-4179-9c19-cf2c3b6b738d,53.74571,-132.31634,15.71357,5.82631,-1.83719,-13.42243,-1.36796,1.64477,-7.85987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,15:58:05.33,2,1,"Whitaker, James",816112,Right,NOR_CAT,"Miller, Hayden",1000115955,Right,BRA_BRA,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.86751,-2.814977,-1.672426,1884.208391,249.589232,2:15,5.91256,1.36563,6.32612,-28.40143,6.86827,15.11465,0.95021,1.08458,80.72198,-8.121588,1.067158,0.427437,,,,,,,,,,,,-8.50071,4.81114,-1.25081,50,5.69337,3.18149,-128.91897,-7.22979,-14.09865,30.43225,-24.19466,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,cb392400-3dc4-11f1-926f-69df2d00f97a,88.18241,,,8.14553,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,20:58:05.33,2026-04-21T15:58:05.3386240-05:00,2026-04-21T20:58:05.3386240Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,e5b5f00f-429f-463f-9c70-81ae145a12a3,54.17484,-129.90074,15.21613,5.91401,-6.44926,-12.09733,-1.36078,3.63632,-7.04932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,15:58:20.66,2,2,"Whitaker, James",816112,Right,NOR_CAT,"Miller, Hayden",1000115955,Right,BRA_BRA,Undefined,1,Top,0,1,0,TwoSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.32162,-1.668022,-2.037776,1860.694016,251.534406,2:30,5.94734,1.52421,6.45664,-29.6223,5.77469,13.65036,1.9451,0.78896,80.30188,-7.221198,0.440756,0.428208,,,,,,,,,,,,-7.78532,3.89547,-1.38579,50,5.81623,4.0343,-128.23383,-4.651,-12.81785,29.2975,-25.76047,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,d45cc550-3dc4-11f1-926f-69df2d00f97a,88.02373,,,8.01973,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,20:58:20.66,2026-04-21T15:58:20.6691840-05:00,2026-04-21T20:58:20.6691840Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,abdf66d4-5315-401d-be5b-82853a837535,54.04313,-129.15425,14.64875,5.94963,-3.84169,-12.88023,-1.51886,4.43699,-6.40893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,15:58:39.12,2,3,"Whitaker, James",816112,Right,NOR_CAT,"Miller, Hayden",1000115955,Right,BRA_BRA,Undefined,1,Top,0,1,1,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,88.43664,-1.632814,-3.154023,1880.924284,245.966935,2:15,5.84779,1.48729,6.48384,-26.98108,8.29225,15.88237,2.09749,-0.08803,80.37623,-6.71353,-0.27336,0.427459,62.88273,-51.518408,-57.144626,,,,,2.60269,2.60269,-30.143572,0.028832,-9.31036,5.19319,-1.27221,50,5.72106,6.46108,-128.31986,-4.47224,-15.37247,28.96638,-23.59945,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,df6ccd50-3dc4-11f1-926f-69df2d00f97a,88.17791,2.08959,,8.06041,,,,1.34958,2.08959,0.08835,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,20:58:39.12,2026-04-21T15:58:39.1212544-05:00,2026-04-21T20:58:39.1212544Z,GroundBall,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,22190637-5575-4a68-b761-421518a62457,54.01644,-129.22333,14.48319,5.84907,-3.73616,-11.79972,-1.48122,6.94055,-7.68624,,1.34903,31.25457,,,,,,,,2.09087,-72.47342,,,,,,,,0.08921,-48.39482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-04-21,15:59:17.24,3,1,"Whitaker, James",816112,Right,NOR_CAT,"Quick, Michael",1000539970,Left,BRA_BRA,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.85659,-2.027186,-2.509847,1934.96617,240.341979,2:00,5.86814,1.50123,6.42281,-24.60718,9.6991,14.92572,1.95152,0.43643,81.49897,-6.670509,0.196208,0.421559,85.45326,48.138628,-11.195236,,104.03702,103.65262,-35.72519,259.59124,230.61734,-25.350596,5.554711,-8.65398,6.04729,-1.32887,50,5.71225,5.13552,-130.38855,-5.36212,-14.71241,30.60706,-21.8932,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,f6215520-3dc4-11f1-926f-69df2d00f97a,89.412,114.84401,,8.35762,,,,1.74712,1.91902,-0.39194,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,20:59:17.24,2026-04-21T15:59:17.2424704-05:00,2026-04-21T20:59:17.2424704Z,FlyBall,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,8b00f1a4-cbff-4528-978b-470a343f272d,54.07771,-131.34225,15.30353,5.8687,-4.67993,-10.9466,-1.49603,5.59395,-7.35621,152.660957,1.75418,81.89507,-19.55697,4.11128,-0.05979,-0.27927,0.08472,-0.01059,0.0005,1.91022,93.48547,-23.21976,2.49558,-0.63725,0.13529,-0.01322,-2E-05,6E-05,-0.38841,-16.3091,-4.15155,1.34238,-0.01933,-0.11615,0.03595,-0.00451,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-04-21,16:00:17.55,4,1,"Whitaker, James",816112,Right,NOR_CAT,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.53248,-1.233612,-1.490765,1966.418766,248.200935,2:15,5.95671,1.3324,6.01969,-26.97781,7.24882,15.18639,2.56534,1.21677,82.18612,-6.269913,1.243701,0.421069,,,,,,,,,,,,-8.26288,4.45937,-1.22374,50,5.84547,2.77354,-131.40236,-3.74239,-14.29556,30.56795,-24.45887,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,1a14abd0-3dc5-11f1-926f-69df2d00f97a,89.51603,,,8.34636,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,21:00:17.55,2026-04-21T16:00:17.5540000-05:00,2026-04-21T21:00:17.5540000Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,7dfe53a8-8641-4ab0-9a00-07bd2b745e9b,54.47948,-132.44031,15.28397,5.95844,-2.91188,-12.22944,-1.32616,3.25895,-7.14778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8082,2.160993,0.769587,1.391406,-0.63995,2.33534,-1.26333,-2.1631,5.9364,1.75115,127.28767,4.44641,1.25337,-1.96726,106.37684,-9.82054,5.97757,16.24072,-12.49572,1.70828,-2.50931,1.59662,High,High,High,,,High,High,High
7,2026-04-21,16:02:50.17,4,2,"Whitaker, James",816112,Right,NOR_CAT,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,1,0,TwoSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.79646,-0.345901,-2.145658,1852.741702,254.157992,2:30,5.88948,1.63788,6.46207,-29.55939,5.50937,15.09206,3.10824,0.92374,80.36529,-5.908412,0.592891,0.426218,60.62748,-4.804481,53.98958,4269.368482,,,,25.37891,24.30153,50.230933,0.309131,-8.5393,3.36496,-1.49236,50,5.85217,4.23014,-128.92876,-1.6997,-14.18161,30.14484,-26.58568,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,75157c30-3dc5-11f1-926f-69df2d00f97a,88.43464,2.94412,,8.43117,,,,0.1979,2.94412,-1.09168,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,21:02:50.17,2026-04-21T16:02:50.1783040-05:00,2026-04-21T21:02:50.1783040Z,GroundBall,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,ab97fc58-408a-4895-85ca-247e555f1ddf,54.03669,-129.86915,15.07242,5.89226,-0.87034,-13.29284,-1.63123,4.67255,-7.0908,,0.19698,52.13606,-0.81862,,,,,,,2.94292,-7.39542,-6.86239,,,,,,,-1.08685,71.46733,-15.73415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-21,16:03:18.49,4,3,"Whitaker, James",816112,Right,NOR_CAT,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,1,1,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,74.52556,-0.440431,-2.418827,2419.178832,31.022914,7:00,6.01067,1.36175,6.03846,-67.55744,-16.94052,-11.1828,-0.0273,-1.81117,68.78687,-12.723543,-4.439814,0.512058,,,,,,,,,,,,5.06055,-8.32626,-1.16672,50,5.93929,4.94418,-108.25402,-2.84477,5.91047,21.67774,-41.89872,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,85ed9e70-3dc5-11f1-926f-69df2d00f97a,73.60968,,,5.73869,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,21:03:18.49,2026-04-21T16:03:18.4982016-05:00,2026-04-21T21:03:18.4982016Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,b1121ade-e4d9-47ca-a734-2cdf62ed0ebf,54.46714,-109.14489,10.83887,6.02082,-1.12289,-20.94936,-1.36491,4.70128,2.95524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-21,16:03:44.07,4,4,"Whitaker, James",816112,Right,NOR_CAT,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,2,1,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.93029,-1.816506,-3.375651,1992.411928,246.537041,2:15,5.91486,1.44393,6.81533,-27.40683,6.74693,13.07402,1.97017,-0.55003,81.58956,-6.977724,-0.990069,0.420621,,,,,,,,,,,,-7.85095,4.42536,-1.23018,50,5.78752,7.13305,-129.15036,-4.89271,-13.25969,26.90842,-24.69997,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,95300580-3dc5-11f1-926f-69df2d00f97a,89.61148,,,7.34072,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,21:03:44.07,2026-04-21T16:03:44.0737280-05:00,2026-04-21T21:03:44.0737280Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,1b5de9e4-b233-4d55-af10-12a888a88c4f,53.68499,-129.91585,13.45421,5.91671,-4.19004,-12.34998,-1.43847,7.51027,-6.62984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,16:04:04.41,4,5,"Whitaker, James",816112,Right,NOR_CAT,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,2,2,TwoSeamFastBall,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.54434,-1.888357,-2.003891,1968.625458,256.870599,2:30,6.0031,1.34267,6.73113,-30.17112,4.49937,14.44146,1.76148,0.71412,80.98306,-7.550607,0.632782,0.423791,,,,,,,,,,,,-8.28414,3.25583,-1.21577,50,5.86685,3.97761,-128.68662,-5.13503,-13.80273,28.30119,-26.74929,NOR_CAT,BRA_BRA,Northwestern,D1,BIG10,20260421-Northwestern-1,a14596a0-3dc5-11f1-926f-69df2d00f97a,88.94118,,,7.56129,,,,,,,55c71627-7e5d-41a7-a3ba-067904c8d2ea,2026-04-21,21:04:04.41,2026-04-21T16:04:04.4130000-05:00,2026-04-21T21:04:04.4130000Z,,v3,471395,471245,875a73ccd5dd4bc0b125f4210efa01fe,"Slater, Jay",1000471147,Right,NOR_CAT,26a2f085-fd7a-4694-8494-f487b64fd70c,53.77034,-129.51315,14.15059,6.00541,-4.35382,-13.37465,-1.33782,4.38072,-6.90137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4178,2.800239,1.60041,1.199829,2.06908,1.84752,-0.7071,-3.26929,5.86279,2.77266,75.93008,5.23685,48.85057,-3.20474,73.47965,-6.33913,5.89794,16.42016,-14.18626,2.77206,39.29122,-0.73879,High,High,High,,,High,High,High
