PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-21,18:03:38.42,1,1,"Rose, Jackson",825878,Left,NOR_TAR,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.18833,-2.363887,3.386551,2224.397519,122.207403,10:00,5.55087,-1.90097,5.59643,-23.71387,10.7339,-15.10217,1.36263,0.00595,82.61223,-6.777656,0.694033,0.422427,,,,,,,,,,,,8.73119,6.52016,1.6207,50,5.33269,-7.13759,-131.98782,-6.29191,15.23219,30.98564,-20.79912,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,f3813fc0-3dcd-11f1-af94-e3e93d8e2816,89.22824,,,8.5761,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:03:38.42,2026-04-21T18:03:38.4227840-04:00,2026-04-21T22:03:38.4227840Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,77080059-2734-437f-8d18-c51bf83c7f9a,54.90085,-133.13337,15.49282,5.55109,-5.52295,-10.39956,1.89499,-7.70073,7.6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-21,18:03:52.91,1,2,"Rose, Jackson",825878,Left,NOR_TAR,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.7594,-1.830338,3.622467,2323.455985,123.990546,10:15,5.43928,-1.85265,5.55442,-23.29541,11.38532,-15.12769,1.78381,0.27588,82.46974,-6.165934,0.92932,0.423853,,,,,,,,,,,,8.74607,6.64591,1.5496,50,5.26557,-7.64495,-131.42258,-5.02611,15.19659,29.55128,-20.62657,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,fc279ac0-3dcd-11f1-af94-e3e93d8e2816,88.92802,,,8.28966,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:03:52.91,2026-04-21T18:03:52.9183744-04:00,2026-04-21T22:03:52.9183744Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,aa587b26-d596-4a0b-a518-928198e82fb5,54.94309,-132.52941,14.77564,5.43936,-4.25356,-10.31329,1.84659,-8.21413,7.5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-21,18:04:07.48,1,3,"Rose, Jackson",825878,Left,NOR_TAR,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.32367,-1.774012,3.579084,2350.110769,262.870687,2:45,5.35015,-1.81947,5.44601,-41.66274,2.21563,2.27831,0.21358,1.72565,72.9125,-9.437164,3.984178,0.476756,,,,,,,,,,,,0.31311,2.31591,1.50135,50,5.16491,-7.52061,-118.73216,-5.11476,0.4272,32.06594,-29.01408,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,04d41040-3dce-11f1-af94-e3e93d8e2816,79.06015,,,9.41117,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:04:07.48,2026-04-21T18:04:07.4867712-04:00,2026-04-21T22:04:07.4867712Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,f9dfab8a-ab58-4b24-a42e-dd8aef56b9e2,55.04742,-120.08757,16.03297,5.35519,-3.88834,-14.50704,1.81962,-7.53867,0.2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-21,18:04:28.14,1,4,"Rose, Jackson",825878,Left,NOR_TAR,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.84016,-0.834703,3.529014,2206.258376,125.919622,10:15,5.5396,-1.88437,5.58584,-21.76808,12.86934,-16.09784,2.94461,0.07372,82.1859,-4.916598,0.66207,0.423589,72.75293,-64.253226,102.481848,,,,,2.31431,2.12449,36.020473,0.031188,9.30819,7.12201,1.5921,50,5.45388,-7.40768,-131.59021,-2.66483,16.15913,30.51228,-19.81017,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,112068d0-3dce-11f1-af94-e3e93d8e2816,88.98362,3.00983,,8.65425,,,,2.18555,3.00983,-0.05627,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:04:28.14,2026-04-21T18:04:28.1451520-04:00,2026-04-21T22:04:28.1451520Z,GroundBall,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,a8526803-82a7-4eb3-8297-c200a118f88c,54.91234,-132.72436,15.25614,5.53925,-1.92848,-9.90509,1.87861,-8.00832,8.07956,,2.18576,-10.0593,,,,,,,,3.01182,-96.50703,,,,,,,,-0.0572,45.44271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-04-21,18:05:04.87,1,5,"Rose, Jackson",825878,Left,NOR_TAR,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,2,2,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,91.01817,-0.422558,2.595859,2190.054035,130.295479,10:15,5.49396,-1.98389,5.28935,-21.07355,13.45359,-14.56749,3.34065,-0.75873,83.04563,-4.344207,0.013066,0.422914,,,,,,,,,,,,8.10611,7.19059,1.75882,50,5.44041,-5.3289,-132.0341,-1.73364,14.30179,28.25204,-19.4875,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,27051d80-3dce-11f1-af94-e3e93d8e2816,89.1256,,,7.97254,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:05:04.87,2026-04-21T18:05:04.8786432-04:00,2026-04-21T22:05:04.8786432Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,503d55f0-2ce7-4ff3-a33b-02fa38e473fc,55.20984,-133.14421,14.12602,5.49348,-0.96791,-9.74375,1.97925,-5.89086,7.1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-21,18:05:39.12,2,1,"Rose, Jackson",825878,Left,NOR_TAR,"Kelly, Frank",1000115728,Right,HIG_PAN,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.39062,-1.532218,2.715447,2194.748687,135.269533,10:30,5.35024,-1.94823,5.53727,-21.41816,14.6832,-13.20698,2.13136,-0.50892,80.34009,-5.567854,0.362786,0.432447,,,,,,,,,,,,7.51473,8.29398,1.72145,50,5.2034,-5.53449,-129.37333,-4.16982,12.51662,31.33237,-18.35947,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,3b78dd10-3dce-11f1-af94-e3e93d8e2816,87.16077,,,9.05053,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:05:39.12,2026-04-21T18:05:39.1225856-04:00,2026-04-21T22:05:39.1225856Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,c2164e8e-c5ba-4e24-b7e8-4095ebf2375e,54.95658,-130.56822,15.66618,5.34907,-3.46967,-9.17973,1.94161,-6.01182,6.25831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-21,18:06:15.89,2,2,"Rose, Jackson",825878,Left,NOR_TAR,"Kelly, Frank",1000115728,Right,HIG_PAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.08999,-0.830389,3.0761,2188.578334,144.495868,10:45,5.50116,-1.78525,5.56579,-19.82572,14.85926,-9.69024,3.07214,0.28354,81.88256,-4.578612,1.350718,0.423879,,,,,,,,,,,,5.85103,8.12997,1.52616,50,5.4168,-6.63495,-131.83812,-2.56536,10.13787,32.09605,-18.08754,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,516050e0-3dce-11f1-af94-e3e93d8e2816,88.9226,,,9.20744,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:06:15.89,2026-04-21T18:06:15.8939136-04:00,2026-04-21T22:06:15.8939136Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,4b87b9ad-a4d5-4326-b4ca-c0a2b92ad965,54.92763,-133.03234,16.04803,5.49973,-1.89236,-9.04377,1.78005,-7.01216,5.06893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-21,18:06:51.45,2,3,"Rose, Jackson",825878,Left,NOR_TAR,"Kelly, Frank",1000115728,Right,HIG_PAN,Undefined,1,Top,0,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.63771,-0.834343,3.430551,2067.239033,98.167921,9:15,5.26465,-2.17319,5.97409,-35.86935,4.04252,-17.24123,1.50063,-0.42594,75.7944,-7.519259,0.332776,0.454697,34.15299,-39.212881,64.499755,,,,,3.75503,3.75503,35.931692,0.050106,10.0854,2.80288,1.91117,50,5.17891,-6.65059,-122.50836,-2.95561,14.92486,30.12217,-28.0262,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,66942c20-3dce-11f1-af94-e3e93d8e2816,82.89566,1.60261,,8.84332,,,,2.19494,1.60261,0.43077,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:06:51.45,2026-04-21T18:06:51.4562048-04:00,2026-04-21T22:06:51.4562048Z,GroundBall,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,1534130e-01fa-4874-8002-5a971d638194,54.52189,-123.6152,15.06109,5.2686,-1.92579,-14.0131,2.16562,-7.199,7.46243,,2.19359,16.87548,,,,,,,,1.60516,-31.98409,,,,,,,,0.42795,35.3798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-04-21,18:07:25.52,3,1,"Rose, Jackson",825878,Left,NOR_TAR,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.41188,-1.362393,4.693072,2242.205877,123.075772,10:00,5.52197,-1.97406,5.4295,-21.92237,12.68623,-17.5569,2.41465,0.96793,82.44758,-5.461568,1.581938,0.423412,,,,,,,,,,,,10.21914,7.15772,1.5697,50,5.38603,-10.01692,-132.09207,-3.92405,17.8524,31.08987,-19.66979,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,7add8050-3dce-11f1-af94-e3e93d8e2816,89.0207,,,8.9643,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:07:25.52,2026-04-21T18:07:25.5247872-04:00,2026-04-21T22:07:25.5247872Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,aabbd264-dc05-4125-be0d-02e8357ea0a6,55.06576,-133.27904,15.54493,5.52152,-3.17308,-9.83489,1.96515,-10.6985,8.9262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-21,18:07:42.81,3,2,"Rose, Jackson",825878,Left,NOR_TAR,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.43385,0.709509,4.213412,2386.117735,287.795543,3:30,5.42858,-2.03391,5.49331,-43.1675,0.35748,3.62587,2.49681,2.21666,73.82662,-7.193867,4.856437,0.474833,,,,,,,,,,,,-0.47661,0.4348,1.66218,50,5.46199,-8.82555,-117.76819,-0.03416,-0.66013,25.2475,-31.57182,NOR_TAR,HIG_PAN,UNC,D1,ACC,20260421-UNC-1,8537f3f0-3dce-11f1-af94-e3e93d8e2816,79.38045,,,7.60723,,,,,,,1ea46c60-b736-4603-81fe-26a0013e588e,2026-04-21,22:07:42.81,2026-04-21T18:07:42.8142592-04:00,2026-04-21T22:07:42.8142592Z,,v3,471370,471515,85e954b3cf114557a3611245345409cb,"Winslow, Macon",806264,Right,NOR_TAR,6b97c454-c910-42b0-b20e-b85b7fb4fa14,55.00219,-118.83574,12.62375,5.43521,1.3008,-15.78591,2.03476,-8.79763,-0.33007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
