PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,12:00:15.64,1,1,"Heiliger, Zane",10960928,Right,SOU_WES,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.16822,1.095417,-1.582244,1834.684274,190.284887,12:15,5.93607,1.43421,6.6642,-35.48403,9.55615,1.50803,3.9819,0.11173,71.43499,-5.567997,-1.307761,0.483027,,,,,,,,,,,,-1.1852,5.17213,-1.3286,50,5.99525,3.05316,-112.29987,1.23682,-1.53015,18.24156,-25.49646,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,122ae080-3b48-11f1-baa2-a9b6a2699775,78.03381,,,5.73323,,,,,,,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:00:15.64,2026-04-18T12:00:15.6426752-05:00,2026-04-18T17:00:15.6426752Z,,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,edc629f5-4628-4206-93dc-7639777fd61c,53.83589,-112.92124,9.12078,5.93832,2.10532,-12.74823,-1.43348,3.10528,-0.76508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,12:00:27.18,1,2,"Heiliger, Zane",10960928,Right,SOU_WES,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,0,1,0,FourSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.94392,-0.2945,-2.179511,1892.666431,225.858301,1:30,5.74066,1.6568,6.69819,-34.90707,10.71438,9.60052,2.56224,0.46288,70.80776,-6.866268,-0.430038,0.486134,,,,,,,,,,,,-5.70843,6.15067,-1.51545,50,5.70711,3.95702,-111.907,-1.4499,-7.24964,19.91257,-24.36272,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,19118a20-3b48-11f1-baa2-a9b6a2699775,77.53508,,,6.13615,,,,,,,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:00:27.18,2026-04-18T12:00:27.1829504-05:00,2026-04-18T17:00:27.1829504Z,,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,b8b04bb3-a2d3-4627-82dc-9c2542df0cf5,53.80274,-112.58162,9.95629,5.74225,-0.62451,-12.18136,-1.65367,4.20264,-3.62482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,12:00:44.21,1,3,"Heiliger, Zane",10960928,Right,SOU_WES,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,0,1,1,FourSeamFastBall,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.33778,0.027721,-0.70887,1852.396578,181.954276,12:00,6.02952,1.47502,6.70792,-30.26411,12.06386,0.37327,3.53286,0.85801,73.77298,-5.665219,-0.640816,0.468258,51.82247,-64.741449,132.109532,,,,,1.33212,0.74609,165.38394,0.04868,-0.36413,6.73737,-1.42814,50,6.0192,1.41769,-115.56361,-0.71806,-0.4999,18.46273,-22.92416,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,2341b970-3b48-11f1-baa2-a9b6a2699775,80.49504,3.37682,,5.5648,,,,-0.22067,3.37682,-0.84581,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:00:44.21,2026-04-18T12:00:44.2183168-05:00,2026-04-18T17:00:44.2183168Z,GroundBall,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,72d68592-d239-47f3-8dcb-a7d3e2cc5148,53.79283,-116.16798,9.23136,6.03042,0.03236,-11.46208,-1.47482,1.43406,-0.24995,,-0.21911,-21.94616,,,,,,,,3.38174,-69.36771,,,,,,,,-0.84754,24.28017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-04-18,12:01:16.66,2,1,"Heiliger, Zane",10960928,Right,SOU_WES,"Lohr, Ayden",10022392,Right,CEN_COL,Undefined,1,Top,1,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.7866,-0.55459,-0.664094,1913.341581,210.191225,1:00,6.06117,1.30295,6.63484,-28.84828,13.33607,7.06473,3.14935,1.28365,73.85892,-5.989855,0.62249,0.467463,,,,,,,,,,,,-3.89776,7.54906,-1.26072,50,6.01166,1.11116,-116.15383,-1.86681,-5.37696,19.76947,-21.76012,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,36818ce0-3b48-11f1-baa2-a9b6a2699775,80.63197,,,5.92768,,,,,,,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:01:16.66,2026-04-18T12:01:16.6606848-05:00,2026-04-18T17:01:16.6606848Z,,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,1ffe2cf0-f3ab-4628-9100-869a5edb070d,53.86556,-116.8099,9.88473,6.06163,-1.14468,-10.88006,-1.30055,1.28961,-2.68848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,12:01:28.72,2,2,"Heiliger, Zane",10960928,Right,SOU_WES,"Lohr, Ayden",10022392,Right,CEN_COL,Undefined,1,Top,1,1,0,FourSeamFastBall,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,76.86675,-0.755196,-1.958463,1823.750429,175.081218,11:45,5.85686,1.35942,6.65147,-36.95148,8.47662,-0.62063,2.08594,-0.48546,71.46615,-7.653434,-2.071485,0.485103,88.82582,-8.905375,-23.83725,,,,,15.66759,10.32372,-19.02893,0.105943,-0.1572,5.02744,-1.22732,50,5.79075,3.84484,-111.87741,-2.4246,-0.20125,18.28229,-25.73802,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,3db45ab0-3b48-11f1-baa2-a9b6a2699775,77.69992,2.14011,,5.4006,,,,2.31843,2.14011,0.41142,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:01:28.72,2026-04-18T12:01:28.7267840-05:00,2026-04-18T17:01:28.7267840Z,GroundBall,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,2407786b-ce45-4870-a952-c1bb9cf81846,53.85054,-112.50488,9.14115,5.85881,-1.54124,-12.86901,-1.3594,3.85174,-0.10062,180,2.31513,117.92156,,,,,,,,2.14067,-20.20052,,,,,,,,0.41288,-52.10121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-04-18,12:02:14.21,3,1,"Heiliger, Zane",10960928,Right,SOU_WES,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.92767,1.230353,-1.664799,2173.159127,56.848453,8:00,5.64381,1.72792,5.98954,-57.6946,-2.19185,-5.2913,1.97686,-0.25638,66.16811,-9.286705,-2.616998,0.536202,41.26879,-40.794701,-73.401925,,,,,3.84132,3.84132,-31.416166,0.058575,2.41504,-1.07843,-1.59354,50,5.70797,3.1228,-101.86967,0.60349,2.6027,12.71911,-33.33626,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,58d898b0-3b48-11f1-baa2-a9b6a2699775,70.29518,2.33944,,3.75956,,,,2.50385,2.33944,0.59553,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:02:14.21,2026-04-18T12:02:14.2144512-05:00,2026-04-18T17:02:14.2144512Z,GroundBall,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,a0a70701-373a-457e-a697-967ac0b250ae,54.51556,-102.43192,6.35956,5.64872,2.07711,-16.66813,-1.72904,3.00775,1.30135,,2.50262,13.21988,,,,,,,,2.34316,-39.93949,,,,,,,,0.59966,-44.35065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2026-04-18,12:02:38.60,3,2,"Heiliger, Zane",10960928,Right,SOU_WES,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,1,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,68.0256,2.250507,-1.515214,2122.014239,59.674514,8:00,5.66292,1.62717,6.05916,-61.56629,-2.06858,-6.36989,2.61722,-0.30643,63.28276,-9.056016,-2.662145,0.555164,78.56352,32.646063,-24.493627,2677.077344,98.36136,59.17824,-49.24435,250.43808,246.24792,-31.064264,4.530012,2.94252,-1.28161,-1.50591,50,5.80398,2.80725,-98.91056,2.26983,2.93768,14.62828,-33.45358,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,676eba30-3b48-11f1-baa2-a9b6a2699775,67.89421,66.25397,,4.74284,,,,2.17497,2.77687,0.27644,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:02:38.60,2026-04-18T12:02:38.6076672-05:00,2026-04-18T17:02:38.6076672Z,FlyBall,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,b73acb1c-1044-42a0-b028-55c7988fdb26,54.44474,-99.56574,7.31414,5.66876,3.76817,-16.72679,-1.62869,2.67568,1.46884,161.618624,2.17519,88.28873,-18.66945,4.1525,-0.92734,0.21674,-0.04425,0.0058,-0.00033,2.77738,62.14115,-16.92099,0.88952,0.11692,-0.14602,0.04889,-0.00732,0.00041,0.27683,-40.23322,4.4798,-0.79102,0.15673,-0.03535,0.00778,-0.00109,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-18,12:03:11.27,4,1,"Heiliger, Zane",10960928,Right,SOU_WES,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,2,0,0,FourSeamFastBall,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.34351,-0.062897,-1.853317,1967.628982,196.453298,12:30,6.00188,1.24008,6.6626,-32.15769,10.27256,2.70063,3.26449,-0.23134,73.81649,-6.090572,-1.36165,0.468823,90.9261,-6.562086,-2.013438,,,,,22.8985,21.24224,-1.292375,0.168421,-1.87307,5.78847,-1.11671,50,5.98442,3.65149,-115.53179,-0.96718,-2.56929,18.52145,-24.23396,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,7ad80ea0-3b48-11f1-baa2-a9b6a2699775,80.39795,3.24736,,5.52702,,,,1.22826,3.24736,0.23512,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:03:11.27,2026-04-18T12:03:11.2730112-05:00,2026-04-18T17:03:11.2730112Z,GroundBall,v3,510218,643-144624,17034,"Lang, Brandon",1000362582,Right,SOU_WES,b7a373ff-d964-4d0f-af65-2f9bc96792a7,53.83919,-116.14563,9.26073,6.00316,-0.164,-12.11698,-1.23914,3.73664,-1.28465,358.119061,1.22894,132.3491,-22.1136,,,,,,,3.24832,-15.31598,-23.61327,,,,,,,0.23508,-4.65103,1.12256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-18,12:05:53.37,1,1,"Asher, Nolan",1000251563,Right,CEN_COL,"Matthews, Cory",10960913,Right,SOU_WES,Undefined,1,Bottom,0,0,0,FourSeamFastBall,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.3696,-0.958527,-2.604395,2410.119651,187.07434,12:15,6.22045,1.48569,6.21097,-29.14557,7.40981,0.79606,2.90601,-0.85329,80.20371,-6.363135,-2.460792,0.435158,,,,,,,,,,,,-1.03705,4.39851,-1.29064,50,6.1338,5.68122,-125.5734,-3.02398,-1.6783,22.20866,-25.05585,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,db663a30-3b48-11f1-baa2-a9b6a2699775,86.61782,,,6.16588,,,,,,,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:05:53.37,2026-04-18T12:05:53.3708288-05:00,2026-04-18T17:05:53.3708288Z,,v3,510218,643-144624,17034,"Weyler, Evan",1000190342,Right,CEN_COL,a131429f-270c-4053-bdc5-42f292605444,54.2897,-126.32979,11.10433,6.22226,-2.17062,-12.52792,-1.48511,5.73838,-0.83915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,12:06:09.34,1,2,"Asher, Nolan",1000251563,Right,CEN_COL,"Matthews, Cory",10960913,Right,SOU_WES,Undefined,1,Bottom,0,0,1,FourSeamFastBall,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,87.59484,-0.552557,-1.297065,2404.958857,177.919948,12:00,6.27232,1.4801,5.97234,-25.7669,10.2402,-0.33398,3.61266,0.24956,80.75764,-5.349015,-1.357097,0.431882,66.70607,-67.403698,51.704182,,,,,2.10177,2.10177,26.179593,0.039297,-0.16087,5.72611,-1.37722,50,6.21412,2.89705,-127.36041,-2.06403,-0.26613,24.36633,-22.70009,SOU_WES,CEN_COL,RockwellField,D3,SAA,20260418-RockwellField-1,e4fb13e0-3b48-11f1-baa2-a9b6a2699775,87.27477,3.57021,,6.8372,,,,0.96534,3.57021,-0.23887,d4f1c936-c909-401f-9ab7-122ab0238be5,2026-04-18,17:06:09.34,2026-04-18T12:06:09.3488640-05:00,2026-04-18T17:06:09.3488640Z,GroundBall,v3,510218,643-144624,17034,"Weyler, Evan",1000190342,Right,CEN_COL,f20105fd-462f-4c06-a2d1-13450be4f214,54.52836,-128.22384,12.18316,6.27301,-1.25964,-11.35005,-1.48005,2.90648,-0.13307,,0.96448,23.43216,,,,,,,,3.57354,-90.85107,,,,,,,,-0.23995,29.67471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
