PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-22,15:05:54.43,1,1,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.62495,-1.606456,3.750925,2133.595594,147.559716,11:00,5.40411,-2.29046,5.42942,-20.42722,15.43166,-9.16674,2.19365,0.46368,82.01081,-5.391828,2.124778,0.430993,,,,,,,,,,,,5.51744,8.47382,1.96414,50,5.24731,-8.02746,-128.54672,-4.31051,9.36441,23.067,-17.79194,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,6f15cec0-3e97-11f1-a44e-27b007c96601,87.45495,,,6.61414,,,,,,,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:05:54.43,2026-04-22T15:05:54.4305664-07:00,2026-04-22T22:05:54.4305664Z,,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,0ecd6610-f494-4f52-90f6-898934af3757,55.07157,-129.45359,11.5335,5.40303,-3.61103,-8.89597,2.28697,-8.39562,4.68221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-22,15:06:10.82,1,2,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.85946,0.365829,1.96754,2273.139314,271.951731,3:00,5.02361,-2.57374,4.7611,-50.7394,1.09,12.86524,1.14243,0.36479,69.31908,-8.739931,4.228398,0.518155,,,,,,,,,,,,-5.8252,0.87646,2.36433,50,5.01553,-4.24232,-108.61241,-1.08422,-6.98646,18.30519,-31.12289,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,78e95f20-3e97-11f1-a44e-27b007c96601,72.74359,,,5.54038,,,,,,,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:06:10.82,2026-04-22T15:06:10.8241408-07:00,2026-04-22T22:06:10.8241408Z,,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,d3351968-3bda-451b-b98d-0d802ca2a837,55.74063,-109.57564,9.1526,5.02949,0.55349,-15.56145,2.57789,-3.87469,-3.49323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-22,15:06:27.12,1,3,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.75866,-0.231706,1.231283,2355.604505,243.619182,2:00,4.91359,-2.6656,4.68327,-43.49695,6.96882,11.15607,1.06877,-0.56653,70.34704,-8.049304,3.190234,0.511293,,,,,,,,,,,,-5.17055,3.91528,2.52979,50,4.85087,-2.81757,-109.97875,-1.98321,-6.39637,17.66982,-27.33053,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,829e1ce0-3e97-11f1-a44e-27b007c96601,73.71985,,,5.41163,,,,,,,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:06:27.12,2026-04-22T15:06:27.1275008-07:00,2026-04-22T22:06:27.1275008Z,,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,c687db83-0be3-4d84-9111-61f19592e02c,55.81734,-110.90947,8.83491,4.91742,-0.54365,-13.66527,2.66933,-2.48065,-3.19818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-22,15:06:46.13,1,4,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.05961,-1.786604,2.780754,2308.524665,143.99259,10:45,5.25617,-2.4214,5.56365,-18.68985,17.99218,-12.18461,2.02708,-0.83688,80.16499,-5.314326,0.610019,0.435911,69.31079,30.990629,157.283799,2944.069178,-102.78481,29.16784,39.18269,176.87608,58.84887,160.99681,2.447752,7.01756,10.00044,2.18972,50,5.08986,-5.68006,-127.65067,-4.57282,11.5309,27.29613,-15.74183,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,8de401f0-3e97-11f1-a44e-27b007c96601,86.46813,30.38092,,7.89462,,,,1.15517,1.95793,0.8235,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:06:46.13,2026-04-22T15:06:46.1356544-07:00,2026-04-22T22:06:46.1356544Z,FlyBall,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,1783fb3a-0a0e-4355-b9b7-b67ecdba8109,54.93654,-128.70195,13.64807,5.2543,-3.96654,-7.87091,2.41703,-6.12415,5.76545,338.028271,1.15523,-80.38929,3.60858,0.49053,0.19369,-0.32027,0.20375,-0.06021,0.0067,1.95804,52.33704,-26.83685,2.95226,-0.53912,0.13488,-0.05108,0.01677,-0.00226,0.82349,33.65396,-4.87062,0.48412,-0.27294,0.22598,-0.13332,0.03969,-0.0045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2026-04-22,15:07:07.91,1,5,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.60488,0.752358,2.147772,2323.370357,275.811823,3:15,4.92829,-2.67177,4.93018,-48.49325,0.45276,9.01745,1.59893,0.11089,71.12014,-7.976951,3.73681,0.503535,74.6174,-26.838219,-75.147363,,,,,4.60225,2.52874,-46.982168,0.02981,-3.96736,0.37543,2.45458,50,4.96077,-4.52474,-111.22371,-0.23498,-5.01487,18.2525,-31.6995,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,9aed41e0-3e97-11f1-a44e-27b007c96601,74.85558,1.47564,,5.48473,,,,2.39219,1.47564,-0.54591,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:07:07.91,2026-04-22T15:07:07.9186432-07:00,2026-04-22T22:07:07.9186432Z,GroundBall,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,d39dc9d8-5909-4c54-80f3-578b5d09925a,55.57274,-112.1345,9.12625,4.93303,1.34681,-15.84975,2.67412,-4.2745,-2.50744,,2.39197,25.07795,,,,,,,,1.47608,-49.50102,,,,,,,,-0.54507,-94.56438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2026-04-22,15:07:30.79,1,6,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.07447,-2.492972,2.848486,2309.429256,157.330965,11:15,5.64133,-1.88624,5.54155,-16.33717,18.60611,-7.30603,1.94557,0.16935,82.44487,-5.576072,1.547964,0.425455,68.81273,28.249782,142.22521,2654.65054,-91.54934,25.94941,60.98127,176.71234,59.46405,149.353697,2.462551,4.48158,10.43107,1.64419,50,5.41429,-6.17404,-130.55353,-6.2033,7.74904,27.01185,-14.13776,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,a8841bd0-3e97-11f1-a44e-27b007c96601,88.59333,27.05154,,7.62961,,,,0.5058,1.75677,-0.26971,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:07:30.79,2026-04-22T15:07:30.7974144-07:00,2026-04-22T22:07:30.7974144Z,FlyBall,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,437d0b4f-34df-4093-a6e9-b1f7ec0e86ea,54.95824,-131.57541,13.50593,5.63885,-5.66846,-7.06888,1.8833,-6.46719,3.87452,319.910794,0.5057,-70.26487,1.2226,1.59908,-0.83865,0.61347,-0.28713,0.06738,-0.00627,1.75672,47.77215,-25.5057,3.19601,-0.5855,0.11101,0.0289,-0.02087,0.00299,-0.26958,54.44926,-7.42531,-0.24296,0.76357,-0.8052,0.41635,-0.10305,0.00998,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-22,15:07:54.26,1,7,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.23435,-1.410764,3.539472,2290.763767,151.668632,11:00,5.53589,-2.07046,5.58006,-19.52229,15.71127,-7.9243,2.58868,0.57905,82.36486,-5.049821,2.129446,0.427218,64.61664,57.045602,54.593961,4507.240861,39.74083,68.74485,102.57026,152.339,59.41455,70.04581,4.321538,4.89725,8.62548,1.77105,50,5.40162,-7.66702,-129.467,-3.84186,8.40732,24.1287,-17.36633,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,b6826a20-3e97-11f1-a44e-27b007c96601,88.22761,78.72681,,6.86949,,,,0.4734,2.66265,-0.51058,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:07:54.26,2026-04-22T15:07:54.2606848-07:00,2026-04-22T22:07:54.2606848Z,Popup,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,d6d7df7e-5784-413e-97d3-f23c19f3fefd,54.92088,-130.38088,12.06435,5.53467,-3.18411,-8.68317,2.06747,-7.98545,4.20366,212.718986,0.50658,29.00708,-6.97035,-5.06653,7.5246,-4.18697,1.19416,-0.17073,0.00969,2.6711,79.34863,-23.68641,1.41896,0.26362,-0.11649,-0.00975,0.00851,-0.00091,-0.5132,42.1219,-2.55889,1.28994,-1.67059,1.08294,-0.35909,0.05845,-0.0037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-22,15:08:28.21,1,8,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.2498,-1.238193,2.954105,2409.648381,161.330339,11:30,5.74532,-1.94123,5.34211,-15.03576,19.93777,-6.36977,3.32907,0.30165,82.60756,-4.085632,1.825028,0.425639,78.44268,8.665371,177.283744,1357.859287,,,,117.32138,57.11546,177.670274,1.208135,3.92646,10.59749,1.67913,50,5.62286,-6.44906,-130.81989,-3.28796,6.83872,26.29336,-13.71643,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,cabaa750-3e97-11f1-a44e-27b007c96601,88.55499,7.49599,,7.64224,,,,1.35007,3.16436,-0.37817,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:08:28.21,2026-04-22T15:08:28.2153472-07:00,2026-04-22T22:08:28.2153472Z,GroundBall,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,7056a356-c682-4dea-8076-ae7afcf00ab4,55.15435,-131.85178,13.14668,5.74134,-2.74966,-6.85822,1.9375,-6.71745,3.41936,222.380365,1.35007,-113.6071,15.9945,-3.11199,-0.01723,1.21746,-1.42807,0.772,-0.16213,3.16435,17.33609,-18.15069,2.1099,-2.03345,3.44647,-3.60593,1.89432,-0.39199,-0.37817,5.39028,-1.16261,0.29333,-0.29099,0.50339,-0.52816,0.27729,-0.05735,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-22,15:08:50.02,1,9,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.28356,-0.416724,2.600844,1724.923706,136.036845,10:30,4.9578,-2.39843,5.70367,-32.0197,13.09198,-11.1469,1.90078,-0.90224,72.1261,-6.380186,0.608511,0.48341,63.58882,71.181181,127.933346,3940.65889,,,,,12.44052,,,6.47878,7.22469,2.18741,50,4.90306,-4.79812,-114.97128,-1.80907,8.60556,22.83694,-22.57769,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,d7c5e310-3e97-11f1-a44e-27b007c96601,77.97195,31.99923,,7.15746,,,,2.23594,1.87223,0.95788,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:08:50.02,2026-04-22T15:08:50.0290560-07:00,2026-04-22T22:08:50.0290560Z,,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,6f8f81a1-b4a1-40a4-8fde-d403f6d5c5a0,54.79553,-115.91991,11.41847,4.95873,-0.8712,-11.28884,2.39415,-5.15558,4.30278,357.240661,2.24425,-18.77849,-3.86502,,,,,,,1.88703,87.77867,-30.10179,,,,,,,0.94968,24.00934,3.35506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2026-04-22,15:09:20.02,1,10,"Lopez, Jordy",826308,Left,CAL_BEA,"Kallinger, Myles",824264,Right,SAN_DON,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.05756,-0.712598,2.023996,1587.522722,118.989218,10:00,4.98323,-2.52613,5.61224,-36.45726,8.37485,-12.74544,1.27955,-1.6983,73.12495,-7.405394,-0.25295,0.48191,,,,,,,,,,,,6.97847,4.83855,2.36152,50,4.89871,-3.56913,-114.85075,-2.5991,9.39745,19.63999,-25.65833,CAL_BEA,SAN_DON,CalBerkeley,D1,ACC,20260422-CalBerkeley-1,e9a34050-3e97-11f1-a44e-27b007c96601,78.2147,,,5.93262,,,,,,,b0ad0a42-1757-4b10-a130-4c5e9f57ab82,2026-04-22,22:09:20.02,2026-04-22T15:09:20.0273408-07:00,2026-04-22T22:09:20.0273408Z,,v3,471259,471434,38287,"Applefield, Kalen",814519,Right,CAL_BEA,04c9b7a9-346e-4ca3-b59b-73d0589b9c89,54.88844,-115.68367,9.81999,4.98586,-1.51094,-12.82917,2.52134,-3.96767,4.69872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
