PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-22,18:03:13.06,1,1,"Ferguson, Brady",825782,Right,IOW_HAW,"Flanigan, Will",1000116149,Left,UIC_FLA,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.57607,2.414639,0.249331,2730.318845,128.068994,10:15,5.16004,1.7207,5.75138,-33.1327,4.90709,-4.53922,4.64818,1.57454,77.84964,-3.754135,-0.562832,0.443905,,,,,,,,,,,,2.35339,2.17295,-1.73876,50,5.3409,-0.34584,-125.42885,4.13644,3.69513,28.77887,-28.76224,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,70ad6510-3e9f-11f1-bc2f-b7f6c42bf380,84.91097,,,8.72643,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:03:13.06,2026-04-22T18:03:13.0647040-05:00,2026-04-22T23:03:13.0647040Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,4a4eb0ba-e0e1-4270-b7da-fed8ca3177d6,54.74173,-126.51213,14.38944,5.16482,5.21909,-14.38112,-1.72313,-0.48493,1.84757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-22,18:03:39.47,1,2,"Ferguson, Brady",825782,Right,IOW_HAW,"Flanigan, Will",1000116149,Left,UIC_FLA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.27591,-1.067123,-3.10247,2479.431116,201.581287,12:45,5.29497,1.50137,6.30478,-15.66757,15.06784,5.52729,3.00468,-0.89901,85.90745,-4.085813,-2.104955,0.399017,,,,,,,,,,,,-3.83331,8.46926,-1.27605,50,5.20894,7.24131,-138.10549,-3.01764,-7.30413,34.60739,-16.03633,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,806a5350-3e9f-11f1-bc2f-b7f6c42bf380,94.46336,,,9.36845,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:03:39.47,2026-04-22T18:03:39.4761216-05:00,2026-04-22T23:03:39.4761216Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,03411f5d-2665-4bc1-8e89-321051a390ef,54.18986,-139.15145,17.30369,5.29282,-2.53297,-8.01817,-1.49824,7.46206,-3.65207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-22,18:04:35.30,1,3,"Ferguson, Brady",825782,Right,IOW_HAW,"Flanigan, Will",1000116149,Left,UIC_FLA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.99884,-0.851794,-1.793263,2447.669531,203.771091,12:45,5.2553,1.51385,6.18825,-12.21761,18.9106,7.823,3.45027,0.50951,85.22684,-3.257669,-0.382264,0.401558,,,,,,,,,,,,-4.5917,10.34418,-1.38224,50,5.18462,3.95765,-137.7486,-2.3355,-8.66594,35.66004,-12.65142,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,a1adcc40-3e9f-11f1-bc2f-b7f6c42bf380,93.86544,,,9.77201,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:04:35.30,2026-04-22T18:04:35.3073664-05:00,2026-04-22T23:04:35.3073664Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,1cf4adec-bbf0-47c3-9ea8-59ae698126c5,54.30517,-138.85864,17.83002,5.25119,-1.94168,-6.32571,-1.50963,4.22741,-4.33297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-22,18:04:57.94,1,4,"Ferguson, Brady",825782,Right,IOW_HAW,"Flanigan, Will",1000116149,Left,UIC_FLA,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.62397,-1.49556,-2.165974,2447.489233,220.56819,1:15,5.13847,1.64969,6.04731,-16.79068,14.80457,11.66371,2.35342,0.61555,84.92651,-4.71578,-0.067553,0.404559,,,,,,,,,,,,-6.66225,8.43335,-1.48694,50,5.01299,4.65164,-137.11267,-4.08654,-12.44802,35.55158,-16.41687,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,af334110-3e9f-11f1-bc2f-b7f6c42bf380,93.16909,,,9.69746,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:04:57.94,2026-04-22T18:04:57.9481088-05:00,2026-04-22T23:04:57.9481088Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,6fa2e350-d006-4f4a-bc0c-1eee644dbd71,54.44661,-138.26082,17.77579,5.1364,-3.55635,-8.20844,-1.64366,5.05365,-6.22401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-22,18:05:19.27,1,5,"Ferguson, Brady",825782,Right,IOW_HAW,"Flanigan, Will",1000116149,Left,UIC_FLA,Undefined,1,Top,0,3,1,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,86.39887,1.779639,-0.270547,2663.367122,138.805101,10:45,5.19078,1.52956,5.63949,-33.53246,4.83933,-3.02882,4.05715,1.02477,77.70029,-4.449097,-0.811521,0.445838,,,,,,,,,,,,1.42957,2.31768,-1.50469,50,5.32108,0.72463,-125.19334,2.70761,2.23317,28.98123,-28.55351,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,bbe909d0-3e9f-11f1-bc2f-b7f6c42bf380,84.54283,,,8.69858,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:05:19.27,2026-04-22T18:05:19.2773120-05:00,2026-04-22T23:05:19.2773120Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,7e083e05-40ac-4307-ade6-f4e48dbbae1b,54.85414,-126.31204,14.49062,5.19529,3.80979,-14.27676,-1.531,0.63843,1.11658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-22,18:05:54.39,2,1,"Ferguson, Brady",825782,Right,IOW_HAW,"Busson, Jake",10101950,Right,UIC_FLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.29819,-2.747986,-2.527741,2446.198539,213.41383,1:00,5.18851,1.71635,5.78142,-16.99525,15.76635,9.61268,1.21107,0.16407,84.17389,-5.978056,-0.807459,0.411959,,,,,,,,,,,,-5.71485,9.26438,-1.51368,50,4.95155,5.52955,-135.07117,-7.0244,-10.40507,33.38977,-15.30637,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,d0d1f960-3e9f-11f1-bc2f-b7f6c42bf380,91.49559,,,9.1243,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:05:54.39,2026-04-22T18:05:54.3907840-05:00,2026-04-22T23:05:54.3907840Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,5e380da1-d3ba-4fc3-82c9-fab513ffa824,54.71477,-136.23168,16.69489,5.18645,-6.49241,-7.65318,-1.71215,5.89119,-5.20253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-22,18:06:16.16,2,2,"Ferguson, Brady",825782,Right,IOW_HAW,"Busson, Jake",10101950,Right,UIC_FLA,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.49475,1.915886,-0.944855,2709.589937,173.38428,11:45,5.08215,1.68643,5.47492,-32.69427,6.50233,-0.59969,4.15132,0.75223,77.33311,-4.135895,-1.051586,0.450604,,,,,,,,,,,,0.01244,3.10732,-1.60304,50,5.22855,2.06993,-123.91382,2.98952,0.01916,26.83048,-27.386,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,ddd87a30-3e9f-11f1-bc2f-b7f6c42bf380,83.64862,,,8.16164,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:06:16.16,2026-04-22T18:06:16.1637888-05:00,2026-04-22T23:06:16.1637888Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,ff6408c5-f1ff-436a-96ea-6506c16a20ec,55.0199,-124.99602,13.41524,5.08569,4.09414,-13.693,-1.68652,2.06916,0.00958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-22,18:07:35.93,2,3,"Ferguson, Brady",825782,Right,IOW_HAW,"Busson, Jake",10101950,Right,UIC_FLA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.61484,-0.531718,-1.426577,2479.664641,202.805993,12:45,5.14691,1.48247,5.68469,-17.27595,15.30769,5.94233,3.21147,0.6477,84.23623,-3.821539,-0.36448,0.410839,,,,,,,,,,,,-3.45114,8.26422,-1.36609,50,5.09157,3.10013,-135.69383,-1.81351,-6.33994,33.77049,-16.99231,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,0d5fd5f0-3ea0-11f1-bc2f-b7f6c42bf380,91.7451,,,9.37861,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:07:35.93,2026-04-22T18:07:35.9389184-05:00,2026-04-22T23:07:35.9389184Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,8bde8cde-d859-4f85-8883-3c9ad39ac160,54.8093,-136.8855,16.88524,5.14499,-1.2139,-8.49616,-1.47943,3.32385,-3.16997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-22,18:07:58.50,2,4,"Ferguson, Brady",825782,Right,IOW_HAW,"Busson, Jake",10101950,Right,UIC_FLA,Undefined,1,Top,0,2,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.30438,-0.484654,-1.805501,2712.580616,170.296936,11:45,5.18578,1.52254,5.51465,-33.85573,5.58303,-0.71685,1.91106,-0.22599,77.26061,-6.73034,-1.933279,0.451994,91.88873,45.022691,-39.388075,3730.963789,,,,,131.85578,,,-0.21079,3.34776,-1.3647,50,5.12095,3.9282,-123.66359,-2.22983,-0.32186,27.86873,-27.06219,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,1ad14d90-3ea0-11f1-bc2f-b7f6c42bf380,83.39138,102.59487,,8.04376,,,,2.81624,1.97943,0.28049,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:07:58.50,2026-04-22T18:07:58.5011200-05:00,2026-04-22T23:07:58.5011200Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,10fe691c-d155-4ded-96aa-e7b78261230a,54.98259,-124.78141,13.93437,5.18862,-1.14436,-13.5311,-1.52252,3.94111,-0.16093,144.831413,2.81623,73.62389,-16.21043,4.13231,-1.21741,0.59696,-0.3314,0.11601,-0.01696,1.97944,95.33364,-24.7808,2.82611,-0.45196,-0.08173,0.12671,-0.05327,0.00826,0.28049,-60.44775,4.6438,-0.65826,-0.03805,0.16567,-0.1302,0.0499,-0.0075,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-22,18:08:48.47,2,5,"Ferguson, Brady",825782,Right,IOW_HAW,"Busson, Jake",10101950,Right,UIC_FLA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.60119,-1.462842,-2.152899,2467.177407,190.706968,12:15,5.18814,1.36686,6.13816,-12.42304,19.46143,3.47197,2.79972,-0.33439,84.72593,-3.888411,-1.5276,0.406407,,,,,,,,,,,,-2.43626,10.7917,-1.20435,50,5.06989,4.95122,-135.77578,-3.77269,-4.50662,32.24528,-12.21143,IOW_HAW,UIC_FLA,DuaneBanks,D1,BIG10,20260422-DuaneBanks-2,3897d4c0-3ea0-11f1-bc2f-b7f6c42bf380,92.74559,,,8.87526,,,,,,,d91646d7-8fa1-431e-8ed5-de59857e163c,2026-04-22,23:08:48.47,2026-04-22T18:08:48.4783104-05:00,2026-04-22T23:08:48.4783104Z,,v3,1232,471318,53733e46abde467aa7d458b37d385f1b,"Geffre, Carter",815641,Right,IOW_HAW,eea2de39-8ee3-43f1-8d77-3f98a3326d79,54.35702,-136.80661,16.12264,5.18425,-3.38231,-6.10572,-1.36493,5.09529,-2.25331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
