PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-22,14:06:59.00,1,1,"Paxson, Will",10021262,Right,OAK_GOL,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.70354,-1.591541,-2.074633,2408.18588,198.782196,12:45,6.2865,1.42384,5.04263,-19.73729,16.53973,5.18752,3.13901,-0.10178,81.11181,-5.281614,-1.158859,0.433498,,,,,,,,,,,,-3.19547,9.05036,-1.23016,50,6.11949,4.45524,-129.84705,-4.30156,-5.40053,29.74756,-16.87837,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,7041fc10-3e7e-11f1-b504-a1ad7af0811d,86.94949,,,8.59172,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:06:59.00,2026-04-22T14:06:59.0038016-05:00,2026-04-22T19:06:59.0038016Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,fa7471da-be02-4ee7-b634-20849c64aa93,55.45394,-131.09058,14.87378,6.28455,-3.596,-8.43918,-1.42113,4.681,-2.70027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-22,14:07:11.58,1,2,"Paxson, Will",10021262,Right,OAK_GOL,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.69812,-2.91124,-0.9757,2369.035909,197.497618,12:30,6.27973,1.17569,5.04986,-20.18044,17.12355,4.96024,1.84937,0.66867,79.97763,-6.681445,-0.098897,0.439591,,,,,,,,,,,,-2.77945,9.83567,-1.08691,50,5.98688,1.95342,-128.2886,-7.22196,-4.55952,30.41687,-16.03911,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,77c70890-3e7e-11f1-b504-a1ad7af0811d,85.74428,,,8.72049,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:07:11.58,2026-04-22T14:07:11.5827200-05:00,2026-04-22T19:07:11.5827200Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,c2595af0-1315-46c7-83e5-595a8e5f9275,55.44735,-129.57371,15.20843,6.27769,-6.5443,-8.01956,-1.17351,2.14605,-2.27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-22,14:07:25.84,1,3,"Paxson, Will",10021262,Right,OAK_GOL,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,84.18429,-1.486778,-1.206275,2453.177196,86.752993,9:00,6.2117,1.59017,4.60254,-40.79821,0.99528,-7.63969,1.39728,-0.19382,76.79845,-8.814351,-2.547598,0.465292,,,,,,,,,,,,3.38524,1.31921,-1.45825,50,6.02066,2.91502,-121.90802,-4.79468,5.04319,26.21587,-30.20873,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,8047b320-3e7e-11f1-b504-a1ad7af0811d,81.0081,,,7.38583,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:07:25.84,2026-04-22T14:07:25.8488832-05:00,2026-04-22T19:07:25.8488832Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,5a345c7c-5bce-4b03-a0de-e519d657bda4,55.8976,-123.16975,13.10793,6.21643,-3.34078,-15.10436,-1.5927,2.6723,2.52159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-22,14:07:59.14,2,1,"Paxson, Will",10021262,Right,OAK_GOL,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.57832,-3.499715,-2.108871,2414.020156,207.129793,1:00,6.27573,1.28749,5.07991,-20.42702,16.63442,7.87107,1.26802,-0.04547,80.70072,-7.285677,-0.717596,0.43816,,,,,,,,,,,,-4.56544,9.68485,-1.09425,50,5.92808,4.36254,-128.15723,-8.56114,-7.55031,27.87245,-16.15723,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,941d8500-3e7e-11f1-b504-a1ad7af0811d,86.02442,,,7.8776,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:07:59.14,2026-04-22T14:07:59.1466496-05:00,2026-04-22T19:07:59.1466496Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,02885e90-6f52-4267-b85e-a1dc5a32891f,55.42011,-129.33065,13.93622,6.27419,-7.88092,-8.07862,-1.2846,4.68041,-3.77515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-22,14:08:14.95,2,2,"Paxson, Will",10021262,Right,OAK_GOL,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.01983,-3.518067,-1.245949,2451.308095,211.884062,1:00,6.28854,1.22482,5.03184,-19.03769,16.87367,9.73284,1.37775,0.86013,82.01074,-7.051521,0.473947,0.431308,,,,,,,,,,,,-5.22914,9.77839,-1.11406,50,5.93722,2.38193,-130.29223,-8.68926,-8.9411,28.73566,-15.45444,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,9d8a1630-3e7e-11f1-b504-a1ad7af0811d,87.39105,,,8.00908,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:08:14.95,2026-04-22T14:08:14.9565440-05:00,2026-04-22T19:08:14.9565440Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,d2407e89-ef29-49ff-8027-90e0efe4edfd,55.46816,-131.49268,14.36783,6.28674,-8.04364,-7.72722,-1.22136,2.75545,-4.47055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-22,14:08:30.62,2,3,"Paxson, Will",10021262,Right,OAK_GOL,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4408,-1.093519,-1.264828,2530.408791,201.971329,12:45,6.36459,1.48848,5.04325,-19.19257,16.80556,6.32374,3.7333,0.82213,81.81799,-4.665532,-0.147794,0.431828,,,,,,,,,,,,-3.46705,8.96453,-1.37307,50,6.24544,2.56585,-129.73882,-3.15442,-5.92501,26.46806,-16.85401,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,a6e1bfd0-3e7e-11f1-b504-a1ad7af0811d,87.28567,,,7.6228,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:08:30.62,2026-04-22T14:08:30.6298368-05:00,2026-04-22T19:08:30.6298368Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,7d54ca81-4017-43f5-8dbe-f4825b99286f,55.45529,-130.84702,13.23403,6.36274,-2.44875,-8.427,-1.4857,2.81392,-2.96251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-22,14:08:46.08,2,4,"Paxson, Will",10021262,Right,OAK_GOL,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75419,-3.266812,-3.076628,2514.73107,203.748828,12:45,6.37315,1.24341,5.26921,-19.26682,17.08237,7.01319,1.69106,-1.06505,81.53518,-6.842257,-1.834549,0.433929,,,,,,,,,,,,-4.3089,9.75233,-0.96713,50,6.05982,6.58721,-128.48539,-7.99811,-7.23885,25.38081,-15.79034,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,b020d860-3e7e-11f1-b504-a1ad7af0811d,86.86315,,,7.21901,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:08:46.08,2026-04-22T14:08:46.0874752-05:00,2026-04-22T19:08:46.0874752Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,92220d76-73d2-4ef7-90e9-5d42d3ee9b97,55.22987,-129.51437,12.6904,6.3711,-7.35794,-7.89517,-1.24014,6.88069,-3.61942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-22,14:09:02.83,2,5,"Paxson, Will",10021262,Right,OAK_GOL,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.43718,-1.976474,-2.714927,2453.236008,198.616566,12:30,6.31973,1.43774,5.03519,-18.89237,18.1193,5.69752,2.87781,-0.65081,80.75414,-5.497388,-1.710095,0.437866,92.00855,57.668645,25.364347,4955.995596,84.76094,148.17356,70.11111,196.78381,79.02685,44.996882,6.089163,-3.60902,9.91957,-1.1831,50,6.11622,5.81594,-128.11052,-5.08078,-5.99411,26.62157,-15.69897,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,ba144cd0-3e7e-11f1-b504-a1ad7af0811d,86.0822,149.12147,,7.68304,,,,1.44557,2.79051,0.57346,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:09:02.83,2026-04-22T14:09:02.8331008-05:00,2026-04-22T19:09:02.8331008Z,FlyBall,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,a97983fe-b7e2-40c7-8c98-03ad81891fab,55.46509,-129.24118,13.31078,6.31785,-4.41402,-7.84948,-1.43552,6.07052,-2.99705,198.160749,1.44433,65.17317,-24.70378,7.2723,-1.25442,0.03581,0.03218,-0.0057,0.0003,2.76755,114.39875,-28.86397,4.21324,-1.21342,0.30029,-0.04367,0.00293,-6E-05,0.57657,30.88241,-1.2295,-0.52564,0.22276,-0.02954,-0.00188,0.00084,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-04-22,14:09:44.99,2,6,"Paxson, Will",10021262,Right,OAK_GOL,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,89.02979,-2.007585,-1.894207,2315.579029,210.702695,1:00,6.36582,1.25473,5.17789,-20.68399,15.64729,8.58343,2.75127,0.18698,81.2507,-5.85206,-0.374318,0.433822,102.2621,12.714039,-29.47713,2427.496875,92.0811,15.29008,-60.17489,204.89782,200.28936,-36.765528,1.739707,-4.85945,8.74225,-1.08544,50,6.16364,3.8824,-129.05958,-5.25476,-8.17689,27.44649,-17.46363,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,d3317030-3e7e-11f1-b504-a1ad7af0811d,86.88451,15.30905,,7.77909,,,,1.96161,2.83196,-0.18902,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:09:44.99,2026-04-22T14:09:44.9932800-05:00,2026-04-22T19:09:44.9932800Z,LineDrive,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,b08b68c4-7d6b-40ce-acd3-169e8bd9bc00,55.3227,-130.18662,13.72325,6.36469,-4.53765,-8.73181,-1.25175,4.21816,-4.08845,87.032771,1.9616,127.36841,-26.72005,5.68867,-1.21554,0.21135,-0.03005,0.00232,3E-05,2.83196,33.00933,-23.8831,3.1114,-0.65768,0.13973,-0.02624,0.0041,-0.00035,-0.18902,-71.99276,-2.20284,3.10012,-1.15538,0.32838,-0.06968,0.00986,-0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-22,14:10:14.65,3,1,"Paxson, Will",10021262,Right,OAK_GOL,"Zirwas, Devan",824578,Left,EMU_EAG,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.20914,-0.805472,-0.087126,2361.664622,87.695725,9:00,6.01381,1.38654,4.72835,-42.1714,1.29784,-4.00284,1.73524,0.9703,75.08635,-8.410013,-0.791739,0.474529,,,,,,,,,,,,1.93461,1.31791,-1.374,50,5.89525,0.36016,-119.14162,-3.3071,2.76147,24.37254,-30.29285,OAK_GOL,EMU_EAG,OaklandBaseballField,D1,HORZ,20260422-OaklandBaseballField-1,e4e6ac00-3e7e-11f1-b504-a1ad7af0811d,79.43134,,,7.12278,,,,,,,6a6fc6c7-d7e4-4824-8299-77e10c42dab8,2026-04-22,19:10:14.65,2026-04-22T14:10:14.6527232-05:00,2026-04-22T19:10:14.6527232Z,,v3,471397,471289,,"Mardis, Nick",10102168,Right,OAK_GOL,16c44c8c-4b3c-4c0d-af37-6001e9aabcd9,55.7707,-120.31634,12.18627,6.01946,-1.84704,-15.14642,-1.38815,0.22706,1.38073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
