PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-22,15:36:33.73,1,1,"James, Ezra",1000485759,Right,SOU_ORE,"Slater, Kyle",10322256,Right,MT._HOO,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.21138,-2.089722,-4.68292,1990.765189,242.03184,2:00,6.21677,1.64406,5.29736,-28.7373,11.87938,19.26233,1.85254,-1.15728,76.06804,-7.433285,-1.274896,0.458694,,,,,,,,,,,,-11.20804,7.14599,-1.23164,50,6.00575,9.19931,-122.86587,-5.4866,-16.70041,30.07054,-21.52622,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,b4f871f0-3e9b-11f1-bb37-ffdaf0089a22,82.1733,,,9.14333,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:36:33.73,2026-04-22T15:36:33.7379328-07:00,2026-04-22T22:36:33.7379328Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,9cf79e7f-9e34-4c6b-a421-750db227eb2b,55.19854,-124.13165,15.03527,6.21763,-4.58048,-10.76311,-1.63367,9.90229,-8.3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-22,15:36:48.92,1,2,"James, Ezra",1000485759,Right,SOU_ORE,"Slater, Kyle",10322256,Right,MT._HOO,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.9879,-1.081044,-3.40887,2053.208692,245.801857,2:15,6.19593,1.5408,5.36563,-29.04139,11.35749,21.77891,2.76021,0.15546,76.13807,-6.487542,0.457789,0.457463,,,,,,,,,,,,-12.07721,6.50752,-1.2506,50,6.07863,6.36802,-122.89574,-3.31464,-18.06391,29.35509,-22.44077,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,be013840-3e9b-11f1-bb37-ffdaf0089a22,82.39448,,,8.84983,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:36:48.92,2026-04-22T15:36:48.9210368-07:00,2026-04-22T22:36:48.9210368Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,2cf75f73-166e-41af-9fa5-b617c6d6974a,55.13253,-124.11564,14.67754,6.197,-2.38207,-11.22039,-1.53083,7.1187,-9.03196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-22,15:37:06.64,1,3,"James, Ezra",1000485759,Right,SOU_ORE,"Slater, Kyle",10322256,Right,MT._HOO,Undefined,1,Top,0,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.44258,-0.904429,-3.574997,2548.219986,108.46543,9:30,6.12432,1.83739,4.89241,-43.13117,5.52536,-11.95257,1.67278,-2.54483,71.30998,-8.672475,-5.674117,0.502044,,,,,,,,,,,,4.86721,3.47327,-1.47609,50,5.99955,7.49625,-112.09575,-3.29184,6.17927,20.68148,-27.76453,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,c897f190-3e9b-11f1-bb37-ffdaf0089a22,75.07793,,,6.1326,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:37:06.64,2026-04-22T15:37:06.6407424-07:00,2026-04-22T22:37:06.6407424Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,59ad0843-9b23-4331-8545-ddf8599aa801,55.60686,-113.12547,10.34074,6.12904,-1.90946,-13.88226,-1.84166,7.18859,3.08963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-22,15:37:23.70,1,4,"James, Ezra",1000485759,Right,SOU_ORE,"Slater, Kyle",10322256,Right,MT._HOO,Undefined,1,Top,0,1,2,Curveball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.54797,0.491712,-1.556825,2468.189607,111.505348,9:45,6.13827,2.03171,4.73404,-41.45994,8.20449,-16.02115,3.14996,-0.78074,69.67585,-7.075346,-4.368787,0.507217,,,,,,,,,,,,7.26996,4.40977,-1.85981,50,6.15202,3.73555,-112.11788,-0.50006,9.04053,24.62619,-26.69029,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,d2ca1cb0-3e9b-11f1-bb37-ffdaf0089a22,74.31219,,,7.87212,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:37:23.70,2026-04-22T15:37:23.7095936-07:00,2026-04-22T22:37:23.7095936Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,c0946bff-676f-427f-8db7-c24037f9fb60,55.76174,-113.37636,12.31309,6.14273,0.8639,-13.34515,-2.0389,3.27355,4.52027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-22,15:37:48.26,2,1,"James, Ezra",1000485759,Right,SOU_ORE,"Araiza, Jordan",10305203,Right,MT._HOO,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.46248,-1.74285,-2.856217,2182.924768,231.123975,1:45,6.35066,1.52495,5.73016,-23.46966,15.58225,17.57237,2.76916,0.32702,77.21428,-6.162786,0.285703,0.449772,55.54346,39.064976,115.579725,4850.480028,-65.17722,34.65887,88.61052,195.45343,52.00227,130.503452,3.126724,-9.79926,8.88048,-1.29739,50,6.19092,5.43378,-123.77937,-4.49412,-15.00327,27.73622,-18.57749,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,e1660a90-3e9b-11f1-bb37-ffdaf0089a22,83.8034,37.49923,,8.24819,,,,-0.44424,2.4624,-0.11094,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:37:48.26,2026-04-22T15:37:48.2693632-07:00,2026-04-22T22:37:48.2693632Z,LineDrive,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,bfb8b935-8b9d-4036-91b8-416302ec6f07,54.76794,-124.84319,13.86811,6.34963,-3.78158,-9.28874,-1.51684,6.00922,-7.50163,,-0.46062,-26.69689,-7.39941,9.0848,-8.92987,4.06135,-0.90602,0.0859,-0.00142,2.45697,51.76227,-24.20456,15.49954,-21.38873,15.4743,-5.86653,1.12912,-0.08744,-0.07931,55.87544,-2.02181,-14.53649,16.29308,-7.58089,1.71276,-0.16408,0.00277,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2026-04-22,15:38:06.54,2,2,"James, Ezra",1000485759,Right,SOU_ORE,"Araiza, Jordan",10305203,Right,MT._HOO,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.14951,-2.990999,-3.447966,2085.05378,243.206159,2:00,6.38023,1.37824,5.24005,-27.84415,11.57595,19.97084,1.24103,-0.20213,77.71326,-8.131819,0.091406,0.451888,,,,,,,,,,,,-11.0989,7.18922,-1.07639,50,6.08427,6.60806,-124.45577,-7.49685,-17.11105,28.95698,-21.09056,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,ec440610-3e9b-11f1-bb37-ffdaf0089a22,83.41111,,,8.43626,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:38:06.54,2026-04-22T15:38:06.5415680-07:00,2026-04-22T22:38:06.5415680Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,a73e464d-e5a8-41ae-bb53-14a1189bd86c,55.25856,-125.67332,14.47849,6.38084,-6.61006,-10.54528,-1.36936,7.32753,-8.55552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-22,15:38:22.40,2,3,"James, Ezra",1000485759,Right,SOU_ORE,"Araiza, Jordan",10305203,Right,MT._HOO,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.52748,0.475816,-0.538827,2564.17659,113.558946,9:45,6.07827,2.14583,4.71211,-43.1712,7.59012,-13.10158,2.9323,0.54261,69.0465,-7.386939,-2.840402,0.512788,,,,,,,,,,,,6.1889,4.13146,-2.07904,50,6.08871,1.59988,-110.72935,-0.60061,7.54662,23.06486,-27.1362,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,f5c6b750-3e9b-11f1-bb37-ffdaf0089a22,73.50491,,,7.48098,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:38:22.40,2026-04-22T15:38:22.4090624-07:00,2026-04-22T22:38:22.4090624Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,547fd89f-9abc-476f-a5b5-2c228af646fc,55.78375,-111.92762,11.53243,6.08329,0.80918,-13.5681,-2.15197,1.20781,3.77331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-22,15:38:42.11,2,4,"James, Ezra",1000485759,Right,SOU_ORE,"Araiza, Jordan",10305203,Right,MT._HOO,Undefined,1,Top,1,1,2,Curveball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.71189,1.272071,-0.369276,2486.539743,104.083708,9:30,6.18122,1.77936,4.69422,-44.9151,5.65189,-15.10694,3.64624,0.16985,69.12847,-6.902821,-3.021334,0.511806,,,,,,,,,,,,7.22158,2.90878,-1.72758,50,6.27072,1.36096,-110.98695,0.86449,8.8447,23.21705,-28.61148,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,017ee630-3e9c-11f1-bb37-ffdaf0089a22,73.64602,,,7.58342,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:38:42.11,2026-04-22T15:38:42.1157376-07:00,2026-04-22T22:38:42.1157376Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,53cc7850-e013-4fb2-ae8b-6bf5c5611a88,55.80246,-112.19418,11.60852,6.18709,2.35223,-14.30574,-1.78639,0.90105,4.42235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-22,15:39:08.63,3,1,"James, Ezra",1000485759,Right,SOU_ORE,"Wynn, Cade",1000111157,Right,MT._HOO,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.01899,-2.662492,-5.584854,2010.77362,265.086976,2:45,6.257,1.53125,5.65752,-36.83951,3.35327,20.79308,0.69037,-1.96097,76.52453,-9.437317,-1.883028,0.456295,,,,,,,,,,,,-12.38812,3.0891,-1.07015,50,6.00742,11.09891,-122.55435,-7.00876,-18.43875,29.04066,-27.57617,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,11476d30-3e9c-11f1-bb37-ffdaf0089a22,82.60547,,,8.49446,,,,,,,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:39:08.63,2026-04-22T15:39:08.6315008-07:00,2026-04-22T22:39:08.6315008Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,c180fc46-9d44-489b-a4ee-e4308d108e18,54.84103,-123.69617,14.52033,6.26168,-5.92452,-13.78808,-1.52079,11.82388,-9.21937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-22,15:39:25.06,3,2,"James, Ezra",1000485759,Right,SOU_ORE,"Wynn, Cade",1000111157,Right,MT._HOO,Undefined,1,Top,2,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.37073,-2.282318,-3.405485,2032.17633,260.117647,2:45,6.16841,1.84791,5.45395,-35.034,5.48185,21.4693,1.1074,0.44521,75.77212,-8.761976,0.418194,0.458125,70.92998,-56.093929,-106.640551,,,,,1.73113,1.5565,-42.600056,0.012871,-12.09198,4.13122,-1.56236,50,5.94315,6.38905,-123.21038,-6.15568,-17.90797,32.81326,-26.05579,SOU_ORE,MT._HOO,SouthwesternOregonStadium,JUCO,NJCAA,20260422-SouthwesternOregonStadium-2,1b11fce0-3e9c-11f1-bb37-ffdaf0089a22,82.2755,1.11305,,9.59861,,,,1.48851,1.11305,-0.45498,a35ea7e0-6535-4350-b4be-ffe6ca9e5901,2026-04-22,22:39:25.06,2026-04-22T15:39:25.0618880-07:00,2026-04-22T22:39:25.0618880Z,GroundBall,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,84fb76de-65b7-47ec-ad40-7d75dfd38072,55.04247,-124.54604,16.40663,6.17214,-5.09508,-13.0279,-1.83726,7.11799,-8.95398,,1.48857,-16.645,,,,,,,,1.11334,-86.47903,,,,,,,,-0.4548,-55.69054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
