PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,13:02:09.41,1,1,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Hahm-Taklender, Orion",1000304525,Right,LIN_WIL1,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.62439,-1.889376,4.030951,2239.691228,120.906094,10:00,6.63161,-2.48132,6.24709,-25.33564,9.98304,-14.73741,2.77281,0.0144,80.92511,-6.638861,1.374496,0.427734,82.06749,-37.149893,20.819244,,,,,4.37681,4.37681,16.489719,0.037139,8.80772,6.07107,2.18817,50,6.47826,-8.46413,-128.45769,-5.03432,14.67335,27.34959,-22.05988,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,567f8d80-3b48-11f1-9a43-fbf990dc57a2,88.12123,2.70735,,7.69928,,,,0.85682,2.70735,-0.02769,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:02:09.41,2026-04-18T13:02:09.4184448-04:00,2026-04-18T17:02:09.4184448Z,GroundBall,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,088326f9-4676-4dd1-8017-0b412419d418,54.25222,-129.35985,13.67479,6.63232,-4.30665,-11.02994,2.47535,-8.94815,7.33667,,0.85529,89.93091,,,,,,,,2.7086,-72.89712,,,,,,,,-0.02828,34.19612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2026-04-18,13:02:49.23,2,1,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.31199,-1.838502,3.126319,2255.404101,137.082557,10:30,6.64031,-2.47351,5.9131,-19.28166,14.54957,-12.4389,3.32404,-0.60562,82.78451,-5.487075,0.89632,0.41863,,,,,,,,,,,,7.26855,8.34115,2.22947,50,6.48171,-6.67607,-132.30218,-4.8562,12.77842,30.36895,-17.51001,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,6e38db20-3b48-11f1-9a43-fbf990dc57a2,90.03763,,,8.52748,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:02:49.23,2026-04-18T13:02:49.2317696-04:00,2026-04-18T17:02:49.2317696Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,c75d0aa1-a2b9-41c3-8c1f-ffcd68bf2c78,54.58355,-133.35014,15.18448,6.63887,-4.25196,-8.755,2.46745,-7.11703,6.38921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,13:03:08.38,2,2,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,0,1,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.74065,-1.468544,3.196645,2247.545326,120.87456,10:00,6.5987,-2.49038,5.98183,-24.8173,9.79264,-14.54733,3.16695,-0.73656,82.17151,-6.097382,0.584224,0.423421,,,,,,,,,,,,8.37512,5.76768,2.24576,50,6.46874,-6.66693,-130.21347,-4.16372,14.38761,27.19611,-22.26577,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,79a274d0-3b48-11f1-9a43-fbf990dc57a2,89.0189,,,7.56913,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:03:08.38,2026-04-18T13:03:08.3803648-04:00,2026-04-18T17:03:08.3803648Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,dbbd98cf-5c41-4918-9436-c45b9f862e5a,54.51798,-131.15369,13.59805,6.59938,-3.39395,-11.13288,2.48485,-7.16433,7.19381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,13:03:31.96,2,3,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.46311,-1.253504,3.282129,2258.317133,136.533553,10:30,6.72475,-2.43612,6.03537,-18.01796,15.53158,-13.62359,4.06044,-0.5289,82.84168,-4.687653,0.835091,0.416884,79.6241,17.675693,155.734663,1509.750784,,,,,42.37144,,,7.98327,8.70453,2.1869,50,6.61702,-7.01541,-132.58123,-3.44358,14.08869,30.59906,-16.81251,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,87afb740-3b48-11f1-9a43-fbf990dc57a2,90.41477,14.61607,,8.62143,,,,-0.31036,3.97136,0.38665,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:03:31.96,2026-04-18T13:03:31.9644160-04:00,2026-04-18T17:03:31.9644160Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,312eaae7-4b1d-4485-9a59-03438a4b041a,54.46222,-133.60712,15.29953,6.72302,-2.8799,-8.40626,2.43002,-7.48776,7.04434,,-0.31527,-101.2726,10.79317,,,,,,,3.97824,35.22559,-21.09731,,,,,,,0.39096,45.58147,-7.23093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-18,13:03:56.13,2,4,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,0,2,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.38251,-1.011316,1.686987,1344.566584,119.662159,10:00,6.75621,-2.3752,5.60916,-29.85427,8.66308,-12.69859,3.32386,-1.8583,77.78399,-6.56403,-0.58169,0.446683,,,,,,,,,,,,6.94217,5.14894,2.23915,50,6.65085,-3.1309,-125.14231,-3.23448,10.80826,29.54675,-24.15769,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,961f16e0-3b48-11f1-9a43-fbf990dc57a2,84.38292,,,8.59852,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:03:56.13,2026-04-18T13:03:56.1322496-04:00,2026-04-18T17:03:56.1322496Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,b812c2b5-7595-481a-b0bb-2522e39b0317,54.88616,-126.29069,14.77338,6.75831,-2.29555,-12.07885,2.369,-3.55098,5.40413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,13:04:18.87,2,5,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,1,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.52161,-1.396313,1.785194,2164.161206,127.895914,10:15,6.7015,-2.55951,5.8909,-23.90419,11.54749,-13.15513,3.41212,-1.99768,80.60567,-5.895361,-0.576576,0.428538,,,,,,,,,,,,7.27225,6.74701,2.42301,50,6.57542,-3.46872,-129.74627,-3.94177,12.18123,31.54312,-20.8726,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,a3a527f0-3b48-11f1-9a43-fbf990dc57a2,87.9558,,,8.91594,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:04:18.87,2026-04-18T13:04:18.8736000-04:00,2026-04-18T17:04:18.8736000Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,b1a5c749-aca3-46f3-a341-190fd5e2e45a,54.60472,-130.86095,15.77156,6.70169,-3.20417,-10.4363,2.55319,-3.89918,6.09062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,13:04:40.29,2,6,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,2,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.69488,-3.763781,2.134995,2345.242484,119.2219,10:00,6.55077,-2.33534,5.90219,-22.76076,11.14016,-17.65777,1.15264,-1.82398,82.78828,-8.020614,-1.037664,0.419061,,,,,,,,,,,,9.68882,7.31119,2.17352,50,6.23483,-4.16025,-132.65311,-9.49002,16.96561,32.95341,-19.37176,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,b06fd840-3b48-11f1-9a43-fbf990dc57a2,89.94501,,,8.9066,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:04:40.29,2026-04-18T13:04:40.2963968-04:00,2026-04-18T17:04:40.2963968Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,03286a6d-5bc4-4a8a-bc5b-3c8b0cea7ab4,54.5944,-133.78957,16.47671,6.55059,-8.82195,-9.68588,2.32709,-4.74534,8.48281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,13:05:05.99,2,7,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Sidler, Bryce",1000229928,Right,LIN_WIL1,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.96987,-1.24558,0.769348,2274.105443,143.711754,10:45,6.79234,-2.35469,6.00615,-16.2141,18.74355,-12.80772,4.28686,-2.70916,80.79264,-4.380818,-1.534456,0.425542,,,,,,,,,,,,6.76788,10.38162,2.30084,50,6.68557,-1.19033,-130.44733,-3.26817,11.44647,32.16431,-14.61565,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,bfbdff20-3b48-11f1-9a43-fbf990dc57a2,88.57513,,,9.17723,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:05:05.99,2026-04-18T13:05:05.9962880-04:00,2026-04-18T17:05:05.9962880Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,d738efa1-5054-43f2-b7bc-f836fd4fa34f,54.48838,-131.54938,16.08216,6.78897,-2.7674,-7.30783,2.34834,-1.58252,5.72324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,13:05:43.68,3,1,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Duran, Andres",1000403179,Right,LIN_WIL1,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.74991,-1.305155,2.703547,2177.506244,133.71225,10:30,6.69553,-2.52718,6.05989,-21.27167,14.63115,-13.90091,3.71335,-1.18146,79.75098,-5.354791,0.202986,0.431256,,,,,,,,,,,,7.9804,8.33701,2.32416,50,6.58283,-5.47551,-128.57174,-3.56325,13.11822,31.12764,-18.46958,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,d63297c0-3b48-11f1-9a43-fbf990dc57a2,87.40147,,,8.99893,,,,,,,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:05:43.68,2026-04-18T13:05:43.6846592-04:00,2026-04-18T17:05:43.6846592Z,,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,2f0c786c-ecc5-4589-91aa-d21ce006ed3f,54.43511,-129.64105,15.56382,6.69434,-2.92877,-9.23479,2.52,-5.92616,6.55911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,13:06:11.10,3,2,"Johnson, Caiden",1000113410,Left,GEO_GWI,"Duran, Andres",1000403179,Right,LIN_WIL1,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,2,,89.66249,-2.872562,3.92742,2206.297907,140.743508,10:45,6.83352,-2.32137,6.01152,-18.79966,16.21962,-12.26198,2.59725,0.30085,81.4458,-6.436857,1.728,0.425917,99.68313,40.951325,26.307355,3319.404599,96.94856,85.46302,51.97001,384.26469,359.55317,28.516731,5.668128,7.50926,9.56934,2.01954,50,6.59723,-8.4007,-129.7715,-7.08535,12.7086,29.0751,-15.979,GEO_GWI,LIN_WIL1,GeorgiaGwinnett,NAIA,NAIA,20260418-GeorgiaGwinnett-1,e69f26f0-3b48-11f1-9a43-fbf990dc57a2,88.49716,116.79542,,8.21669,,,,1.98943,2.6594,-0.30579,acf06d34-efbf-4f03-b6a6-4f0f625304b5,2026-04-18,17:06:11.10,2026-04-18T13:06:11.1029760-04:00,2026-04-18T17:06:11.1029760Z,FlyBall,v3,,,,"Pohlman, Grant",10012319,Right,GEO_GWI,2955fe08-08b8-4e5f-9926-db56080aa482,54.48715,-130.77297,14.53755,6.8318,-6.53496,-7.9895,2.31644,-8.83844,6.3543,206.375796,1.99669,98.73713,-20.66813,3.98226,0.79712,-0.82446,0.23597,-0.03013,0.00146,2.62215,96.48038,-26.48217,5.37289,-2.45724,0.80695,-0.14787,0.01376,-0.00051,-0.32122,49.21451,-5.31356,1.45838,-0.84796,0.33191,-0.06971,0.00736,-0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
