PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,16:14:18.99,1,1,"Taylor, McGuire",1000294218,Left,TEN_WES,"Baird, Braxton",836176,Left,MIL_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.36777,-1.97244,1.359437,1962.863711,148.876421,11:00,5.82095,-1.69719,6.33932,-19.96174,17.76186,-9.99178,2.34023,-1.27798,78.09718,-5.773752,-0.449314,0.442057,,,,,,,,,,,,5.54532,10.15548,1.6025,50,5.66764,-2.55421,-123.98947,-4.7958,8.62604,24.96379,-16.37671,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,2eab85f0-3b63-11f1-8e88-8527ce13353e,85.26605,,,7.2706,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:14:18.99,2026-04-18T16:14:18.9970000-04:00,2026-04-18T20:14:18.9970000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,5083ca8d-5469-4dc9-a0ba-5181146c7ae4,54.15895,-124.82401,12.4819,5.81881,-4.24833,-8.18835,1.69271,-2.84259,4.31302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,16:14:31.92,1,2,"Taylor, McGuire",1000294218,Left,TEN_WES,"Baird, Braxton",836176,Left,MIL_UNI,Undefined,1,Top,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.54705,-0.227576,2.440243,1924.510004,285.550819,3:30,5.69966,-1.75923,6.11478,-47.58971,0.21059,5.08457,1.52324,0.92214,69.91523,-9.016505,3.35693,0.497607,,,,,,,,,,,,-1.85835,0.67815,1.56944,50,5.65772,-4.91356,-111.07363,-1.8506,-2.29344,22.14602,-31.3371,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,36653700-3b63-11f1-8e88-8527ce13353e,75.74735,,,6.63183,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:14:31.92,2026-04-18T16:14:31.9230000-04:00,2026-04-18T20:14:31.9230000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,ee8774c4-a96d-47e8-a015-6f0e81229e16,54.38479,-111.94446,11.07301,5.70626,-0.61836,-15.66855,1.76087,-4.82338,-1.14672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,16:14:46.23,1,3,"Taylor, McGuire",1000294218,Left,TEN_WES,"Baird, Braxton",836176,Left,MIL_UNI,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.74382,0.952292,3.075676,1847.741298,149.305924,11:00,5.8159,-1.56978,6.42475,-22.0767,14.82308,-8.18662,4.85287,0.57789,79.03249,-3.225851,1.595139,0.437203,,,,,,,,,,,,5.00323,7.82941,1.35368,50,5.87353,-6.38261,-124.59847,1.4678,7.95538,22.34892,-19.72489,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,3ee7b650-3b63-11f1-8e88-8527ce13353e,86.21266,,,6.71132,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:14:46.23,2026-04-18T16:14:46.2350000-04:00,2026-04-18T20:14:46.2350000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,cab9f98e-ec15-45a0-9dac-3916e5546013,54.07491,-125.32725,11.17446,5.81518,2.11101,-9.86244,1.56604,-6.64203,3.97769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,16:15:02.90,1,4,"Taylor, McGuire",1000294218,Left,TEN_WES,"Baird, Braxton",836176,Left,MIL_UNI,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.17232,-1.117709,2.222348,2052.345086,150.261199,11:00,5.83869,-1.82649,6.10627,-19.89883,18.05997,-9.6715,3.14593,-0.57627,78.36728,-4.884668,0.480936,0.443433,,,,,,,,,,,,5.54866,9.95579,1.66056,50,5.74209,-4.4224,-123.7531,-2.96946,8.66713,23.02043,-16.62288,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,48d02e40-3b63-11f1-8e88-8527ce13353e,85.00147,,,6.80504,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:15:02.90,2026-04-18T16:15:02.9010000-04:00,2026-04-18T20:15:02.9010000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,045985c7-c569-46c2-8486-e2dbc1cfc3d9,54.39345,-124.56769,11.51022,5.83676,-2.38125,-8.31144,1.82247,-4.72908,4.33357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,16:15:16.04,1,5,"Taylor, McGuire",1000294218,Left,TEN_WES,"Baird, Braxton",836176,Left,MIL_UNI,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.07435,-1.298691,1.361506,2036.107709,150.036306,11:00,5.78501,-1.64605,6.62078,-18.36777,18.42674,-9.92528,3.0645,-1.22608,78.42541,-4.840524,-0.444385,0.436579,59.22638,26.146978,-148.36649,4206.995428,,,,,30.79725,,,5.63288,10.44934,1.55741,50,5.689,-2.60958,-125.10451,-3.28044,8.88145,26.44683,-15.69843,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,50a7a080-3b63-11f1-8e88-8527ce13353e,86.33591,16.26687,,7.64894,,,,1.79491,2.68805,1.51607,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:15:16.04,2026-04-18T16:15:16.0480000-04:00,2026-04-18T20:15:16.0480000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,f199f944-c872-4ee5-b28e-721fc976aa88,53.87895,-125.92183,13.22342,5.78288,-2.79529,-7.84922,1.6423,-2.88406,4.44073,92.543653,1.79529,-66.40213,0.69803,,,,,,,2.68911,38.24697,-15.97301,,,,,,,1.51259,-40.79032,5.81829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2026-04-18,16:15:34.78,1,6,"Taylor, McGuire",1000294218,Left,TEN_WES,"Baird, Braxton",836176,Left,MIL_UNI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.15017,-3.058548,1.528979,1868.44684,153.882856,11:15,5.79461,-1.52397,6.38547,-18.49867,17.76237,-8.12138,1.43584,-0.79392,79.64067,-6.585671,0.057509,0.433403,,,,,,,,,,,,4.64622,10.48851,1.41729,50,5.56542,-3.05611,-126.45347,-7.24167,7.50261,26.4437,-15.23743,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,5bd9af70-3b63-11f1-8e88-8527ce13353e,86.96864,,,7.5095,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:15:34.78,2026-04-18T16:15:34.7810000-04:00,2026-04-18T20:15:34.7810000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,b2252760-93c0-41ba-82b7-485767a138bd,54.11276,-127.31061,13.22185,5.79214,-6.74776,-7.61872,1.5203,-3.2993,3.75131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,16:16:05.91,2,1,"Taylor, McGuire",1000294218,Left,TEN_WES,"Jones, Gaven",1000109962,Right,MIL_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.69567,-1.439103,2.342844,1999.495803,146.733831,11:00,5.71073,-1.80406,6.58021,-21.79718,16.29213,-9.86595,2.57399,-0.47782,77.25386,-5.601828,0.550139,0.444194,68.39895,-53.897895,-77.005621,,,,,2.12469,1.32244,-38.985515,0.031413,5.87666,9.36201,1.64719,50,5.60261,-4.67549,-123.02184,-3.65113,8.96538,25.43453,-17.89139,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,6e635240-3b63-11f1-8e88-8527ce13353e,84.85573,2.55618,,7.44181,,,,1.23237,2.55618,0.47972,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:16:05.91,2026-04-18T16:16:05.9190000-04:00,2026-04-18T20:16:05.9190000Z,GroundBall,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,e5becbc8-279f-4c57-b8f3-f8bcbfc007a0,53.91952,-123.82954,12.71726,5.70953,-3.08297,-8.9457,1.80019,-4.9602,4.48269,,1.2321,13.34383,,,,,,,,2.55781,-81.37468,,,,,,,,0.48087,-57.82434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2026-04-18,16:16:44.14,3,1,"Taylor, McGuire",1000294218,Left,TEN_WES,"Kalehuawehe, Cade",1000117558,Right,MIL_UNI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,86.31989,-3.610192,3.428441,2064.800667,140.398791,10:45,5.70168,-1.69029,6.45596,-19.49678,17.43021,-13.41398,0.75006,0.34521,79.02206,-7.317392,0.999252,0.437364,,,,,,,,,,,,8.01945,10.51953,1.45333,50,5.43668,-6.99555,-125.08145,-8.41684,12.68593,25.58011,-15.53326,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,852b13f0-3b63-11f1-8e88-8527ce13353e,86.18088,,,7.29783,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:16:44.14,2026-04-18T16:16:44.1430000-04:00,2026-04-18T20:16:44.1430000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,4ba554f8-375b-454f-b52c-51a50bacd2d9,54.04495,-125.90596,12.79005,5.6999,-7.91617,-7.76663,1.6854,-7.40445,6.34297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,16:17:01.13,3,2,"Taylor, McGuire",1000294218,Left,TEN_WES,"Kalehuawehe, Cade",1000117558,Right,MIL_UNI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,85.35711,-2.615229,3.280331,2038.476187,150.224758,11:00,5.72306,-1.71343,6.46376,-19.38466,18.49379,-9.83839,1.69991,0.48306,77.67245,-6.328692,1.498904,0.442963,88.84975,37.745969,28.955928,,92.47384,69.39585,59.56961,324.54326,240.75263,41.258945,4.795183,6.16965,10.8667,1.48593,50,5.52929,-6.73271,-123.75563,-6.15248,9.49699,26.41301,-15.44682,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,8f4a7a60-3b63-11f1-8e88-8527ce13353e,85.0916,85.04596,,7.68466,,,,1.8858,1.8529,-0.42538,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:17:01.13,2026-04-18T16:17:01.1330000-04:00,2026-04-18T20:17:01.1330000Z,FlyBall,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,6b144aa2-987e-4283-aebf-652445dc0ecc,54.03655,-124.61417,13.20651,5.72112,-5.65039,-7.72341,1.70979,-7.0414,4.7485,224.656843,1.88492,90.18279,-17.56611,4.083,-0.9498,0.24122,-0.05801,0.00865,-0.00052,1.85467,79.73203,-22.43557,2.04113,-0.21482,-0.04304,0.02314,-0.0034,0.00016,-0.42347,49.84928,-0.70585,-0.43577,0.18762,-0.04692,0.00674,-0.00031,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-18,16:17:44.22,4,1,"Taylor, McGuire",1000294218,Left,TEN_WES,"Melton, Brody",10014876,Right,MIL_UNI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,88.97264,-4.147192,3.173466,2166.823455,151.608286,11:00,5.86652,-1.77513,6.25054,-17.68324,17.50383,-8.81445,0.55561,0.42005,81.18416,-7.506895,1.583307,0.426936,,,,,,,,,,,,5.53689,10.67949,1.54342,50,5.54862,-6.79413,-128.78733,-9.84052,9.25156,28.03021,-14.32975,TEN_WES,MIL_UNI,JackBowlingField,NAIA,NAIA,20260418-JackBowlingField-2,a8f90850-3b63-11f1-8e88-8527ce13353e,88.28589,,,7.78848,,,,,,,27029e63-a39d-48ab-aa19-55e092adb023,2026-04-18,20:17:44.22,2026-04-18T16:17:44.2280000-04:00,2026-04-18T20:17:44.2280000Z,,v3,10044917,,,"Tolson, Jacob",10035532,Right,TEN_WES,6a93f64d-37c1-4518-ac2f-86a30df4eafa,54.24992,-129.70902,14.0151,5.86444,-9.36933,-7.16487,1.77182,-7.09834,4.62578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
