PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,11:14:17.16,1,1,"Yates, Braxton",1000362284,Left,CSI_EAG,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.46085,-3.778785,3.443906,1998.883151,156.765455,11:15,5.87654,-1.89838,6.57902,-23.18588,13.81662,-5.48433,0.46988,0.80469,79.50256,-8.114224,2.448454,0.437811,,,,,,,,,,,,3.76528,8.53154,1.66438,50,5.60665,-7.27499,-123.99964,-8.83912,5.93656,21.85673,-18.72266,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,0869b4c0-3b4a-11f1-8e11-2944b1db36ac,86.09291,,,5.95829,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:14:17.16,2026-04-18T11:14:17.1677184-06:00,2026-04-18T17:14:17.1677184Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,300043a1-1c7b-44b9-9302-bba0ae65eedf,53.92276,-124.68917,10.92836,5.87619,-8.24847,-9.36133,1.89684,-7.46228,2.96828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,11:14:35.01,1,2,"Yates, Braxton",1000362284,Left,CSI_EAG,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.40997,-2.568001,3.087479,2163.293109,154.649916,11:15,5.80582,-1.97605,6.67923,-20.19462,16.65265,-7.3913,1.7689,0.23498,79.12491,-6.397019,1.743272,0.436892,64.1813,65.641186,81.100625,4697.220339,-7.79601,67.11714,109.72339,142.88569,51.56243,94.519856,4.501057,4.67158,9.76642,1.77234,50,5.62548,-6.43354,-124.08693,-6.08673,7.36898,22.10867,-16.76846,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,13166710-3b4a-11f1-8e11-2944b1db36ac,86.27405,87.89644,,6.28507,,,,-0.18914,1.51147,-0.3932,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:14:35.01,2026-04-18T11:14:35.0124032-06:00,2026-04-18T17:14:35.0124032Z,Popup,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,45286522-c32d-460a-abba-bcd821470ae6,53.82076,-124.76582,11.05434,5.80448,-5.57182,-8.38423,1.97337,-6.65982,3.68449,205.761779,-0.18607,5.91093,-5.56639,0.7307,0.80344,-0.57917,0.17676,-0.02596,0.00149,1.5193,85.56131,-24.30919,0.97447,1.07913,-0.69825,0.19193,-0.02565,0.00135,-0.39018,38.29773,-1.1096,-0.45175,0.22567,-0.01467,-0.02151,0.00615,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2026-04-18,11:14:59.39,1,3,"Yates, Braxton",1000362284,Left,CSI_EAG,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,1,1,Fastball,Cutter,InPlay,Undefined,GroundBall,Error,0,0,,84.72235,-1.412652,2.419773,2045.047357,179.847208,12:00,5.87401,-1.89917,6.45095,-25.57883,12.65717,-0.03047,2.44319,0.32271,77.4699,-6.238308,2.414254,0.445049,61.85696,-44.348638,-76.412834,,,,,3.25317,2.59298,-61.96233,0.038475,0.71469,7.40516,1.7278,50,5.7624,-5.19796,-123.03142,-3.75053,1.09139,25.24966,-20.86557,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,21994eb0-3b4a-11f1-8e11-2944b1db36ac,84.69281,2.45133,,7.25245,,,,0.94004,2.45133,-0.43385,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:14:59.39,2026-04-18T11:14:59.3921024-06:00,2026-04-18T17:14:59.3921024Z,GroundBall,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,c9f1fc0f-bc7e-4cc2-b024-30f08d729a8f,54.04712,-123.85922,12.62483,5.87414,-3.06646,-10.43279,1.8988,-5.23374,0.5457,,0.9396,15.31158,,,,,,,,2.45314,-63.71133,,,,,,,,-0.43204,-63.35258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-04-18,11:15:35.43,2,1,"Yates, Braxton",1000362284,Left,CSI_EAG,"DeCastro, Cole",1000362294,Right,COL_SPA,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.26003,-2.364462,2.237316,2099.94008,176.032862,11:45,5.93455,-1.79638,6.51881,-25.30403,12.21512,-0.76614,1.65351,0.19364,78.39904,-7.1214,2.098211,0.440857,,,,,,,,,,,,1.01532,7.42233,1.64089,50,5.75872,-4.80919,-123.81856,-5.82356,1.57825,24.42038,-20.6364,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,371a86a0-3b4a-11f1-8e11-2944b1db36ac,85.49806,,,6.86099,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:15:35.43,2026-04-18T11:15:35.4327552-06:00,2026-04-18T17:15:35.4327552Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,b5dbc4fa-0e42-4dc2-9d28-7a5fa82a7854,53.97927,-124.6009,12.21019,5.9347,-5.16244,-10.3182,1.79577,-4.85975,0.78912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,11:16:13.16,2,2,"Yates, Braxton",1000362284,Left,CSI_EAG,"DeCastro, Cole",1000362294,Right,COL_SPA,Undefined,1,Top,0,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.04836,0.113303,0.696188,2106.418678,167.685095,11:30,5.92106,-1.84724,6.52821,-24.04663,13.69965,-2.72681,4.02112,-1.43578,77.56707,-4.46031,0.200839,0.44219,,,,,,,,,,,,1.61969,7.5163,1.79991,50,5.91843,-1.39938,-123.63046,-0.40504,2.49918,25.34781,-20.57638,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,4d92c8c0-3b4a-11f1-8e11-2944b1db36ac,85.24045,,,7.48128,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:16:13.16,2026-04-18T11:16:13.1645952-06:00,2026-04-18T17:16:13.1645952Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,b92b3353-6e8b-4004-aa8b-970613b91834,53.96815,-124.44139,12.6739,5.92086,0.25323,-10.28819,1.84596,-1.47934,1.24959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,11:16:48.30,2,3,"Yates, Braxton",1000362284,Left,CSI_EAG,"DeCastro, Cole",1000362294,Right,COL_SPA,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.73183,0.413925,1.660089,2123.704492,330.451788,5:00,5.78937,-2.03714,5.85266,-50.44609,-3.92024,3.07583,1.97031,-0.23789,71.26897,-8.839023,2.212491,0.490929,,,,,,,,,,,,-1.07756,-1.65406,1.90047,50,5.79373,-3.38572,-112.87547,-0.79268,-1.38117,21.7938,-34.29413,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,6290ee00-3b4a-11f1-8e11-2944b1db36ac,76.77778,,,6.46286,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:16:48.30,2026-04-18T11:16:48.3090000-06:00,2026-04-18T17:16:48.3090000Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,b2b60e09-dc21-45ba-bd79-7f59776812ed,54.64673,-113.76911,10.8969,5.7974,0.61354,-17.14707,2.03814,-3.32909,-0.69059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.07303,2.415729,0.995123,1.420605,-0.3324,1.69298,0.17004,-2.23735,5.92895,0.60872,127.28003,6.55129,3.31297,-2.09937,101.11972,-7.1435,5.96948,18.67539,-12.88232,0.58517,0.56802,0.96383,High,High,High,,,High,High,High
7,2026-04-18,11:17:18.94,2,4,"Yates, Braxton",1000362284,Left,CSI_EAG,"DeCastro, Cole",1000362294,Right,COL_SPA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,81.46137,-1.498442,3.41176,1509.626672,123.466243,10:00,5.5478,-2.42494,6.34957,-30.02226,11.4554,-15.31332,1.66388,-0.55684,74.67268,-7.126128,0.642675,0.463531,,,,,,,,,,,,8.94465,6.79323,2.18401,50,5.42473,-6.49645,-118.22053,-3.942,12.64816,22.712,-22.56811,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,74cac320-3b4a-11f1-8e11-2944b1db36ac,81.31596,,,6.78869,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:17:18.94,2026-04-18T11:17:18.9446144-06:00,2026-04-18T17:17:18.9446144Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,92b6a67c-7d8b-4611-8444-d7de34e32708,54.14955,-119.01505,11.356,5.54882,-3.15251,-11.28406,2.41901,-6.93891,6.32408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,11:17:45.82,3,1,"Yates, Braxton",1000362284,Left,CSI_EAG,"Gaeta, Fabian",1000144884,Left,COL_SPA,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.0914,1.484417,2.225075,2103.747192,337.574549,5:15,5.73917,-2.02678,5.52316,-51.69794,-3.91343,2.2339,2.82017,0.24068,70.74119,-7.94687,2.623172,0.497525,,,,,,,,,,,,-0.49457,-1.94602,1.83162,50,5.83375,-4.43157,-111.85984,1.1883,-0.62517,20.61416,-34.63403,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,84db4fa0-3b4a-11f1-8e11-2944b1db36ac,75.75989,,,6.35021,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:17:45.82,2026-04-18T11:17:45.8242048-06:00,2026-04-18T17:17:45.8242048Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,b40ee2af-b399-4131-8e69-9ce23ca2930a,54.9768,-112.77326,10.30708,5.7471,2.72296,-17.31701,2.02737,-4.40387,-0.31258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,11:18:04.07,3,2,"Yates, Braxton",1000362284,Left,CSI_EAG,"Gaeta, Fabian",1000144884,Left,COL_SPA,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.42312,0.561181,3.385424,2048.455636,329.158626,5:00,5.72326,-2.08139,5.70219,-50.60152,-2.91512,2.7354,2.03031,1.30474,70.40024,-8.711325,3.87385,0.497014,,,,,,,,,,,,-0.30075,-1.17473,1.79546,50,5.73909,-6.73742,-112.14687,-0.52998,-0.37728,23.11399,-33.6477,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,8fbc5860-3b4a-11f1-8e11-2944b1db36ac,75.83778,,,7.02288,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:18:04.07,2026-04-18T11:18:04.0750000-06:00,2026-04-18T17:18:04.0750000Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,0a6f24b4-071f-4934-95b3-fd04a6006453,54.79608,-113.13104,11.55699,5.73116,0.90271,-16.82385,2.08199,-6.72136,-0.18864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.99927,1.602889,0.765389,0.8375,0.76698,1.92982,-1.34877,-1.23518,5.29534,-4.46278,64.88483,6.95409,-59.90671,-1.2243,82.33202,-4.0663,5.30903,13.54732,-13.84573,-4.49749,-73.1237,8.35134,High,High,High,,,High,High,High
10,2026-04-18,11:18:29.29,3,3,"Yates, Braxton",1000362284,Left,CSI_EAG,"Gaeta, Fabian",1000144884,Left,COL_SPA,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.41045,0.826822,3.654751,2099.167465,336.055745,5:15,5.76126,-2.05261,5.68199,-49.8644,-2.71973,1.85473,2.37824,1.51333,71.2195,-8.277781,3.985519,0.494183,,,,,,,,,,,,0.08555,-1.16063,1.74327,50,5.79975,-7.23894,-112.24095,0.00815,0.10902,20.49803,-33.65322,CSI_EAG,COL_SPA,SouthernIdaho,JUCO,NJCAA,20260418-SouthernIdaho-1,9ec64a50-3b4a-11f1-8e11-2944b1db36ac,76.27225,,,6.19095,,,,,,,c4310f89-84be-4d8a-a095-4cff4ce1f4d0,2026-04-18,17:18:29.29,2026-04-18T11:18:29.2973056-06:00,2026-04-18T17:18:29.2973056Z,,v3,643-147572,643-147303,,"Hicks, Kolton",1000256032,Right,CSI_EAG,ee0b8932-2f00-474a-aa60-8c4048d39911,54.81779,-113.11738,10.24902,5.76865,1.44705,-16.82661,2.05288,-7.2436,0.05451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
