PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-23,14:00:36.88,1,1,"Lee, Kameron",10147532,Right,Gol_W,"Mueller, Jack",10915661,Right,SAC_DON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.38785,-2.561271,-2.259887,2453.741181,196.859247,12:30,6.37285,0.63224,6.21491,-16.43099,19.72131,5.55189,2.63635,-0.99186,79.20462,-5.751687,-1.258394,0.432752,,,,,,,,,,,,-3.61461,11.44508,-0.46523,50,6.17216,4.81593,-127.95705,-6.13083,-5.86326,31.72448,-13.60902,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,80fa0690-3f57-11f1-a926-29bef44ad69c,87.09934,,,9.18323,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:00:36.88,2026-04-23T14:00:36.8856064-07:00,2026-04-23T21:00:36.8856064Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,92949389-5aea-4560-bb37-e64d61856700,54.28236,-129.01442,15.86224,6.36894,-5.67725,-6.80451,-0.629,5.01135,-2.93163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-23,14:00:54.13,1,2,"Lee, Kameron",10147532,Right,Gol_W,"Mueller, Jack",10915661,Right,SAC_DON,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.88551,-1.648694,-0.073453,2475.391332,116.923857,10:00,6.26009,0.75149,5.65447,-41.38565,4.54248,-5.71922,1.27313,0.20638,71.77532,-9.25218,-1.09801,0.487765,,,,,,,,,,,,2.89394,3.29071,-0.7415,50,6.09414,0.3652,-114.38592,-4.61908,3.77532,24.1218,-27.88112,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,8b53ddf0-3f57-11f1-a926-29bef44ad69c,77.27576,,,7.11019,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:00:54.13,2026-04-23T14:00:54.1395456-07:00,2026-04-23T21:00:54.1395456Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,ab13e6cc-8319-4f08-8c93-ec8b2a9221af,54.84732,-115.4036,12.0609,6.2642,-3.4428,-13.94056,-0.75355,0.20593,1.88766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-23,14:01:09.75,1,3,"Lee, Kameron",10147532,Right,Gol_W,"Mueller, Jack",10915661,Right,SAC_DON,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.70419,-3.168981,-1.546894,2667.844181,210.285149,1:00,6.39991,0.80301,6.08857,-13.36788,22.33505,12.15276,2.35018,0.38433,79.40898,-5.824072,0.641629,0.430055,,,,,,,,,,,,-6.79949,13.09068,-0.68968,50,6.14799,2.97406,-129.68104,-7.46581,-11.18122,35.78936,-10.64744,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,94942f00-3f57-11f1-a926-29bef44ad69c,87.64572,,,10.29521,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:01:09.75,2026-04-23T14:01:09.7577984-07:00,2026-04-23T21:01:09.7577984Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,fb99dd32-0ac5-47e0-824d-fb580613d916,54.40816,-130.89195,17.89468,6.3945,-7.10556,-5.32372,-0.79671,3.35237,-5.59061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-23,14:01:26.49,1,4,"Lee, Kameron",10147532,Right,Gol_W,"Mueller, Jack",10915661,Right,SAC_DON,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.10396,-1.988845,-1.13256,2620.198896,205.602006,12:45,6.48481,0.56763,6.14564,-12.98205,21.93781,9.85142,3.56393,0.34182,80.39843,-4.561754,0.643602,0.425312,64.2819,59.443948,145.083484,5042.958321,,,,,31.67361,,,-5.48024,12.41229,-0.48627,50,6.32656,2.16386,-130.55198,-4.81847,-9.21504,34.06678,-11.30265,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,9e97f720-3f57-11f1-a926-29bef44ad69c,88.62302,47.65885,,9.70553,,,,0.941,3.58421,-0.34078,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:01:26.49,2026-04-23T14:01:26.4918528-07:00,2026-04-23T21:01:26.4918528Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,b354e184-3ecb-47ac-bd13-5953f7f08e08,54.35345,-131.68309,17.03339,6.48032,-4.4432,-5.65132,-0.56319,2.46983,-4.60752,331.782444,0.941,-39.3021,-0.78969,1.81206,-0.69156,0.20509,-0.05453,0.01258,-0.00166,3.58421,81.18753,-30.35317,4.22106,-0.76883,0.11768,-0.017,0.00146,0,-0.34078,27.43437,-8.1125,3.27349,-0.87987,0.2073,-0.04791,0.00981,-0.00133,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-23,14:01:50.90,1,5,"Lee, Kameron",10147532,Right,Gol_W,"Mueller, Jack",10915661,Right,SAC_DON,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.33399,-0.387142,-0.667054,2579.413829,204.468998,12:45,6.43078,0.57696,6.28332,-15.86418,20.55017,8.66288,4.7519,0.684,78.10619,-3.522532,0.898943,0.434318,,,,,,,,,,,,-4.66347,11.14938,-0.53127,50,6.39421,1.11637,-127.93119,-1.21306,-7.46966,34.6234,-14.31561,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,ad208410-3f57-11f1-a926-29bef44ad69c,86.78538,,,10.2278,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:01:50.90,2026-04-23T14:01:50.9093888-07:00,2026-04-23T21:01:50.9093888Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,657d4fc1-3578-48e1-a471-9534b007d6a5,54.21064,-129.06573,17.3117,6.42628,-0.74397,-7.15781,-0.57186,1.36114,-3.73483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-23,14:02:10.77,1,6,"Lee, Kameron",10147532,Right,Gol_W,"Mueller, Jack",10915661,Right,SAC_DON,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,80.54322,-1.66888,-1.125309,2509.435734,91.179936,9:00,6.29131,0.74064,5.81579,-42.16345,1.66496,-5.23709,1.22509,-0.74232,73.29182,-9.418136,-2.066173,0.476485,,,,,,,,,,,,2.32209,1.81847,-0.64523,50,6.1295,2.4944,-116.80334,-4.76496,3.1556,25.35025,-29.70283,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,b8fb2f10-3f57-11f1-a926-29bef44ad69c,79.1052,,,7.2514,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:02:10.77,2026-04-23T14:02:10.7720704-07:00,2026-04-23T21:02:10.7720704Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,1fde46be-0603-4df4-8436-a8214ef8b749,54.68642,-117.81606,12.67513,6.29616,-3.57836,-14.85142,-0.74237,2.36833,1.5778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-23,14:02:55.68,2,1,"Lee, Kameron",10147532,Right,Gol_W,"Marquez, Aiden",1000365281,Right,SAC_DON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.87913,-1.512263,-1.741049,2437.876971,201.444695,12:45,6.31738,0.8233,6.20348,-13.718,20.94903,7.64276,3.77726,-0.14748,80.10715,-4.246087,-0.362186,0.423769,,,,,,,,,,,,-4.62173,11.82119,-0.69604,50,6.19683,3.6685,-131.51472,-3.77412,-7.78691,37.75396,-12.25716,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,d3bb05f0-3f57-11f1-a926-29bef44ad69c,88.94564,,,10.77198,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:02:55.68,2026-04-23T14:02:55.6806144-07:00,2026-04-23T21:02:55.6806144Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,f4f4e5b5-a630-4a9d-9d4a-eabb79619dab,54.29337,-132.74149,18.87698,6.31299,-3.37584,-6.12858,-0.81935,3.92153,-3.89346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-23,14:03:36.12,3,1,"Lee, Kameron",10147532,Right,Gol_W,"Reiter, Evan",10123593,Right,SAC_DON,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.65621,0.433714,-1.008852,2137.463596,58.650015,8:00,6.35462,0.60587,5.90764,-53.7444,-1.89622,-6.65567,2.2786,-0.88536,66.60421,-9.525153,-2.206138,0.518249,,,,,,,,,,,,2.99209,-0.47209,-0.52111,50,6.35971,2.14839,-108.08845,-0.80417,3.40781,25.37356,-32.71175,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,ebe760b0-3f57-11f1-a926-29bef44ad69c,72.73043,,,8.05201,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:03:36.12,2026-04-23T14:03:36.1289216-07:00,2026-04-23T21:03:36.1289216Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,006b5c31-f268-4134-9938-eeda5e6f865d,54.59066,-109.16078,12.68678,6.36449,0.57828,-16.35588,-0.60886,2.00437,1.70391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-23,14:03:53.48,3,2,"Lee, Kameron",10147532,Right,Gol_W,"Reiter, Evan",10123593,Right,SAC_DON,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.67934,-3.748395,-1.752806,2464.38681,194.61978,12:30,6.3336,0.7934,6.43581,-15.42997,20.41666,4.94622,1.59624,-0.40585,79.16879,-6.768929,-0.856272,0.430919,,,,,,,,,,,,-3.21173,12.41938,-0.67076,50,6.05943,3.72827,-128.29646,-8.75817,-5.20344,33.45955,-12.05313,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,f62dd720-3f57-11f1-a926-29bef44ad69c,87.46989,,,9.51055,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:03:53.48,2026-04-23T14:03:53.4854144-07:00,2026-04-23T21:03:53.4854144Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,36b78aee-af34-40ab-8782-f9269b9949b8,54.06294,-129.35173,16.72977,6.32966,-8.37803,-6.02656,-0.79094,3.89238,-2.60172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-23,14:04:14.60,3,3,"Lee, Kameron",10147532,Right,Gol_W,"Reiter, Evan",10123593,Right,SAC_DON,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.34984,2.118169,-0.238562,2187.445161,168.791417,11:45,6.31847,0.80878,6.02617,-34.1825,8.56123,-1.38843,5.43271,0.47212,73.04171,-4.30406,-0.488236,0.470552,,,,,,,,,,,,0.62484,4.19,-0.78942,50,6.46627,0.54645,-117.89126,3.31881,0.86404,26.06093,-26.38017,Gol_W,SAC_DON,GoldenWestCollege,JUCO,NJCAA,20260423-GoldenWestCollege-1,02cfa2b0-3f58-11f1-a926-29bef44ad69c,80.10262,,,8.30813,,,,,,,b91bc977-569f-4876-9cc8-c38737850f9a,2026-04-23,21:04:14.60,2026-04-23T14:04:14.6043904-07:00,2026-04-23T21:04:14.6043904Z,,v3,,,,"Nashiwa, Nicholas",10179848,Right,Gol_W,76d71428-c63e-451e-9e07-6e1a48172a1f,54.47099,-118.87551,13.03046,6.32211,4.31511,-13.19008,-0.80944,0.51382,0.43202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
