PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-23,18:04:37.92,1,1,"Swanson, Ian",1000459683,Right,GUL_COM,"Harper, Garrett",10071762,Right,CHI_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.20486,-5.024629,-3.119103,2144.9256,212.10529,1:00,6.53624,2.34141,5.8194,-19.16686,14.26363,8.3702,0.24844,0.1361,85.01052,-8.558,-1.620464,0.416143,,,,,,,,,,,,-5.11272,8.79205,-2.09142,50,6.11212,6.86403,-132.08749,-12.27132,-9.1792,23.85586,-16.38905,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,6bf03270-3f60-11f1-a0d2-43479adc79a9,90.57568,,,6.19434,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:04:37.92,2026-04-23T18:04:37.9250000-04:00,2026-04-23T22:04:37.9250000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,520f9c07-a98e-4600-a707-2c192658433f,54.68356,-132.93068,11.92793,6.53562,-11.69204,-8.19452,-2.33977,7.18847,-4.5896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-23,18:05:09.45,1,2,"Swanson, Ian",1000459683,Right,GUL_COM,"Harper, Garrett",10071762,Right,CHI_COL,Undefined,1,Top,0,1,0,Sinker,Sinker,InPlay,Undefined,Popup,Out,1,0,,89.86297,-1.840237,-3.702169,2008.340034,229.041133,1:45,6.10616,2.99437,5.93882,-19.54859,14.55166,15.69147,2.76585,0.86286,83.38454,-5.493092,-0.889818,0.420291,66.06492,35.489663,-19.772129,3220.753055,102.58969,55.44285,-39.6904,202.4409,195.72463,-22.023955,4.074942,-8.98859,8.20674,-2.70806,50,5.94796,7.80897,-130.50185,-4.82559,-15.7586,23.18896,-17.78616,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,7ecb2990-3f60-11f1-a0d2-43479adc79a9,89.68177,55.59569,,6.47842,,,,1.34631,2.88079,-0.87633,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:05:09.45,2026-04-23T18:05:09.4560000-04:00,2026-04-23T22:05:09.4560000Z,FlyBall,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,3c05ee85-e493-406f-bfcb-0d8fb03d3e70,54.56296,-131.31014,11.59448,6.10535,-4.20562,-8.89308,-2.98983,8.35826,-7.8793,174.602937,1.34726,74.21778,-15.39049,3.72327,-0.58573,0.03138,0.00648,-0.00087,0,2.88057,56.25522,-15.80772,0.23403,0.26517,-0.1668,0.05826,-0.01015,0.00068,-0.8766,-26.681,4.40496,-1.0258,0.14716,-0.00304,-0.00294,0.00036,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-23,18:05:46.33,2,1,"Swanson, Ian",1000459683,Right,GUL_COM,"Guerra, Colin",815407,Left,CHI_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.9443,-5.492023,-4.235105,2286.934023,200.589466,12:45,6.63363,2.55596,5.75101,-14.19253,19.05536,6.79004,0.30844,-0.82801,85.18409,-8.150009,-3.024759,0.415005,,,,,,,,,,,,-4.57894,11.45587,-2.20833,50,6.16678,9.55752,-132.82044,-13.2513,-8.27744,25.26282,-11.46511,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,94bfbcc0-3f60-11f1-a0d2-43479adc79a9,90.82403,,,6.76021,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:05:46.33,2026-04-23T18:05:46.3360000-04:00,2026-04-23T22:05:46.3360000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,4d25588c-b07d-4d9c-bdef-8e11c153bc33,54.75138,-133.72112,12.63141,6.63193,-12.84255,-5.73256,-2.55434,9.85263,-4.13872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-23,18:06:03.71,2,2,"Swanson, Ian",1000459683,Right,GUL_COM,"Guerra, Colin",815407,Left,CHI_COL,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.33773,0.009277,-3.636333,2098.324195,245.620907,2:15,5.99189,2.94426,5.99451,-26.08285,7.71662,14.91745,3.82694,0.81311,83.37097,-4.83377,-0.959823,0.418433,,,,,,,,,,,,-8.54311,4.27004,-2.66559,50,5.97817,7.71043,-131.19574,-0.86624,-15.06402,24.718,-24.64469,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,9f0b6350-3f60-11f1-a0d2-43479adc79a9,90.07991,,,6.96675,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:06:03.71,2026-04-23T18:06:03.7140000-04:00,2026-04-23T22:06:03.7140000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,4d304a13-727c-4465-b841-fee1ab065575,54.50555,-132.04188,12.359,5.99338,-0.02261,-12.32234,-2.93836,8.2261,-7.53201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-23,18:06:20.50,2,3,"Swanson, Ian",1000459683,Right,GUL_COM,"Guerra, Colin",815407,Left,CHI_COL,Undefined,1,Top,1,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.95704,-2.126165,-2.627418,2027.651693,244.512345,2:15,6.10386,2.85195,5.36553,-26.17029,8.8128,16.33603,1.92636,1.74792,83.09313,-6.91961,0.276204,0.425697,,,,,,,,,,,,-8.88654,5.27914,-2.62811,50,5.89423,5.25904,-130.54048,-5.82637,-15.47553,25.10886,-22.98068,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,a9110030-3f60-11f1-a0d2-43479adc79a9,88.54287,,,6.86391,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:06:20.50,2026-04-23T18:06:20.5020000-04:00,2026-04-23T22:06:20.5020000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,0d45cbb5-66a0-443f-bbc0-5b0c4648d639,55.13472,-131.52441,12.55443,6.1049,-4.92584,-11.49034,-2.84607,5.86548,-7.73777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-23,18:06:36.37,2,4,"Swanson, Ian",1000459683,Right,GUL_COM,"Guerra, Colin",815407,Left,CHI_COL,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.24825,-2.603411,-3.64258,2316.097704,223.22627,1:30,6.50472,2.50524,5.832,-20.26367,12.34087,10.74209,2.38959,0.00999,85.51214,-6.364722,-1.720999,0.41097,,,,,,,,,,,,-6.39638,7.22406,-2.21423,50,6.27969,8.06353,-133.8366,-6.78735,-11.76698,25.0307,-18.88446,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,b2911960-3f60-11f1-a0d2-43479adc79a9,91.71572,,,6.73611,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:06:36.37,2026-04-23T18:06:36.3700000-04:00,2026-04-23T22:06:36.3700000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,9368fb10-70fd-4436-86d1-726692fe0ac4,54.6688,-134.70695,12.51535,6.50428,-6.13071,-9.44223,-2.50172,8.47268,-5.88349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-23,18:06:53.03,2,5,"Swanson, Ian",1000459683,Right,GUL_COM,"Guerra, Colin",815407,Left,CHI_COL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.29844,-2.094418,-3.028156,2299.676518,224.600688,1:30,6.59754,2.62237,5.73276,-20.29056,13.1439,12.01595,2.95262,0.80109,84.38273,-5.867941,-0.880653,0.416168,,,,,,,,,,,,-6.86709,7.50965,-2.37736,50,6.4102,6.48831,-132.52423,-5.54182,-12.35672,25.18725,-18.66107,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,bc7858d0-3f60-11f1-a0d2-43479adc79a9,90.57029,,,6.91571,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:06:53.03,2026-04-23T18:06:53.0360000-04:00,2026-04-23T22:06:53.0360000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,d0633473-d817-40be-9264-2ad90f35dd1f,54.76699,-133.42716,12.59363,6.59688,-4.87285,-9.33054,-2.6179,6.93128,-6.17836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-23,18:07:12.15,2,6,"Swanson, Ian",1000459683,Right,GUL_COM,"Guerra, Colin",815407,Left,CHI_COL,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.58746,-4.462604,-3.297391,2356.519334,179.802592,12:00,6.52884,2.52487,5.70763,-14.78087,19.06048,-0.06181,1.124,-0.55583,83.79877,-7.253449,-3.308418,0.418692,,,,,,,,,,,,-0.90701,11.37536,-2.24835,50,6.14494,7.63349,-132.44859,-10.80743,-1.60756,28.88829,-12.01299,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,c7d93ff0-3f60-11f1-a0d2-43479adc79a9,90.02416,,,7.78869,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:07:12.15,2026-04-23T18:07:12.1550000-04:00,2026-04-23T22:07:12.1550000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,0e402c9a-2cc0-4e86-b356-f8abd75fc4f7,54.79275,-133.48984,14.44415,6.52668,-10.37444,-6.0065,-2.52454,7.69143,-0.80378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-23,18:07:46.01,3,1,"Swanson, Ian",1000459683,Right,GUL_COM,"Correa, Tyler",10107608,Right,CHI_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.91149,3.380858,-1.500769,2482.746712,25.991503,6:45,6.46328,2.72809,5.24076,-55.46802,-10.85599,-5.91296,5.0232,0.82454,73.67042,-6.650134,-2.54818,0.480726,,,,,,,,,,,,2.55169,-5.83051,-2.58563,50,6.73297,3.28248,-115.94332,4.81764,3.49914,20.17473,-40.16945,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,dc0d1050-3f60-11f1-a0d2-43479adc79a9,78.40736,,,6.24107,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:07:46.01,2026-04-23T18:07:46.0140000-04:00,2026-04-23T22:07:46.0140000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,25cd2f87-e900-480e-a70c-c8bc23e3512d,55.26148,-116.85526,10.08737,6.47417,6.63338,-20.08473,-2.73043,3.12431,1.74957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-23,18:08:05.19,3,2,"Swanson, Ian",1000459683,Right,GUL_COM,"Correa, Tyler",10107608,Right,CHI_COL,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50524,-0.594655,-3.755053,2127.498043,227.596518,1:30,5.89272,3.12613,5.89265,-21.4393,13.15091,13.31741,3.55279,0.74449,82.55722,-4.600742,-1.371386,0.4233,,,,,,,,,,,,-7.7191,7.1891,-2.83089,50,5.83229,7.9634,-129.92196,-2.04578,-13.3488,24.22485,-19.74177,GUL_COM,CHI_COL,GulfCoastState,JUCO,NJCAA,20260423-GulfCoastState-1,e7787ec0-3f60-11f1-a0d2-43479adc79a9,89.04435,,,6.94802,,,,,,,8ff7f3c3-0c69-4acb-aaf8-0184fc534e2a,2026-04-23,22:08:05.19,2026-04-23T18:08:05.1970000-04:00,2026-04-23T22:08:05.1970000Z,,v3,643-147370,643-146538,,"Saleeba, Anthony",807298,Right,GUL_COM,7fed7644-72b1-4430-8fb3-1116e9fb4b21,54.60658,-130.77807,12.11242,5.89226,-1.34811,-9.87089,-3.12065,8.43514,-6.6744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
