PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-23,18:02:20.98,1,1,"Mack, Landon",814982,Right,TEN_VOL,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.05246,-1.246788,-2.197684,2290.635697,240.644344,2:00,5.67913,1.2426,5.85637,-20.29966,11.18197,17.82095,2.82809,0.68485,85.47891,-5.079116,0.998418,0.403831,64.1443,69.1244,62.717314,,,,,,32.47651,,,-9.82623,6.45674,-1.07465,50,5.56623,4.46951,-137.77452,-3.69424,-18.55482,35.6334,-19.98187,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,7be0ba30-3f68-11f1-a064-9971ccce9985,93.33709,78.17258,,9.57355,,,,1.21427,2.81006,-0.6884,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:02:20.98,2026-04-23T18:02:20.9885696-05:00,2026-04-23T23:02:20.9885696Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,d29f1f24-e40b-4c21-b300-13051e1b8321,54.63979,-138.96935,17.8167,5.67887,-3.02422,-9.99094,-1.23495,5.09167,-9.27741,,1.21427,15.36668,-9.52969,3.40018,-0.86281,0.19385,-0.04168,0.00725,-0.00075,2.81006,87.90252,-24.40772,2.3903,-0.34888,0.02899,4E-05,-0.00086,0.00018,-0.6884,29.79449,-4.80687,1.17944,-0.22259,0.03889,-0.00681,0.00101,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
2,2026-04-23,18:02:47.50,1,2,"Mack, Landon",814982,Right,TEN_VOL,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,96.05588,0.8097,-2.808636,2336.678528,239.78649,2:00,5.67055,1.23532,5.80085,-20.30174,10.48969,16.14312,4.73276,-0.03369,86.46237,-3.018324,0.079672,0.39938,,,,,,,,,,,,-8.99886,5.40548,-1.01368,50,5.72519,6.04856,-139.18333,1.25617,-17.43372,34.84903,-21.7019,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,8bba5830-3f68-11f1-a064-9971ccce9985,94.37735,,,9.59351,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:02:47.50,2026-04-23T18:02:47.5034624-05:00,2026-04-23T23:02:47.5034624Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,5923d7d1-9a67-4afc-9e86-c491255e30a4,54.69334,-140.35354,17.42451,5.67077,1.98491,-10.85095,-1.22661,6.63397,-8.71686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-23,18:03:03.12,1,3,"Mack, Landon",814982,Right,TEN_VOL,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.62399,2.129173,2.955606,2654.372999,59.373262,8:00,5.5411,1.25331,5.36428,-46.06829,-2.71028,-7.12284,3.70212,3.43358,73.84783,-6.296587,1.691922,0.473921,,,,,,,,,,,,4.39772,-1.37421,-1.51394,50,5.70095,-5.78375,-118.11581,2.70696,6.14932,24.64206,-34.09558,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,951424b0-3f68-11f1-a064-9971ccce9985,79.53316,,,7.77616,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:03:03.12,2026-04-23T18:03:03.1214592-05:00,2026-04-23T23:03:03.1214592Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,551b4348-abba-4d02-b161-ba3e1c2bfbe3,55.1292,-119.18109,12.32103,5.55207,4.18092,-17.04779,-1.25817,-6.04958,3.07466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-23,18:03:24.04,1,4,"Mack, Landon",814982,Right,TEN_VOL,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,0,2,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.80149,-2.658645,-2.154296,2413.681402,231.987244,1:45,5.63886,1.28045,5.85473,-17.74859,12.79509,15.11639,1.68611,0.53763,87.6068,-5.990624,0.556902,0.39777,,,,,,,,,,,,-8.31185,7.57863,-1.11428,50,5.4124,4.53566,-138.96951,-7.05894,-16.25114,31.20428,-17.35648,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,a175da00-3f68-11f1-a064-9971ccce9985,94.75933,,,8.1947,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:03:24.04,2026-04-23T18:03:24.0486912-05:00,2026-04-23T23:03:24.0486912Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,cfa3d570-5330-4798-8241-2859e5089b11,54.6429,-140.00814,15.60214,5.63775,-6.48122,-8.67824,-1.27425,5.07657,-8.12557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-23,18:03:41.34,1,5,"Mack, Landon",814982,Right,TEN_VOL,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,96.51345,-1.580954,-4.316978,2476.876619,242.862236,2:00,5.72119,1.11258,5.82868,-19.03702,11.30099,20.04497,2.66062,-1.23752,87.62401,-5.159979,-0.734555,0.396429,,,,,,,,,,,,-11.42579,6.52992,-0.77117,50,5.58058,9.6051,-139.74501,-4.53171,-22.4875,32.88143,-19.32227,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,abc63b80-3f68-11f1-a064-9971ccce9985,95.08002,,,8.88945,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:03:41.34,2026-04-23T18:03:41.3423616-05:00,2026-04-23T23:03:41.3423616Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,aa5f8453-678a-4adb-a8fd-2a5cc0e022c0,54.66861,-140.83923,16.44072,5.72069,-3.8887,-9.66114,-1.10326,10.35343,-11.24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-23,18:03:58.34,1,6,"Mack, Landon",814982,Right,TEN_VOL,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,0,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,95.62777,-3.147136,-2.946872,2460.10427,238.464053,2:00,5.65299,1.19546,5.99425,-18.49867,12.27827,18.27151,1.18826,-0.01512,86.83498,-6.633111,0.337156,0.399286,,,,,,,,,,,,-10.21221,7.56776,-0.97287,50,5.39448,6.29455,-138.50115,-8.23595,-19.6789,33.22911,-17.59098,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,b5f66ad0-3f68-11f1-a064-9971ccce9985,94.39954,,,8.7928,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:03:58.34,2026-04-23T18:03:58.3428096-05:00,2026-04-23T23:03:58.3428096Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,c2cc551d-febe-4e7d-aaa4-86e1e0e8af99,54.50231,-139.57716,16.61456,5.65195,-7.66633,-8.79549,-1.18701,6.93178,-9.83945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-23,18:05:04.23,2,1,"Mack, Landon",814982,Right,TEN_VOL,"Holt, Brennan",801429,Left,ALA_CRI,Undefined,1,Top,0,0,0,Sinker,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,96.02384,-2.382092,-3.000836,2465.366414,226.285281,1:30,5.43369,1.20453,5.81974,-14.82646,15.97257,15.5556,1.97916,-0.29166,86.73182,-5.218246,-0.216342,0.399429,87.87948,48.551839,9.394966,4533.053753,109.63474,113.88528,8.95671,249.54047,118.14081,0.96596,5.830562,-8.8843,9.21729,-0.96827,50,5.22992,6.57253,-139.07259,-6.25482,-17.19571,34.60469,-14.33378,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,dd298330-3f68-11f1-a064-9971ccce9985,94.36573,126.74677,,9.29202,,,,1.32747,2.03226,0.30927,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:05:04.23,2026-04-23T18:05:04.2386432-05:00,2026-04-23T23:05:04.2386432Z,FlyBall,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,ecbe6b63-d1a6-4a91-89d5-f298052f50de,54.67704,-140.23152,17.30235,5.43136,-5.77477,-7.16689,-1.19803,7.14843,-8.59785,165.398671,1.33191,84.09436,-21.08687,5.34325,-0.84335,0.04878,0.00784,-0.00149,7E-05,2.0296,96.63824,-21.69218,1.31075,0.00911,-0.07325,0.02311,-0.00318,0.00016,0.31033,13.90859,-8.40706,2.62032,-0.5128,0.05122,0.00092,-0.00068,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-23,18:06:06.70,3,1,"Mack, Landon",814982,Right,TEN_VOL,"Neal, Brady",702272,Left,ALA_CRI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.06059,-2.115352,-3.403023,2403.030456,223.885055,1:30,5.69001,1.29401,5.75975,-15.93745,15.46182,13.82702,2.38862,-0.72489,86.15173,-5.144163,-0.932517,0.403303,,,,,,,,,,,,-8.00036,8.80516,-1.02005,50,5.50483,7.53513,-137.6545,-5.60071,-15.24109,32.59443,-15.39977,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,027c1bc0-3f69-11f1-a064-9971ccce9985,93.45944,,,8.90886,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:06:06.70,2026-04-23T18:06:06.7011584-05:00,2026-04-23T23:06:06.7011584Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,8989fb56-e181-4e7d-a495-448bee42f02e,54.73568,-138.77131,16.29722,5.68769,-5.07305,-7.69988,-1.28718,8.05735,-7.62054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-23,18:07:10.26,3,2,"Mack, Landon",814982,Right,TEN_VOL,"Neal, Brady",702272,Left,ALA_CRI,Undefined,1,Top,1,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.69819,-0.481101,-1.611128,2510.254066,247.794964,2:15,5.52796,1.33117,5.52157,-22.05867,9.10343,19.71206,3.23976,1.46717,86.7542,-4.588565,1.90318,0.401777,,,,,,,,,,,,-10.34827,5.05736,-1.20413,50,5.47161,2.94192,-138.81987,-1.99929,-20.0298,33.42733,-22.38516,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,28501950-3f69-11f1-a064-9971ccce9985,93.81439,,,8.944,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:07:10.26,2026-04-23T18:07:10.2632448-05:00,2026-04-23T23:07:10.2632448Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,c7773b5e-cf05-4b98-8ca5-2700d54b95f6,54.97465,-140.01263,16.71366,5.52869,-1.20054,-11.19258,-1.32185,3.65662,-10.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-23,18:07:31.53,3,3,"Mack, Landon",814982,Right,TEN_VOL,"Neal, Brady",702272,Left,ALA_CRI,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.58387,-0.051823,-1.074697,2361.679073,25.763255,6:45,5.63807,1.01166,5.87625,-55.30594,-9.8339,-5.4504,0.98111,-0.44076,72.2644,-10.152075,-2.055972,0.485337,,,,,,,,,,,,2.47315,-4.59697,-0.92166,50,5.60195,2.34388,-114.18741,-1.90106,3.23977,22.56324,-38.19594,TEN_VOL,ALA_CRI,LindseyNelsonStadium,D1,SEC,20260423-LindseyNelsonStadium-1,35134f90-3f69-11f1-a064-9971ccce9985,77.66239,,,6.31947,,,,,,,5ecca385-cf18-4852-afd4-e6eedfcb8421,2026-04-23,23:07:31.53,2026-04-23T18:07:31.5395072-05:00,2026-04-23T23:07:31.5395072Z,,v3,471459,471226,4f8dd28e5bc945a5a9075819f622b1b1,"Lawless, Stone",822068,Right,TEN_VOL,6fb1fd74-39fa-482a-adf1-1aef05459512,54.62409,-115.0975,11.28162,5.64756,-0.36044,-19.09797,-1.01356,2.21321,1.61988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
