PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-23,17:35:59.73,1,1,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Meilstrup, Jake",1000282984,Left,BLU_MOU,Undefined,1,Top,0,0,0,TwoSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.22133,-2.292759,-1.984721,2183.865373,214.727426,1:15,5.96541,1.22974,6.44166,-17.98379,17.22926,11.15646,2.35736,0.33478,80.68369,-5.730311,0.037765,0.427094,82.42426,11.759428,-3.875754,1521.845644,109.23204,13.20843,-12.97479,186.83869,186.83869,-8.526268,1.954322,-6.41008,10.00658,-1.09349,50,5.79403,4.01274,-128.12764,-5.60791,-10.64131,26.81088,-15.56222,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,cd4ea980-3f64-11f1-a9ee-41cb67f6c007,88.25329,13.43512,,7.53764,,,,0.77712,2.26575,-0.3301,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:35:59.73,2026-04-23T17:35:59.7341184-05:00,2026-04-23T22:35:59.7341184Z,LineDrive,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,b70b1918-9fd0-40af-9324-547c69dbb51f,54.06312,-128.97505,13.40544,5.9635,-5.11604,-7.78111,-1.22563,4.34908,-5.32066,131.857581,0.77712,118.08082,-17.00319,3.36546,-0.63027,0.10185,-0.01559,0.00224,-0.00016,2.26575,24.63747,-13.82067,0.17742,0.116,-0.03849,0.01073,-0.0015,8E-05,-0.3301,-7.99976,-5.33948,1.8493,-0.5157,0.11818,-0.02365,0.00347,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-23,17:36:32.05,2,1,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Bryant, Jacob",1000113312,Right,BLU_MOU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.07261,0.290698,-3.370369,2263.668894,111.455361,9:45,6.04254,2.42862,5.61512,-41.88526,2.66079,-3.8339,2.82391,-1.04045,73.81932,-7.334782,-4.053117,0.48037,,,,,,,,,,,,1.17142,1.65063,-2.13768,50,6.04008,6.90963,-114.85999,-0.79389,1.59119,17.92459,-29.93193,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,e08ca830-3f64-11f1-a9ee-41cb67f6c007,78.46542,,,5.25329,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:36:32.05,2026-04-23T17:36:32.0585728-05:00,2026-04-23T22:36:32.0585728Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,12e81bbd-be1a-4d49-9162-978ad0b74425,54.89149,-115.62081,8.96229,6.04681,0.4766,-14.96597,-2.42953,6.84209,0.7956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-23,17:36:47.93,2,2,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Bryant, Jacob",1000113312,Right,BLU_MOU,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.67419,-0.368058,-2.808438,2340.283856,62.323214,8:00,5.98674,1.97551,5.75235,-47.78857,-2.02606,-6.02622,1.66128,-1.14348,73.00024,-9.038746,-3.886831,0.486885,,,,,,,,,,,,2.46788,-0.64465,-1.73817,50,5.92628,5.757,-112.9717,-2.24973,3.24855,17.00112,-33.0226,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,ea08a2b0-3f64-11f1-a9ee-41cb67f6c007,77.41549,,,4.67395,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:36:47.93,2026-04-23T17:36:47.9365120-05:00,2026-04-23T22:36:47.9365120Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,81ed1df4-c010-4c38-b1fc-493601fe842e,54.75639,-113.68524,8.50056,5.99161,-0.86377,-16.5113,-1.97693,5.62067,1.62427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-23,17:37:40.22,2,3,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Bryant, Jacob",1000113312,Right,BLU_MOU,Undefined,1,Top,0,1,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.38737,-0.306956,-3.756811,2104.403305,219.891495,1:15,6.18946,2.17291,6.34326,-22.6397,13.35997,10.22812,4.01959,-0.43862,79.93388,-4.58772,-1.911238,0.431838,,,,,,,,,,,,-6.34063,7.38091,-1.90369,50,6.15625,7.92657,-126.81059,-1.33428,-10.34099,25.5517,-20.13646,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,0932d890-3f65-11f1-a9ee-41cb67f6c007,87.28381,,,7.45349,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:37:40.22,2026-04-23T17:37:40.2220032-05:00,2026-04-23T22:37:40.2220032Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,28a7acb9-fb16-49b6-bdde-7dba881f8ec4,54.1608,-127.64622,12.77585,6.18911,-0.67575,-10.06823,-2.16844,8.26475,-5.1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-23,17:38:17.66,2,4,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Bryant, Jacob",1000113312,Right,BLU_MOU,Undefined,1,Top,0,2,1,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.63178,0.152164,-3.825415,2081.475467,215.795376,1:15,6.05809,2.1238,6.18493,-21.15974,15.89103,10.58221,4.43562,-0.53225,78.75873,-3.870087,-1.92241,0.438097,,,,,,,,,,,,-6.54154,8.52772,-1.83948,50,6.05876,7.97097,-125.59584,-0.26253,-10.41286,26.25631,-18.59959,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,1f77aea0-3f65-11f1-a9ee-41cb67f6c007,86.0368,,,7.87305,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:38:17.66,2026-04-23T17:38:17.6667648-05:00,2026-04-23T22:38:17.6667648Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,ceb865ec-eb01-4d07-8ecd-822138bc7384,54.31761,-126.49523,13.12815,6.05684,0.37458,-9.29979,-2.11863,8.32765,-5.20643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-23,17:38:37.67,2,5,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Bryant, Jacob",1000113312,Right,BLU_MOU,Undefined,1,Top,0,3,1,TwoSeamFastBall,Changeup,InPlay,Undefined,LineDrive,HomeRun,0,2,,85.47217,-2.044676,-3.19965,1872.667774,223.660429,1:30,6.09397,1.97615,6.43375,-22.18623,14.99812,13.28304,2.36207,0.13914,79.01298,-6.226336,-0.79479,0.438886,101.67706,22.08899,-23.316632,2129.26532,99.77527,42.21573,-46.31262,390.73092,380.79665,-30.5225,4.609623,-7.8041,8.70347,-1.75414,50,5.93786,6.46203,-124.17525,-5.05427,-12.30543,22.56752,-18.4505,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,2b68eee0-3f65-11f1-a9ee-41cb67f6c007,85.88211,62.95274,,6.4592,,,,1.83833,2.38513,-0.07611,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:38:37.67,2026-04-23T17:38:37.6772096-05:00,2026-04-23T22:38:37.6772096Z,FlyBall,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,8096464a-5dc7-4678-be9a-6c80886e132f,54.07307,-124.91329,11.28376,6.09329,-4.45087,-9.22525,-1.97205,6.86446,-6.15271,155.414871,1.83733,126.92007,-24.8784,5.76157,-1.25739,0.25381,-0.04169,0.00444,-0.00021,2.38713,56.02709,-13.31434,-0.03048,0.18698,-0.07367,0.01705,-0.00195,8E-05,-0.07615,-54.69073,4.49308,-0.75313,0.15012,-0.04041,0.0092,-0.00118,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-23,17:39:40.13,3,1,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Presley, Cody",10071263,Right,BLU_MOU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.13101,-0.53429,-1.606383,2274.551787,64.442181,8:15,5.96118,0.97749,5.49279,-45.69176,-0.35118,-3.70229,1.65347,-0.83427,72.85345,-8.854536,-2.266885,0.484635,,,,,,,,,,,,1.43232,0.31941,-0.83407,50,5.88298,3.36343,-114.89584,-2.60085,1.91038,21.73272,-31.74805,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,50a51940-3f65-11f1-a9ee-41cb67f6c007,77.77489,,,6.27755,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:39:40.13,2026-04-23T17:39:40.1334272-05:00,2026-04-23T22:39:40.1334272Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,90d53236-56f7-4a6c-a89b-d2cb17e860cd,55.0137,-115.84031,10.86636,5.96603,-1.22113,-15.87403,-0.97844,3.2804,0.95519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-23,17:39:56.63,3,2,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Presley, Cody",10071263,Right,BLU_MOU,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.13811,1.513382,-0.605775,2272.850493,42.634581,7:30,5.8722,1.02814,5.64293,-49.47074,-4.19697,-5.22445,3.16192,0.0276,72.25922,-7.550721,-1.539904,0.484278,,,,,,,,,,,,2.46307,-2.11681,-0.97327,50,5.96935,1.41871,-114.87553,1.37353,3.26925,22.61447,-34.98368,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,5a983f90-3f65-11f1-a9ee-41cb67f6c007,77.83223,,,6.87889,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:39:56.63,2026-04-23T17:39:56.6326272-05:00,2026-04-23T22:39:56.6326272Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,2adc8699-b3a8-4c5d-8000-7e88b04d5420,54.86214,-115.82873,11.30723,5.88037,2.8481,-17.49184,-1.03017,1.28091,1.63463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-23,17:40:13.46,3,3,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Presley, Cody",10071263,Right,BLU_MOU,Undefined,1,Top,0,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.67871,0.401157,-1.047875,2389.801888,68.362167,8:15,5.89864,0.86761,5.68408,-48.13475,-0.91465,-6.44174,2.26144,-0.64615,70.65973,-8.439083,-2.201124,0.494578,,,,,,,,,,,,2.96917,-0.1978,-0.77504,50,5.902,2.30076,-112.71647,-0.74821,3.76462,23.25302,-32.42486,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,64946690-3f65-11f1-a9ee-41cb67f6c007,76.21128,,,7.01898,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:40:13.46,2026-04-23T17:40:13.4627328-05:00,2026-04-23T22:40:13.4627328Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,11eb2a07-5386-41c4-9923-e6a7c27978aa,54.8212,-113.70671,11.62651,5.90447,0.63262,-16.21243,-0.86961,2.14044,1.88231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-23,17:40:36.00,3,4,"Lalonde, Blaise",10076724,Right,WIL_CAR,"Presley, Cody",10071263,Right,BLU_MOU,Undefined,1,Top,0,0,2,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39797,-0.022396,-2.937063,1926.375717,212.720436,1:00,6.18969,0.63978,6.33019,-20.21663,15.12477,8.97323,4.48432,-1.31966,80.37758,-3.877457,-1.316506,0.427871,,,,,,,,,,,,-5.48579,8.20953,-0.42907,50,6.17827,6.21895,-128.29451,-0.61504,-9.10532,27.56696,-18.54785,WIL_CAR,BLU_MOU,WilliamCarey,NAIA,NAIA,20260423-WilliamCarey-2,71e90760-3f65-11f1-a9ee-41cb67f6c007,88.09292,,,8.02039,,,,,,,0dadf678-a96a-49f2-b1f8-bbd886de72d2,2026-04-23,22:40:36.00,2026-04-23T17:40:36.0019456-05:00,2026-04-23T22:40:36.0019456Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,0eb4feb4-8b45-460c-bd33-f0fa5c2711a7,54.17215,-129.18788,13.78348,6.18847,-0.01395,-9.27392,-0.63539,6.51403,-4.55266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
