PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,14:35:50.49,1,1,"O'Connor, Robbie",832084,Right,NOR_HUS,"Deshiro, Matthew",10102687,Left,MER_COL1,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.91728,0.23502,-4.326565,2172.455658,263.875668,2:45,4.90649,2.40966,5.47568,-31.80903,3.44591,19.2884,2.47629,-0.03925,81.1627,-5.651344,-0.901721,0.427348,99.03363,-14.897142,18.168251,,,,,9.38694,6.4851,17.989453,0.063697,-11.1832,2.04764,-2.04259,50,4.90584,9.04236,-131.36739,-0.66677,-19.086,33.8913,-28.67942,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,19afd730-350c-11f1-9763-7f0f7f798e2f,88.20087,2.38228,,9.75457,,,,0.41942,2.38228,0.10681,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:35:50.49,2026-04-10T14:35:50.4973824-04:00,2026-04-10T18:35:50.4973824Z,GroundBall,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,b3c2b198-2a67-4d39-b4c5-2dc2471a735b,55.02106,-132.65644,16.94565,4.91046,0.42405,-14.33971,-2.40032,9.7683,-9.543,180,0.41726,133.58036,,,,,,,,2.38289,-37.40045,,,,,,,,0.1061,43.83698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
2,2026-04-10,14:36:23.13,2,1,"O'Connor, Robbie",832084,Right,NOR_HUS,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.407,-0.120849,-5.049957,2231.29682,263.37103,2:45,4.89138,2.40914,5.73386,-32.39947,3.67748,19.70942,2.07845,-0.66335,80.04413,-6.134709,-1.538331,0.432301,,,,,,,,,,,,-11.60808,2.3513,-1.99917,50,4.86186,10.519,-129.13281,-1.44541,-19.2011,32.00302,-28.28472,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,2d26c030-350c-11f1-9763-7f0f7f798e2f,87.19027,,,9.36288,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:36:23.13,2026-04-10T14:36:23.1331328-04:00,2026-04-10T18:36:23.1331328Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,57032e2d-1b03-4ded-bdf5-73ab9ed4ac6c,54.76205,-130.30764,16.00151,4.89587,-0.40707,-14.14236,-2.39826,11.22388,-9.60055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,14:36:41.29,2,2,"O'Connor, Robbie",832084,Right,NOR_HUS,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,0,1,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.37821,-0.044769,-1.592155,2575.123497,90.629079,9:00,5.01202,2.52785,5.35373,-45.75817,2.03791,-11.56922,1.15684,0.07012,70.15905,-8.449482,-3.649019,0.497585,,,,,,,,,,,,5.19492,1.59961,-2.37613,50,4.97598,3.62185,-113.38909,-1.62967,6.55448,26.69507,-30.1558,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,37f63cc0-350c-11f1-9763-7f0f7f798e2f,75.75071,,,8.21916,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:36:41.29,2026-04-10T14:36:41.2975104-04:00,2026-04-10T18:36:41.2975104Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,d95855a3-71c3-40c0-b421-0926dc2e51d9,55.141,-114.59304,13.34753,5.01881,-0.26964,-15.0779,-2.53281,3.32625,3.27724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,14:36:58.74,2,3,"O'Connor, Robbie",832084,Right,NOR_HUS,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.84415,-0.03422,-4.706336,2229.041075,256.313932,2:30,4.85738,2.53678,5.79764,-29.78561,6.10886,19.06749,2.34331,-0.26162,79.76838,-5.608586,-1.303465,0.431206,,,,,,,,,,,,-11.4415,3.52477,-2.16076,50,4.83706,9.84222,-129.75282,-1.11444,-18.92883,34.62417,-26.34264,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,426597f0-350c-11f1-9763-7f0f7f798e2f,87.4116,,,10.07577,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:36:58.74,2026-04-10T14:36:58.7427840-04:00,2026-04-10T18:36:58.7427840Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,c4d4cb58-d9f8-4a0f-a9c7-0508cd742727,54.69872,-131.00065,17.31209,4.86011,-0.16506,-13.17132,-2.52776,10.52441,-9.46441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,14:37:23.14,2,4,"O'Connor, Robbie",832084,Right,NOR_HUS,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,1,2,Sweeper,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.27447,-0.043742,-2.514136,2702.406444,80.709251,8:45,4.93723,2.29192,5.32056,-46.73617,-0.95583,-17.04442,1.00147,-1.48936,71.82983,-8.590895,-5.537649,0.48698,,,,,,,,,,,,7.49508,0.15217,-2.05188,50,4.90049,5.81989,-116.0343,-1.73916,9.88061,28.3961,-31.97343,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,50eb65c0-350c-11f1-9763-7f0f7f798e2f,77.40041,,,8.44464,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:37:23.14,2026-04-10T14:37:23.1430000-04:00,2026-04-10T18:37:23.1430000Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,ee89d5b6-0c95-485d-8c6e-6fc6f2af19ec,55.17343,-117.29352,14.19805,4.94617,-0.32131,-15.98672,-2.30025,5.38173,4.94031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.70339,,,1.06084,,,,5.78625,5.93672,5.93951,63.48572,7.06615,61.30267,5.81635,58.98054,-4.39678,5.96066,16.35642,-14.47409,5.95965,55.50147,-3.17016,High,High,High,,,High,High,High
6,2026-04-10,14:37:57.60,3,1,"O'Connor, Robbie",832084,Right,NOR_HUS,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.15697,1.448709,-3.590724,2217.498056,260.407553,2:45,4.80154,2.45216,5.64539,-30.88943,4.64091,19.41611,3.5817,0.7164,80.48214,-4.300333,-0.130163,0.429014,,,,,,,,,,,,-10.91788,2.28823,-2.15914,50,4.90558,7.27787,-130.37286,2.17032,-18.39051,32.85692,-28.31969,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,656e6790-350c-11f1-9763-7f0f7f798e2f,87.85835,,,9.67483,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:37:57.60,2026-04-10T14:37:57.6062464-04:00,2026-04-10T18:37:57.6062464Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,05d23163-8c10-4ea6-a23c-50cb30890b4c,54.84961,-131.58939,16.42846,4.80581,3.21886,-14.15985,-2.44121,7.95878,-9.19525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,14:38:16.50,3,2,"O'Connor, Robbie",832084,Right,NOR_HUS,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.62737,-0.488001,-5.713072,2020.216729,264.316052,2:45,5.04103,2.47577,5.6234,-39.60388,3.44075,19.43033,1.28304,-1.25403,74.13976,-7.765088,-2.262263,0.472205,,,,,,,,,,,,-11.7456,2.23847,-2.00066,50,4.97349,11.04795,-117.94839,-2.3208,-16.38917,24.42184,-29.05059,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,70a95020-350c-11f1-9763-7f0f7f798e2f,79.82214,,,7.48761,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:38:16.50,2026-04-10T14:38:16.5035520-04:00,2026-04-10T18:38:16.5035520Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,06634456-7954-4f9d-96b5-408b22ac81c5,54.87786,-118.95409,12.21092,5.04443,-1.12448,-14.5253,-2.46951,11.72286,-8.19458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,14:38:37.66,3,3,"O'Connor, Robbie",832084,Right,NOR_HUS,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,2,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.48545,-0.127706,-5.445179,2231.42475,251.55492,2:30,4.79908,2.49007,5.96284,-28.67726,7.11989,17.17064,2.29036,-1.14331,79.9371,-5.502324,-2.377986,0.430621,,,,,,,,,,,,-10.53938,4.12083,-2.06587,50,4.77337,11.55004,-129.17026,-1.25919,-17.42101,32.33667,-25.36256,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,7d4cf070-350c-11f1-9763-7f0f7f798e2f,87.53037,,,9.54835,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:38:37.66,2026-04-10T14:38:37.6686592-04:00,2026-04-10T18:38:37.6686592Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,a33d00aa-8ebb-4134-b765-51c0f43fa929,54.53166,-130.29978,16.16833,4.80188,-0.37327,-12.68128,-2.47994,12.15856,-8.71051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,14:38:58.17,3,4,"O'Connor, Robbie",832084,Right,NOR_HUS,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,2,3,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,91.08096,-1.013405,-3.663048,2332.205787,227.44188,1:30,5.33106,2.25209,5.61553,-20.21651,14.74788,14.55076,2.6985,0.04125,81.1638,-4.853836,-1.071444,0.425583,104.44373,18.446959,18.657392,875.139879,104.02942,29.97769,35.74527,314.12106,307.33183,19.993387,2.964517,-8.66926,8.20981,-1.94868,50,5.23184,7.76968,-131.67115,-2.99128,-14.83451,34.54923,-18.12573,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,8979da20-350c-11f1-9763-7f0f7f798e2f,88.56655,34.80199,,9.91716,,,,1.67027,2.80311,-0.05424,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:38:58.17,2026-04-10T14:38:58.1792768-04:00,2026-04-10T18:38:58.1792768Z,LineDrive,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Tarantino, Cooper",831144,Right,NOR_HUS,02593b39-f9af-482b-ad4d-ecaaaf5b72c5,54.88032,-132.94553,17.27461,5.32985,-2.3227,-9.06286,-2.24537,8.31686,-7.41725,217.41752,1.67001,137.6854,-21.43661,4.47873,-0.65992,-0.0411,0.05363,-0.01262,0.00108,2.80334,48.46292,-20.66724,2.39806,-0.79716,0.31501,-0.09463,0.01692,-0.00129,-0.054,46.47796,-4.95458,0.99765,-0.48102,0.25514,-0.08721,0.01621,-0.00125,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-10,14:41:40.28,1,1,"Hunkele, Nick",1000305024,Right,MER_COL1,"Musacchia, Carmelo",809694,Right,NOR_HUS,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.56541,0.89544,-3.623596,2001.378445,243.370164,2:00,5.42343,2.04985,6.38376,-27.1582,10.26804,17.64414,3.98568,0.18241,77.40202,-4.26868,-0.435315,0.440311,,,,,,,,,,,,-10.27886,5.46453,-1.79559,50,5.47576,7.21522,-125.35452,1.16682,-16.01018,30.32815,-23.66256,NOR_HUS,MER_COL1,FriedmanDiamond,D1,CAA,20260410-FriedmanDiamond-1,ea1c02e0-350c-11f1-9763-7f0f7f798e2f,85.60414,,,9.16339,,,,,,,8156437e-3c8c-4ea0-aef9-1c9d0b8af68d,2026-04-10,18:41:40.28,2026-04-10T14:41:40.2852864-04:00,2026-04-10T18:41:40.2852864Z,,v3,343,merrimack,aa26efde979f4c02b950ce5e6e3bf440,"Mcgovern, Garrett",10266755,Right,MER_COL1,fc4e9254-49bf-47db-8bfb-ae82ebc6f023,54.11055,-126.34511,15.16408,5.42503,1.93969,-11.83128,-2.03979,7.73815,-8.00509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
