PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:05:45.59,1,1,"Niese, Caleb",1000463295,Left,AVE_MAR,"McKnight III, Don",1000115227,Left,FLO_MEM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.75051,-2.973063,1.093522,2133.88689,159.199152,11:15,6.43942,-0.72177,5.96293,-15.26946,23.97576,-8.57556,2.40729,-0.42233,76.78196,-5.933234,-0.447525,0.450884,,,,,,,,,,,,4.76819,13.67194,0.63995,50,6.19518,-2.00719,-122.85434,-6.75024,7.20558,26.89158,-11.5134,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,95c2ed60-3aa9-11f1-a959-bf7741ffe624,83.59677,,,7.96855,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:05:45.59,2026-04-17T18:05:45.5930000-04:00,2026-04-17T22:05:45.5930000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,36329388-8eca-45e4-8795-c2030ce46554,54.53395,-123.8428,13.44579,6.43553,-6.32703,-5.7567,0.7186,-2.27205,3.60279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,18:06:06.04,1,2,"Niese, Caleb",1000463295,Left,AVE_MAR,"McKnight III, Don",1000115227,Left,FLO_MEM,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,86.44748,-3.072334,2.207946,2120.853999,141.341277,10:45,6.53882,-0.58196,5.92959,-18.90769,19.20395,-14.19989,2.10779,0.28428,77.76518,-6.688453,-0.341915,0.444324,95.04571,-16.6644,-1.770345,,,,,8.1533,8.1533,-3.284153,0.050424,8.0367,11.29426,0.41367,50,6.2826,-4.24268,-125.13,-7.24412,12.49581,29.79998,-14.61323,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,a1ecf0e0-3aa9-11f1-a959-bf7741ffe624,84.83092,2.0187,,8.6823,,,,1.39922,2.0187,-0.25874,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:06:06.04,2026-04-17T18:06:06.0410000-04:00,2026-04-17T22:06:06.0410000Z,GroundBall,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,91a128be-253d-4739-903d-4821319d638c,54.56627,-126.21278,14.89999,6.53616,-6.71315,-7.30661,0.57608,-4.69671,6.2479,180,1.39761,133.68018,,,,,,,,2.01919,-40.03456,,,,,,,,-0.25869,-4.13181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-17,18:06:47.53,2,1,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.76702,-2.334185,1.294824,2062.263168,137.596965,10:30,6.29048,-1.04697,5.99763,-21.32383,19.63568,-16.36158,2.34884,-1.21042,74.40911,-6.439145,-1.648724,0.460626,,,,,,,,,,,,8.79764,11.40619,0.95354,50,6.09522,-2.06424,-121.18457,-5.49775,12.65549,30.88373,-15.76617,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,baaed4e0-3aa9-11f1-a959-bf7741ffe624,81.82868,,,9.35791,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:06:47.53,2026-04-17T18:06:47.5310000-04:00,2026-04-17T22:06:47.5310000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,21159fe2-000c-4e56-ad9e-8e128ca83f11,54.49373,-122.32443,15.44186,6.2874,-4.91585,-7.88309,1.03835,-2.53133,6.32774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,18:07:05.28,2,2,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.57147,-0.411547,0.168119,1847.241522,244.113662,2:15,6.41692,-0.99537,6.13824,-46.63038,3.76634,4.08181,2.15071,-0.49985,67.86812,-9.065152,0.905749,0.510943,,,,,,,,,,,,-2.04815,2.63205,0.98054,50,6.36197,-0.45956,-108.24998,-2.101,-2.39329,21.5786,-29.09844,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,c54985d0-3aa9-11f1-a959-bf7741ffe624,73.77032,,,6.70334,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:07:05.28,2026-04-17T18:07:05.2830000-04:00,2026-04-17T22:07:05.2830000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,93b64e16-af93-47cc-a771-f0df6308cd32,54.3575,-109.11515,10.7893,6.42282,-0.93433,-14.54922,0.99704,-0.36361,-1.19665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.29766,2.121033,0.81239,1.308643,-0.29953,1.87212,0.47235,-1.00769,6.02939,0.94312,127.27757,-0.26312,5.818,-0.90518,108.68074,-8.30005,6.05574,11.34004,-12.38571,0.90749,0.95655,2.17083,High,High,High,,,High,High,High
5,2026-04-17,18:07:36.03,2,3,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,72.78215,1.962297,-0.067326,1926.081704,302.543689,4:00,6.42683,-0.96278,6.06213,-54.58141,-1.67394,5.4426,3.69519,-0.57154,66.2692,-8.141609,0.913605,0.523516,,,,,,,,,,,,-2.80587,-0.87665,0.96523,50,6.55057,-0.06426,-105.64299,2.0495,-3.13507,19.897,-33.15354,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,d79e0ee0-3aa9-11f1-a959-bf7741ffe624,71.99865,,,6.51295,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:07:36.03,2026-04-17T18:07:36.0340000-04:00,2026-04-17T22:07:36.0340000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,1ea37b89-55cf-4b46-8528-c7101f63f53a,54.43498,-106.47501,9.9485,6.43589,3.43586,-16.57677,0.96517,0.06684,-1.56753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,18:07:56.17,2,4,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.22654,-0.82657,2.495147,2154.750524,156.176188,11:15,6.4127,-0.93663,6.29384,-17.05989,21.31072,-8.805,4.22862,0.63023,76.88656,-4.144089,0.905,0.445832,68.60873,51.044499,-141.87345,4516.428305,,,,,20.32594,,,5.36465,11.73009,0.75714,50,6.34354,-5.04616,-123.62653,-2.18803,8.18971,27.7693,-14.26681,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,e3996140-3aa9-11f1-a959-bf7741ffe624,84.54414,26.39396,,8.33998,,,,0.80052,4.18474,-0.63696,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:07:56.17,2026-04-17T18:07:56.1740000-04:00,2026-04-17T22:07:56.1740000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,10a93f28-b09e-42b3-8e03-f6c6a1748e7f,54.20174,-124.56676,13.88465,6.40944,-1.70498,-7.13341,0.93269,-5.32345,4.09486,30.183687,0.8078,-50.06478,-2.3199,,,,,,,4.19699,77.75776,-33.65897,,,,,,,-0.64343,-38.79965,11.04791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-04-17,18:08:18.09,2,5,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,1,2,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,74.67546,-2.16995,0.711286,2078.875628,245.425328,2:15,6.63011,-0.62169,6.26494,-47.28829,2.46343,1.76421,0.68772,0.18114,68.74448,-10.884467,1.031394,0.507663,,,,,,,,,,,,-0.7065,2.4024,0.56819,50,6.44645,-1.40429,-108.44176,-5.42064,-0.83369,20.56,-29.3391,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,f0ad4f90-3aa9-11f1-a959-bf7741ffe624,74.24697,,,5.93098,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:08:18.09,2026-04-17T18:08:18.0900000-04:00,2026-04-17T22:08:18.0900000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,c8dd69f6-783d-4cb7-880b-da18b7c284eb,54.23344,-109.24145,10.28,6.6351,-4.27949,-14.66955,0.62218,-1.37187,-0.41684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,18:08:41.25,2,6,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,2,2,Fastball,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,,85.29269,-5.078925,1.901176,2273.960863,150.664769,11:00,6.42533,-0.8204,6.38506,-15.853,23.37072,-12.17587,0.41751,-0.0856,75.73703,-8.195149,-0.30422,0.45076,,,,,,,,,,,,7.1015,14.62375,0.68903,50,6.05167,-3.61915,-123.09836,-11.27838,10.51066,32.49245,-10.53,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,fe754ba0-3aa9-11f1-a959-bf7741ffe624,83.61966,,,9.55566,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:08:41.25,2026-04-17T18:08:41.2520000-04:00,2026-04-17T22:08:41.2520000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,917f2ba3-7a49-472f-aaef-73eacbe531a5,54.10911,-124.17825,16.24623,6.42069,-10.92842,-5.265,0.81511,-3.96847,5.25533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:09:40.78,2,7,"Niese, Caleb",1000463295,Left,AVE_MAR,"Ramirez, Armando",1000188196,Right,FLO_MEM,Undefined,1,Top,0,3,2,Curveball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.31192,-4.040119,2.390489,2197.908044,160.262208,11:15,6.55189,-0.60116,6.06622,-12.17233,25.34151,-8.54245,1.78925,0.90046,77.90886,-6.470853,0.854292,0.440826,,,,,,,,,,,,5.19225,14.83442,0.42007,50,6.2314,-4.9023,-126.12188,-9.13319,8.15034,31.73603,-8.88821,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,21ee4230-3aaa-11f1-a959-bf7741ffe624,85.50411,,,9.40307,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:09:40.78,2026-04-17T18:09:40.7840000-04:00,2026-04-17T22:09:40.7840000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,11fefcbb-5b3f-45f3-945e-7355118865ba,54.42571,-127.23064,15.86802,6.54506,-8.82266,-4.4441,0.59632,-5.18704,4.07517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,18:10:12.39,3,1,"Niese, Caleb",1000463295,Left,AVE_MAR,"Puertas, Wilber",1000522607,Right,FLO_MEM,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,1,1,,72.66756,-0.021104,0.653665,1931.741474,257.531061,2:30,6.45557,-0.71416,6.56792,-49.51219,3.15051,5.21012,2.31021,0.31923,65.63926,-9.304188,1.602698,0.522303,,,,,,,,,,,,-2.47807,2.32599,0.66743,50,6.43454,-1.37472,-105.46253,-1.31989,-2.72248,22.03491,-29.61864,AVE_MAR,FLO_MEM,BowiesBallpark,NAIA,TSC,20260417-BowiesBallpark-2,34d52030-3aaa-11f1-a959-bf7741ffe624,72.16578,,,7.0283,,,,,,,b47712bd-7484-44c8-9e6a-5eae2161e729,2026-04-17,22:10:12.39,2026-04-17T18:10:12.3920000-04:00,2026-04-17T22:10:12.3920000Z,,v3,,,,"LaVine, Jake",10076603,Right,AVE_MAR,2464337d-a118-4909-90b8-394352febeab,53.92576,-106.27959,11.01746,6.46312,-0.22162,-14.80932,0.71654,-1.27377,-1.36124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
