PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,14:56:26.82,1,1,"Thomas, Jackson",1000471417,Right,PAR_JUN,"Sloan, Seth",1000376011,Left,ANG_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.21153,-1.740432,-2.851686,2472.287864,218.982135,1:15,5.31468,1.40475,5.99725,-24.59025,11.82197,8.68788,1.65023,-0.51594,80.37554,-6.321768,-1.290812,0.434305,60.33207,-38.749389,117.759079,,,,,4.18104,4.18104,38.843948,0.035493,-5.27473,6.8678,-1.18515,50,5.16383,5.97103,-126.64668,-4.63118,-8.61814,24.41822,-20.95305,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,853dab40-3a97-11f1-86f7-d36163a2b53d,86.78789,1.97348,,6.83599,,,,4.40171,1.97348,0.44638,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,19:56:26.82,2026-04-17T14:56:26.8240000-05:00,2026-04-17T19:56:26.8240000Z,GroundBall,v3,,,,"Gifford, Jonnie",1000136090,Right,PAR_JUN,570d4660-2bc2-4a21-ba17-2fa69ad0d2f8,54.50379,-127.51208,12.20911,5.31481,-3.88859,-10.47653,-1.40218,6.27647,-4.30907,,4.40242,-32.2675,,,,,,,,1.97472,-55.60188,,,,,,,,0.44502,61.30685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2026-04-17,14:56:45.58,1,2,"Thomas, Jackson",1000471417,Right,PAR_JUN,"Sloan, Seth",1000376011,Left,ANG_COL,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,80.63067,0.257794,-1.16476,2508.785199,140.042298,10:45,4.77257,1.65455,5.42062,-39.44443,3.70193,-2.12185,1.72707,0.38654,74.93757,-6.928955,-1.542495,0.472763,92.56793,11.447172,10.821717,1184.631496,107.62688,10.55762,22.72482,171.43,167.86368,13.003963,1.535109,0.80126,2.11043,-1.54958,50,4.76756,2.46615,-117.24863,-0.81689,1.13016,19.41916,-29.19734,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,906225a0-3a97-11f1-86f7-d36163a2b53d,79.72795,11.24735,,5.6931,,,,2.77593,1.91253,-0.4072,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,19:56:45.58,2026-04-17T14:56:45.5830000-05:00,2026-04-17T19:56:45.5830000Z,LineDrive,v3,,,,"Gifford, Jonnie",1000136090,Right,PAR_JUN,21437c07-6deb-4acc-a511-4acad14e591e,55.08097,-118.08716,9.70958,4.77561,0.44386,-14.59867,-1.65501,2.41735,0.56508,274.362511,2.77594,130.69827,-21.16589,4.98573,-1.06627,0.22324,-0.08701,0.04862,-0.01154,1.91252,26.94563,-20.63876,1.95394,-0.43011,0.08442,0.05182,-0.05969,0.01559,-0.40721,24.98406,0.6721,-0.41413,0.12512,-0.03804,0.05081,-0.03935,0.00967,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-17,14:57:15.67,2,1,"Thomas, Jackson",1000471417,Right,PAR_JUN,"Standley, Cole",1000275268,Left,ANG_COL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.7956,0.104726,-1.7479,1703.935629,246.417604,2:15,5.37827,1.41195,5.76858,-38.04593,7.66197,14.71654,2.30529,1.01117,72.35433,-6.888265,0.888721,0.486594,90.35674,34.291955,-24.564821,3495.745685,93.91144,65.5171,-57.27681,303.90219,291.29176,-41.857261,4.797934,-7.9663,4.25701,-1.27659,50,5.36357,2.91905,-113.16095,-0.96732,-10.4789,17.85817,-26.57436,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,a25ccee0-3a97-11f1-86f7-d36163a2b53d,77.46175,80.13724,,5.44127,,,,0.63283,2.24126,-0.99079,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,19:57:15.67,2026-04-17T14:57:15.6710000-05:00,2026-04-17T19:57:15.6710000Z,FlyBall,v3,,,,"Gifford, Jonnie",1000136090,Right,PAR_JUN,b24f1054-7f00-4af1-a0c8-ee2ea608e99c,54.73277,-113.90539,8.92908,5.3808,0.14047,-13.28718,-1.40738,3.35587,-5.23945,137.92592,0.63329,99.5772,-25.32993,6.62023,-1.65258,0.41448,-0.09286,0.01325,-0.00079,2.2439,74.60191,-19.77291,0.5071,0.55478,-0.309,0.08279,-0.01078,0.00054,-0.99258,-45.47776,-2.13181,2.24246,-0.94584,0.2848,-0.05718,0.0064,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-17,14:58:18.71,2,2,"Thomas, Jackson",1000471417,Right,PAR_JUN,"Standley, Cole",1000275268,Left,ANG_COL,Undefined,1,Top,0,0,1,Fastball,Slider,InPlay,Undefined,FlyBall,Out,1,0,,84.85328,0.002422,-3.078738,2327.990547,210.868875,1:00,5.06354,1.34131,5.54844,-26.30828,11.83075,6.57886,2.87345,-0.99023,79.99161,-4.812138,-1.907998,0.444484,80.67067,39.653066,34.03285,2999.649933,86.51382,78.34937,67.93642,274.21034,132.84284,42.201131,5.047738,-3.95473,6.26855,-1.07932,50,5.04595,6.38616,-123.49487,-0.88994,-6.31354,16.79365,-22.16661,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,c7ebad20-3a97-11f1-86f7-d36163a2b53d,84.80044,89.13548,,4.86166,,,,1.05345,3.0726,1.1837,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,19:58:18.71,2026-04-17T14:58:18.7120000-05:00,2026-04-17T19:58:18.7120000Z,FlyBall,v3,,,,"Gifford, Jonnie",1000136090,Right,PAR_JUN,1cdf6fe2-d9bf-4174-9a5e-db724607355b,54.95485,-124.16684,8.39683,5.06381,-0.00299,-11.0833,-1.3399,6.63878,-3.15677,,1.05618,75.42868,-17.64959,4.00487,-0.42,-0.07057,0.03199,-0.00422,0.0002,3.07162,75.5195,-18.41505,1.05179,-0.13258,-0.00918,0.01327,-0.00272,0.00017,1.18487,50.95947,-5.96928,1.00457,-0.06489,-0.02177,0.00656,-0.00067,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-04-17,14:58:53.72,3,1,"Thomas, Jackson",1000471417,Right,PAR_JUN,"Harmse, Gavin",10139017,Right,ANG_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.03134,2.241647,-0.474569,2431.440937,56.902809,8:00,5.02365,1.50349,5.42442,-54.13507,-2.89835,-6.56185,2.61315,0.51216,68.82332,-7.593297,-1.642526,0.515184,,,,,,,,,,,,3.20591,-1.61721,-1.45661,50,5.18436,1.12944,-107.61122,2.47778,3.80766,16.42291,-34.09481,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,dcc75640-3a97-11f1-86f7-d36163a2b53d,73.16312,,,5.20802,,,,,,,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,19:58:53.72,2026-04-17T14:58:53.7250000-05:00,2026-04-17T19:58:53.7250000Z,,v3,,,,"Gifford, Jonnie",1000136090,Right,PAR_JUN,07729916-c60f-4b79-b943-48e37aec1452,55.0779,-108.38341,8.21146,5.03017,4.08087,-17.04741,-1.50551,0.9504,1.90383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,14:59:10.25,3,2,"Thomas, Jackson",1000471417,Right,PAR_JUN,"Harmse, Gavin",10139017,Right,ANG_COL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,78.36901,0.50369,-2.902873,1646.863618,256.352999,2:30,4.97372,1.41461,5.81544,-39.77345,4.94118,15.74729,2.12822,0.02543,73.3099,-6.784381,-0.082221,0.481278,92.60713,-8.415028,-33.29051,,,,,16.69718,16.67794,-29.970902,0.113575,-8.7704,2.72394,-1.1866,50,4.99075,5.221,-114.00741,-0.23368,-11.79434,16.68332,-28.51092,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,e6a239a0-3a97-11f1-86f7-d36163a2b53d,78.31736,2.26103,,5.05911,,,,1.6886,2.26103,0.04787,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,19:59:10.25,2026-04-17T14:59:10.2530000-05:00,2026-04-17T19:59:10.2530000Z,GroundBall,v3,,,,"Gifford, Jonnie",1000136090,Right,PAR_JUN,5dc92695-a56a-4590-b2aa-8ce22c3cdf21,54.68769,-114.69134,8.34166,4.97637,0.93511,-14.25546,-1.41054,5.7045,-5.89717,180,1.6854,112.48746,,,,,,,,2.2616,-19.90775,,,,,,,,0.04997,-73.86378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-17,15:01:55.90,1,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Bottom,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.88136,-2.046039,-1.554257,2082.821576,208.082936,1:00,6.03615,1.0803,6.66115,-19.97214,17.2371,8.63949,2.49808,0.37767,78.66311,-5.840244,0.019147,0.439033,76.94426,59.770363,-61.749843,4332.697952,29.60746,111.0788,-105.94027,199.79343,80.51957,-78.301933,5.084841,-4.97626,9.95099,-0.97932,50,5.89033,3.05362,-123.51221,-4.91922,-7.77819,21.86961,-16.62007,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,49587550-3a98-11f1-86f7-d36163a2b53d,85.85339,111.08521,,6.21825,,,,1.12918,2.38188,-0.28719,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,20:01:55.90,2026-04-17T15:01:55.9070000-05:00,2026-04-17T20:01:55.9070000Z,Popup,v3,,,,"Harmse, Gavin",10139017,Right,ANG_COL,752ee4d1-9b0f-4e66-a217-08485436f93e,53.83968,-124.19022,10.93481,6.03485,-4.40396,-8.31003,-1.07773,3.29476,-3.88909,149.161587,1.15916,26.22796,-8.23003,-1.90274,3.60601,-1.80834,0.45105,-0.05598,0.00275,2.40114,97.14104,-25.36754,1.02872,0.90957,-0.47269,0.09884,-0.00946,0.00032,-0.29193,-49.9918,2.89579,-0.27015,0.2875,-0.23894,0.08588,-0.01375,0.00081,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-17,15:02:11.19,1,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Bottom,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.05998,1.231084,0.68148,2071.347767,52.120808,7:45,5.81962,1.19663,6.18519,-62.16992,-7.67764,-11.94375,1.77579,0.8306,65.89841,-10.1923,-1.480203,0.531299,,,,,,,,,,,,6.40083,-3.86851,-1.24203,50,5.88098,-0.8507,-103.39474,0.50423,6.93512,17.09752,-36.36549,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,528369a0-3a98-11f1-86f7-d36163a2b53d,70.94393,,,5.16156,,,,,,,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,20:02:11.19,2026-04-17T15:02:11.1950000-05:00,2026-04-17T20:02:11.1950000Z,,v3,,,,"Harmse, Gavin",10139017,Right,ANG_COL,47daaca9-58bb-4eab-9f0e-6336d366dbb3,54.31806,-104.10633,8.54876,5.8285,2.01775,-18.18275,-1.20062,-1.13934,3.46756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,15:02:27.24,1,3,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.30837,-1.470429,-1.603141,2276.691039,211.2824,1:00,6.03421,1.06481,6.63294,-16.99458,19.35962,11.078,3.27092,0.51984,79.11077,-4.747952,0.412675,0.433959,68.67131,51.470684,-128.91301,4039.474549,,,,,52.82544,,,-6.28792,10.95544,-0.96058,50,5.9274,3.1099,-125.50336,-3.6247,-10.04616,24.99323,-14.67056,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,5c070540-3a98-11f1-86f7-d36163a2b53d,86.85715,52.2088,,7.19761,,,,0.64439,3.13958,-0.40153,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,20:02:27.24,2026-04-17T15:02:27.2470000-05:00,2026-04-17T20:02:27.2470000Z,,v3,,,,"Harmse, Gavin",10139017,Right,ANG_COL,ba18e200-0c7b-4c11-8f0c-90c96a36262b,53.86628,-126.27096,12.49661,6.0318,-3.17414,-7.33528,-1.06083,3.41844,-5.02308,,0.64439,-39.40861,-3.38928,1.04797,-0.2822,0.07512,-0.01927,0.00425,-0.00056,3.13958,78.79045,-29.61059,4.09369,-0.88026,0.18677,-0.04198,0.0084,-0.00106,-0.40153,-48.81694,9.07968,-2.69433,0.65945,-0.1636,0.0398,-0.00836,0.00106,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2026-04-17,15:02:46.07,1,4,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.8106,-1.403556,-3.159364,2230.077187,210.720768,1:00,6.2859,0.96653,6.75644,-17.1408,19.81044,11.03568,3.57329,-1.00249,78.0254,-4.735939,-1.150131,0.437508,,,,,,,,,,,,-6.74989,11.25087,-0.76312,50,6.18677,6.47346,-124.56739,-3.4329,-10.54357,26.39427,-14.59977,PAR_JUN,ANG_COL,HubHollisField,JUCO,NJCAA,20260417-HubHollisField-2,674214e0-3a98-11f1-86f7-d36163a2b53d,86.15256,,,7.78519,,,,,,,d9e00b70-181f-4093-b881-f6e4225c7bd7,2026-04-17,20:02:46.07,2026-04-17T15:02:46.0730000-05:00,2026-04-17T20:02:46.0730000Z,,v3,,,,"Harmse, Gavin",10139017,Right,ANG_COL,e3c7fa5f-407a-4552-9239-2241bcb33157,53.74101,-125.35755,13.19714,6.283,-2.99583,-7.29988,-0.96164,6.78911,-5.27178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
