PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,14:05:37.97,1,1,"Barrett, Gabriel",811644,Right,SAN_DON,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.84078,-1.84162,-4.215988,2056.744108,224.099322,1:30,5.11474,1.67577,5.15194,-19.44473,14.4269,12.79989,1.75536,-1.23364,83.8107,-5.474755,-1.958299,0.41888,,,,,,,,,,,,-7.63902,8.09174,-1.29127,50,4.92775,9.26134,-134.14133,-5.02907,-13.7719,31.87556,-17.58598,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,5856d4a0-4021-11f1-aea8-3f6e30a31e8b,89.9839,,,9.03008,,,,,,,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:05:37.97,2026-04-24T14:05:37.9790000-07:00,2026-04-24T21:05:37.9790000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,1358b40e-ef6d-4f8b-942a-c4aad4f679d1,55.34374,-135.40519,15.93778,5.11332,-4.33179,-8.79299,-1.66931,9.8074,-6.88595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,14:05:50.50,1,2,"Barrett, Gabriel",811644,Right,SAN_DON,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.02043,-1.4253,-2.45244,2106.157455,232.354064,1:45,5.08035,1.82004,5.30395,-20.7506,12.65674,14.87576,2.01165,0.75608,84.08013,-5.298753,0.187021,0.415999,,,,,,,,,,,,-8.15162,7.11398,-1.60826,50,4.93614,5.0482,-134.71186,-4.11091,-14.82124,32.14887,-19.23941,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,5fc747b0-4021-11f1-aea8-3f6e30a31e8b,90.60702,,,8.9403,,,,,,,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:05:50.50,2026-04-24T14:05:50.5020000-07:00,2026-04-24T21:05:50.5020000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,3d236370-2e6e-4ea6-9b60-5e5243ad8f4e,55.19185,-135.94524,16.07444,5.0797,-3.3728,-9.61971,-1.81284,5.61681,-7.41062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,14:06:05.48,1,3,"Barrett, Gabriel",811644,Right,SAN_DON,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.21824,-1.190267,-4.048874,2138.909664,238.983869,2:00,5.05124,1.94373,5.36005,-21.30588,11.70052,17.6434,2.15661,-0.38918,84.83714,-5.150311,-0.922223,0.413495,,,,,,,,,,,,-9.95465,6.52922,-1.59231,50,4.92915,8.70921,-134.95944,-3.59681,-18.32494,29.8944,-20.15481,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,68bb4d80-4021-11f1-aea8-3f6e30a31e8b,91.15572,,,8.3811,,,,,,,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:06:05.48,2026-04-24T14:06:05.4890000-07:00,2026-04-24T21:06:05.4890000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,a59cb6e5-4848-4c81-9e02-86a9aec1664c,55.13778,-136.09273,14.9472,5.05102,-2.83274,-10.0774,-1.93565,9.4039,-9.16247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,14:06:25.22,1,4,"Barrett, Gabriel",811644,Right,SAN_DON,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,94.54135,-1.172779,-3.645666,2107.916222,231.677038,1:45,5.15391,1.55894,5.33797,-18.97572,13.37481,15.46832,2.46998,-0.57681,85.34283,-4.731607,-0.90446,0.409366,93.27367,3.19851,32.086055,4489.652926,,,,92.52211,91.19509,36.26018,0.738397,-8.87359,7.39473,-1.24121,50,5.03471,7.96858,-136.81046,-3.49193,-16.63917,33.18105,-18.30798,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,74777400-4021-11f1-aea8-3f6e30a31e8b,92.07507,3.32025,,9.19852,,,,0.83797,2.35836,0.64017,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:06:25.22,2026-04-24T14:06:25.2230000-07:00,2026-04-24T21:06:25.2230000Z,GroundBall,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,63c0bdcf-ea02-4883-99e6-32c791c19729,55.1591,-138.05604,16.59053,5.1529,-2.80467,-9.15399,-1.55207,8.59319,-8.31959,262.650801,0.90372,114.51823,-20.02875,,,,,,,2.3754,7.32229,-14.30261,,,,,,,0.61402,73.04327,0.36076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-24,14:07:03.59,2,1,"Barrett, Gabriel",811644,Right,SAN_DON,"French, Blaine",1000039244,Left,PAC_TIG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.75659,-0.608746,-2.458228,2016.963278,234.908078,1:45,5.0716,1.89915,4.9396,-24.17092,10.63426,13.38418,2.48148,0.68981,82.88099,-5.07027,-0.099715,0.424613,,,,,,,,,,,,-7.31819,5.79776,-1.67169,50,4.99298,5.03542,-132.82151,-2.3597,-12.93697,31.21529,-21.92487,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,8b5ecba0-4021-11f1-aea8-3f6e30a31e8b,88.76892,,,8.8756,,,,,,,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:07:03.59,2026-04-24T14:07:03.5940000-07:00,2026-04-24T21:07:03.5940000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,6fbff5d2-dc87-4021-8fde-e0f930f2d9a7,55.55571,-134.12084,15.60764,5.07221,-1.44708,-10.96244,-1.8925,5.57391,-6.46848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-24,14:07:23.76,2,2,"Barrett, Gabriel",811644,Right,SAN_DON,"French, Blaine",1000039244,Left,PAC_TIG,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,1,,93.01099,-0.834354,-2.833526,2029.707085,236.324057,2:00,5.04927,1.76165,5.32721,-22.46174,10.81355,14.5202,2.39354,0.31071,84.31344,-5.008328,-0.257399,0.415176,100.432,9.541969,-11.124694,2454.231393,106.41725,12.34352,-27.84422,201.75463,201.27795,-17.440789,1.748317,-8.13477,6.0004,-1.51625,50,4.95789,5.98317,-134.7656,-2.80275,-14.84752,31.35414,-21.22219,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,975bcbb0-4021-11f1-aea8-3f6e30a31e8b,90.78661,12.36026,,8.69756,,,,0.94635,2.34971,-0.3037,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:07:23.76,2026-04-24T14:07:23.7660000-07:00,2026-04-24T21:07:23.7660000Z,LineDrive,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,db40a141-2bce-46cc-ac89-346798c006da,55.17051,-135.96323,15.67707,5.04946,-1.99213,-10.6111,-1.75562,6.5503,-7.42376,114.887611,0.94633,142.53458,-27.14187,6.43251,-1.12934,-0.01105,0.1199,-0.0469,0.00658,2.34974,24.41445,-14.80694,-0.19855,-0.00593,0.30196,-0.23227,0.07986,-0.01083,-0.30372,-28.0249,-6.81142,2.77962,-0.63926,-0.07826,0.14535,-0.05589,0.00786,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-24,14:08:14.96,3,1,"Barrett, Gabriel",811644,Right,SAN_DON,"Tandy, Jake",824185,Right,PAC_TIG,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.75655,0.776247,-2.019868,2349.431074,70.832797,8:15,5.09508,1.98808,4.9484,-47.94034,-4.30937,-16.47166,1.83406,-1.29401,74.75961,-7.872829,-4.922966,0.47541,,,,,,,,,,,,7.49914,-1.89469,-1.77798,50,5.13101,4.90041,-118.50408,-0.22364,10.58128,24.28442,-34.84746,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,b5ee5570-4021-11f1-aea8-3f6e30a31e8b,79.28399,,,6.99694,,,,,,,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:08:14.96,2026-04-24T14:08:14.9610000-07:00,2026-04-24T21:08:14.9610000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,463f3350-efbc-44cc-98e3-6e661be2bbad,55.55074,-119.63616,12.14221,5.10357,1.40086,-17.42373,-1.99492,4.40714,5.29064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,14:08:31.77,3,2,"Barrett, Gabriel",811644,Right,SAN_DON,"Tandy, Jake",824185,Right,PAC_TIG,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.10349,-2.136235,-4.17788,2136.904825,234.442179,1:45,5.03861,1.66451,5.34678,-21.51588,10.69115,13.56922,1.23559,-1.13049,86.39797,-6.104517,-1.774557,0.408457,,,,,,,,,,,,-7.89481,6.22583,-1.29766,50,4.83039,9.30944,-136.26234,-5.91285,-14.93039,28.29862,-20.39998,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,bfe684d0-4021-11f1-aea8-3f6e30a31e8b,92.28,,,7.70552,,,,,,,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:08:31.77,2026-04-24T14:08:31.7720000-07:00,2026-04-24T21:08:31.7720000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,8696275e-fc34-4e52-bd63-9db9d37260ab,55.15217,-137.32816,14.14931,5.03862,-5.14452,-10.19999,-1.65887,9.87177,-7.4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-24,14:08:50.80,3,3,"Barrett, Gabriel",811644,Right,SAN_DON,"Tandy, Jake",824185,Right,PAC_TIG,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.52006,-1.770501,-3.609877,2116.456228,224.321257,1:30,5.12684,1.60555,5.2403,-19.6606,13.36918,11.96107,1.82062,-0.79493,84.94331,-5.431861,-1.494092,0.413642,73.46488,41.410817,134.358105,5138.533577,,,,,25.87749,,,-7.0654,7.53213,-1.28275,50,4.94954,7.97142,-135.36163,-4.91588,-13.03804,31.03973,-18.27476,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,cb3ee070-4021-11f1-aea8-3f6e30a31e8b,91.12339,23.32918,,8.57675,,,,2.16916,1.82743,0.887,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:08:50.80,2026-04-24T14:08:50.8090000-07:00,2026-04-24T21:08:50.8090000Z,,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,669e2385-fd8d-4942-bced-b6e4171010f8,55.25789,-136.56199,15.51987,5.12598,-4.20916,-9.13738,-1.60077,8.47563,-6.51902,,2.17067,-56.55706,2.29151,,,,,,,1.83568,70.953,-26.49731,,,,,,,0.89513,57.46437,-13.21741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-24,14:09:15.77,3,4,"Barrett, Gabriel",811644,Right,SAN_DON,"Tandy, Jake",824185,Right,PAC_TIG,Undefined,1,Top,0,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.01933,0.146228,-1.971559,2035.727995,238.533317,2:00,5.06561,1.63876,5.36949,-23.25753,9.7491,14.18768,3.26467,0.97182,84.69327,-4.166661,0.549267,0.413496,47.07662,28.265827,47.436385,4275.6703,,,,109.54994,94.82386,53.773177,2.180748,-7.73634,5.16331,-1.47258,50,5.06242,3.98945,-134.97326,-0.52856,-14.2306,30.16464,-22.6764,SAN_DON,PAC_TIG,BenedettiDiamond,D1,WCC,20260424-BenedettiDiamond-1,da2062d0-4021-11f1-aea8-3f6e30a31e8b,91.15541,19.46242,,8.32606,,,,1.59668,3.2697,-0.98383,bc5359b3-17f2-481c-a030-c640fd7d0864,2026-04-24,21:09:15.77,2026-04-24T14:09:15.7730000-07:00,2026-04-24T21:09:15.7730000Z,GroundBall,v3,471434,471406,0b3b1d90a7804434ac319aaa5a7a06ce,"Ramppen, Zack",811256,Right,SAN_DON,a1d602bd-c631-4474-bf1b-8f3c0ec5d02e,55.12972,-136.11485,15.08232,5.06618,0.32964,-11.3382,-1.63375,4.52801,-7.1153,232.038089,1.59663,41.1375,-7.65443,1.51288,-0.50535,0.25219,-0.10878,0.02539,-0.00219,3.26973,32.69562,-17.36921,0.95347,-0.06051,-0.05921,0.0347,-0.00548,-3E-05,-0.98382,44.78952,-2.19122,0.23158,0.01961,-0.03652,0.01426,-0.00259,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
