PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,18:51:07.53,1,1,"Garrett, Hunter",10108279,Left,VIR_WIS,"Floyd, Logan",1000148156,Right,CAR_EAG,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,81.92094,-0.327242,2.690134,2165.364419,118.030688,10:00,5.24108,-2.00327,5.65994,-34.64718,7.39611,-11.38725,2.04828,-0.44151,75.05817,-6.718025,0.656275,0.46668,99.93296,14.985702,-0.49932,1172.725156,109.98431,22.13095,1.85635,269.79607,269.79607,2.664767,2.524135,6.5602,4.23024,1.78282,50,5.19132,-5.13713,-118.88113,-1.8171,9.38368,22.89199,-26.12314,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,152db180-4030-11f1-922b-7deeba98ca6c,80.76712,23.73031,,6.86278,,,,1.54255,2.09151,0.43374,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:51:07.53,2026-04-24T18:51:07.5340000-04:00,2026-04-24T22:51:07.5340000Z,LineDrive,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,91611c64-baac-43fe-8aef-dd7b8c62481d,54.84427,-119.81032,11.446,5.24355,-0.75676,-13.06157,1.99907,-5.51801,4.69184,229.150032,1.54253,141.57794,-20.464,3.81145,-0.61925,0.00817,0.03391,-0.00979,0.00098,2.09155,37.89856,-18.21534,1.89808,-0.69835,0.33454,-0.11844,0.02462,-0.00218,0.43384,-1.23509,4.04564,-0.60498,-0.51466,0.51676,-0.22265,0.04905,-0.00444,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-04-24,18:51:45.31,2,1,"Garrett, Hunter",10108279,Left,VIR_WIS,"Gibson, Aiden",10011511,Right,CAR_EAG,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.93731,0.501152,3.261419,1983.690943,77.382488,8:30,4.85586,-2.13131,5.75415,-50.08578,-1.48091,-13.18146,1.14937,-0.1902,70.10171,-8.659237,0.902181,0.501778,,,,,,,,,,,,7.64233,-0.50339,1.8686,50,4.86653,-5.8112,-110.24319,-0.5926,9.43356,19.04565,-32.79542,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,2bb4c0b0-4030-11f1-922b-7deeba98ca6c,75.11782,,,5.83561,,,,,,,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:51:45.31,2026-04-24T18:51:45.3160000-04:00,2026-04-24T22:51:45.3160000Z,,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,48dd9c4c-5b91-46c3-b00b-954579d62672,54.75246,-111.06119,9.52283,4.86173,0.81594,-16.39771,2.12689,-6.21637,4.71678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,18:52:05.15,2,2,"Garrett, Hunter",10108279,Left,VIR_WIS,"Gibson, Aiden",10011511,Right,CAR_EAG,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.51454,-0.089191,3.480023,2164.971661,121.440931,10:00,5.14401,-1.97935,5.90825,-31.65762,11.35835,-16.40422,2.42293,-0.11196,73.89142,-5.977668,0.540383,0.472048,,,,,,,,,,,,9.31189,6.25126,1.70873,50,5.1187,-6.47792,-116.83176,-1.14296,12.91794,21.25329,-23.50199,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,37842110-4030-11f1-922b-7deeba98ca6c,79.84872,,,6.62312,,,,,,,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:52:05.15,2026-04-24T18:52:05.1570000-04:00,2026-04-24T22:52:05.1570000Z,,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,5534c87b-7def-49a9-a444-7aab4d547e69,54.5955,-117.66477,10.62665,5.14545,-0.22181,-11.751,1.97255,-6.98423,6.45897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,18:52:24.90,2,3,"Garrett, Hunter",10108279,Left,VIR_WIS,"Gibson, Aiden",10011511,Right,CAR_EAG,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.7024,-1.31766,3.477698,2265.765773,108.612417,9:30,5.33435,-1.89314,5.7251,-35.16041,6.075,-14.11733,1.17447,0.17379,75.86576,-7.788184,0.954012,0.462175,,,,,,,,,,,,8.21351,3.83103,1.61137,50,5.20221,-6.73521,-119.92391,-3.9227,11.94936,23.40829,-26.60053,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,4346d740-4030-11f1-922b-7deeba98ca6c,81.55445,,,6.83664,,,,,,,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:52:24.90,2026-04-24T18:52:24.9080000-04:00,2026-04-24T22:52:24.9080000Z,,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,4035be5d-463d-434e-8d64-e6532859ba4c,54.7799,-120.85331,11.70414,5.33699,-2.86655,-13.30027,1.8882,-7.20965,5.97468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77681,2.090172,0.799181,1.290991,3.70617,1.48149,-0.13348,-0.08692,4.97224,1.07561,127.27215,-1.95085,0.12106,-0.0011,109.18387,-8.28017,5.03324,13.42946,-14.64719,1.03013,-4.29335,2.81758,High,High,High,,,High,Medium,Medium
5,2026-04-24,18:52:58.59,2,4,"Garrett, Hunter",10108279,Left,VIR_WIS,"Gibson, Aiden",10011511,Right,CAR_EAG,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,0,1,,80.35735,1.352017,2.171641,2220.487959,105.779784,9:30,5.21095,-1.94162,5.67423,-38.20679,5.49343,-14.5315,3.28876,-1.12685,73.41142,-5.7022,-0.424209,0.475788,87.96031,18.903278,10.617748,1213.419086,107.4783,28.49004,23.41784,259.73527,259.73527,13.960253,2.801625,8.02945,2.79465,1.76775,50,5.301,-3.86049,-116.6298,1.51577,11.04097,22.28251,-28.33124,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,575e9420-4030-11f1-922b-7deeba98ca6c,79.22113,29.86805,,6.94593,,,,0.89486,3.29689,1.12314,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:52:58.59,2026-04-24T18:52:58.5970000-04:00,2026-04-24T22:52:58.5970000Z,LineDrive,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,258d8448-d506-474f-b6ce-dc9c2648519b,54.83042,-117.54904,11.14125,5.21436,2.68455,-14.16562,1.9364,-4.31597,5.52048,212.945789,0.89479,119.96636,-17.62489,3.82958,-0.74756,0.1206,-0.01305,0.00041,5E-05,3.29704,41.78417,-17.8363,1.39255,-0.33262,0.1084,-0.03254,0.00626,-0.00051,1.1231,22.49145,-0.66537,0.26532,-0.04138,-0.00373,0.00474,-0.00116,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-24,18:53:42.63,3,1,"Garrett, Hunter",10108279,Left,VIR_WIS,"Soto Diaz, Bradley",1000475324,Right,CAR_EAG,Undefined,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,68.7268,3.109623,1.197323,2731.607738,252.152081,2:30,4.72593,-2.24655,5.48939,-52.56117,8.21402,19.21832,3.25866,0.47534,62.49924,-6.57585,4.612542,0.561093,84.0667,50.813776,-6.306833,3301.985299,109.80531,115.72546,-6.54034,272.24337,270.85757,-2.251367,6.003522,-9.36292,3.73752,2.12788,50,4.96332,-2.73536,-99.55526,3.92379,-9.29672,17.57167,-28.46294,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,71ad0b90-4030-11f1-922b-7deeba98ca6c,67.17685,130.57482,,6.22755,,,,1.53481,3.53377,-0.40303,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:53:42.63,2026-04-24T18:53:42.6300000-04:00,2026-04-24T22:53:42.6300000Z,FlyBall,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,d775adf5-47ef-44ec-b011-f3278ff4db76,55.01406,-100.43635,8.78583,4.73079,5.35099,-14.23147,2.25336,-2.2692,-4.64836,,1.535,77.41229,-14.8752,3.39783,-0.51229,0.02608,0.00663,-0.00122,6E-05,3.52749,95.67693,-21.81198,2.35919,-0.60988,0.1299,-0.01577,0.00079,-0,-0.40226,-8.56285,4.68789,-1.42354,0.28305,-0.0287,-0.00173,0.00066,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,2026-04-24,18:54:21.30,4,1,"Garrett, Hunter",10108279,Left,VIR_WIS,"Rodriguez, Sebastian",10180804,Right,CAR_EAG,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.7331,3.564695,1.41792,2860.19075,272.562221,3:00,4.6404,-2.23362,5.38817,-59.54897,0.90732,20.42147,3.02471,0.79754,63.17676,-7.297067,5.039768,0.559619,,,,,,,,,,,,-9.8356,0.03106,2.09197,50,4.91768,-3.1774,-99.62795,4.44185,-9.88177,16.0634,-32.14286,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,88ba88d0-4030-11f1-922b-7deeba98ca6c,67.3538,,,5.55634,,,,,,,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:54:21.30,2026-04-24T18:54:21.3040000-04:00,2026-04-24T22:54:21.3040000Z,,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,52a6bdc6-de1b-4efd-8e73-1b1ac8316795,55.11739,-100.44966,8.0317,4.64841,6.08609,-16.07143,2.24158,-2.6719,-4.94088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,18:54:41.65,4,2,"Garrett, Hunter",10108279,Left,VIR_WIS,"Rodriguez, Sebastian",10180804,Right,CAR_EAG,Undefined,1,Top,1,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,67.84084,2.720136,0.299081,2724.192308,263.805449,2:45,4.54029,-2.25913,5.23922,-58.33314,4.15378,20.04804,2.23796,-0.30734,62.21486,-7.916978,3.851127,0.568939,21.18612,34.764767,-62.215009,1887.152621,,,,33.1957,33.1286,-54.626468,1.2361,-10.05634,1.76,2.21551,50,4.74697,-1.19202,-98.38733,2.9664,-9.8145,16.24252,-30.45636,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,94d8a570-4030-11f1-922b-7deeba98ca6c,66.25037,7.43084,,5.62598,,,,4.15855,2.55368,0.48791,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:54:41.65,2026-04-24T18:54:41.6570000-04:00,2026-04-24T22:54:41.6570000Z,GroundBall,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,71d5b64f-057d-4046-980e-d85fd585cf89,55.26684,-99.25301,8.12126,4.54561,4.58964,-15.22818,2.26511,-0.66894,-4.90725,305.856736,4.15876,11.86555,0.98731,-4.00242,11.89642,-17.98822,14.01652,-5.40789,0.81149,2.55369,17.71316,-16.07667,-0.90466,4.52441,-9.3185,9.92587,-5.30352,1.12438,0.48781,-22.56335,-0.19504,2.7849,-9.28559,15.98867,-14.589,6.75854,-1.25661,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-24,18:55:08.93,4,3,"Garrett, Hunter",10108279,Left,VIR_WIS,"Rodriguez, Sebastian",10180804,Right,CAR_EAG,Undefined,1,Top,1,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.27591,2.538687,3.846089,2752.900758,271.742416,3:00,4.60422,-2.29878,5.506,-57.62511,1.22874,12.45131,2.18347,2.34149,64.39597,-7.931256,6.052205,0.552152,,,,,,,,,,,,-5.32693,0.4722,1.95362,50,4.78752,-7.17186,-100.41042,2.77356,-5.48748,14.88563,-31.68762,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,a5226a60-4030-11f1-922b-7deeba98ca6c,68.26456,,,4.87994,,,,,,,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:55:08.93,2026-04-24T18:55:08.9330000-04:00,2026-04-24T22:55:08.9330000Z,,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,af09dea8-a68f-4e34-8575-140ed682cf34,54.99992,-101.14893,7.44281,4.61092,4.34565,-15.84381,2.30268,-6.89962,-2.74374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-24,18:55:28.69,4,4,"Garrett, Hunter",10108279,Left,VIR_WIS,"Rodriguez, Sebastian",10180804,Right,CAR_EAG,Undefined,1,Top,1,1,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.0359,0.689805,2.984332,2170.771917,117.148072,10:00,5.10915,-1.94454,6.07334,-33.62592,8.50272,-14.09572,2.94624,-0.35499,74.41041,-5.569097,0.449465,0.467154,65.17084,13.98739,-159.528326,4243.744922,,,,105.55439,41.58793,-166.223077,1.327711,8.09874,4.57331,1.72078,50,5.14459,-5.61678,-117.69193,0.40622,11.4031,21.52988,-25.73482,VIR_WIS,CAR_EAG,BurchellStallard,D2,NCAASA,20260424-BurchellStallard-2,b0d89d70-4030-11f1-922b-7deeba98ca6c,80.68523,9.39522,,6.62549,,,,1.6999,2.77447,0.55104,c959f003-6063-42fd-bc24-59c77486253f,2026-04-24,22:55:28.69,2026-04-24T18:55:28.6950000-04:00,2026-04-24T22:55:28.6950000Z,GroundBall,v3,643-146115,643-144590,,"Hardy, Andrew",10115872,Right,VIR_WIS,78349795-e244-4592-a938-c727679abbd2,54.43165,-118.49986,10.76494,5.11123,1.37194,-12.86741,1.93959,-6.0447,5.70155,71.134172,1.70164,-86.91642,6.34136,,,,,,,2.92881,21.50075,-17.93399,,,,,,,0.36664,-30.49175,8.58766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
