PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,18:07:24.31,1,1,"Towers, Ryan",813723,Left,ECU_PIR,"Relaford, Jevin",801910,Right,USF_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.25261,-1.875254,2.774905,2458.227417,144.971567,10:45,6.29133,-1.28832,4.83169,-13.92926,23.34013,-15.35572,3.35196,0.06194,79.91028,-4.562046,0.076594,0.439387,,,,,,,,,,,,8.39874,12.44886,1.02702,50,6.0946,-5.49218,-128.95363,-4.63365,13.89018,31.27575,-11.58566,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,fb841450-4029-11f1-9595-3f4ad3dfcd94,85.78407,,,9.34233,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:07:24.31,2026-04-24T18:07:24.3119616-04:00,2026-04-24T22:07:24.3119616Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,c37ca65d-1b35-437f-96d0-d8dfc5355bdd,55.66348,-130.31998,15.63788,6.28597,-4.1275,-5.79283,1.28021,-6.099,6.94509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,18:07:40.00,1,2,"Towers, Ryan",813723,Left,ECU_PIR,"Relaford, Jevin",801910,Right,USF_BUL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.71081,-3.471875,1.785,1722.776418,110.85687,9:45,6.05766,-1.32035,5.13635,-33.3021,8.33855,-17.9891,0.00747,-1.13799,76.2406,-9.53323,-1.405673,0.46444,,,,,,,,,,,,9.54312,5.66815,1.16759,50,5.70623,-2.99711,-121.08973,-8.54645,13.99706,26.32625,-23.86047,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,04da8570-402a-11f1-9595-3f4ad3dfcd94,81.15667,,,7.4702,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:07:40.00,2026-04-24T18:07:40.0009728-04:00,2026-04-24T22:07:40.0009728Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,9683fb34-68d8-470f-9a56-8fa08bb9da8f,55.36293,-122.25013,13.16312,6.05976,-7.49473,-11.93024,1.31329,-3.61407,6.99853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,18:07:59.74,1,3,"Towers, Ryan",813723,Left,ECU_PIR,"Relaford, Jevin",801910,Right,USF_BUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.10428,-2.178865,3.165187,2357.484698,144.655725,10:45,6.33932,-1.36809,4.61865,-13.91879,23.25686,-15.59469,3.10376,0.34463,80.93112,-4.820689,0.437005,0.438834,79.40584,81.763856,-1.086876,,,,,,8.4636,,,8.56497,12.37434,1.05789,50,6.10353,-6.37342,-128.89581,-5.36673,14.36221,27.60941,-11.42406,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,10a18160-402a-11f1-9595-3f4ad3dfcd94,85.89216,79.09311,,8.17316,,,,1.99823,3.15263,-0.34005,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:07:59.74,2026-04-24T18:07:59.7446144-04:00,2026-04-24T22:07:59.7446144Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,dd9535b9-024b-40b4-a8a6-a4991d1571ec,55.8811,-130.14945,13.80471,6.33543,-4.84801,-5.71203,1.36209,-7.02555,7.18111,,1.99823,16.68052,-14.46635,5.49719,-1.53887,0.39629,-0.09815,0.021,-0.00277,3.15263,115.26054,-30.60653,3.80587,-0.57437,0.05385,0.00214,-0.00291,0.00059,-0.34005,-0.31646,-0.74554,0.32174,-0.09579,0.02561,-0.00652,0.00142,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
4,2026-04-24,18:08:37.19,2,1,"Towers, Ryan",813723,Left,ECU_PIR,"Trippel, Lance",804841,Right,USF_BUL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.42896,-0.556091,2.729395,1668.789874,116.873758,10:00,6.13803,-1.41084,4.9332,-31.48856,10.60772,-18.00029,2.98774,-0.32899,75.55871,-6.336686,-0.442912,0.466975,,,,,,,,,,,,9.63839,5.85477,1.16054,50,6.05838,-4.93779,-120.75714,-2.32071,14.09498,25.63067,-23.61218,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,26f87fe0-402a-11f1-9595-3f4ad3dfcd94,80.71622,,,7.87025,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:08:37.19,2026-04-24T18:08:37.1983872-04:00,2026-04-24T22:08:37.1983872Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,034fe181-ceeb-4b19-bfe6-ff2d6268e560,55.56373,-121.93233,12.81534,6.13996,-1.23807,-11.80609,1.40176,-5.58406,7.04749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-24,18:08:52.77,2,2,"Towers, Ryan",813723,Left,ECU_PIR,"Trippel, Lance",804841,Right,USF_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.62674,-3.567849,3.534404,2401.589837,154.71838,11:15,6.31169,-1.22091,4.82551,-12.33599,24.25588,-10.85678,1.89371,1.22609,81.44422,-5.93119,1.629739,0.435375,,,,,,,,,,,,6.33099,13.30016,0.87978,50,5.9472,-7.46767,-129.44701,-8.44602,10.70927,27.79555,-9.67594,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,30309390-402a-11f1-9595-3f4ad3dfcd94,86.5746,,,8.18252,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:08:52.77,2026-04-24T18:08:52.7773184-04:00,2026-04-24T22:08:52.7773184Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,1aa2d759-8e4e-4442-92b4-455aaca9f4b4,55.67224,-130.6593,13.89778,6.30637,-8.02401,-4.83797,1.21567,-7.93475,5.35464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-24,18:09:07.88,2,3,"Towers, Ryan",813723,Left,ECU_PIR,"Trippel, Lance",804841,Right,USF_BUL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.50027,-2.068439,2.309411,2387.640467,151.138616,11:00,6.25613,-1.29318,4.71074,-13.21312,23.69871,-12.33146,3.1894,-0.12771,80.80236,-4.602582,0.146563,0.437274,76.91586,78.930833,80.156433,4757.376592,,,,,6.50289,,,6.77122,12.63918,1.07122,50,6.03626,-4.62305,-129.47094,-5.08806,11.37704,29.58796,-10.93767,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,39390bc0-402a-11f1-9595-3f4ad3dfcd94,86.19858,35.0086,,8.6979,,,,0.82598,3.42081,0.14709,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:09:07.88,2026-04-24T18:09:07.8805504-04:00,2026-04-24T22:09:07.8805504Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,47818c15-5d98-41ac-9aa0-9e6d12f6f995,55.78755,-130.78688,14.79398,6.25174,-4.6016,-5.46883,1.28809,-5.12906,5.68852,190.745905,0.83306,3.39889,-10.16429,,,,,,,3.42792,110.40815,-30.39558,,,,,,,0.14871,21.27089,-3.75223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-04-24,18:09:30.87,2,4,"Towers, Ryan",813723,Left,ECU_PIR,"Trippel, Lance",804841,Right,USF_BUL,Undefined,1,Top,1,1,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.05053,-0.989799,2.270593,2127.269992,34.774422,7:15,6.15888,-1.27843,4.11971,-43.02046,-0.61602,-1.37449,1.62336,0.78665,77.1168,-8.632844,2.031608,0.468681,,,,,,,,,,,,1.31252,0.30972,1.02674,50,6.00209,-4.76041,-121.69518,-3.92525,1.96404,24.36778,-31.71061,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,46e394c0-402a-11f1-9595-3f4ad3dfcd94,80.42242,,,6.93373,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:09:30.87,2026-04-24T18:09:30.8723200-04:00,2026-04-24T22:09:30.8723200Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,a27aab08-ea01-4149-be02-2a6f6cdb68e9,56.38144,-122.96634,12.18389,6.1637,-2.27105,-15.85531,1.27774,-4.86287,0.98202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,18:09:50.29,2,5,"Towers, Ryan",813723,Left,ECU_PIR,"Trippel, Lance",804841,Right,USF_BUL,Undefined,1,Top,1,1,2,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,84.93224,-0.778974,0.811922,2133.28953,25.749353,6:45,6.25504,-1.13166,4.06933,-42.1664,0.70925,-0.52469,1.993,-0.39564,75.50912,-8.355721,0.720683,0.471278,81.38918,26.581895,9.409735,4460.870645,106.65388,44.37779,26.92353,281.84417,227.63869,21.96556,3.918293,0.55583,1.13654,1.04104,50,6.12233,-1.70998,-122.51068,-3.47062,0.81677,31.67042,-30.50397,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,528ccf80-402a-11f1-9595-3f4ad3dfcd94,79.97925,50.19523,,9.42312,,,,0.75865,2.02441,0.41222,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:09:50.29,2026-04-24T18:09:50.2985216-04:00,2026-04-24T22:09:50.2985216Z,LineDrive,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,04a7ca77-99e3-4d87-a58c-6cac1a81b1fd,56.42478,-124.16045,15.83521,6.26173,-1.88161,-15.25199,1.13122,-1.75253,0.40838,220.733221,0.75845,105.3195,-18.34015,3.87583,-0.77731,0.15678,-0.03026,0.00403,-0.00023,2.02442,53.42053,-16.19705,1.09103,-0.28665,0.07612,-0.01333,0.00167,-0.00011,0.41201,17.46281,4.83876,-1.08719,0.13368,0.01138,-0.00734,0.0011,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-24,18:10:22.60,3,1,"Towers, Ryan",813723,Left,ECU_PIR,"Kulikowski, Jake",803553,Left,USF_BUL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.06377,-4.145677,2.40197,2442.079121,147.859228,11:00,6.278,-1.19712,4.86999,-13.66871,23.62123,-13.96469,1.20543,-0.08644,80.36418,-6.758283,-0.054874,0.439508,,,,,,,,,,,,7.61493,13.32213,0.97316,50,5.85865,-4.72116,-128.56549,-9.73386,12.58812,29.72445,-10.1514,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,65c724b0-402a-11f1-9595-3f4ad3dfcd94,85.76045,,,8.69959,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:10:22.60,2026-04-24T18:10:22.6090496-04:00,2026-04-24T22:10:22.6090496Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,365f5ad9-2af4-4f6d-89d7-1a55b18a5052,55.62718,-129.85998,14.86222,6.27293,-9.29177,-5.0757,1.1907,-5.26937,6.29406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-24,18:10:35.08,3,2,"Towers, Ryan",813723,Left,ECU_PIR,"Kulikowski, Jake",803553,Left,USF_BUL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.54867,-0.268322,2.231549,2362.328408,147.137625,11:00,6.17034,-1.40162,4.69163,-15.89678,21.93155,-13.27831,4.59066,-0.38834,79.57406,-3.292498,-0.096734,0.44267,,,,,,,,,,,,7.12697,11.15292,1.18746,50,6.13005,-4.32936,-128.07695,-1.10879,11.68583,29.6303,-13.88704,ECU_PIR,USF_BUL,ClarkLeClair,D1,AMER,20260424-ClarkLeClair-1,6d29b510-402a-11f1-9595-3f4ad3dfcd94,85.14794,,,8.97461,,,,,,,6aec0805-22dd-4471-8946-560f8eec2027,2026-04-24,22:10:35.08,2026-04-24T18:10:35.0833664-04:00,2026-04-24T22:10:35.0833664Z,,v3,471285,471443,25d0b53acb6d48e3abfb01737b96bf28,"Barron, Walker",806026,Right,ECU_PIR,99ab4ee2-eadf-4750-8373-5f0f6654e700,55.80321,-129.41254,14.81515,6.16592,-0.48283,-6.94352,1.39448,-4.8561,5.84292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
