PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,19:06:55.80,1,1,"Edwards, Mason",821973,Left,SOU_TRO,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2093,-4.386357,2.702684,2304.358851,164.517561,11:30,6.35112,-1.16822,5.94702,-9.62205,23.87072,-6.26229,1.46844,0.81852,83.03124,-6.310717,1.579792,0.416531,,,,,,,,,,,,4.08055,14.01434,0.95653,50,5.9958,-6.01489,-133.25163,-10.41326,7.22243,32.79989,-7.36923,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,6f97cbe0-404b-11f1-92a6-97eb40c998ff,90.4914,,,9.17806,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:06:55.80,2026-04-24T19:06:55.8071808-07:00,2026-04-25T02:06:55.8071808Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,e55448db-30c3-4600-aa4a-be6b305f57e1,54.54802,-134.36647,16.39995,6.34548,-10.16279,-3.68462,1.16514,-6.26037,3.61121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,19:07:12.80,1,2,"Edwards, Mason",821973,Left,SOU_TRO,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.2389,-0.514905,1.327875,2445.011125,321.147087,4:45,6.09375,-1.45213,5.44219,-59.02267,-13.7293,12.44709,0.69295,0.82865,72.54164,-11.213248,3.552437,0.484383,,,,,,,,,,,,-5.84177,-6.3702,1.32573,50,6.00721,-3.1894,-116.26817,-3.12598,-7.75669,27.89188,-40.63234,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,79b584a0-404b-11f1-92a6-97eb40c998ff,77.81541,,,7.69725,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:07:12.80,2026-04-24T19:07:12.8098304-07:00,2026-04-25T02:07:12.8098304Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,e2defa43-b1ec-431d-8892-1051e4005a21,55.05726,-117.47511,13.94594,6.10444,-1.36774,-20.31617,1.45648,-2.85375,-3.87834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,19:07:32.15,1,3,"Edwards, Mason",821973,Left,SOU_TRO,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.27036,1.053213,0.96272,2569.363072,319.062456,4:45,6.08777,-1.54512,5.32582,-57.71495,-13.48725,13.14308,2.26672,0.45358,73.23818,-9.430587,3.30239,0.478651,,,,,,,,,,,,-6.22067,-6.60843,1.44834,50,6.14162,-2.53263,-117.746,0.03201,-8.50256,27.85641,-41.20659,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,8542d2f0-404b-11f1-92a6-97eb40c998ff,78.74729,,,8.03218,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:07:32.15,2026-04-24T19:07:32.1560576-07:00,2026-04-25T02:07:32.1560576Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,2cd12267-d671-431c-8568-8a933c190c42,55.17239,-118.96339,13.92821,6.10087,1.83284,-20.60329,1.55091,-2.16105,-4.25128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,19:07:49.80,1,4,"Edwards, Mason",821973,Left,SOU_TRO,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.72817,-0.191786,2.554737,2635.077839,293.777644,3:45,6.0806,-1.58341,5.33244,-47.46325,-5.27902,15.17847,1.94522,2.07997,75.56973,-8.794238,5.249298,0.467462,,,,,,,,,,,,-6.85382,-2.22303,1.34117,50,6.02898,-5.9789,-119.9224,-2.12796,-9.85346,25.95678,-35.37003,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,8fbf2670-404b-11f1-92a6-97eb40c998ff,80.63207,,,7.15844,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:07:49.80,2026-04-24T19:07:49.8050560-07:00,2026-04-25T02:07:49.8050560Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,06029e6b-fab7-4c6a-83df-2e135e7777fd,55.16679,-121.03557,12.97839,6.08772,-0.6111,-17.68502,1.58852,-5.55633,-4.92673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-24,19:08:08.43,1,5,"Edwards, Mason",821973,Left,SOU_TRO,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,1,2,Curveball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.82841,-0.207692,2.572979,2497.154418,309.67059,4:15,6.04721,-1.56345,5.36004,-49.43975,-8.33508,11.73335,1.73228,1.82874,76.46096,-9.162885,4.658697,0.461442,56.91615,-17.012864,-26.270785,,,,,7.87815,7.2469,-34.049574,0.070793,-5.09059,-3.74429,1.32355,50,5.99322,-5.95359,-121.50369,-2.27719,-7.50051,27.00453,-37.6909,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,9add1120-404b-11f1-92a6-97eb40c998ff,81.68404,1.73553,,7.36746,,,,1.44123,1.73553,-1.90051,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:08:08.43,2026-04-24T19:08:08.4361728-07:00,2026-04-25T02:08:08.4361728Z,GroundBall,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,bf045ad4-ef04-4568-81df-6a8866172374,55.13902,-122.64053,13.50226,6.05569,-0.69046,-18.84545,1.56754,-5.63782,-3.75025,180,1.43819,71.84644,,,,,,,,1.73657,-24.51545,,,,,,,,-1.899,-35.46315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2026-04-24,19:08:49.27,2,1,"Edwards, Mason",821973,Left,SOU_TRO,"Malbrough, Quincy",837569,Right,PUR_BOI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.18229,-0.320701,1.265715,2493.572486,316.133775,4:30,6.09872,-1.53688,5.53774,-57.84074,-11.91961,13.01619,0.97885,0.73098,72.15394,-10.817614,3.594733,0.487728,,,,,,,,,,,,-6.22953,-5.60532,1.418,50,6.03198,-3.03639,-114.87241,-2.61445,-8.15078,25.40509,-39.50814,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,b337f5f0-404b-11f1-92a6-97eb40c998ff,77.2817,,,7.02835,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:08:49.27,2026-04-24T19:08:49.2783104-07:00,2026-04-25T02:08:49.2783104Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,4fbb767b-41b6-4eda-9d52-d1f333edb551,54.96287,-115.96479,12.70254,6.10787,-0.91565,-19.75407,1.54102,-2.68592,-4.07539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-24,19:09:08.95,2,2,"Edwards, Mason",821973,Left,SOU_TRO,"Malbrough, Quincy",837569,Right,PUR_BOI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.13229,-3.219775,2.185106,2305.294598,149.088951,11:00,6.34588,-1.1226,6.08497,-11.78072,20.50761,-11.60883,2.38027,-0.0676,84.50951,-5.519692,0.095628,0.408973,89.98498,23.097186,35.829289,4441.858887,82.99004,37.53599,72.1987,281.28106,192.99659,49.799114,3.570136,6.64678,11.87579,0.96002,50,6.09078,-4.64994,-134.97768,-7.88509,12.16781,31.49641,-10.43376,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,bef04be0-404b-11f1-92a6-97eb40c998ff,92.16375,42.81031,,8.62278,,,,0.51844,2.37518,0.2301,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:09:08.95,2026-04-24T19:09:08.9541632-07:00,2026-04-25T02:09:08.9541632Z,LineDrive,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,c2aa4f80-39ca-4820-bcb6-30d4d7050ce1,54.41188,-136.00328,15.7482,6.34201,-7.54534,-5.21688,1.11788,-5.04616,6.08391,,0.51916,98.40349,-22.40227,4.60383,-0.75073,-0.01413,0.04154,-0.01032,0.00099,2.37548,51.76235,-18.75931,1.47495,0.08046,-0.19242,0.08733,-0.01835,0.00145,0.23063,71.04755,-0.4184,-2.04086,0.93862,-0.32662,0.08003,-0.01182,0.00068,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-24,19:09:32.99,2,3,"Edwards, Mason",821973,Left,SOU_TRO,"Malbrough, Quincy",837569,Right,PUR_BOI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.46714,-4.689626,1.040699,2417.184703,160.861218,11:15,6.42551,-1.33173,5.8231,-11.64686,20.95875,-6.86174,1.08469,-0.93594,84.56279,-6.950459,-0.189227,0.410977,,,,,,,,,,,,3.84437,12.53961,1.25085,50,6.03476,-2.15073,-135.17659,-11.39051,7.02603,32.83756,-9.25641,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,cd378a10-404b-11f1-92a6-97eb40c998ff,91.71425,,,8.90435,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:09:32.99,2026-04-24T19:09:32.9979392-07:00,2026-04-25T02:09:32.9979392Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,afb93785-fbbb-44e4-b8a7-93f032d60126,54.6733,-136.30712,16.41878,6.42142,-11.07183,-4.62821,1.32906,-2.39262,3.51302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-24,19:09:51.14,2,4,"Edwards, Mason",821973,Left,SOU_TRO,"Malbrough, Quincy",837569,Right,PUR_BOI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.4758,-3.208228,2.062069,2380.788353,159.170239,11:15,6.44721,-1.02326,6.10221,-13.23631,18.91836,-6.76075,2.37222,0.32114,84.55029,-5.77349,0.844686,0.408125,94.39689,31.030832,3.5535,3860.595005,109.23531,60.31573,12.94763,348.67327,345.36205,14.2944,4.886393,4.13984,11.10831,0.86825,50,6.19333,-4.58456,-135.429,-7.94357,7.5968,32.87273,-11.78979,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,d815aca0-404b-11f1-92a6-97eb40c998ff,92.3551,81.36031,,8.92551,,,,1.21301,2.40849,-0.31935,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:09:51.14,2026-04-24T19:09:51.1432704-07:00,2026-04-25T02:09:51.1432704Z,FlyBall,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,863cf7b6-1858-41a6-b18d-01ca13fc2538,54.39395,-136.49138,16.43637,6.44389,-7.56255,-5.8949,1.02038,-4.83007,3.7984,211.02026,1.21309,118.40808,-23.15219,5.6123,-1.27631,0.28501,-0.0531,0.00626,-0.00032,2.41041,71.32418,-17.69337,0.52,0.33456,-0.20289,0.05343,-0.00677,0.00033,-0.31955,7.35611,5.83701,-1.81189,0.48458,-0.11179,0.01938,-0.00207,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-24,19:10:34.38,3,1,"Edwards, Mason",821973,Left,SOU_TRO,"Flores, Sam",830358,Left,PUR_BOI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.35291,-4.998666,2.727564,2336.057292,143.584643,10:45,6.45087,-0.73178,6.22904,-13.81954,18.46198,-12.74548,0.67062,0.72438,84.45953,-7.663315,0.427603,0.408929,,,,,,,,,,,,7.53296,11.54068,0.53445,50,6.06964,-5.89962,-134.93498,-12.18126,13.69946,33.0904,-11.18615,SOU_TRO,PUR_BOI,DedeauxField,D1,BIG10,20260424-DedeauxField-1,f1e68fa0-404b-11f1-92a6-97eb40c998ff,92.17344,,,8.89338,,,,,,,06ca6227-da59-4e52-95d1-16e5ea5da8fc,2026-04-25,02:10:34.38,2026-04-24T19:10:34.3840768-07:00,2026-04-25T02:10:34.3840768Z,,v3,5047,471415,01cb3d3b6638c3617a2f,"Tejada III, Richard",1000369801,Right,SOU_TRO,59257c5a-73d4-4912-a582-6a34d4e93b34,54.26864,-135.97775,16.5452,6.44795,-11.82875,-5.59308,0.72717,-6.33133,6.84973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
