PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,18:06:54.51,1,1,"Prince, Preston",828554,Left,FLO_PAN,"Cupp, Dylan",805797,Right,DAL_PAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.28532,-2.883477,1.584362,2062.872525,165.719133,11:30,6.70989,-0.17219,5.71831,-12.23091,20.45269,-4.96882,3.00125,0.89003,85.33428,-5.213499,0.695962,0.411468,,,,,,,,,,,,2.91819,11.41414,0.04284,50,6.46101,-3.48919,-134.01462,-7.10418,5.37637,25.42098,-11.14506,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,e23b9b30-4029-11f1-80dd-3ddf07bf7035,91.6047,,,6.95104,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:06:54.51,2026-04-24T18:06:54.5118208-04:00,2026-04-24T22:06:54.5118208Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,2ec2be51-0230-4ca2-bf0f-de86e6e540a4,54.78385,-134.91901,12.71049,6.7067,-6.70768,-5.57253,0.17037,-3.68047,2.68819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,18:07:08.72,1,2,"Prince, Preston",828554,Left,FLO_PAN,"Cupp, Dylan",805797,Right,DAL_PAT,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.56186,-2.279067,1.491542,1461.62417,79.811729,8:45,6.57014,-0.37645,5.48011,-45.66821,-0.93449,-12.70887,0.63007,-0.03956,73.80905,-10.539495,-0.780515,0.481381,,,,,,,,,,,,6.92264,0.44283,0.25473,50,6.33827,-2.52852,-115.51712,-6.13486,9.37178,21.13875,-31.57454,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,eab5b610-4029-11f1-80dd-3ddf07bf7035,78.30065,,,5.75281,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:07:08.72,2026-04-24T18:07:08.7290880-04:00,2026-04-24T22:07:08.7290880Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,5000c85c-bdf5-49e7-9276-e889d87a809a,55.0245,-116.43294,10.56937,6.57442,-4.76693,-15.78727,0.37307,-2.93454,4.68589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,18:07:29.66,1,3,"Prince, Preston",828554,Left,FLO_PAN,"Cupp, Dylan",805797,Right,DAL_PAT,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.06731,-0.301803,0.484125,1574.985818,102.676126,9:30,6.57758,-0.50912,5.55337,-37.86671,4.91469,-16.24627,3.14,-1.41058,74.86098,-7.235433,-2.416921,0.470759,,,,,,,,,,,,8.33863,2.96398,0.47818,50,6.52643,-0.34787,-117.8267,-1.89721,11.78478,21.27496,-27.98516,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,f7374f70-4029-11f1-80dd-3ddf07bf7035,80.06734,,,6.20632,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:07:29.66,2026-04-24T18:07:29.6635904-04:00,2026-04-24T22:07:29.6635904Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,96460581-4b14-4b9c-8581-c9d2f20bb5bc,54.94894,-118.71692,10.63748,6.58132,-0.72621,-13.99258,0.50306,-0.84099,5.89239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,18:07:45.77,1,4,"Prince, Preston",828554,Left,FLO_PAN,"Cupp, Dylan",805797,Right,DAL_PAT,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.68962,-4.412183,0.535072,2056.845989,172.070061,11:45,6.62329,0.01795,5.56618,-7.73524,23.82966,-3.18,1.84846,0.25283,86.82982,-5.942074,-0.031958,0.404365,,,,,,,,,,,,1.74984,13.52717,-0.06197,50,6.23711,-1.1332,-137.16941,-10.7433,3.34929,29.0326,-6.28252,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,00cf3660-402a-11f1-80dd-3ddf07bf7035,93.2139,,,7.8598,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:07:45.77,2026-04-24T18:07:45.7750016-04:00,2026-04-24T22:07:45.7750016Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,52bd0a10-4958-480f-ad77-cfa3d3f59c6e,54.93477,-138.20993,14.5163,6.61811,-10.51814,-3.14126,-0.0192,-1.25324,1.67465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-24,18:08:04.06,1,5,"Prince, Preston",828554,Left,FLO_PAN,"Cupp, Dylan",805797,Right,DAL_PAT,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.5935,-1.424962,1.035166,1496.735367,109.822253,9:45,6.62712,-0.29318,5.50555,-37.05498,8.04445,-18.05843,2.206,-0.82979,72.66534,-8.234628,-2.18811,0.483345,,,,,,,,,,,,9.40138,4.96107,0.21514,50,6.47797,-1.36481,-115.44978,-4.08535,12.57985,23.21536,-25.5357,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,0bb4fa10-402a-11f1-80dd-3ddf07bf7035,77.98252,,,6.92815,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:08:04.06,2026-04-24T18:08:04.0666112-04:00,2026-04-24T22:08:04.0666112Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,9b546d3e-b356-4afb-a854-d90ea8a93da2,54.99454,-116.44978,11.60768,6.63026,-2.9854,-12.76785,0.2856,-1.90668,6.28992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-24,18:08:35.77,2,1,"Prince, Preston",828554,Left,FLO_PAN,"Bennett, Jake",1000193676,Right,DAL_PAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1779,-4.239148,0.613587,2047.142722,147.690094,11:00,6.70786,0.04535,5.49442,-14.99552,17.65509,-10.52445,1.48521,-0.25768,85.71479,-7.046253,-1.262177,0.411261,,,,,,,,,,,,5.50012,10.35745,-0.09161,50,6.32629,-0.96809,-135.02102,-10.50216,10.20411,28.02687,-12.95844,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,1e956f70-402a-11f1-80dd-3ddf07bf7035,91.65099,,,7.46312,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:08:35.77,2026-04-24T18:08:35.7776384-04:00,2026-04-24T22:08:35.7776384Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,d8c6e042-1ecf-4b95-bc0e-d4cfaacb37f3,55.00751,-136.05648,14.01344,6.70545,-10.02341,-6.47922,-0.04888,-1.34509,5.10205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-24,18:08:53.07,2,2,"Prince, Preston",828554,Left,FLO_PAN,"Bennett, Jake",1000193676,Right,DAL_PAT,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.42919,-1.648715,1.043824,1580.438239,113.103097,9:45,6.66361,-0.23809,5.57678,-35.15368,8.65973,-16.97438,2.19352,-0.67756,73.80044,-8.108927,-1.989889,0.476404,,,,,,,,,,,,8.88528,5.28977,0.15955,50,6.49874,-1.45453,-116.73353,-4.50683,12.22504,22.56463,-24.89598,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,28f672c0-402a-11f1-80dd-3ddf07bf7035,79.11872,,,6.62875,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:08:53.07,2026-04-24T18:08:53.0723840-04:00,2026-04-24T22:08:53.0723840Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,333bc96f-74e2-434e-8e0d-12d85959ec5a,54.92418,-117.68153,11.28231,6.66611,-3.46089,-12.44799,0.23145,-1.96813,6.11252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,18:09:06.53,2,3,"Prince, Preston",828554,Left,FLO_PAN,"Bennett, Jake",1000193676,Right,DAL_PAT,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.99047,-1.412109,0.038642,2079.012541,184.355784,12:15,6.70031,-0.08125,5.46012,-10.2602,22.62899,1.64232,4.52321,0.09178,84.67422,-3.418176,0.330981,0.412761,,,,,,,,,,,,-0.79988,11.99709,0.07678,50,6.56864,-0.17156,-134.89153,-3.55768,-1.4733,29.43414,-10.07682,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,30f3e390-402a-11f1-80dd-3ddf07bf7035,91.31794,,,8.31625,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:09:06.53,2026-04-24T18:09:06.5353216-04:00,2026-04-24T22:09:06.5353216Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,d05b455e-b2d6-432d-8894-571851de799a,55.03577,-135.98592,14.71707,6.69395,-3.18301,-5.03841,0.08214,-0.11678,-0.73665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-24,18:09:31.12,2,4,"Prince, Preston",828554,Left,FLO_PAN,"Bennett, Jake",1000193676,Right,DAL_PAT,Undefined,1,Top,1,2,1,Cutter,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.10213,-0.451939,0.083242,1966.666867,224.231879,1:30,6.54024,-0.19199,5.47595,-31.02758,8.25977,6.79918,3.53169,0.4525,77.70904,-6.175375,1.295014,0.451126,,,,,,,,,,,,-3.39603,4.68264,0.17994,50,6.4796,-0.46993,-123.52056,-2.05615,-5.22847,25.40414,-24.96477,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,3f9db420-402a-11f1-80dd-3ddf07bf7035,83.55193,,,7.3931,,,,,,,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:09:31.12,2026-04-24T18:09:31.1289344-04:00,2026-04-24T22:09:31.1289344Z,,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,2af8c24b-a8e8-4eef-b38d-e1c4b55af0c6,55.02363,-124.54948,12.70207,6.5424,-1.04504,-12.48238,0.19469,-0.25817,-2.61424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-24,18:09:48.92,2,5,"Prince, Preston",828554,Left,FLO_PAN,"Bennett, Jake",1000193676,Right,DAL_PAT,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.06141,-1.889812,1.008961,1389.828879,104.97365,9:30,6.5701,-0.16968,5.51471,-37.54848,4.81748,-12.71249,1.67298,-0.28547,75.08831,-8.761644,-1.261721,0.468468,82.25451,-12.022832,-32.304984,,,,,11.94086,8.46017,-23.135938,0.077499,6.78422,3.37795,0.09072,50,6.38002,-1.59078,-119.047,-5.20201,9.66102,24.49538,-27.36372,FLO_PAN,DAL_PAT,FIUBaseballStadium,D1,CUSA,20260424-FIUBaseballStadium-1,4a370580-402a-11f1-80dd-3ddf07bf7035,80.45894,1.95116,,6.9731,,,,3.23703,1.95116,0.20444,5c2cf414-4331-4b66-b242-1a3a32945afc,2026-04-24,22:09:48.92,2026-04-24T18:09:48.9274880-04:00,2026-04-24T22:09:48.9274880Z,GroundBall,v3,4468,471502,83503646f7b34a54b845e3b0b5b2d881,"Hersh, Marc",825321,Right,FLO_PAN,9f0122ed-e6cc-4b40-a91c-f6ac464d621c,54.98725,-120.0688,12.24769,6.57321,-4.06056,-13.68186,0.16549,-1.99378,4.83051,180,3.2347,99.91673,,,,,,,,1.95175,-25.17651,,,,,,,,0.20592,-63.1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
