PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,18:49:49.83,1,1,"Fordham, James",10107117,Right,WCC,"Conner, Nate",824456,Left,ETS_BUC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.15807,-0.959666,-2.424565,2197.228079,209.202789,1:00,5.89293,1.81563,6.42898,-18.42375,14.31505,7.4604,3.47468,0.20751,83.82661,-4.458805,-1.073434,0.411816,,,,,,,,,,,,-4.51012,8.0263,-1.64598,50,5.81592,5.30976,-132.50255,-2.74689,-8.07219,26.52585,-17.80855,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,e6b18430-402f-11f1-ab0b-d33eeee215a0,91.52747,,,7.33145,,,,,,,be428292-7247-4494-9885-009fea923623,2026-04-24,22:49:49.83,2026-04-24T18:49:49.8359808-04:00,2026-04-24T22:49:49.8359808Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,b53a82fa-cfdb-4686-94ab-5b20c95f76dd,54.0709,-133.31502,13.26293,5.8917,-2.20143,-8.90428,-1.8124,5.557,-4.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,18:50:03.94,1,2,"Fordham, James",10107117,Right,WCC,"Conner, Nate",824456,Left,ETS_BUC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.73091,-0.494122,-2.41897,2204.516858,199.577378,12:45,5.86012,1.76984,6.54201,-19.97013,13.83678,4.54874,3.74234,-0.07099,82.11852,-4.297029,-1.59356,0.418479,71.3686,84.514325,14.585122,,,,,,6.94738,,,-3.06748,7.72532,-1.60416,50,5.81715,5.33606,-130.42048,-1.68136,-5.28617,27.29285,-18.86102,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,ef2d73d0-402f-11f1-ab0b-d33eeee215a0,90.07002,87.56325,,7.61239,,,,1.84966,3.77475,0.05892,be428292-7247-4494-9885-009fea923623,2026-04-24,22:50:03.94,2026-04-24T18:50:03.9467008-04:00,2026-04-24T22:50:03.9467008Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,0585952e-7092-4285-a627-a84db9927960,53.95858,-131.24627,13.64642,5.85939,-1.11069,-9.43051,-1.76803,5.496,-2.64309,,1.84965,9.68489,-6.67081,2.22079,-0.62623,-0.06168,0.63802,-0.59853,0.18235,3.77475,104.19432,-27.00134,3.16085,-0.55389,0.02034,0.06307,-0.03705,0.00766,0.05891,2.52065,-5.6971,2.00453,-0.58649,-0.05654,0.60773,-0.57224,0.17461,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2026-04-24,18:50:42.64,2,1,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.41851,-1.061686,-2.141142,2152.399961,205.06563,12:45,5.90952,1.86481,6.62622,-20.03403,13.88564,6.00268,3.26705,0.4035,81.90949,-4.879149,-1.04951,0.419177,,,,,,,,,,,,-3.72551,7.91863,-1.72177,50,5.82903,4.62576,-129.96507,-2.95356,-6.38169,26.85048,-18.60965,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,063b1820-4030-11f1-ab0b-d33eeee215a0,89.92015,,,7.50903,,,,,,,be428292-7247-4494-9885-009fea923623,2026-04-24,22:50:42.64,2026-04-24T18:50:42.6414592-04:00,2026-04-24T22:50:42.6414592Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,39e50984-97d1-4a64-ad64-5e3034542b93,53.87262,-130.76269,13.42524,5.90856,-2.40074,-9.30483,-1.862,4.81534,-3.19085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,18:50:55.87,2,2,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.41538,-0.013279,-2.196658,2150.967542,200.684832,12:45,5.80712,1.73457,6.56379,-19.12997,14.39804,5.01374,4.20077,0.13755,82.02888,-3.683839,-1.286358,0.41675,,,,,,,,,,,,-3.27295,7.88607,-1.58511,50,5.79788,4.83619,-131.31377,-0.54684,-5.67244,29.72998,-18.50651,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,0e1f5ba0-4030-11f1-ab0b-d33eeee215a0,90.4438,,,8.3865,,,,,,,be428292-7247-4494-9885-009fea923623,2026-04-24,22:50:55.87,2026-04-24T18:50:55.8777344-04:00,2026-04-24T22:50:55.8777344Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,7755252a-2e6c-4076-a888-dedd4b77086f,53.93398,-132.20144,14.86499,5.80595,0.00572,-9.25325,-1.73204,5.00555,-2.83622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-24,18:51:10.58,2,3,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.00494,-2.077385,-2.979132,2572.517843,156.101953,11:15,5.70558,1.8,6.59062,-29.87013,7.32229,-2.68559,1.30947,-1.15607,78.40919,-7.677824,-3.466934,0.438933,,,,,,,,,,,,0.4952,4.86736,-1.5951,50,5.55095,6.59162,-124.76349,-5.39624,0.77224,27.58274,-24.5833,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,16d9dae0-4030-11f1-ab0b-d33eeee215a0,85.87282,,,7.59576,,,,,,,be428292-7247-4494-9885-009fea923623,2026-04-24,22:51:10.58,2026-04-24T18:51:10.5863680-04:00,2026-04-24T22:51:10.5863680Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,fc19bbb1-b6cd-4191-b2a0-7bceea4e63c4,53.90873,-125.62466,13.79137,5.70745,-4.62871,-12.29165,-1.80052,6.56751,0.38612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-24,18:51:26.23,2,4,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.1378,-1.207942,-1.839289,2308.92046,202.637509,12:45,5.83665,1.65319,6.4911,-19.768,13.64363,5.27536,3.07964,0.40366,82.90645,-4.956142,-0.882103,0.416026,,,,,,,,,,,,-3.23713,7.7728,-1.52629,50,5.74299,4.00133,-131.06065,-3.32649,-5.66286,26.20767,-18.57677,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,204078a0-4030-11f1-ab0b-d33eeee215a0,90.60124,,,7.23135,,,,,,,be428292-7247-4494-9885-009fea923623,2026-04-24,22:51:26.23,2026-04-24T18:51:26.2313984-04:00,2026-04-24T22:51:26.2313984Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,6a6674c4-ca39-41e8-aa7b-09afa4328701,54.0088,-131.85983,13.10384,5.83579,-2.76,-9.28839,-1.65094,4.17401,-2.83143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-24,18:51:42.25,2,5,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.34508,-1.327745,-1.880015,2448.881493,212.071052,1:00,5.83169,1.75115,6.62647,-16.29607,16.15839,9.50048,3.25701,0.82074,83.72224,-4.458643,-0.151849,0.410023,64.09561,43.78433,129.613479,4646.03103,,,,,32.04807,,,-5.52977,9.18552,-1.62738,50,5.73468,3.99495,-132.82553,-3.50409,-9.90046,27.86946,-15.72837,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,29c59ae0-4030-11f1-ab0b-d33eeee215a0,91.92754,30.88008,,7.62285,,,,0.78915,3.2098,-0.81778,be428292-7247-4494-9885-009fea923623,2026-04-24,22:51:42.25,2026-04-24T18:51:42.2559232-04:00,2026-04-24T22:51:42.2559232Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,e4c8045c-8f76-44aa-8a6b-d7e66d517746,53.87443,-133.63599,13.93473,5.82993,-3.04671,-7.86419,-1.74774,4.28286,-4.95023,,0.78915,-43.27307,-0.94252,1.19436,-0.45342,0.13031,-0.03284,0.00625,-0.00042,3.2098,65.04757,-24.05607,2.34376,-0.34666,0.03075,0.00199,-0.00345,0.00149,-0.81778,52.28311,-12.82627,3.79296,-0.88145,0.18179,-0.03914,0.00819,-0.00149,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-24,18:52:03.78,2,6,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.60657,0.279685,-2.296915,2334.707246,209.104054,1:00,5.86557,1.7237,6.6631,-17.35674,15.91875,8.24197,4.67531,0.30763,82.10444,-3.077451,-0.797734,0.415177,,,,,,,,,,,,-4.98528,8.60847,-1.57214,50,5.87693,4.94729,-131.58961,0.20905,-8.67434,29.91892,-17.19546,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,368d16e0-4030-11f1-ab0b-d33eeee215a0,90.78636,,,8.50213,,,,,,,be428292-7247-4494-9885-009fea923623,2026-04-24,22:52:03.78,2026-04-24T18:52:03.7875712-04:00,2026-04-24T22:52:03.7875712Z,,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,e1835f61-2bf2-48db-8753-34425d26f8c5,53.83404,-132.45847,14.95946,5.86361,0.70841,-8.59773,-1.71947,5.19919,-4.33717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-24,18:52:18.45,2,7,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,3,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.50006,-1.918654,-1.908325,2468.794473,210.188643,1:00,5.68334,1.86758,6.46005,-27.23986,8.9765,4.62079,1.64926,0.49903,80.11859,-7.003641,-1.069715,0.433136,90.83537,-6.651089,-59.094347,,,,,16.89933,11.99535,-53.481273,0.116791,-2.9228,5.49969,-1.73475,50,5.53532,4.02378,-125.79497,-5.02243,-4.72546,23.37363,-23.28238,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,3f518130-4030-11f1-ab0b-d33eeee215a0,87.02224,1.80432,,6.38148,,,,2.10897,1.80432,-0.3049,be428292-7247-4494-9885-009fea923623,2026-04-24,22:52:18.45,2026-04-24T18:52:18.4553984-04:00,2026-04-24T22:52:18.4553984Z,GroundBall,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,8f867abb-19a3-42aa-969c-e0fedbdc5b4e,54.04216,-126.54381,11.68681,5.68427,-4.27652,-11.64119,-1.86609,4.17517,-2.36273,,2.10742,68.0497,,,,,,,,1.80468,-15.44921,,,,,,,,-0.30232,-113.67731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-04-24,18:52:52.28,2,8,"Fordham, James",10107117,Right,WCC,"Ferguson, Henry",1000148955,Right,ETS_BUC,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.73358,-1.065397,-2.498187,2291.063387,202.989723,12:45,5.8206,1.83045,6.60059,-14.6341,19.49025,7.7654,3.624,0.18744,81.14533,-3.930306,-1.087647,0.42044,81.25184,52.629993,30.022352,,87.10984,117.04968,67.17018,220.10119,95.38248,41.511842,5.578959,-4.86422,10.93079,-1.66292,50,5.74146,5.38269,-130.2675,-2.75594,-8.26281,30.28695,-13.60598,WCC,ETS_BUC,HennonStadium,D1,SOCON,20260424-HennonStadium-2,538578a0-4030-11f1-ab0b-d33eeee215a0,89.65007,119.73496,,8.58825,,,,0.78431,3.60188,-0.20203,be428292-7247-4494-9885-009fea923623,2026-04-24,22:52:52.28,2026-04-24T18:52:52.2877440-04:00,2026-04-24T22:52:52.2877440Z,FlyBall,v3,471488,4844,,"Quarless, Noah",1000438943,Right,WCC,e42a374f-1542-482f-b429-ec0d90f6e6e6,53.89824,-131.1707,15.14348,5.81759,-2.35018,-6.80299,-1.82712,5.6291,-4.1314,198.463429,0.78562,62.59055,-18.1466,4.72056,-0.62034,-0.04871,0.0339,-0.0049,0.00024,3.59803,94.76599,-22.9606,2.07971,-0.3525,0.03266,0.006,-0.00189,0.00013,-0.20167,36.18281,-3.54873,0.49814,-0.04247,0.00775,-0.00333,0.00062,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
