PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,16:07:15.28,1,1,"Farrell, Travis",839011,Right,SEA_RED,"Patterson, Daniel",1000254753,Right,PEP_WAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.79406,-1.684976,-1.179074,2223.119171,203.085914,12:45,6.12454,1.71648,6.52379,-13.38068,21.068,8.42804,3.46284,1.33693,80.55607,-4.335635,0.35148,0.422433,,,,,,,,,,,,-4.7567,11.91713,-1.63751,50,6.00096,2.33376,-130.25005,-4.09731,-8.01102,32.36773,-12.10374,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,55e13100-4032-11f1-85c9-a5b1f7315481,89.22706,,,9.23799,,,,,,,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:07:15.28,2026-04-24T16:07:15.2898048-07:00,2026-04-24T23:07:15.2898048Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Cunnigan, Josh",838998,Right,SEA_RED,ebd6e438-1039-4f5b-9079-c532957da0af,53.96951,-131.23278,16.18387,6.11979,-3.72983,-6.05187,-1.71206,2.57699,-4.00551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,16:07:34.58,1,2,"Farrell, Travis",839011,Right,SEA_RED,"Patterson, Daniel",1000254753,Right,PEP_WAV,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.1761,-2.705576,-3.01227,2234.658715,207.57557,1:00,6.02467,1.71524,6.70944,-14.6891,20.34056,9.88772,2.32186,-0.21716,79.53124,-5.614066,-1.213194,0.42598,,,,,,,,,,,,-6.29957,12.1019,-1.51885,50,5.83889,6.41296,-129.12223,-6.41127,-10.34087,33.82122,-12.30855,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,615ca500-4032-11f1-85c9-a5b1f7315481,88.48401,,,9.64486,,,,,,,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:07:34.58,2026-04-24T16:07:34.5821184-07:00,2026-04-24T23:07:34.5821184Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Cunnigan, Josh",838998,Right,SEA_RED,b81871c3-79f1-4210-a9f6-5881a603f21f,53.78556,-130.11001,16.91061,6.02089,-6.05179,-6.15427,-1.71055,6.71497,-5.17044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,16:07:58.15,1,3,"Farrell, Travis",839011,Right,SEA_RED,"Patterson, Daniel",1000254753,Right,PEP_WAV,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.69507,-0.898006,-1.719441,2219.956023,107.880789,9:30,6.01623,1.88097,5.80955,-38.10683,3.28028,-5.7924,2.00515,-0.20114,75.34179,-7.922951,-2.758242,0.463025,88.97662,37.636339,12.395441,4515.279985,105.38435,76.97926,31.52908,318.64518,291.49916,23.275945,5.362045,2.43528,2.35114,-1.73646,50,5.91996,3.82897,-119.97657,-3.1365,3.50935,25.66983,-28.78594,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,6f83d810-4032-11f1-85c9-a5b1f7315481,81.40484,98.22063,,7.35329,,,,1.23744,2.09735,0.21105,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:07:58.15,2026-04-24T16:07:58.1573120-07:00,2026-04-24T23:07:58.1573120Z,FlyBall,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Cunnigan, Josh",838998,Right,SEA_RED,f4d08336-0aa7-443b-9d5d-c04472b5ee7f,54.68831,-120.9755,12.83492,6.02022,-2.0163,-14.39297,-1.88281,3.69241,1.75468,205.035299,1.24211,100.83896,-21.68921,4.69013,-0.50482,-0.05488,0.027,-0.00338,0.00015,2.09573,79.71229,-18.50524,1.09152,-0.14572,-0.0058,0.01188,-0.00235,0.00014,0.21059,22.19459,2.13386,-0.8579,0.13445,0.00567,-0.00589,0.00087,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-24,16:08:37.86,2,1,"Farrell, Travis",839011,Right,SEA_RED,"Nunez, Julian",824679,Right,PEP_WAV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.83934,-1.491079,-2.490514,2117.208728,201.539118,12:45,6.05913,1.56907,6.73761,-14.55729,19.00816,7.078,3.48201,-0.11815,82.00907,-4.325413,-1.201398,0.416982,,,,,,,,,,,,-4.45855,10.81048,-1.40762,50,5.95488,5.41355,-130.54348,-3.73097,-7.67876,27.98416,-13.55566,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,87135690-4032-11f1-85c9-a5b1f7315481,90.39338,,,7.83027,,,,,,,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:08:37.86,2026-04-24T16:08:37.8641408-07:00,2026-04-24T23:08:37.8641408Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Cunnigan, Josh",838998,Right,SEA_RED,b6822db1-ada3-44e0-bc01-aa55b63eb704,53.76075,-131.34718,13.99208,6.05644,-3.34165,-6.77783,-1.56627,5.63409,-3.83938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-24,16:09:12.13,2,2,"Farrell, Travis",839011,Right,SEA_RED,"Nunez, Julian",824679,Right,PEP_WAV,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.78068,-1.5915,-2.304842,2192.267158,205.344006,12:45,6.03849,1.51944,6.50554,-14.52442,19.03926,8.44796,3.36594,0.10699,81.89053,-4.431497,-0.772516,0.416971,84.63173,67.950369,-25.892156,,,,,,37.61097,,,-5.16205,10.8319,-1.36181,50,5.92067,4.96395,-131.72028,-4.00302,-8.93906,31.72375,-13.41656,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,9b7e1570-4032-11f1-85c9-a5b1f7315481,90.39577,98.0451,,8.89014,,,,1.35611,3.38644,-0.11845,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:09:12.13,2026-04-24T16:09:12.1334272-07:00,2026-04-24T23:09:12.1334272Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Cunnigan, Josh",838998,Right,SEA_RED,387d1bbd-199b-4c68-9462-d4d3644a4593,53.99096,-132.67799,15.86188,6.0354,-3.59799,-6.70828,-1.51574,5.23381,-4.46953,169.24213,1.3561,41.92284,-17.48868,5.77104,-1.9499,0.55405,0.70609,-0.90402,0.29265,3.38644,115.04686,-27.9526,3.0607,-0.2575,-0.15469,-0.06294,0.17349,-0.06536,-0.11845,-20.34822,1.62397,-0.09258,-0.09768,0.06617,0.03325,-0.06458,0.02282,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2026-04-24,16:09:49.92,3,1,"Farrell, Travis",839011,Right,SEA_RED,"Dell'Amico, James",10140401,Right,PEP_WAV,Undefined,1,Top,2,0,0,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,85.2119,-1.12508,-1.629845,2195.406623,128.048954,10:15,5.99776,1.71263,5.9065,-32.53706,6.5787,-6.58394,2.24146,-0.34929,76.97564,-7.17652,-2.812191,0.45014,91.84035,44.167141,3.377617,3784.444439,109.13345,98.92778,13.77956,329.79424,311.56971,15.499434,5.990641,2.83807,4.15071,-1.57796,50,5.88902,3.78143,-123.53892,-3.48955,4.304,28.9031,-25.87939,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,b20b1810-4032-11f1-85c9-a5b1f7315481,83.73497,128.70352,,8.23626,,,,2.01397,2.40671,0.32879,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:09:49.92,2026-04-24T16:09:49.9209216-07:00,2026-04-24T23:09:49.9209216Z,FlyBall,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Cunnigan, Josh",838998,Right,SEA_RED,49621db0-3d45-4956-8168-66e2c2dd2ff8,54.5898,-124.60812,14.45155,6.00039,-2.53221,-12.9397,-1.7149,3.62221,2.152,196.069112,2.02304,96.28521,-20.54996,4.49475,-0.50394,-0.01691,0.01351,-0.00157,6E-05,2.40139,93.93798,-20.627,1.79692,-0.32251,0.02435,0.00522,-0.00124,7E-05,0.32654,5.73038,3.23973,-0.57543,0.05014,0.0064,-0.00189,0.00013,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-24,16:13:01.32,1,1,"Euper, Casey",1000364959,Left,PEP_WAV,"Knowles, Payton",824283,Left,SEA_RED,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.35134,-1.479461,3.835237,1947.716565,160.664937,11:15,5.7664,-3.07413,7.3768,-14.81769,17.40418,-5.69311,3.19301,-0.08186,82.19045,-4.414939,2.788042,0.408551,81.15225,68.008463,-53.549972,4848.774217,,,,,38.35994,,,4.3617,10.26308,2.86535,50,5.68074,-8.68592,-132.53963,-3.70743,7.61369,33.26328,-14.25899,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,241ebce0-4033-11f1-85c9-a5b1f7315481,92.25873,94.09919,,9.16089,,,,1.50574,3.42008,0.12058,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:13:01.32,2026-04-24T16:13:01.3279744-07:00,2026-04-24T23:13:01.3279744Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Aude, Max",800619,Right,PEP_WAV,f9b7f809-1d35-44c4-bc27-2ef07693f524,53.11976,-133.32029,16.63164,5.76383,-3.37278,-7.12949,3.0713,-8.86461,3.80684,162.711685,1.50574,26.48031,-17.19616,6.27393,-1.75541,0.45111,-0.10914,0.02146,-0.00242,3.42008,110.36289,-29.86509,3.52239,-0.47456,0.02295,0.01,-0.00406,0.00059,0.12058,-35.85144,5.26306,-0.94358,0.11123,-0.00142,-0.00436,0.00151,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2026-04-24,16:13:26.83,1,2,"Euper, Casey",1000364959,Left,PEP_WAV,"Knowles, Payton",824283,Left,SEA_RED,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.39851,-0.880276,3.418417,2090.646462,161.132685,11:15,5.76431,-3.02606,7.17359,-15.89265,17.5582,-5.54933,3.64082,-0.38739,80.53382,-4.032135,2.400875,0.41627,68.70892,25.912593,-160.40991,3141.720481,,,,,34.60298,,,4.21012,10.11276,2.82817,50,5.70761,-7.62525,-131.071,-2.33005,7.11538,35.05432,-15.08287,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,33514570-4033-11f1-85c9-a5b1f7315481,90.54807,17.55424,,9.86469,,,,2.11189,3.52561,0.48815,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:13:26.83,2026-04-24T16:13:26.8324864-07:00,2026-04-24T23:13:26.8324864Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Aude, Max",800619,Right,PEP_WAV,884745bc-5b52-4667-a7a1-0e5c329e6803,53.32087,-131.95616,17.52716,5.76164,-1.94919,-7.54143,3.02299,-7.80492,3.55769,49.915204,2.11389,-85.45984,5.36222,,,,,,,3.5362,43.70148,-24.88505,,,,,,,0.47954,-30.11712,9.98272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-04-24,16:13:42.72,1,3,"Euper, Casey",1000364959,Left,PEP_WAV,"Knowles, Payton",824283,Left,SEA_RED,Undefined,1,Bottom,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.88245,4.775986,1.191841,2435.740142,326.707258,5:00,5.67156,-3.06336,6.32978,-66.13539,-16.23233,11.79741,4.56932,-0.9826,67.68835,-7.463922,3.32318,0.508434,,,,,,,,,,,,-5.65055,-9.24138,2.97167,50,5.99152,-2.67609,-108.47445,7.07814,-6.62357,21.8428,-43.00676,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,3cd6b5d0-4033-11f1-85c9-a5b1f7315481,74.13432,,,7.1941,,,,,,,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:13:42.72,2026-04-24T16:13:42.7217920-07:00,2026-04-24T23:13:42.7217920Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Aude, Max",800619,Right,PEP_WAV,bfd623fb-366b-433f-8b8a-02089ba43135,54.17178,-109.31126,10.9214,5.68879,8.72577,-21.50338,3.06934,-2.42233,-3.31179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-24,16:13:59.30,1,4,"Euper, Casey",1000364959,Left,PEP_WAV,"Knowles, Payton",824283,Left,SEA_RED,Undefined,1,Bottom,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.30684,4.079938,1.351413,2329.759531,330.609622,5:00,5.67434,-3.11238,6.82112,-64.15472,-15.92859,9.89237,4.0574,-1.05495,68.35821,-7.894273,3.156958,0.499819,,,,,,,,,,,,-4.73945,-9.05119,3.02276,50,5.91653,-2.90549,-109.29931,6.02142,-5.64964,21.88615,-42.9635,SEA_RED,PEP_WAV,SeattleUniversity,D1,WCC,20260424-SeattleUniversity-1,46c966f0-4033-11f1-85c9-a5b1f7315481,75.41221,,,6.94863,,,,,,,21c855d2-11fc-4ea7-8b52-ff376df25c9c,2026-04-24,23:13:59.30,2026-04-24T16:13:59.3079296-07:00,2026-04-24T23:13:59.3079296Z,,v3,4504,471410,6febfca31d58472a8f7efeeb875dd3fa,"Aude, Max",800619,Right,PEP_WAV,8d65f9f6-8164-4260-bfbc-ab540bedaf4a,53.68078,-110.03388,10.94308,5.69023,7.46342,-21.48175,3.11709,-2.71586,-2.82482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
