PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,18:05:36.27,1,1,"Gutierrez, Diego",822622,Right,SAN_TOR,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.0079,-2.930679,-1.29458,2439.446546,212.098391,1:00,6.1622,1.30696,5.88915,-10.68457,22.60005,13.45595,2.54737,1.22596,83.49206,-5.032224,1.11956,0.415234,,,,,,,,,,,,-7.21331,12.72942,-1.21003,50,5.91931,2.41108,-133.38358,-7.06167,-12.90665,30.51333,-9.39756,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,de6eab50-4042-11f1-b148-234f92b13079,90.77392,,,8.51585,,,,,,,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:05:36.27,2026-04-24T18:05:36.2705920-07:00,2026-04-25T01:05:36.2705920Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,7c994f33-6c89-4b4f-acce-39ef3d29f256,54.61055,-134.43417,15.25666,6.15688,-6.73811,-4.69878,-1.30069,2.85546,-6.45333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,18:05:50.78,1,2,"Gutierrez, Diego",822622,Right,SAN_TOR,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.03146,-4.376582,-1.167709,2545.337297,197.914595,12:30,6.09495,1.19574,6.09842,-10.12989,22.25438,6.83,1.19402,0.6847,84.53022,-6.371583,0.06246,0.40958,,,,,,,,,,,,-3.86484,13.10965,-1.10933,50,5.75181,2.4508,-134.71488,-10.52533,-7.05347,31.14714,-8.24855,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,e70eebd0-4042-11f1-b148-234f92b13079,92.0271,,,8.50124,,,,,,,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:05:50.78,2026-04-24T18:05:50.7899392-07:00,2026-04-25T01:05:50.7899392Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,ee08a535-efa6-47ba-9076-72971e989785,54.4021,-135.72886,15.57357,6.09009,-10.2568,-4.12428,-1.19285,2.68042,-3.52674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,18:06:08.19,1,3,"Gutierrez, Diego",822622,Right,SAN_TOR,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.20553,-2.070357,-0.969044,2449.750309,200.034785,12:45,6.14216,1.27491,6.07762,-10.43587,22.4169,7.76634,3.35571,1.02537,83.64454,-4.136564,0.429319,0.412532,,,,,,,,,,,,-4.2563,12.45146,-1.20382,50,5.97605,1.92213,-133.79933,-5.04767,-7.66373,30.68662,-9.75434,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,f166c760-4042-11f1-b148-234f92b13079,91.36857,,,8.56099,,,,,,,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:06:08.19,2026-04-24T18:06:08.1913344-07:00,2026-04-25T01:06:08.1913344Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,ae7528c4-5629-4b8f-844f-6c1d6a4e6897,54.42155,-134.80959,15.34331,6.13694,-4.72654,-4.87717,-1.27125,2.17443,-3.83186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,18:06:25.13,1,4,"Gutierrez, Diego",822622,Right,SAN_TOR,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.95168,-3.230502,-1.861329,2545.879171,201.732343,12:45,6.12834,1.21254,6.07945,-10.68697,21.57155,8.17264,2.24395,0.17077,84.74399,-5.324335,-0.3905,0.408784,97.51634,29.804617,6.850924,2726.907845,109.43272,59.94585,11.15576,387.0923,386.54728,4.507515,5.243942,-4.7626,12.38745,-1.07294,50,5.87249,4.03377,-134.80656,-7.86185,-8.74032,30.04684,-9.44062,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,fb80af90-4042-11f1-b148-234f92b13079,92.20631,89.04916,,8.20769,,,,1.40803,2.26066,-0.15865,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:06:25.13,2026-04-24T18:06:25.1365376-07:00,2026-04-25T01:06:25.1365376Z,FlyBall,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,a4f5fa87-5739-42a2-8c6d-fc2179b5b6d8,54.42257,-135.78872,15.02342,6.12443,-7.55326,-4.72031,-1.20947,4.31947,-4.37016,171.525456,1.41049,123.17065,-23.09585,5.19478,-0.82517,0.08674,-0.00689,0.00067,-4E-05,2.26066,71.08458,-15.28111,0.22335,0.11073,-0.07231,0.02281,-0.00328,0.00017,-0.15803,14.79079,-4.85718,1.24843,-0.19714,0.01324,0.00119,-0.00027,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-24,18:07:04.63,2,1,"Gutierrez, Diego",822622,Right,SAN_TOR,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.45126,-3.653897,-1.93542,2445.194616,199.387045,12:45,6.15856,1.10744,6.18862,-10.31851,23.11363,7.71792,1.91833,-0.03716,82.87415,-5.702329,-0.543789,0.416153,,,,,,,,,,,,-4.54772,13.36934,-0.96503,50,5.87685,4.14535,-132.46849,-8.65611,-8.01047,30.59987,-8.625,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,1311b4b0-4043-11f1-b148-234f92b13079,90.57343,,,8.57711,,,,,,,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:07:04.63,2026-04-24T18:07:04.6384128-07:00,2026-04-25T01:07:04.6384128Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,0ccc7541-6fcb-482f-a925-6a5613b7234a,54.3105,-133.46049,15.29994,6.15293,-8.3765,-4.3125,-1.10363,4.40504,-4.00523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-24,18:07:22.67,2,2,"Gutierrez, Diego",822622,Right,SAN_TOR,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.7187,-4.070524,0.081394,2550.495783,192.873557,12:30,6.14115,1.39254,6.04499,-10.07875,22.4756,4.88469,1.52615,1.87495,84.45204,-6.051076,0.960443,0.410654,,,,,,,,,,,,-2.47599,13.0467,-1.4014,50,5.81775,-0.40491,-134.34718,-9.76982,-4.50736,30.18121,-8.42337,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,1dd0b680-4043-11f1-b148-234f92b13079,91.78638,,,8.26666,,,,,,,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:07:22.67,2026-04-24T18:07:22.6797056-07:00,2026-04-25T01:07:22.6797056Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,692fae12-608e-4c6e-91a2-e17d0f5bb236,54.4549,-135.34428,15.09061,6.13592,-9.49154,-4.21169,-1.39048,-0.256,-2.25368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-24,18:07:39.47,2,3,"Gutierrez, Diego",822622,Right,SAN_TOR,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.86154,-2.374686,-4.495123,1865.0818,244.644076,2:15,5.76402,1.61726,5.91498,-35.24801,8.83674,15.59812,0.6146,-1.26354,73.3251,-8.877468,-1.700682,0.477876,,,,,,,,,,,,-9.34839,5.60843,-1.26531,50,5.55265,8.51917,-115.62185,-5.88163,-12.63077,21.9398,-24.59642,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,27da9920-4043-11f1-b148-234f92b13079,78.87487,,,6.53645,,,,,,,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:07:39.47,2026-04-24T18:07:39.4792960-07:00,2026-04-25T01:07:39.4792960Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,c1789fb6-3dc4-44a9-907b-d9c8f44d52da,54.58851,-116.48929,10.9699,5.76597,-4.90916,-12.29821,-1.612,9.01855,-6.31538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,18:08:01.48,2,4,"Gutierrez, Diego",822622,Right,SAN_TOR,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.30555,-3.251396,-2.984853,2443.428628,211.777016,1:00,6.05367,1.229,6.197,-11.90863,20.55237,12.09182,2.05226,-0.52149,84.52605,-5.562926,-0.806095,0.410065,72.4791,29.853885,-156.083392,2429.230903,,,,,39.69776,,,-7.09729,11.86107,-1.01019,50,5.80222,6.47974,-133.85179,-7.90716,-12.90536,28.27343,-10.60642,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,34f453d0-4043-11f1-b148-234f92b13079,91.91829,20.63988,,7.7795,,,,0.93144,2.03762,0.53577,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:08:01.48,2026-04-24T18:08:01.4860288-07:00,2026-04-25T01:08:01.4860288Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,9059aaf6-a035-4713-8ffa-c76480e05fc6,54.30586,-134.75825,14.13671,6.05028,-7.56711,-5.30321,-1.22457,6.89349,-6.45268,34.88973,0.93448,-84.3705,4.15084,,,,,,,2.05148,52.51015,-26.0174,,,,,,,0.52914,-37.18245,7.46807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-04-24,18:08:23.99,2,5,"Gutierrez, Diego",822622,Right,SAN_TOR,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.84586,-2.792308,-1.828806,2446.510009,210.288104,1:00,6.09566,1.2486,6.08127,-11.27985,21.42718,11.81115,2.56878,0.54022,83.60409,-5.021376,0.297315,0.411616,73.05075,25.598896,-152.278518,2234.608878,,,,,39.46371,,,-6.65654,12.27375,-1.11327,50,5.87353,3.77778,-134.52646,-6.81316,-12.01001,33.38953,-10.0293,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,425c5590-4043-11f1-b148-234f92b13079,91.57192,17.83455,,9.24177,,,,-0.11051,2.62638,-0.61227,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:08:23.99,2026-04-24T18:08:23.9996416-07:00,2026-04-25T01:08:23.9996416Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,3f1898e5-a0cd-4210-a79f-feb376ba5c27,54.4182,-135.61863,16.69476,6.09102,-6.4851,-5.01465,-1.24327,4.17062,-6.00501,54.577904,-0.11128,-85.51072,6.64324,,,,,,,2.63788,45.92927,-24.06558,,,,,,,-0.62216,-44.63434,10.87012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-24,18:08:45.25,2,6,"Gutierrez, Diego",822622,Right,SAN_TOR,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.06859,0.884612,-2.526643,1907.691466,257.705797,2:30,5.94217,1.72158,5.78461,-39.89297,4.81788,15.91643,3.44168,0.69562,72.71101,-6.469469,0.323087,0.481258,66.10445,54.969468,-125.729685,4507.402165,,,,,37.23431,,,-8.81981,2.6139,-1.52294,50,5.991,4.47099,-114.83671,0.51469,-11.82378,20.48869,-28.6699,SAN_TOR,STM_GAE,UofSanDiego,D1,WCC,20260424-UofSanDiego-1,4f11d030-4043-11f1-b148-234f92b13079,78.32064,45.32372,,6.35758,,,,0.31721,3.63358,-0.84358,6b028ae0-e507-4d0f-acd2-1ecd93e5e0bb,2026-04-25,01:08:45.25,2026-04-24T18:08:45.2521984-07:00,2026-04-25T01:08:45.2521984Z,,v3,5320,471428,9ef6550b8b11446f8f47a06d8f823588,"Lobliner, Jayden",813488,Right,SAN_TOR,220d075f-2047-4660-95ea-7db9dca6d9f2,54.71909,-115.6756,10.24434,5.9459,1.68856,-14.33495,-1.71591,4.95511,-5.91189,27.821291,0.31721,-32.49882,-4.79573,2.72066,-0.79094,0.21352,-0.04803,0.01225,-0.00185,3.63358,79.38964,-29.4691,3.94045,-0.79177,0.13238,-0.02094,0.0039,0.00012,-0.84358,-45.17748,6.39362,-0.21747,-0.08111,0.05931,-0.01448,0.00443,-0.00091,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
