PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,15:06:53.60,1,1,"Cormier, Carson",822395,Right,ILL_RED,"Rezaei, Sohrab",1000157314,Right,BRA_BRA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.8881,-3.329184,-3.380818,2312.98906,186.40641,12:15,6.33462,2.44472,6.56932,-11.69505,21.1484,2.23996,2.29957,-0.47125,82.92584,-5.643698,-2.974927,0.412473,,,,,,,,,,,,-2.24173,12.46024,-2.21293,50,6.09955,7.7641,-132.99791,-7.96862,-3.95892,32.26013,-10.16925,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,4dfc8f60-40e2-11f1-bfbc-0349b8448239,91.38153,,,8.96225,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:06:53.60,2026-04-25T15:06:53.6045568-05:00,2026-04-25T20:06:53.6045568Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,27f58608-c557-4de8-a698-f9c604ab298b,53.92496,-133.94657,16.13007,6.32949,-7.66957,-5.08462,-2.44295,7.88052,-1.97946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,15:07:09.14,1,2,"Cormier, Carson",822395,Right,ILL_RED,"Rezaei, Sohrab",1000157314,Right,BRA_BRA,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.61319,-1.765959,-2.675662,2293.184655,199.393144,12:45,6.36205,2.30295,6.62345,-14.99635,17.51623,5.79107,3.49297,0.33364,83.46874,-4.669908,-1.62347,0.41039,,,,,,,,,,,,-3.79355,10.02327,-2.12348,50,6.23553,5.98254,-133.00018,-4.4662,-6.7717,29.43833,-14.28195,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,574f5700-40e2-11f1-bfbc-0349b8448239,91.84533,,,8.14444,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:07:09.14,2026-04-25T15:07:09.1431936-05:00,2026-04-25T20:07:09.1431936Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,c3d31986-6fef-4201-af44-d9363bc58db8,53.87283,-133.85465,14.71917,6.35914,-4.05165,-7.14098,-2.29998,6.17909,-3.38585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,15:07:27.26,1,3,"Cormier, Carson",822395,Right,ILL_RED,"Rezaei, Sohrab",1000157314,Right,BRA_BRA,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.32047,-2.304527,-2.367559,2340.559723,199.258754,12:45,6.33322,2.35436,6.77855,-13.46969,18.03721,5.90154,3.10378,0.68335,84.10135,-4.952955,-1.291652,0.403994,,,,,,,,,,,,-3.85382,10.58371,-2.20195,50,6.17731,5.35483,-135.35222,-5.73874,-7.03842,33.81597,-12.84443,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,621c6290-40e2-11f1-bfbc-0349b8448239,93.29961,,,9.21913,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:07:27.26,2026-04-25T15:07:27.2650000-05:00,2026-04-25T20:07:27.2650000Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,b96b11f0-2ae9-4ba8-be8f-6b9648b26d21,53.71591,-136.27743,16.90799,6.32952,-5.38731,-6.42221,-2.35109,5.5474,-3.51921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.90304,2.938719,1.800755,1.137964,-1.52162,2.84433,-0.61865,-1.47698,6.32124,2.27189,68.96442,10.50423,-55.83977,-1.37007,66.85406,-4.3962,6.36765,17.61154,-12.26138,2.0179,-59.70571,7.69872,High,High,High,,,High,Medium,High
4,2026-04-25,15:07:59.52,2,1,"Cormier, Carson",822395,Right,ILL_RED,"Quick, Michael",1000539970,Left,BRA_BRA,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.43066,-2.873858,-2.893649,2397.727514,192.5199,12:30,6.34624,2.48068,6.67848,-9.91784,22.19438,4.67902,2.88533,0.22139,83.71586,-4.864918,-2.043219,0.407856,,,,,,,,,,,,-3.32583,12.85477,-2.2887,50,6.14896,6.58258,-133.99746,-6.88516,-5.99024,31.48728,-9.02096,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,75507630-40e2-11f1-bfbc-0349b8448239,92.41613,,,8.7148,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:07:59.52,2026-04-25T15:07:59.5264000-05:00,2026-04-25T20:07:59.5264000Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,838971d2-90a4-4396-9b13-ec914339b730,53.81692,-134.89139,15.74364,6.3408,-6.62905,-4.51048,-2.478,6.75264,-2.99512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,15:08:15.41,2,2,"Cormier, Carson",822395,Right,ILL_RED,"Quick, Michael",1000539970,Left,BRA_BRA,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,93.16897,-2.526283,-2.960416,2375.768185,195.893146,12:30,6.24234,2.51527,6.7572,-13.79292,17.46544,4.68528,2.78091,0.19934,85.08399,-5.2034,-2.107361,0.402397,102.55207,-6.918152,17.130989,,,,,26.06037,24.39535,14.864692,0.171106,-3.33618,10.28835,-2.32303,50,6.07107,6.81517,-135.25175,-6.30361,-6.16444,30.18224,-13.16359,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,7ecc97c0-40e2-11f1-bfbc-0349b8448239,93.66982,3.0462,,8.08498,,,,1.25277,3.0462,-0.37191,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:08:15.41,2026-04-25T15:08:15.4143744-05:00,2026-04-25T20:08:15.4143744Z,GroundBall,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,c1f9cda0-9e62-4efa-861f-ee9a04b2b39b,53.74162,-136.08415,15.09112,6.23991,-5.94057,-6.58179,-2.51333,6.98518,-3.08222,144.886305,1.25327,142.6509,-16.18982,,,,,,,3.0455,-18.0629,1.56655,,,,,,,-0.37106,43.91616,-15.66547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2026-04-25,15:08:57.01,3,1,"Cormier, Carson",822395,Right,ILL_RED,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.91958,-2.906918,-1.190729,2285.831705,203.778895,12:45,6.32881,2.4574,6.4783,-17.79202,14.56347,5.96512,2.17402,1.86096,84.23743,-6.288183,-0.107736,0.409398,,,,,,,,,,,,-3.43815,8.73997,-2.37602,50,6.11612,2.5325,-133.48039,-7.27848,-6.20537,28.62556,-16.39962,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,9794e460-40e2-11f1-bfbc-0349b8448239,92.06801,,,7.68215,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:08:57.01,2026-04-25T15:08:57.0127360-05:00,2026-04-25T20:08:57.0127360Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,91e32270-a14d-4da9-ab6b-18012e0e1f54,54.01901,-134.33953,14.31278,6.32718,-6.78629,-8.19981,-2.45482,2.71874,-3.10268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,15:09:13.93,3,2,"Cormier, Carson",822395,Right,ILL_RED,"Lowe, Landon",1000289572,Right,BRA_BRA,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,92.70922,-3.078041,-2.84267,2378.259416,199.89854,12:45,6.34428,2.39101,6.63534,-11.31016,20.65092,7.07154,2.57763,0.37571,84.04177,-5.31672,-1.557944,0.406895,105.55752,14.894291,-30.915493,2438.072658,90.12369,21.96719,-63.0681,248.24372,248.24372,-40.481586,2.302981,-4.61091,12.16859,-2.2015,50,6.13092,6.39734,-134.42624,-7.46678,-8.35469,31.79703,-10.12523,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,a1a61a00-40e2-11f1-bfbc-0349b8448239,92.63437,22.86372,,8.66746,,,,1.669,2.86907,-0.6862,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:09:13.93,2026-04-25T15:09:13.9383808-05:00,2026-04-25T20:09:13.9383808Z,LineDrive,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,fe8c4b76-0b1f-4a57-8a9b-9c212b901c58,53.86272,-135.33684,15.89851,6.3406,-7.17681,-5.06261,-2.38813,6.6366,-4.17735,,1.66894,128.36454,-30.5076,6.71768,-1.40655,0.19079,-0.00105,-0.00593,0.00086,2.86907,39.79359,-22.09007,2.67589,-0.52987,0.10525,-0.01752,0.00232,-0.00017,-0.68628,-76.86175,-0.06433,2.7756,-0.98026,0.20101,-0.00972,-0.00491,0.00084,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-25,15:10:11.91,4,1,"Cormier, Carson",822395,Right,ILL_RED,"Skinner, Luke",828040,Right,BRA_BRA,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.07251,-1.004282,-3.479633,1840.609843,218.657002,1:15,6.15362,2.87205,6.92299,-26.16218,11.88229,8.54851,3.05728,0.4124,77.04612,-5.977153,-1.918474,0.443933,,,,,,,,,,,,-5.48363,6.98083,-2.65644,50,6.08145,7.12569,-122.10585,-2.8062,-8.28165,23.97127,-21.63119,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,c44181d0-40e2-11f1-bfbc-0349b8448239,84.90573,,,7.02638,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:10:11.91,2026-04-25T15:10:11.9144448-05:00,2026-04-25T20:10:11.9144448Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,a61dbdaa-fff0-47c7-8634-91156b8d3e02,53.57414,-122.80551,11.98563,6.15414,-2.17485,-10.8156,-2.86795,7.36741,-4.14083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,15:10:30.98,4,2,"Cormier, Carson",822395,Right,ILL_RED,"Skinner, Luke",828040,Right,BRA_BRA,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.49687,-2.960283,-2.513713,2301.438862,193.954563,12:30,6.3152,2.59906,6.8226,-14.98076,17.48942,4.07343,2.36134,0.64395,83.281,-5.866761,-1.770571,0.410123,80.45254,64.302001,-127.232817,4927.715345,,,,,61.17789,,,-2.92299,10.50886,-2.4387,50,6.11864,5.67712,-132.78595,-7.22355,-5.18103,30.35702,-13.54712,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,cf9bd940-40e2-11f1-bfbc-0349b8448239,91.90528,86.30076,,8.21587,,,,1.56115,2.24461,-0.60216,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:10:30.98,2026-04-25T15:10:30.9825024-05:00,2026-04-25T20:10:30.9825024Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,d592d0ce-7aec-40e4-9d68-1b8e458f0e25,53.67568,-133.62363,15.17851,6.31281,-6.84972,-6.77356,-2.59733,5.82009,-2.59052,17.433111,1.56115,-30.95869,-7.77005,4.44622,-1.45154,0.4102,-0.10328,0.02064,-0.00216,2.24461,106.32606,-36.39601,5.77378,-1.16998,0.2101,-0.03628,0.00493,-0.00033,-0.60216,-40.73809,4.53204,-0.25016,-0.11122,0.06369,-0.02044,0.00483,-0.00054,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-25,15:10:54.68,4,3,"Cormier, Carson",822395,Right,ILL_RED,"Skinner, Luke",828040,Right,BRA_BRA,Undefined,1,Top,2,0,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.75394,-1.802301,-2.35911,2314.499525,188.372379,12:15,6.36866,2.51787,6.88938,-12.87087,18.73489,2.59516,3.65214,0.58361,83.91629,-4.341752,-1.885124,0.404627,,,,,,,,,,,,-2.09358,10.79083,-2.36951,50,6.24926,5.44286,-134.64018,-4.49194,-3.80049,32.25894,-12.58553,ILL_RED,BRA_BRA,IllinoisStateUniversity,D1,MVC,20260425-IllinoisStateUniversity-1,ddb550b0-40e2-11f1-bfbc-0349b8448239,93.1536,,,8.83764,,,,,,,065881b3-50fa-470c-9860-b95f1492fa3f,2026-04-25,20:10:54.68,2026-04-25T15:10:54.6840000-05:00,2026-04-25T20:10:54.6840000Z,,v3,471316,471245,9c265f2a04e54740b9687afce1168f90,"Bakes, Ryan",814159,Right,ILL_RED,a2dd462a-ab09-4754-b1b8-2120c27fb94e,53.60514,-135.5012,16.12947,6.36468,-4.15602,-6.29276,-2.51614,5.5443,-1.90025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.03464,3.006598,1.107917,1.898682,-2.43828,3.35141,-0.45791,-4.98788,5.11498,1.85754,76.04613,0.75972,-48.7376,-4.90147,47.36561,-2.51778,5.30782,26.38891,-15.24378,1.70911,-31.79117,2.79867,High,High,High,,,High,High,High
