PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,14:37:29.41,1,1,"Rowan, Hudson",807303,Left,LOU_BUL,"Cermenelli, Bryce",1000127513,Left,MIS_BEA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.64012,-2.596544,0.293802,2112.053864,152.672524,11:00,6.06585,-0.07388,6.29288,-12.95953,20.37072,-10.0039,2.59155,-0.63681,83.32213,-5.097932,-1.515393,0.415519,67.84147,52.193789,-70.458119,4252.437266,17.09997,78.89094,-108.66267,187.54461,63.82912,-84.867856,4.432829,5.29508,11.60757,0.05698,50,5.86828,-0.27546,-131.73016,-6.2933,9.34984,26.70066,-11.67798,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,32883260-40de-11f1-8236-45460627916e,90.71173,79.54335,,7.31799,,,,0.72311,2.52941,0.6553,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:37:29.41,2026-04-25T14:37:29.4154240-05:00,2026-04-25T19:37:29.4154240Z,Popup,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,3984bb02-b3a7-459d-ab1c-67d1a17cccaa,54.20681,-132.58011,13.35033,6.06269,-5.92156,-5.83899,0.07048,-0.57309,4.67492,,0.75969,19.57701,-6.70685,-3.43551,5.04277,-2.51435,0.62254,-0.07509,0.00348,2.53423,78.47743,-22.5814,0.64058,1.23413,-0.83921,0.26141,-0.0399,0.00239,0.64715,-57.27773,4.99357,0.92634,-1.64594,0.8706,-0.23566,0.03224,-0.00177,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2026-04-25,14:37:43.80,1,2,"Rowan, Hudson",807303,Left,LOU_BUL,"Cermenelli, Bryce",1000127513,Left,MIS_BEA,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.12601,-3.60486,2.181587,2028.82888,152.657311,11:00,6.00309,-0.00638,6.33721,-15.60934,17.13584,-8.3854,1.37649,1.30442,84.5467,-6.558384,0.664672,0.411856,,,,,,,,,,,,4.90398,10.09583,-0.14859,50,5.73258,-4.71055,-132.33173,-8.77866,8.81989,24.46775,-14.01655,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,3b15d540-40de-11f1-8236-45460627916e,91.51854,,,6.57931,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:37:43.80,2026-04-25T14:37:43.8087680-05:00,2026-04-25T19:37:43.8087680Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,33f51803-031c-47f0-beb0-78d922df6b1d,54.16339,-133.0993,12.23388,6.00107,-8.33896,-7.00827,0.00352,-4.98724,4.40994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,14:37:57.15,1,3,"Rowan, Hudson",807303,Left,LOU_BUL,"Cermenelli, Bryce",1000127513,Left,MIS_BEA,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.28591,-2.090189,2.454964,2004.084836,151.935614,11:00,6.0315,-0.17682,6.16579,-15.53434,18.28076,-9.19331,2.80363,1.32612,82.87191,-5.057347,0.798196,0.41853,,,,,,,,,,,,5.39276,10.32296,-0.00479,50,5.86475,-5.24067,-131.09268,-5.21303,9.42936,26.4704,-14.12415,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,43143070-40de-11f1-8236-45460627916e,90.05909,,,7.414,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:37:57.15,2026-04-25T14:37:57.1508224-05:00,2026-04-25T19:37:57.1508224Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,4998900d-5505-491f-be22-eb36b51b2ec2,54.33276,-131.96466,13.2352,6.02882,-4.74776,-7.06208,0.17296,-5.55129,4.71468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,14:38:12.95,1,4,"Rowan, Hudson",807303,Left,LOU_BUL,"Cermenelli, Bryce",1000127513,Left,MIS_BEA,Undefined,1,Top,0,2,1,Curveball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.57164,-1.651971,0.277366,2209.914052,270.728659,3:00,6.08888,-0.06899,6.01763,-39.33171,1.13024,2.5404,1.2806,0.39964,76.64591,-8.866356,0.735629,0.45782,86.28734,3.339733,9.084916,3203.385517,,,,63.50373,59.6332,9.126341,0.519427,-1.24847,1.32386,0.04583,50,5.93766,-0.67521,-120.08288,-4.72578,-1.83488,21.82706,-30.22831,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,4c6f5c80-40de-11f1-8236-45460627916e,82.33026,2.08258,,5.92573,,,,2.0816,1.40863,-0.4278,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:38:12.95,2026-04-25T14:38:12.9556992-05:00,2026-04-25T19:38:12.9556992Z,GroundBall,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,f90e1ca9-aedb-478d-96c9-2f6acb9496dd,54.48372,-120.89512,10.91353,6.0926,-3.60091,-15.11415,0.06969,-0.60693,-0.91744,315.891288,2.09514,124.40432,-14.92595,,,,,,,1.42173,7.03407,-18.85763,,,,,,,-0.43031,20.01399,0.40501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-25,14:38:44.62,2,1,"Rowan, Hudson",807303,Left,LOU_BUL,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.45154,0.415105,-0.309393,2129.995077,309.674907,4:15,6.13551,-0.17317,5.73702,-42.25868,-1.58402,3.1998,3.00051,-0.19462,76.81412,-7.30208,0.264135,0.459022,,,,,,,,,,,,-1.70437,-0.56032,0.19694,50,6.1439,0.52272,-119.99544,-0.57695,-2.52302,19.89389,-33.00351,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,5f646b50-40de-11f1-8236-45460627916e,82.11469,,,5.63742,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:38:44.62,2026-04-25T14:38:44.6266368-05:00,2026-04-25T19:38:44.6266368Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,1648e795-da4c-454e-86ba-edd2a526ab28,54.7645,-120.78276,9.94695,6.14089,0.72919,-16.50176,0.17427,0.62257,-1.26151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,14:38:56.65,2,2,"Rowan, Hudson",807303,Left,LOU_BUL,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,1,0,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.30891,-2.149387,0.022994,2279.060895,353.505922,5:45,6.18342,-0.18753,5.90834,-41.18191,-0.25524,0.16311,0.75561,-0.15259,76.51152,-9.666164,0.052375,0.460442,,,,,,,,,,,,-0.07858,0.72925,0.18558,50,5.98691,-0.05408,-119.65338,-5.83661,-0.11462,21.75994,-31.11031,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,6689f2b0-40de-11f1-8236-45460627916e,81.8615,,,5.79739,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:38:56.65,2026-04-25T14:38:56.6552576-05:00,2026-04-25T19:38:56.6552576Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,a484ad1c-06eb-4c02-9bdd-d983173c9f76,54.59333,-120.48582,10.87997,6.18742,-4.64647,-15.55515,0.18757,-0.0497,-0.05731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,14:39:10.69,2,3,"Rowan, Hudson",807303,Left,LOU_BUL,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.89312,-1.602456,2.082578,2084.210676,153.777057,11:15,6.08986,-0.16372,6.16406,-12.1982,20.34706,-9.54312,3.59174,0.96561,84.42016,-3.964587,0.362487,0.410596,,,,,,,,,,,,5.45264,11.22205,0.01043,50,5.9617,-4.45225,-133.52223,-4.03658,9.9123,26.86979,-11.77355,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,6edb9e00-40de-11f1-8236-45460627916e,91.79924,,,7.47296,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:39:10.69,2026-04-25T14:39:10.6901504-05:00,2026-04-25T19:39:10.6901504Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,073bd8ea-57e9-47d0-93e3-f91ee6ec90a4,54.33458,-134.39168,13.4349,6.08616,-3.65561,-5.88678,0.15969,-4.77299,4.95615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,14:39:25.00,2,4,"Rowan, Hudson",807303,Left,LOU_BUL,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,1,2,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.49745,-1.180317,-1.584065,2159.24509,264.101455,2:45,6.1621,-0.00588,5.95709,-39.18478,1.31646,1.87469,1.80157,-1.319,76.73731,-8.36183,-1.246637,0.458042,,,,,,,,,,,,-1.35752,1.31736,0.13064,50,6.04625,3.24676,-119.97195,-3.75121,-1.99988,20.86787,-30.23334,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,7770baf0-40de-11f1-8236-45460627916e,82.2903,,,5.76013,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:39:25.00,2026-04-25T14:39:25.0050560-05:00,2026-04-25T19:39:25.0050560Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,bc3590ae-e4e5-4c1a-af6c-d8289c5706e7,54.54371,-120.75969,10.43393,6.16632,-2.60993,-15.11667,0.00666,3.32225,-0.99994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,14:39:40.07,2,5,"Rowan, Hudson",807303,Left,LOU_BUL,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,1,3,1,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.15602,-3.688121,2.271104,2130.792364,159.24519,11:15,6.10631,-0.0361,6.30341,-13.49438,18.66237,-6.71886,1.57654,1.49746,85.21874,-6.263684,1.056922,0.408138,,,,,,,,,,,,4.04402,10.90414,-0.12756,50,5.82831,-5.02929,-133.74965,-8.98255,7.41128,25.68427,-12.19059,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,8069a2c0-40de-11f1-8236-45460627916e,92.35212,,,6.93727,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:39:40.07,2026-04-25T14:39:40.0770048-05:00,2026-04-25T19:39:40.0770048Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,36907338-d607-441a-8dfb-c105b812925c,54.19596,-134.553,12.84214,6.1033,-8.60125,-6.0953,0.03337,-5.2611,3.70564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,14:40:15.56,3,1,"Rowan, Hudson",807303,Left,LOU_BUL,"Sutherland, Curry",1000161377,Right,MIS_BEA,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.46973,-2.984963,1.888887,2002.309204,151.833577,11:00,5.97903,-0.34013,6.35121,-13.71072,18.24119,-9.25288,2.08493,0.62808,85.12265,-5.614422,0.214448,0.406836,,,,,,,,,,,,5.31729,10.58512,0.20725,50,5.75551,-4.05393,-134.30368,-7.36689,9.7781,27.23074,-12.70875,LOU_BUL,MIS_BEA,JCLoveFieldatPatPattersonPark,D1,CUSA,20260425-JCLoveFieldatPatPattersonPark-2,957e5d40-40de-11f1-8236-45460627916e,92.64766,,,7.34709,,,,,,,b501d8c0-0826-436c-b912-5fc34196318a,2026-04-25,19:40:15.56,2026-04-25T14:40:15.5600384-05:00,2026-04-25T19:40:15.5600384Z,,v3,3374,471451,,"Berch, Elijah",1000222230,Right,LOU_BUL,5c316cd6-5b98-4fae-99a4-c22ede753743,54.14847,-135.14218,13.61537,5.97633,-6.97556,-6.35438,0.33672,-4.35503,4.88905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
