PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,18:05:29.68,1,1,"Nelson, Jack",1000077131,Left,ASU_RED,"Collins, Mark",10266765,Right,LOU_CAJ,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3762,-1.929243,1.870147,2102.550719,140.982029,10:45,5.51925,-1.79241,6.85632,-17.64013,17.07312,-12.88138,2.28877,-1.16028,80.33613,-5.344468,-0.483891,0.424052,,,,,,,,,,,,7.37052,9.98595,1.67694,50,5.38927,-3.71342,-128.39248,-4.73704,12.2063,28.53721,-15.63636,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,414cd7c0-40fb-11f1-941f-4d459d825f0a,88.88638,,,8.04008,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:05:29.68,2026-04-25T18:05:29.6858624-05:00,2026-04-25T23:05:29.6858624Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,5cee7fa1-c436-4c0f-9f9c-43e79777b543,53.64317,-129.1997,14.26861,5.517,-4.29475,-7.81818,1.78686,-4.05869,6.10315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,18:05:42.92,1,2,"Nelson, Jack",1000077131,Left,ASU_RED,"Collins, Mark",10266765,Right,LOU_CAJ,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.43918,-2.259823,3.04751,2132.39679,138.560693,10:30,5.5425,-1.78627,6.90983,-18.74096,16.14395,-13.13981,1.91864,-0.10312,79.89091,-5.890891,0.646511,0.425099,,,,,,,,,,,,7.95225,9.67764,1.59844,50,5.39331,-6.34576,-128.29114,-5.50978,13.05685,30.21491,-16.28424,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,493009d0-40fb-11f1-941f-4d459d825f0a,88.66741,,,8.54827,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:05:42.92,2026-04-25T18:05:42.9216768-05:00,2026-04-25T23:05:42.9216768Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,4fceef32-d12a-401a-8bd9-2d84da48803c,53.58935,-129.13373,15.10746,5.54063,-5.05567,-8.14212,1.78048,-6.70987,6.52843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,18:06:01.87,1,3,"Nelson, Jack",1000077131,Left,ASU_RED,"Collins, Mark",10266765,Right,LOU_CAJ,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.47563,-1.015075,2.620582,2118.339299,129.749707,10:15,5.66198,-1.62754,6.65918,-21.85686,13.33194,-14.49662,2.91058,-0.43575,79.7504,-5.207411,-0.017258,0.426947,,,,,,,,,,,,8.61914,7.73859,1.45715,50,5.58483,-5.34964,-128.44374,-2.86415,14.14347,31.00582,-19.47548,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,5476d940-40fb-11f1-941f-4d459d825f0a,88.28375,,,8.72522,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:06:01.87,2026-04-25T18:06:01.8795008-05:00,2026-04-25T23:06:01.8795008Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,4508be2b-1cba-4b09-ae33-62a038ff75a9,53.84249,-129.36797,15.50291,5.66155,-2.28362,-9.73774,1.6229,-5.77124,7.07174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,18:06:26.83,1,4,"Nelson, Jack",1000077131,Left,ASU_RED,"Collins, Mark",10266765,Right,LOU_CAJ,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.20667,-0.581248,2.956896,2171.685219,146.389455,11:00,5.6135,-1.82782,6.79877,-15.55245,18.84623,-11.70737,3.78624,-0.10231,80.34886,-3.635683,0.823212,0.422126,,,,,,,,,,,,7.08898,10.48851,1.63961,50,5.56934,-6.23223,-129.45044,-1.6456,11.85327,30.70675,-14.63651,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,635fd5b0-40fb-11f1-941f-4d459d825f0a,89.29186,,,8.85781,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:06:26.83,2026-04-25T18:06:26.8350000-05:00,2026-04-25T23:06:26.8350000Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,a75f23a4-504e-4f05-911f-f944a11ab33b,53.69883,-130.32489,15.35337,5.61027,-1.2288,-7.31825,1.82189,-6.56977,5.92663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11715,2.492507,1.517312,0.975195,-0.91608,3.6346,0.07073,-2.69404,4.31181,3.48234,76.49646,4.9453,48.29607,-2.63018,90.32289,-9.45227,4.3631,16.34296,-16.17543,3.48065,47.70715,-1.79551,High,High,High,,,High,High,High
5,2026-04-25,18:06:58.98,2,1,"Nelson, Jack",1000077131,Left,ASU_RED,"Lewis, Noah",10076641,Right,LOU_CAJ,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28104,0.278272,3.36895,2194.076341,150.160259,11:00,5.64195,-1.81347,6.88014,-15.21276,19.0821,-10.23949,4.62824,0.40679,80.2584,-2.722469,1.501604,0.421489,,,,,,,,,,,,6.45343,10.34686,1.60247,50,5.6533,-7.22443,-129.5003,0.3259,10.78939,30.94838,-14.87523,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,7685b880-40fb-11f1-941f-4d459d825f0a,89.42689,,,9.02263,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:06:58.98,2026-04-25T18:06:58.9832704-05:00,2026-04-25T23:06:58.9832704Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,334d1c59-7071-4e85-a26a-b44747a0788c,53.61639,-130.36169,15.47419,5.63847,0.73993,-7.43762,1.80772,-7.52473,5.3947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,18:07:22.43,2,2,"Nelson, Jack",1000077131,Left,ASU_RED,"Lewis, Noah",10076641,Right,LOU_CAJ,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.99675,-2.31227,4.590555,2136.876945,137.13252,10:30,5.55123,-1.73159,6.77571,-17.61241,16.67462,-14.44698,1.96427,1.26508,81.33477,-5.700754,1.965342,0.42144,,,,,,,,,,,,8.89847,9.7993,1.43651,50,5.39288,-9.8156,-128.99318,-5.6541,14.99198,26.84882,-15.6644,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,847f4be0-40fb-11f1-941f-4d459d825f0a,89.43716,,,7.66198,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:07:22.43,2026-04-25T18:07:22.4353792-05:00,2026-04-25T23:07:22.4353792Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,2afb64f8-b8fd-47dd-bb59-42555d8160b2,53.72507,-129.7662,13.42441,5.54918,-5.2031,-7.8322,1.72533,-10.24725,7.49599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,18:07:38.57,2,3,"Nelson, Jack",1000077131,Left,ASU_RED,"Lewis, Noah",10076641,Right,LOU_CAJ,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.14987,-1.664522,1.812556,2171.936911,142.591747,10:45,5.6034,-1.70648,6.74918,-16.95607,17.19001,-12.28717,2.66858,-1.07399,81.22577,-4.942205,-0.428173,0.420573,,,,,,,,,,,,6.99622,9.90253,1.59147,50,5.48711,-3.63252,-129.54854,-4.17177,11.83416,28.24257,-15.42386,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,8e1de990-40fb-11f1-941f-4d459d825f0a,89.62158,,,7.9241,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:07:38.57,2026-04-25T18:07:38.5781760-05:00,2026-04-25T23:07:38.5781760Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,8cba99fe-5ebb-4777-a4b2-4ad13a150ae0,53.75056,-130.36363,14.12129,5.60108,-3.72664,-7.71193,1.70123,-3.97406,5.91708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,18:07:55.62,2,4,"Nelson, Jack",1000077131,Left,ASU_RED,"Lewis, Noah",10076641,Right,LOU_CAJ,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.9367,-1.211787,3.835341,2194.035017,144.543363,10:45,5.64164,-1.70422,6.81471,-15.14083,18.32942,-12.28359,3.27161,0.77678,81.99993,-4.158988,1.599113,0.416391,39.04532,-24.699455,52.91567,,,,,9.22711,9.07256,31.088695,0.132535,7.66674,10.42249,1.46088,50,5.55737,-8.30857,-130.57503,-3.11702,13.20268,28.14855,-14.22575,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,98416eb0-40fb-11f1-941f-4d459d825f0a,90.52182,3.44701,,7.93677,,,,3.75316,3.44701,-0.7251,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:07:55.62,2026-04-25T18:07:55.6248064-05:00,2026-04-25T23:07:55.6248064Z,GroundBall,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,f55f099a-e88f-4a3b-b46c-64ffff93d8a9,53.68751,-131.36756,14.07428,5.63949,-2.71649,-7.11288,1.70005,-8.68029,6.60134,300.324896,3.75315,31.37222,-0.52746,,,,,,,3.44703,-23.93126,-15.67338,,,,,,,-0.72511,41.50502,-0.63883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-25,18:08:41.44,2,5,"Nelson, Jack",1000077131,Left,ASU_RED,"Lewis, Noah",10076641,Right,LOU_CAJ,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.44897,-2.298772,4.466225,2149.218029,143.654864,10:45,5.47962,-1.66156,6.88598,-15.51249,18.32434,-12.66678,2.08484,1.36061,81.60515,-5.313814,2.159756,0.418664,,,,,,,,,,,,7.95237,10.70394,1.38215,50,5.32753,-9.65325,-129.6634,-5.56106,13.51693,27.51483,-13.98019,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,b3982e60-40fb-11f1-941f-4d459d825f0a,90.0302,,,7.84382,,,,,,,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:08:41.44,2026-04-25T18:08:41.4466048-05:00,2026-04-25T23:08:41.4466048Z,,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,3aa846b9-5c7f-4d27-9138-1de9e329b2d5,53.61398,-130.42804,13.75742,5.47668,-5.17255,-6.9901,1.65563,-10.02888,6.75846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,18:08:57.24,2,6,"Nelson, Jack",1000077131,Left,ASU_RED,"Lewis, Noah",10076641,Right,LOU_CAJ,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,89.46863,-1.428069,2.367191,2141.644192,140.100639,10:45,5.51276,-1.82524,6.92743,-16.74757,16.83745,-13.17942,2.81557,-0.7671,81.70682,-4.672396,-0.043241,0.417104,101.16654,13.515637,-8.956745,1340.578075,109.07017,22.44468,-14.26983,300.15524,296.50746,-6.426377,2.834384,7.72977,9.71571,1.68128,50,5.41715,-4.90585,-130.08183,-3.63691,13.21261,27.90315,-15.56687,ASU_RED,LOU_CAJ,KellField,D1,SBELT,20260425-KellField-1,bcfc5b20-40fb-11f1-941f-4d459d825f0a,90.36704,25.45647,,7.7618,,,,1.65721,2.82868,0.78329,4ee215c4-4e33-463c-9239-86428a317fac,2026-04-25,23:08:57.24,2026-04-25T18:08:57.2429312-05:00,2026-04-25T23:08:57.2429312Z,LineDrive,v3,471233,5075,a00d56ffe0da4b8fb528f1af004b1924,"Amundson, Kaden",1000091247,Right,ASU_RED,3f0aecac-0859-466d-8ea1-0a8500a1de8c,53.57438,-130.8463,13.95158,5.51095,-3.21042,-7.78344,1.82065,-5.26784,6.6063,206.086833,1.65721,142.50886,-20.43721,3.93486,-0.78276,0.14574,-0.0243,0.00308,-0.00019,2.82868,34.67741,-13.88781,0.45726,0.00973,-0.01225,0.00494,-0.00073,4E-05,0.78329,-22.46075,6.79043,-1.9838,0.51336,-0.114,0.02109,-0.00273,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
