PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,16:05:56.34,1,1,"Clarke, Collin",822155,Right,ORE_DUC,"Davis, Jayden",823222,Right,PEN_NIT,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.41091,-2.969436,-3.030541,2328.970698,226.738308,1:30,5.97862,0.66144,5.96922,-17.68875,16.44009,16.31406,1.74519,-0.79137,82.85115,-6.311172,-0.101441,0.420467,,,,,,,,,,,,-9.19835,9.58107,-0.43027,50,5.73305,6.25036,-131.08208,-7.34183,-16.03862,27.15135,-15.46811,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,4d2c3db0-40fb-11f1-9469-197aae19bfcf,89.64421,,,7.55976,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:05:56.34,2026-04-25T16:05:56.3410000-07:00,2026-04-25T23:05:56.3410000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,57527242-fe6b-4a61-ab8b-1b87d6bc21c3,54.52976,-132.017,13.57567,5.97669,-6.80921,-7.73406,-0.655,6.80263,-8.01931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,16:06:11.02,1,2,"Clarke, Collin",822155,Right,ORE_DUC,"Davis, Jayden",823222,Right,PEN_NIT,Undefined,1,Top,0,0,1,Sweeper,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.99325,2.373217,1.829241,2568.279807,68.244152,8:15,5.63832,0.90615,5.49648,-48.26341,-2.81508,-10.56646,3.83863,1.73722,72.36197,-6.448405,-0.052535,0.485211,39.19993,17.99598,149.872866,3350.086895,,,,58.86329,51.39765,153.76448,1.15621,5.86847,-1.71524,-1.05863,50,5.81301,-3.25196,-114.63078,3.12399,7.81203,21.09952,-34.45734,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,55f0a800-40fb-11f1-9469-197aae19bfcf,77.68262,7.78921,,6.63129,,,,-0.72018,3.53397,-1.76681,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:06:11.02,2026-04-25T16:06:11.0240000-07:00,2026-04-25T23:06:11.0240000Z,GroundBall,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,d2f9ed86-757e-42c7-b179-d74229d529cf,55.0044,-115.54825,10.54976,5.6446,4.62229,-17.22867,-0.90984,-3.59164,3.90601,316.405594,-0.72018,-47.2943,1.70621,0.12302,0.29341,-0.61957,0.74401,-0.43619,0.09832,3.53397,17.76256,-18.98232,1.02546,-0.24756,0.16305,-0.15598,0.10234,-0.02648,-1.76681,27.44567,-3.13921,0.33041,-0.41062,0.69905,-0.81648,0.48313,-0.11036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-25,16:06:46.16,2,1,"Clarke, Collin",822155,Right,ORE_DUC,"Anderson, Michael",10296764,Right,PEN_NIT,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.51981,-0.534296,-2.317819,1404.63843,276.0808,3:15,5.6651,0.86283,5.95728,-43.87841,0.95469,6.38036,1.51268,-0.75603,72.00669,-8.648332,-1.169999,0.481915,,,,,,,,,,,,-4.02937,1.17295,-0.68219,50,5.59858,4.42269,-115.27715,-2.45942,-5.32326,25.07111,-30.62442,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,6ae4bb20-40fb-11f1-9469-197aae19bfcf,78.21379,,,7.51312,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:06:46.16,2026-04-25T16:06:46.1640000-07:00,2026-04-25T23:06:46.1640000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,aaf3fcd6-d96e-49a4-8f15-f88109b0e4f8,54.53902,-116.26013,12.53555,5.67147,-1.25871,-15.31221,-0.85969,4.63141,-2.66163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,16:07:08.06,2,2,"Clarke, Collin",822155,Right,ORE_DUC,"Anderson, Michael",10296764,Right,PEN_NIT,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.15899,-0.512207,-1.743466,2044.656715,164.839987,11:30,5.71244,0.91831,5.54954,-37.42671,3.65126,-0.54598,2.11469,-0.75688,75.20822,-7.435747,-1.840901,0.461292,,,,,,,,,,,,-0.35937,2.47209,-0.76706,50,5.6437,3.73063,-121.80855,-2.38564,-0.52408,30.47702,-28.56908,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,77ee2220-40fb-11f1-9469-197aae19bfcf,81.71056,,,8.95077,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:07:08.06,2026-04-25T16:07:08.0690000-07:00,2026-04-25T23:07:08.0690000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,bcac09f2-7077-419f-8027-37919e696796,54.94558,-123.03974,15.23851,5.71676,-1.23153,-14.28454,-0.91819,3.7518,-0.26204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,16:07:49.62,3,1,"Clarke, Collin",822155,Right,ORE_DUC,"Molinaro, Bryce",831926,Right,PEN_NIT,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.97558,-2.930558,-3.981831,2441.310552,236.60592,2:00,5.79874,0.87902,5.78362,-19.84218,14.28438,19.9508,1.40975,-1.16894,83.04326,-6.652644,-0.416086,0.420453,,,,,,,,,,,,-11.3152,8.45229,-0.56256,50,5.54454,8.30103,-131.7083,-7.40526,-19.84415,28.39493,-17.35075,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,90b0c970-40fb-11f1-9469-197aae19bfcf,89.6472,,,7.93232,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:07:49.62,2026-04-25T16:07:49.6260000-07:00,2026-04-25T23:07:49.6260000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,6b2a5e06-da3b-4817-8304-f9d342ed560e,54.7158,-132.72109,14.19747,5.79763,-6.78639,-8.67537,-0.87126,9.00882,-9.92208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,16:08:08.35,3,2,"Clarke, Collin",822155,Right,ORE_DUC,"Molinaro, Bryce",831926,Right,PEN_NIT,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.36244,-0.371286,-1.360155,2000.813994,170.989194,11:45,5.64277,0.87667,5.93251,-34.79911,5.37674,-0.65059,2.39828,-0.43969,76.36924,-6.813577,-1.477083,0.456199,,,,,,,,,,,,-0.05291,3.26811,-0.76771,50,5.59361,2.90057,-121.07683,-1.91488,-0.07837,24.04825,-27.33175,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,9bdc96d0-40fb-11f1-9469-197aae19bfcf,82.62288,,,6.9932,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:08:08.35,2026-04-25T16:08:08.3540000-07:00,2026-04-25T23:08:08.3540000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,4c8f919f-198a-4eeb-96a2-fe6367733350,54.5648,-121.98012,12.02413,5.64625,-0.88825,-13.66588,-0.87672,2.90352,-0.03919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,16:08:28.14,3,3,"Clarke, Collin",822155,Right,ORE_DUC,"Molinaro, Bryce",831926,Right,PEN_NIT,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.2329,-1.028577,-3.992146,2403.070024,232.602769,1:45,5.78971,1.01538,5.73524,-19.17899,14.75229,17.84178,3.23121,-1.22136,83.07445,-4.642682,-0.808509,0.419249,,,,,,,,,,,,-10.14253,8.11512,-0.69327,50,5.69215,8.42337,-132.18616,-3.00011,-17.92378,28.49653,-17.83309,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,a7a6ee20-40fb-11f1-9469-197aae19bfcf,89.90476,,,8.15844,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:08:28.14,2026-04-25T16:08:28.1430000-07:00,2026-04-25T23:08:28.1430000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,3f501459-9919-42c0-8f28-6bcde290d3bd,54.76251,-133.2089,14.24826,5.78834,-2.36008,-8.91655,-1.00713,9.06666,-8.96189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,16:08:45.94,3,4,"Clarke, Collin",822155,Right,ORE_DUC,"Molinaro, Bryce",831926,Right,PEN_NIT,Undefined,1,Top,1,2,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,1,,81.58241,-0.451073,-2.003907,1880.754303,251.198562,2:15,5.60171,0.88156,5.89266,-34.89624,7.23296,17.18962,2.27462,0.45272,74.53487,-6.923018,1.083345,0.467157,108.16479,20.176466,-17.408881,1439.224278,103.48599,33.31572,-37.29013,340.10832,340.10832,-23.992653,3.134477,-9.45615,4.22122,-0.73035,50,5.54523,3.49314,-118.46591,-2.02837,-13.36783,23.73806,-26.20665,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,b2468110-40fb-11f1-9469-197aae19bfcf,80.68473,40.83162,,7.04754,,,,2.53601,2.40559,-0.41979,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:08:45.94,2026-04-25T16:08:45.9480000-07:00,2026-04-25T23:08:45.9480000Z,LineDrive,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,23da9c6e-6cf3-43ac-888f-cd62a7325d40,54.60706,-119.3855,11.86903,5.60414,-1.01315,-13.10333,-0.8757,4.011,-6.68391,110.915067,2.53589,142.08725,-25.00722,5.90855,-1.00989,0.04093,0.0325,-0.00895,0.0008,2.40569,54.71507,-21.58211,1.83483,-0.39335,0.14524,-0.04705,0.00904,-0.00071,-0.41999,-44.5461,-2.87269,2.09712,-0.51038,0.01824,0.02505,-0.00667,0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-25,16:09:27.85,4,1,"Clarke, Collin",822155,Right,ORE_DUC,"Barnett, Spencer",823915,Left,PEN_NIT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.29826,-0.124507,-1.593929,1782.980903,273.80411,3:15,5.5846,0.88839,5.63969,-43.78431,0.30772,17.84001,1.81972,0.88773,73.21912,-8.160171,1.598607,0.477916,,,,,,,,,,,,-9.54658,0.62976,-0.76463,50,5.54615,2.54136,-116.53888,-1.7167,-12.99836,23.93453,-31.31657,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,cb46a690-40fb-11f1-9469-197aae19bfcf,78.86835,,,7.07915,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:09:27.85,2026-04-25T16:09:27.8590000-07:00,2026-04-25T23:09:27.8590000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,9177d3a1-09b7-4989-948b-b5dd4c9f3c81,54.85959,-117.5327,11.96727,5.59043,-0.41637,-15.65829,-0.88135,3.08108,-6.49918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,16:09:42.93,4,2,"Clarke, Collin",822155,Right,ORE_DUC,"Barnett, Spencer",823915,Left,PEN_NIT,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.06461,-0.452868,-1.663906,2401.681071,222.774917,1:30,5.92741,0.73967,5.47246,-16.14658,18.52568,15.99048,4.15788,0.51469,82.00104,-3.541351,1.18263,0.423801,,,,,,,,,,,,-8.49973,9.79686,-0.60434,50,5.87699,3.08076,-131.97016,-1.53387,-14.79177,31.54805,-15.12493,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,d4379f20-40fb-11f1-9469-197aae19bfcf,88.9389,,,9.06358,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:09:42.93,2026-04-25T16:09:42.9310000-07:00,2026-04-25T23:09:42.9310000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,58b37e12-593b-4168-81f5-01b0c030be18,55.02237,-133.16537,15.77403,5.92424,-0.96086,-7.56246,-0.73167,3.64116,-7.39588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-04-25,16:09:57.43,4,3,"Clarke, Collin",822155,Right,ORE_DUC,"Barnett, Spencer",823915,Left,PEN_NIT,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,HomeRun,0,2,,80.5325,-0.108472,-2.211573,1694.83149,263.042153,2:45,5.53175,1.01409,6.0113,-39.62341,3.28252,15.78359,2.12924,0.27959,73.87652,-7.435867,0.629828,0.471444,104.8469,23.980228,1.025797,2137.015301,109.99982,47.28493,-0.19668,400.66318,389.78463,-1.787958,4.750236,-8.78867,2.10091,-0.84926,50,5.50147,3.93507,-116.99462,-1.45452,-12.15872,22.45442,-29.26754,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,dcdf0b90-40fb-11f1-9469-197aae19bfcf,79.95107,72.87107,,6.65597,,,,2.08563,2.23697,-0.25808,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:09:57.43,2026-04-25T16:09:57.4330000-07:00,2026-04-25T23:09:57.4330000Z,FlyBall,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,5380158c-295d-4420-8296-4570121afcdf,54.48889,-117.85301,11.22721,5.53569,-0.33568,-14.63377,-1.00858,4.39987,-6.07936,168.19435,2.08461,140.50581,-27.972,7.03082,-1.51542,0.29562,-0.04868,0.00539,-0.00027,2.23988,62.42637,-13.04081,-1.20788,0.73877,-0.24622,0.05225,-0.00603,0.00028,-0.25825,2.52039,-3.6797,1.30135,-0.31391,0.05331,-0.00594,0.0004,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
12,2026-04-25,16:10:41.39,5,1,"Clarke, Collin",822155,Right,ORE_DUC,"Porter, Jack",813188,Right,PEN_NIT,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.60987,-2.526198,-3.064633,2427.078206,231.062374,1:45,5.86261,0.68302,5.48599,-18.47375,16.21426,18.36989,1.9548,-0.65604,81.87435,-6.034029,0.204055,0.423898,91.59755,59.130098,20.829782,5033.038935,95.68561,157.73145,54.26104,204.1782,193.65285,33.316288,6.316762,-10.33382,9.43367,-0.42722,50,5.62887,6.24047,-132.4143,-6.4512,-17.91437,34.49209,-15.82015,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,f710d340-40fb-11f1-9469-197aae19bfcf,88.91872,159.93573,,9.73551,,,,2.07883,2.07411,0.666,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:10:41.39,2026-04-25T16:10:41.3970000-07:00,2026-04-25T23:10:41.3970000Z,FlyBall,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,33aea33a-56e7-490d-828d-802594f0efbd,55.01006,-133.71298,17.24605,5.86056,-5.85555,-7.91008,-0.67489,6.91498,-8.95719,192.000256,2.08897,64.22973,-19.81062,4.53518,-0.25411,-0.16604,0.05037,-0.00588,0.00026,2.05764,115.55156,-27.232,3.81574,-1.03866,0.2308,-0.0315,0.0021,-5E-05,0.67302,24.40513,-1.87942,-0.11202,0.21819,-0.07549,0.01297,-0.00111,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
13,2026-04-25,16:11:20.58,6,1,"Clarke, Collin",822155,Right,ORE_DUC,"Karstetter, Kevin",694407,Right,PEN_NIT,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.38804,-1.837159,-3.367801,2414.87064,233.865199,1:45,5.90336,0.54003,5.44992,-20.44631,14.06158,17.55962,2.476,-1.1532,82.53246,-5.673244,-0.24691,0.422796,,,,,,,,,,,,-9.80603,7.99615,-0.25464,50,5.7272,6.95478,-132.24141,-4.95116,-17.16894,31.16867,-18.17399,ORE_DUC,PEN_NIT,PKPark,D1,BIG10,20260425-PKPark-1,0e6ac2d0-40fc-11f1-9469-197aae19bfcf,89.15043,,,8.85558,,,,,,,9d58d000-7549-4d8d-9bb2-99d06f574e15,2026-04-25,23:11:20.58,2026-04-25T16:11:20.5880000-07:00,2026-04-25T23:11:20.5880000Z,,v3,4807,5326,7b76fe7af4d45e29ef16,"Mabeus, Burke",1000222806,Right,ORE_DUC,c62f0523-a3ef-423d-901f-2c80917b08ae,55.04586,-133.4254,15.58433,5.90217,-4.26079,-9.08699,-0.53121,7.60697,-8.58447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
