PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,11:32:48.01,1,1,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Meier, Evan",10108532,Right,MSM_MTN,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.83866,-1.541235,-4.853188,2173.238281,223.980081,1:30,5.96021,2.87649,6.79962,-17.11773,15.96934,14.31855,3.12176,-0.37006,82.39505,-4.852867,-2.252039,0.414,,,,,,,,,,,,-8.97796,9.23638,-2.56611,50,5.85327,10.61653,-131.59193,-3.969,-15.63399,29.72281,-16.09008,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,03b949a0-40bc-11f1-ab34-4742c06daee4,91.04447,,,8.44361,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:32:48.01,2026-04-25T11:32:48.0140000-04:00,2026-04-25T15:32:48.0140000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,9792157a-0477-4e00-92e0-734325d59a1c,53.69708,-132.42435,14.8614,5.95812,-3.51837,-8.04504,-2.86957,11.05438,-7.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,11:33:06.60,1,2,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Meier, Evan",10108532,Right,MSM_MTN,Undefined,1,Top,0,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.29379,-1.226368,-3.031932,2077.94015,237.758271,2:00,5.74517,2.93245,6.67955,-22.89946,10.20796,14.61017,2.71336,1.374,83.03383,-5.554905,-0.373,0.414127,29.91326,-38.00465,-126.09939,,,,,6.04458,6.04456,-50.788064,0.114108,-8.65245,6.01288,-2.7357,50,5.65379,6.42865,-131.28059,-3.47081,-15.15943,26.76997,-21.63926,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,0ec64460-40bc-11f1-ab34-4742c06daee4,91.01651,3.16053,,7.25996,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:33:06.60,2026-04-25T11:33:06.6030000-04:00,2026-04-25T15:33:06.6030000Z,GroundBall,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,988bfe7c-da38-42ab-b4d6-b23cc47c9d4f,53.82186,-132.05763,13.38498,5.74541,-2.8427,-10.81963,-2.92869,6.86866,-7.57971,,6.21388,-20.88436,,,,,,,,3.1731,-27.69809,,,,,,,,-1.40233,-28.64024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2026-04-25,11:33:43.23,2,1,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.80676,-0.319834,-3.824001,2118.227381,215.585144,1:15,5.99038,2.78577,6.82581,-12.86178,18.35655,12.46119,4.62617,0.33088,84.99818,-2.833197,-1.555066,0.402139,,,,,,,,,,,,-7.57449,10.08331,-2.54345,50,5.96427,8.52305,-134.80666,-1.02994,-14.00541,27.98847,-13.52979,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,24bc3720-40bc-11f1-ab34-4742c06daee4,93.72992,,,7.80858,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:33:43.23,2026-04-25T11:33:43.2380000-04:00,2026-04-25T15:33:43.2380000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,923ba07f-2914-4c53-9395-354c076b7f46,53.67207,-135.56691,13.99424,5.98725,-0.66243,-6.7649,-2.78012,8.90348,-7.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,11:34:02.01,2,2,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.90964,-1.507346,-4.154087,2147.496128,214.479539,1:15,5.95472,2.71712,6.99429,-12.6843,19.00391,12.38127,3.52325,-0.03475,84.19019,-3.996763,-1.893778,0.405154,,,,,,,,,,,,-7.69378,10.83245,-2.46531,50,5.85699,9.22971,-133.44038,-3.77309,-13.92472,27.70167,-12.56874,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,2fdc44b0-40bc-11f1-ab34-4742c06daee4,93.03235,,,7.71945,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:34:02.01,2026-04-25T11:34:02.0110000-04:00,2026-04-25T15:34:02.0110000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,de92c448-6211-45b1-95d1-8dea839c0955,53.50404,-134.16583,13.85084,5.95149,-3.44395,-6.28437,-2.71179,9.59437,-6.96236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,11:34:22.43,2,3,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.75044,-3.351027,-4.366761,2205.298372,212.847056,1:00,5.93936,2.59647,7.09612,-12.55698,18.56092,11.34953,1.83972,-0.42804,85.01686,-5.81117,-2.291607,0.401492,,,,,,,,,,,,-7.23307,11.13902,-2.33873,50,5.73429,9.84629,-134.44998,-8.14163,-13.27833,28.35707,-11.7252,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,3c10f690-40bc-11f1-ab34-4742c06daee4,93.88098,,,7.73358,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:34:22.43,2026-04-25T11:34:22.4390000-04:00,2026-04-25T15:34:22.4390000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,f51b5f32-9e34-4a69-a140-51de905d85e7,53.40203,-135.1656,14.17854,5.93602,-7.84573,-5.8626,-2.59144,10.18138,-6.63917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,11:34:43.08,2,4,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.25561,-0.720558,-2.314,2200.282052,222.767707,1:30,6.02709,2.69562,6.79017,-14.0041,16.94623,14.79564,4.20179,1.81525,85.33454,-3.441905,0.384921,0.400409,,,,,,,,,,,,-8.40997,9.44162,-2.54993,50,5.9744,4.89338,-135.61399,-2.03362,-15.69588,29.05335,-14.55272,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,4855fc20-40bc-11f1-ab34-4742c06daee4,94.13479,,,7.92108,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:34:43.08,2026-04-25T11:34:43.0880000-04:00,2026-04-25T15:34:43.0880000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,5c933cf0-f202-4370-8990-389780627176,53.70768,-136.406,14.52667,6.02443,-1.63691,-7.27636,-2.68916,5.32125,-7.84794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,11:35:01.85,2,5,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.01468,-3.203984,-3.929677,2226.685299,218.769121,1:15,5.9673,2.64306,7.06391,-11.54485,18.94513,14.3908,2.08607,0.2685,85.54942,-5.491003,-1.297027,0.39742,68.36897,8.228116,-173.673774,,,,,,31.15778,,,-8.75028,11.32599,-2.40966,50,5.76936,8.79891,-136.28312,-7.85094,-16.38801,31.12029,-10.9621,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,5390e4b0-40bc-11f1-ab34-4742c06daee4,94.84278,5.30502,,8.46526,,,,-0.72658,2.0313,-0.39256,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:35:01.85,2026-04-25T11:35:01.8530000-04:00,2026-04-25T15:35:01.8530000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,8b81c990-8f37-4e17-a8c5-43610cf0023e,53.4327,-137.06474,15.56014,5.96309,-7.57562,-5.48105,-2.63582,9.21051,-8.194,234.57176,-0.73143,-98.43635,14.77122,,,,,,,2.03186,14.32795,-12.89366,,,,,,,-0.38994,-11.04485,-4.85654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2026-04-25,11:35:25.83,2,6,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,2,2,Curveball,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,85.65932,-2.172582,-2.946388,1778.49341,9.67329,6:15,5.67647,2.94516,6.12591,-41.95813,-3.50016,-0.83055,0.16804,0.14995,77.87113,-9.887655,-3.096291,0.446339,,,,,,,,,,,,-0.54933,-0.67894,-2.71931,50,5.48873,6.42023,-124.10142,-6.12075,-0.84092,29.10609,-33.21336,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,61d93450-40bc-11f1-ab34-4742c06daee4,84.44808,,,7.78818,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:35:25.83,2026-04-25T11:35:25.8340000-04:00,2026-04-25T15:35:25.8340000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,9c86a3fe-1a0a-4372-93c0-dcc464fdfb64,54.37133,-125.12244,14.55304,5.683,-4.95565,-16.60668,-2.94505,6.44973,-0.42046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,11:35:48.22,2,7,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Bauman, Christian",1000268585,Left,MSM_MTN,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.31008,-1.246405,-2.994138,2209.487189,223.675273,1:30,5.90564,2.69675,6.97394,-14.84158,16.28741,14.51331,3.53341,1.1803,84.34694,-4.152735,-0.339259,0.401563,,,,,,,,,,,,-8.60536,9.36772,-2.5156,50,5.82302,6.51664,-135.47942,-3.28182,-15.80958,32.78284,-14.96387,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,6f271e60-40bc-11f1-ab34-4742c06daee4,93.86428,,,8.96313,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:35:48.22,2026-04-25T11:35:48.2230000-04:00,2026-04-25T15:35:48.2230000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,eedcd105-bc0a-4df3-a691-429144b1e0ea,53.52217,-136.32904,16.39142,5.90305,-2.89401,-7.48194,-2.6898,6.92637,-7.90479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6703,3.038231,1.59575,1.44248,-1.28604,3.33285,-1.16754,-5.72198,3.807,1.95278,73.58357,5.6948,-51.19943,-5.64728,60.36697,-3.77783,3.94883,23.70968,-15.60956,1.85628,-42.08899,3.68812,High,High,High,,,High,High,High
10,2026-04-25,11:36:21.02,3,1,"Rubayo, Andrew",1000181996,Right,QUI_BOB,"Mendes, Alexander",10283659,Right,MSM_MTN,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.25343,-0.55723,-2.217699,2069.915313,102.134672,9:30,5.69634,2.88991,6.22844,-36.01183,3.45252,-9.55371,2.18085,0.04672,76.32838,-7.264972,-3.942347,0.452141,,,,,,,,,,,,4.21512,2.39827,-2.71979,50,5.63723,5.10285,-122.22167,-2.31854,6.26655,27.94558,-28.60861,QUI_BOB,MSM_MTN,QuinnipiacBBField,D1,MAAC,20260425-QuinnipiacBBField-1,82bf23f0-40bc-11f1-ab34-4742c06daee4,83.36437,,,7.92505,,,,,,,6b5debd5-5300-418c-ac94-629b22a1de37,2026-04-25,15:36:21.02,2026-04-25T11:36:21.0260000-04:00,2026-04-25T15:36:21.0260000Z,,v3,471416,471367,23f7037dc3c94610992e18107beb0235,"Constable, Cole",1000301883,Right,QUI_BOB,5efc69fc-8645-4e81-acfd-07f80af00004,54.26774,-123.19361,13.97279,5.70056,-1.32354,-14.3043,-2.89347,4.8849,3.13328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
