PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,16:01:32.85,1,1,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.12561,-1.701673,-1.255086,1987.439029,211.24984,1:00,5.7199,1.1678,6.28107,-17.17359,16.76812,9.50961,2.71952,0.80329,82.26632,-4.984209,0.464401,0.419313,88.70525,30.685501,-51.319026,2655.096414,63.69052,50.87062,-89.68501,308.96643,148.7866,-59.844828,3.804362,-5.29339,9.52721,-1.07962,50,5.58585,2.48216,-130.92386,-4.36406,-9.16614,28.24977,-15.67656,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,f0961000-40e9-11f1-9b6f-7dd76f1a3f7d,89.89097,58.27832,,7.85929,,,,-0.1519,2.51753,-0.82109,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:01:32.85,2026-04-25T16:01:32.8588288-05:00,2026-04-25T21:01:32.8588288Z,FlyBall,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,de81acc4-fe4c-4a8e-850a-806e392b91c7,54.21681,-131.83059,14.12489,5.71785,-3.86089,-7.83828,-1.16401,2.77636,-4.58307,,-0.15113,69.90149,-14.35665,2.9265,-0.41811,0.02973,0.00247,-0.00102,0.0001,2.51624,66.43351,-23.59801,3.37759,-1.01672,0.2654,-0.05084,0.00613,-0.00033,-0.82173,-87.32089,8.99835,-1.85289,0.2191,-0.00316,-0.00366,0.00062,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2026-04-25,16:01:49.73,1,2,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.74701,-1.583626,-2.566996,2142.521519,205.877999,12:45,5.63846,1.27366,6.2546,-15.8056,18.72611,8.50563,2.85915,-0.38627,81.32265,-4.637079,-1.031992,0.422942,90.51428,-7.539837,22.864125,,,,,18.7769,17.83061,23.538857,0.138403,-5.19737,10.55197,-1.08707,50,5.51294,5.49075,-130.19549,-4.01234,-8.83898,29.68343,-14.2287,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,faa98f90-40e9-11f1-9b6f-7dd76f1a3f7d,89.11972,2.82377,,8.42436,,,,0.87609,2.82377,0.43132,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:01:49.73,2026-04-25T16:01:49.7317888-05:00,2026-04-25T21:01:49.7317888Z,GroundBall,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,5ec19a01-c90b-40ff-812f-2b4c0764ef18,54.24264,-131.15921,14.84171,5.63571,-3.55038,-7.11435,-1.26999,5.77772,-4.41949,314.217812,0.87653,121.2246,-22.98922,,,,,,,2.82421,-17.46146,-21.29537,,,,,,,0.43118,51.14826,-0.58429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-25,16:02:20.98,2,1,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Fritcher, Easton",809726,Left,THO_M,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.38795,-2.365872,-1.832051,2115.449931,206.189968,12:45,5.68372,1.20756,6.25125,-14.82666,19.33674,8.90997,2.26398,0.25995,81.68894,-5.242718,-0.22277,0.42068,,,,,,,,,,,,-5.14929,11.09048,-1.0754,50,5.50024,3.81436,-131.05439,-5.78137,-8.84761,30.81082,-13.11819,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,0d4cfbf0-40ea-11f1-9b6f-7dd76f1a3f7d,89.59881,,,8.69901,,,,,,,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:02:20.98,2026-04-25T16:02:20.9877504-05:00,2026-04-25T21:02:20.9877504Z,,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,636446cd-15b5-4280-8903-5ed952a6c432,54.24373,-132.04832,15.40541,5.67992,-5.35819,-6.55909,-1.20305,4.09978,-4.42381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,16:02:38.12,2,2,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Fritcher, Easton",809726,Left,THO_M,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.04822,-1.986327,-1.37659,2266.498154,196.111131,12:30,5.66039,1.34589,6.24864,-13.57335,20.1819,5.47272,2.69612,0.53214,81.98409,-4.644334,-0.388057,0.41816,,,,,,,,,,,,-3.24677,11.41032,-1.24595,50,5.50562,2.93623,-132.01521,-4.89011,-5.64211,32.11614,-12.34554,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,17862bf0-40ea-11f1-9b6f-7dd76f1a3f7d,90.1389,,,9.06414,,,,,,,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:02:38.12,2026-04-25T16:02:38.1292032-05:00,2026-04-25T21:02:38.1292032Z,,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,0b500d44-8485-4f0d-a4b6-5531bd86b50a,54.24515,-133.04394,16.05807,5.65593,-4.49466,-6.17277,-1.3429,3.11696,-2.82105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,16:02:53.77,2,3,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Fritcher, Easton",809726,Left,THO_M,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.91392,-0.820268,-1.78555,2094.852752,205.765168,12:45,5.68224,1.05746,6.13959,-16.15182,17.53686,7.91792,3.57778,0.06663,82.48985,-3.925206,-0.358579,0.417747,97.37759,25.453378,-1.109098,2415.881495,109.72429,49.20953,-7.77854,365.38814,357.97645,-10.92768,4.479214,-4.63847,9.65178,-0.92539,50,5.61134,3.78605,-131.99767,-2.33948,-8.12273,30.04847,-15.27209,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,20d04100-40ea-11f1-9b6f-7dd76f1a3f7d,90.22791,66.86559,,8.42407,,,,0.53792,3.51114,-0.06434,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:02:53.77,2026-04-25T16:02:53.7753600-05:00,2026-04-25T21:02:53.7753600Z,FlyBall,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,48471b4c-8648-4a92-99eb-592bcfce6bd2,54.35824,-132.98609,15.02424,5.68004,-1.83711,-7.63605,-1.05433,4.05324,-4.06136,147.001065,0.53731,128.94849,-23.46239,5.65534,-1.32402,0.31224,-0.06061,0.00728,-0.00037,3.51226,61.35217,-15.73941,0.17948,0.3299,-0.1712,0.04281,-0.00519,0.00024,-0.06446,-2.49238,-6.90538,2.00849,-0.5499,0.13707,-0.02591,0.00297,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-25,16:03:27.95,3,1,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Roder, Joe",1000227314,Left,THO_M,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.79884,-1.608852,-1.676177,2220.107133,194.101095,12:30,5.63639,1.23652,6.19642,-12.74953,21.25678,5.02776,3.08767,0.10767,81.70777,-4.120504,-0.769209,0.419712,,,,,,,,,,,,-3.11473,11.82611,-1.11268,50,5.50852,3.6356,-131.65356,-3.97638,-5.38257,31.96454,-11.73737,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,35405710-40ea-11f1-9b6f-7dd76f1a3f7d,89.80552,,,9.09107,,,,,,,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:03:27.95,2026-04-25T16:03:27.9519232-05:00,2026-04-25T21:03:27.9519232Z,,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,db1f29c3-06a9-420a-a0b5-1766c6d2c9b0,54.2976,-132.69288,15.98227,5.6316,-3.59474,-5.86868,-1.23374,3.81062,-2.69129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,16:03:42.34,3,2,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Roder, Joe",1000227314,Left,THO_M,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.30496,-1.110188,-3.852469,2173.247159,207.642704,1:00,5.6633,1.05119,6.37473,-15.09426,18.50859,9.03312,3.38158,-1.74587,81.85621,-4.058332,-2.222191,0.417215,,,,,,,,,,,,-5.93705,10.33193,-0.77662,50,5.57574,8.51742,-132.18432,-2.9299,-10.30807,33.08686,-14.23543,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,3dd043e0-40ea-11f1-9b6f-7dd76f1a3f7d,90.34306,,,9.44876,,,,,,,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:03:42.34,2026-04-25T16:03:42.3489536-05:00,2026-04-25T21:03:42.3489536Z,,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,732ef61e-2ab7-4df4-a3b6-641f9d3745d2,54.11931,-133.21143,16.54343,5.65983,-2.48799,-7.11771,-1.04599,8.83741,-5.15404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,16:03:59.73,3,3,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Roder, Joe",1000227314,Left,THO_M,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.35058,-1.542799,-1.716485,2036.76399,203.677725,12:45,5.64698,1.15121,6.17349,-16.15721,17.49198,7.12926,2.87469,0.15956,82.19829,-4.664162,-0.43063,0.417502,101.72461,-7.605527,-24.588714,,,,,21.24236,20.40899,-24.716586,0.147547,-4.23465,9.89564,-1.02482,50,5.52199,3.66553,-132.46628,-4.00575,-7.39842,32.71461,-14.88531,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,4826bfe0-40ea-11f1-9b6f-7dd76f1a3f7d,90.28082,2.87972,,9.15229,,,,-0.16085,2.87972,-0.01766,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:03:59.73,2026-04-25T16:03:59.7361152-05:00,2026-04-25T21:03:59.7361152Z,GroundBall,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,c00d737b-a4e2-4369-8d34-c521d7247f79,54.32197,-133.52939,16.35731,5.6443,-3.52203,-7.44266,-1.14784,3.90595,-3.69921,186.923164,-0.16039,134.43181,-17.40221,,,,,,,2.87928,-19.70668,1.32404,,,,,,,-0.01795,-61.50913,9.72304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-25,16:04:36.08,4,1,"Meyer, Maddox",1000432762,Right,UNO_MAV,"Maulik, Matthew",1000283220,Right,THO_M,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.24212,-1.358689,-1.243626,2165.39329,203.341044,12:45,5.63929,1.19066,6.19152,-14.82225,19.57635,7.90918,3.14916,0.7014,81.26591,-4.245194,0.183687,0.422126,86.02628,55.546353,-23.389947,4869.79792,90.43292,128.30943,-62.62459,232.18835,87.29279,-40.381576,5.813436,-4.49138,10.92808,-1.10083,50,5.5294,2.51212,-130.92352,-3.47654,-7.67257,31.71653,-13.5057,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,5dcc21a0-40ea-11f1-9b6f-7dd76f1a3f7d,89.29198,133.18914,,8.97621,,,,0.92079,3.24127,-0.7048,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:04:36.08,2026-04-25T16:04:36.0829952-05:00,2026-04-25T21:04:36.0829952Z,FlyBall,v3,471375,stthomas,19709,"Sexton, Brody",830838,Right,UNO_MAV,5f877a89-6174-4388-a2e7-8b862bc01bfe,54.30454,-131.96218,15.85826,5.63601,-3.03425,-6.75285,-1.18721,2.76339,-3.83628,154.958809,0.92363,65.4067,-18.01864,3.77828,0.12693,-0.35631,0.1018,-0.01246,0.00057,3.22613,104.2863,-26.43687,3.79593,-1.13704,0.26745,-0.03491,0.0019,-1E-05,-0.69902,-28.45498,-0.81866,0.12394,0.42653,-0.24635,0.06054,-0.00708,0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-04-25,16:07:11.72,1,1,"Marsolek, Owen",1000446946,Left,THO_M,"Zipay, Henry",1000112074,Left,UNO_MAV,Undefined,1,Bottom,0,0,0,Curveball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,83.51471,-0.656744,1.223619,2034.940546,151.838807,11:00,5.77729,-0.84905,5.9883,-24.55206,15.15698,-7.47024,3.12245,-0.33735,76.73537,-5.263336,-0.119708,0.45354,85.9521,36.421642,-27.208091,4965.016502,92.71505,67.0701,-59.19355,300.75598,161.98708,-42.171299,4.622598,4.18559,8.34182,0.75674,50,5.71188,-2.30671,-121.38741,-2.11815,6.27041,22.86127,-19.67719,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20260425-TalAndersonField-1,ba9b2250-40ea-11f1-9b6f-7dd76f1a3f7d,83.10711,78.44014,,6.77934,,,,1.10699,3.15688,0.33118,80a86355-4743-477c-9c4c-ba1f605a0b3b,2026-04-25,21:07:11.72,2026-04-25T16:07:11.7220352-05:00,2026-04-25T21:07:11.7220352Z,FlyBall,v3,471375,stthomas,19709,"Berrisford, Max",10055261,Right,THO_M,d6edb585-7fd9-44a3-b3aa-33016782f4cb,54.51071,-122.23397,11.43064,5.77682,-1.3895,-9.8386,0.84646,-2.5389,3.13521,134.352636,1.10601,90.2407,-19.26674,4.74959,-1.32002,0.41156,-0.10526,0.01547,-0.00091,3.1574,74.83314,-21.47774,1.77174,-0.15807,-0.04679,0.02206,-0.00303,0.00013,0.33058,-46.37053,-0.84584,1.00005,-0.35961,0.09386,-0.01542,0.00105,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
