PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,17:03:55.52,1,1,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.3475,-2.155961,-1.267838,2010.462631,204.996607,12:45,6.18089,0.74591,5.79797,-14.79587,18.41985,8.04536,2.94107,0.23688,83.59159,-4.994962,0.173426,0.414804,,,,,,,,,,,,-4.46209,10.36981,-0.64638,50,5.99473,2.59754,-133.88049,-5.46533,-8.01997,31.52482,-13.53574,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,45bcc4c0-40ea-11f1-93f1-191074f1b159,90.86798,,,8.75591,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:03:55.52,2026-04-25T17:03:55.5246080-04:00,2026-04-25T21:03:55.5246080Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,f72fc6f0-e19c-4b72-a64c-a8ad241a68b9,54.69998,-134.98266,15.76241,6.17754,-4.99209,-6.76787,-0.7421,2.87794,-4.00999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,17:04:14.40,1,2,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.86634,-2.210758,-4.0408,1968.323173,211.675491,1:00,6.08215,0.77212,5.87927,-18.39985,14.86639,8.51453,2.48948,-2.27743,83.99537,-5.674287,-2.518466,0.41512,,,,,,,,,,,,-5.4552,8.53434,-0.44994,50,5.89234,9.02551,-133.05354,-5.73305,-9.78787,28.30982,-16.8615,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,51014a40-40ea-11f1-93f1-191074f1b159,90.79897,,,7.87097,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:04:14.40,2026-04-25T17:04:14.4073728-04:00,2026-04-25T21:04:14.4073728Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,8d997a5e-ac59-4723-8db7-4b25bdf89553,54.62074,-134.03309,14.15491,6.08061,-5.14963,-8.43075,-0.76809,9.36418,-4.89393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,17:04:34.31,1,3,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.72457,-1.295777,-1.87255,1991.515317,203.944854,12:45,6.15508,0.74439,5.79007,-19.76273,13.5752,5.56008,3.30187,-0.53492,83.86208,-5.004848,-0.876952,0.415567,,,,,,,,,,,,-3.34343,7.59886,-0.59344,50,6.03646,4.10614,-133.14264,-3.66604,-6.00457,28.45312,-18.52703,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,5ce39660-40ea-11f1-93f1-191074f1b159,90.70126,,,7.86249,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:04:34.31,2026-04-25T17:04:34.3168512-04:00,2026-04-25T21:04:34.3168512Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,6ff158c1-08ea-42f9-8ea1-4538de6f1d64,54.70963,-134.14534,14.22656,6.15415,-3.01315,-9.26351,-0.74186,4.31774,-3.00229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,17:04:53.51,1,4,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,2,1,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.93255,-0.172146,-2.452692,1105.79618,257.914853,2:30,6.00327,0.84425,5.61262,-39.44526,4.24055,12.55268,2.55534,-0.40042,73.33436,-7.447297,-0.210861,0.475709,,,,,,,,,,,,-7.08902,2.69221,-0.64261,50,5.96348,4.51208,-117.28619,-1.6711,-9.74369,24.92776,-28.47369,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,684e1a70-40ea-11f1-93f1-191074f1b159,79.23418,,,7.59819,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:04:53.51,2026-04-25T17:04:53.5141376-04:00,2026-04-25T21:04:53.5141376Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,43d3b4e9-5ae6-4353-a948-b841a9c8982a,54.88604,-118.3201,12.46388,6.0083,-0.49011,-14.23684,-0.83814,4.91621,-4.87184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,17:05:15.84,1,5,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.03718,-2.763787,-1.897527,2027.522433,190.800763,12:15,6.0311,0.65572,5.65906,-15.16347,17.66851,3.15717,2.1866,-0.85143,84.55674,-5.645927,-1.333724,0.412401,,,,,,,,,,,,-2.15343,10.09654,-0.49704,50,5.78742,4.32027,-134.79822,-6.976,-3.93901,30.90421,-13.70567,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,75a26d20-40ea-11f1-93f1-191074f1b159,91.39745,,,8.48044,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:05:15.84,2026-04-25T17:05:15.8431744-04:00,2026-04-25T21:05:15.8431744Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,6f25bdeb-ce2b-418d-a8f9-f7015997a5e0,54.83942,-135.90319,15.45211,6.02809,-6.48596,-6.85283,-0.65403,4.46111,-1.96951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,17:05:39.48,1,6,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.39106,-2.257838,-0.514078,2113.826554,99.670731,9:15,5.92157,0.92553,5.4554,-36.7075,2.37102,-6.5741,0.74778,-0.10357,78.46498,-8.940306,-1.687303,0.449925,,,,,,,,,,,,3.18189,2.2011,-0.87549,50,5.69704,1.38762,-123.88764,-6.21091,4.92874,25.51959,-28.76455,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,83e6c520-40ea-11f1-93f1-191074f1b159,83.77487,,,6.92608,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:05:39.48,2026-04-25T17:05:39.4839552-04:00,2026-04-25T21:05:39.4839552Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,f0be9bdf-0b3b-4e53-bb02-06e91f50c21b,55.04616,-124.92277,12.7598,5.92531,-5.04415,-14.38228,-0.92772,1.1877,2.46437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,17:06:00.98,1,7,"Kenny, Lex",1000077563,Right,UNI_WES,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,92.12831,-2.807049,-1.23617,1904.031047,207.011716,1:00,6.02357,0.78475,5.66892,-16.65989,16.69721,7.94756,2.01521,0.29425,84.00502,-5.952281,0.184556,0.415686,95.24713,24.670231,-11.569446,2647.094714,108.1047,46.09057,-20.32849,387.70302,377.52083,-8.975607,4.745516,-4.42327,9.64071,-0.68556,50,5.77596,2.53282,-133.60154,-7.08622,-7.96352,29.83416,-14.8172,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,9077a0c0-40ea-11f1-93f1-191074f1b159,90.67522,66.59994,,8.12328,,,,1.98645,2.09107,-0.28632,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:06:00.98,2026-04-25T17:06:00.9852416-04:00,2026-04-25T21:06:00.9852416Z,FlyBall,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,577d2556-fdb3-4d58-a4bb-07b8c298e846,54.83227,-134.6763,14.91708,6.02162,-6.55244,-7.4086,-0.78197,2.8197,-3.98176,191.572337,1.98652,124.36581,-19.48126,4.27085,-0.89053,0.18424,-0.03355,0.00406,-0.00022,2.09185,58.28806,-13.69201,-0.00617,0.28006,-0.13916,0.0379,-0.00518,0.00028,-0.28648,-25.45591,6.31118,-1.58139,0.34058,-0.06308,0.0092,-0.00092,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-25,17:06:49.55,2,1,"Kenny, Lex",1000077563,Right,UNI_WES,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,0,0,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.14536,-0.483779,-2.193882,1158.357353,246.159268,2:15,6.05152,0.79052,5.44361,-34.70494,7.90717,14.48871,2.70612,-0.05732,74.44794,-6.88982,0.38559,0.469827,,,,,,,,,,,,-7.92524,4.59126,-0.60659,50,5.98518,3.9495,-119.03667,-2.18605,-11.23927,25.32752,-25.66287,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,ad811980-40ea-11f1-93f1-191074f1b159,80.22622,,,7.69742,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:06:49.55,2026-04-25T17:06:49.5525888-04:00,2026-04-25T21:06:49.5525888Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,2337a080-6031-481f-a3b6-43dd5c29ad7a,55.05485,-120.10738,12.66376,6.05467,-1.10116,-12.83144,-0.7836,4.42464,-5.61964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,17:07:10.18,2,2,"Kenny, Lex",1000077563,Right,UNI_WES,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.94545,1.394012,-2.427119,1292.100637,292.352302,3:45,6.10734,0.86062,5.39447,-47.05152,-3.89981,13.31564,3.49428,-0.30581,73.86525,-7.219338,-0.059268,0.472792,,,,,,,,,,,,-7.45237,-1.92335,-0.65344,50,6.19908,4.46657,-118.66847,1.19377,-10.4386,26.46143,-34.8681,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,b9d169b0-40ea-11f1-93f1-191074f1b159,79.72302,,,8.0802,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:07:10.18,2026-04-25T17:07:10.1812736-04:00,2026-04-25T21:07:10.1812736Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,301447f6-fbd1-40e5-9fd2-243295cb606a,55.10555,-119.80153,13.23072,6.116,2.6868,-17.43405,-0.85427,4.91354,-5.2193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,17:07:30.06,2,3,"Kenny, Lex",1000077563,Right,UNI_WES,"Russell, Landon",804915,Right,STE_HAT,Undefined,1,Top,0,1,1,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.53189,-0.615719,-2.165917,1063.709455,277.239986,3:15,6.00313,0.78955,5.32911,-42.86809,-0.21925,14.08552,1.8526,-0.07,74.59237,-8.451253,0.339581,0.470029,,,,,,,,,,,,-7.74855,0.57654,-0.60408,50,5.91687,3.91921,-119.52936,-2.8336,-11.00458,26.97852,-31.35522,UNI_WES,STE_HAT,UofWestGeorgia,D1,ASUN,20260425-UofWestGeorgia-2,c5c73dd0-40ea-11f1-93f1-191074f1b159,80.19168,,,7.93952,,,,,,,d081fa6f-f98d-4678-839d-90b45c337474,2026-04-25,21:07:30.06,2026-04-25T17:07:30.0675072-04:00,2026-04-25T21:07:30.0675072Z,,v3,west-georgia,471456,,"Cooper, Mason",1000064183,Right,UNI_WES,8ee892b6-ea94-4951-a664-78a18713e1e6,55.1702,-120.69067,13.48926,6.00979,-1.4839,-15.67761,-0.78299,4.39291,-5.50229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
