PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,17:32:14.87,1,1,"Tenery, Eric",1000322048,Left,STM_RAT,"Clark, Connor",10101384,Right,UNI_TEX,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,LineDrive,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,8f6d0d90-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:14.87,2026-04-25T17:32:14.8751872-05:00,2026-04-25T22:32:14.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,ad7ff2cc-2201-43db-8d1b-f806dd4f8112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-25,17:32:15.87,2,1,"Tenery, Eric",1000322048,Left,STM_RAT,"Bearden, Brock",1000361608,Right,UNI_TEX,Undefined,1,Top,1,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,8fc2ceb0-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:15.87,2026-04-25T17:32:15.8751872-05:00,2026-04-25T22:32:15.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,24ae8125-5b1f-4470-b74c-c26473c34bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-04-25,17:32:16.87,2,2,"Tenery, Eric",1000322048,Left,STM_RAT,"Bearden, Brock",1000361608,Right,UNI_TEX,Undefined,1,Top,1,0,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,8ff02040-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:16.87,2026-04-25T17:32:16.8751872-05:00,2026-04-25T22:32:16.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,4c985f90-0cd2-47c0-8554-f44693031738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-04-25,17:32:17.87,2,3,"Tenery, Eric",1000322048,Left,STM_RAT,"Bearden, Brock",1000361608,Right,UNI_TEX,Undefined,1,Top,1,1,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,902a6a20-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:17.87,2026-04-25T17:32:17.8751872-05:00,2026-04-25T22:32:17.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,8236e4b7-f4a6-468f-90f5-f1032a6d8381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-25,17:32:18.87,2,4,"Tenery, Eric",1000322048,Left,STM_RAT,"Bearden, Brock",1000361608,Right,UNI_TEX,Undefined,1,Top,1,1,2,Fastball,,InPlay,Undefined,Popup,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,904ee210-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:18.87,2026-04-25T17:32:18.8751872-05:00,2026-04-25T22:32:18.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,55893a11-909d-4c67-b3f6-daf05c041fa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-04-25,17:32:19.87,3,1,"Tenery, Eric",1000322048,Left,STM_RAT,"Schmidt, Drew",1000297927,Right,UNI_TEX,Undefined,1,Top,2,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,907b4940-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:19.87,2026-04-25T17:32:19.8751872-05:00,2026-04-25T22:32:19.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,9f990fa3-2026-452c-aacc-1ff09c8386fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-04-25,17:32:20.87,3,2,"Tenery, Eric",1000322048,Left,STM_RAT,"Schmidt, Drew",1000297927,Right,UNI_TEX,Undefined,1,Top,2,0,1,Splitter,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,90a0ab90-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:20.87,2026-04-25T17:32:20.8751872-05:00,2026-04-25T22:32:20.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,19970857-f9e0-4f9f-aadf-b6cb700deb65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-04-25,17:32:21.87,3,3,"Tenery, Eric",1000322048,Left,STM_RAT,"Schmidt, Drew",1000297927,Right,UNI_TEX,Undefined,1,Top,2,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,90c300a0-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:21.87,2026-04-25T17:32:21.8751872-05:00,2026-04-25T22:32:21.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,d3273224-a731-434f-97d9-58de88c4296d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-04-25,17:32:22.87,3,4,"Tenery, Eric",1000322048,Left,STM_RAT,"Schmidt, Drew",1000297927,Right,UNI_TEX,Undefined,1,Top,2,2,1,Slider,,InPlay,Undefined,LineDrive,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,90de29c0-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:22.87,2026-04-25T17:32:22.8751872-05:00,2026-04-25T22:32:22.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,c1dc01b1-edba-43c5-9b8a-db54e121de3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-04-25,17:32:23.87,4,1,"Tenery, Eric",1000322048,Left,STM_RAT,"Smith, Luke",831156,Right,UNI_TEX,Undefined,1,Top,2,0,0,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM_RAT,UNI_TEX,DicksonStadium,D2,LS,20260425-DicksonStadium-5,90f9a100-40f5-11f1-be29-39cfb42a0c66,,,,,,,,,,,bea3e790-3da6-45b5-9be5-964947a49a4f,2026-04-25,22:32:23.87,2026-04-25T17:32:23.8751872-05:00,2026-04-25T22:32:23.8751872Z,,v3,5067,643-146101,8845,"Hughes, Ethan",1000185569,Right,STM_RAT,786158e3-3b17-47d8-8e02-d1857c20b0df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
