PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,16:07:24.63,1,1,"Morton, Carson",1000187296,Right,WIN_BUL,"Matthews, Riley",10151380,Right,AND_TRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.56129,-3.224015,-3.843535,2434.453131,204.703473,12:45,6.56176,1.73704,6.37771,-11.33205,21.45698,9.39335,2.64152,-1.02152,83.88709,-5.43987,-2.148186,0.412132,,,,,,,,,,,,-5.90099,12.34363,-1.46365,50,6.32291,8.5282,-132.67398,-7.73108,-10.55656,27.41273,-10.09195,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,6062a4a0-40e2-11f1-b67a-a3d231a7c745,91.45731,,,7.6742,,,,,,,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:07:24.63,2026-04-25T16:07:24.6386176-04:00,2026-04-25T20:07:24.6386176Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,88cbbe5e-778b-410c-897e-c7ccd71583e1,54.12001,-133.52253,13.70637,6.55739,-7.41868,-5.04598,-1.73269,8.85497,-5.27828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,16:07:39.43,1,2,"Morton, Carson",1000187296,Right,WIN_BUL,"Matthews, Riley",10151380,Right,AND_TRO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.05016,-3.652825,-3.429287,2356.243033,204.16974,12:45,6.50768,1.57881,6.58062,-11.08241,21.80726,9.31977,2.22595,-0.79107,83.48784,-5.829167,-1.739388,0.412763,,,,,,,,,,,,-5.79347,12.73611,-1.34702,50,6.2513,7.54108,-131.98124,-8.65687,-10.25641,27.12323,-9.62678,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,69365130-40e2-11f1-b67a-a3d231a7c745,91.3173,,,7.56232,,,,,,,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:07:39.43,2026-04-25T16:07:39.4346496-04:00,2026-04-25T20:07:39.4346496Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,35e6c9d1-23b3-414d-9c61-cfdd84caec8e,53.91736,-132.78385,13.56161,6.50325,-8.372,-4.81339,-1.57466,7.84458,-5.12821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,16:07:55.81,1,3,"Morton, Carson",1000187296,Right,WIN_BUL,"Matthews, Riley",10151380,Right,AND_TRO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.07776,-3.75877,-3.734619,2418.045773,203.983421,12:45,6.42409,1.68099,6.64123,-11.82162,20.92859,8.85993,1.98592,-1.00418,83.71629,-6.064494,-2.12707,0.411887,,,,,,,,,,,,-5.62855,12.30953,-1.43188,50,6.16418,8.2724,-132.00223,-8.93613,-9.99005,26.53775,-10.32599,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,72f39a70-40e2-11f1-b67a-a3d231a7c745,91.51154,,,7.36147,,,,,,,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:07:55.81,2026-04-25T16:07:55.8140928-04:00,2026-04-25T20:07:55.8140928Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,ab1389ae-a63e-45ef-97f1-89fde33b5835,53.85719,-132.77541,13.26888,6.42016,-8.63528,-5.163,-1.67714,8.56346,-4.99503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,16:08:13.02,1,4,"Morton, Carson",1000187296,Right,WIN_BUL,"Matthews, Riley",10151380,Right,AND_TRO,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.87279,-2.739026,-3.670144,2435.621144,207.657572,1:00,6.53274,1.70201,6.85525,-11.30221,22.15084,11.04264,3.0868,-0.72827,82.12014,-4.981348,-1.657968,0.416284,76.38326,52.652116,136.735321,4922.200636,,,,,57.44195,,,-6.90044,12.86831,-1.47135,50,6.35296,7.9595,-130.39841,-6.45296,-11.87824,27.48312,-10.02285,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,7d36b580-40e2-11f1-b67a-a3d231a7c745,90.54508,61.09881,,7.75265,,,,1.04495,3.11371,0.69569,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:08:13.02,2026-04-25T16:08:13.0236928-04:00,2026-04-25T20:08:13.0236928Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,20223f78-d8a5-44ed-9301-b63f2a907857,53.64366,-131.16411,13.74156,6.52886,-6.17372,-5.01142,-1.69772,8.29043,-5.93912,,1.04495,-49.48997,-0.27748,2.54925,-0.94151,0.28921,-0.074,0.01702,-0.00217,3.11371,89.05901,-33.0281,5.05569,-1.07078,0.20201,-0.03737,0.00627,-0.00046,0.69569,46.57942,-10.51219,2.35844,-0.51217,0.09456,-0.01822,0.00277,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-25,16:08:37.96,1,5,"Morton, Carson",1000187296,Right,WIN_BUL,"Matthews, Riley",10151380,Right,AND_TRO,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.16597,-3.038837,-3.260755,2150.369178,202.549048,12:45,6.53102,1.68169,6.61859,-10.11524,22.83048,9.01894,2.89803,-0.55612,82.95163,-5.060303,-1.623899,0.413115,75.63468,55.58298,77.80194,5096.254195,,,,,60.3534,,,-5.68902,13.223,-1.46354,50,6.31957,7.17718,-132.1822,-7.19954,-10.02007,29.35462,-8.8843,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,8c16b140-40e2-11f1-b67a-a3d231a7c745,91.2396,75.66472,,8.21434,,,,0.423,2.80957,0.58402,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:08:37.96,2026-04-25T16:08:37.9657216-04:00,2026-04-25T20:08:37.9657216Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,9a77ff5e-9e29-4e06-bbdc-293831a029b9,53.8791,-133.04087,14.67731,6.52637,-6.93966,-4.44215,-1.67777,7.47028,-5.01004,,0.423,13.24784,-8.82136,2.66614,-0.66223,0.1768,-0.08129,0.04396,-0.01168,2.80957,91.51179,-24.808,2.66692,-0.51135,0.08515,-0.01041,-0.00224,0.00126,0.58402,61.2838,-7.38497,1.49189,-0.26814,0.05149,-0.01541,0.00604,-0.00146,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2026-04-25,16:09:01.06,1,6,"Morton, Carson",1000187296,Right,WIN_BUL,"Matthews, Riley",10151380,Right,AND_TRO,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.46041,-3.080091,-3.654271,2151.620616,208.964678,1:00,6.52441,1.58178,6.48541,-14.08091,18.81099,9.8067,2.51464,-0.96059,83.39173,-5.806096,-1.879464,0.412777,,,,,,,,,,,,-6.14335,11.03308,-1.32879,50,6.30096,8.06412,-132.51909,-7.48189,-10.89651,28.99709,-12.60463,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,99dc6360-40e2-11f1-b67a-a3d231a7c745,91.3142,,,8.06868,,,,,,,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:09:01.06,2026-04-25T16:09:01.0604544-04:00,2026-04-25T20:09:01.0604544Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,b98f652c-326c-4d4d-9cee-152c138c0d12,54.01139,-133.39395,14.49854,6.52096,-7.1016,-6.30232,-1.57705,8.39287,-5.44825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,16:09:32.45,2,1,"Morton, Carson",1000187296,Right,WIN_BUL,"Harrison, Braeden",1000215955,Right,AND_TRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.47974,-2.485451,-2.650232,2155.952423,206.749223,1:00,6.55854,1.58371,6.47805,-13.7628,18.39619,8.72823,3.12552,-0.12422,84.13389,-5.157271,-1.068427,0.408153,101.60878,6.589743,-24.344203,2048.76741,,,,112.16429,108.60645,-26.171904,0.835847,-5.37051,10.70205,-1.40096,50,6.37723,5.86286,-134.19235,-6.1715,-9.73614,30.60955,-12.77237,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,ac8b8f90-40e2-11f1-b67a-a3d231a7c745,92.34891,5.78924,,8.34584,,,,1.30472,3.05325,0.19692,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:09:32.45,2026-04-25T16:09:32.4553728-04:00,2026-04-25T20:09:32.4553728Z,GroundBall,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,48ae74da-7822-4db1-97a5-c18443845893,54.02025,-135.10626,15.30477,6.5558,-5.79015,-6.38618,-1.58035,6.15355,-4.86807,42.308696,1.3682,133.84531,-18.08651,,,,,,,3.1425,15.64365,-23.33022,,,,,,,0.21467,-61.32084,2.22271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-25,16:10:13.92,3,1,"Morton, Carson",1000187296,Right,WIN_BUL,"Denton, Myles",10925406,Right,AND_TRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.68274,-4.616235,-4.191981,2309.905012,213.6111,1:00,6.52312,1.47505,6.62033,-12.82158,20.59355,12.9378,1.20677,-1.2925,82.7692,-7.116032,-1.846512,0.416048,,,,,,,,,,,,-7.97445,12.47556,-1.19492,50,6.20271,9.10499,-131.12943,-10.88944,-13.8561,28.26415,-10.49705,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,c562a940-40e2-11f1-b67a-a3d231a7c745,90.59644,,,7.91354,,,,,,,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:10:13.92,2026-04-25T16:10:13.9246080-04:00,2026-04-25T20:10:13.9246080Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,03c29185-fb9d-4028-ae2c-6473f8182326,53.87753,-131.96256,14.13208,6.51913,-10.58002,-5.24853,-1.46933,9.51342,-6.92805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,16:10:37.60,3,2,"Morton, Carson",1000187296,Right,WIN_BUL,"Denton, Myles",10925406,Right,AND_TRO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02228,-2.093778,-4.085537,2191.724307,208.926116,1:00,6.47359,1.63808,6.38875,-14.94906,18.4656,9.57796,3.29621,-1.32801,82.68377,-4.985326,-2.357013,0.416045,,,,,,,,,,,,-6.16658,10.56142,-1.34798,50,6.31544,9.02392,-131.85994,-5.20479,-10.79612,29.50598,-13.68368,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,d367d560-40e2-11f1-b67a-a3d231a7c745,90.5971,,,8.33852,,,,,,,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:10:37.60,2026-04-25T16:10:37.6028160-04:00,2026-04-25T20:10:37.6028160Z,,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,b3ea4a3b-42a1-4675-b226-c48ee7295aff,54.10761,-132.77591,14.75299,6.47043,-4.78,-6.84184,-1.63331,9.35907,-5.39806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,16:11:02.26,3,3,"Morton, Carson",1000187296,Right,WIN_BUL,"Denton, Myles",10925406,Right,AND_TRO,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,89.72992,-2.974297,-2.969478,2171.898882,213.03714,1:00,6.50189,1.67014,6.53034,-13.74387,20.60462,12.59796,2.62204,-0.00646,81.13986,-5.668753,-0.684682,0.421818,100.78999,23.61522,-13.973084,1890.196855,106.72359,43.63752,-26.64571,390.2735,389.93828,-13.829806,4.288558,-7.52933,12.09194,-1.46886,50,6.28879,6.24985,-130.04113,-7.066,-12.7366,30.36129,-11.71937,WIN_BUL,AND_TRO,RonChrisStad,D2,Team,20260425-RonChrisStad-2,e213efe0-40e2-11f1-b67a-a3d231a7c745,89.35712,60.94604,,8.59006,,,,1.21423,2.63221,-0.00208,23e2f2d9-41c1-4738-9601-d69db238486b,2026-04-25,20:11:02.26,2026-04-25T16:11:02.2610944-04:00,2026-04-25T20:11:02.2610944Z,FlyBall,v3,643-146250,643-144395,,"Hart, Bradley",1000210561,Right,WIN_BUL,3658c7d5-590e-499c-a74c-9e29e9c873f8,53.96661,-130.96395,15.18065,6.49815,-6.70979,-5.85969,-1.6647,6.63698,-6.3683,175.107749,1.21386,131.44651,-21.17569,5.07816,-1.15399,0.25527,-0.04695,0.00555,-0.00029,2.63282,59.20257,-16.1545,0.50729,0.13251,-0.08975,0.0243,-0.00305,0.00014,-0.00182,-32.71182,4.47548,-0.81007,0.17047,-0.04511,0.01036,-0.00135,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
