PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,13:05:04.18,1,1,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Shipman, Micah",1000376300,Right,SHO_UNI,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.63749,-0.382023,-2.804356,1878.681113,260.674814,2:45,5.49475,1.25766,5.95767,-35.78049,3.8426,16.26107,2.15833,0.0099,77.14616,-6.982992,0.117527,0.453049,102.58271,-4.965369,-34.009762,,,,,28.99017,28.05485,-31.561847,0.181751,-9.15465,2.39441,-1.04406,50,5.44402,5.33389,-121.52938,-1.97276,-13.7688,22.55457,-28.57281,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,e7a149e0-40c8-11f1-b36a-fd46b7887f62,83.19719,2.36926,,6.49133,,,,2.09604,2.36926,0.0794,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:05:04.18,2026-04-25T13:05:04.1880064-04:00,2026-04-25T17:05:04.1880064Z,GroundBall,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,5977e8f1-7a29-46b0-befd-8a116f0aa95d,54.54824,-122.37057,11.27729,5.49773,-0.90711,-14.2864,-1.25257,5.84741,-6.8844,180,2.09231,124.37759,,,,,,,,2.36965,-13.03575,,,,,,,,0.08192,-83.92458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-25,13:05:40.59,2,1,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Tamucci, Griffin",10103030,Left,SHO_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.41153,-1.084396,-2.260272,2418.563974,222.508375,1:30,5.51355,1.62887,5.76739,-19.23643,16.3428,13.81083,2.90033,0.67499,80.6617,-4.740109,0.210938,0.429309,76.38172,5.570651,-172.40022,919.727778,,,,100.69264,46.56837,-171.278046,1.024337,-7.7465,9.03331,-1.45016,50,5.41228,4.51414,-129.60511,-3.04634,-13.00017,30.46721,-17.01434,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,fd532ec0-40c8-11f1-b36a-fd46b7887f62,87.79801,4.99547,,8.74983,,,,1.35844,2.83438,-0.61545,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:05:40.59,2026-04-25T13:05:40.5971456-04:00,2026-04-25T17:05:40.5971456Z,GroundBall,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,6f48f93c-e70e-4bf5-b784-3ad60773ec7a,54.73376,-130.71317,15.23361,5.51182,-2.42754,-8.50717,-1.62293,4.98695,-6.50009,202.169171,1.26858,-109.31331,10.72888,,,,,,,2.86061,10.53294,-13.0331,,,,,,,-0.61549,-14.74634,0.43068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-25,13:06:17.53,2,2,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Tamucci, Griffin",10103030,Left,SHO_UNI,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,84.74149,-0.723652,-2.848791,1872.557559,249.849613,2:15,5.41647,1.69103,5.98679,-31.41801,6.99197,16.07147,2.12669,0.3876,78.40397,-6.533529,0.039744,0.44606,94.70955,-0.520927,9.283371,2190.844688,,,,42.3102,42.3102,8.447499,0.307756,-9.03371,4.0967,-1.47506,50,5.34161,5.512,-123.16396,-2.57028,-14.01674,22.14266,-25.81761,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,1357c780-40c9-11f1-b36a-fd46b7887f62,84.50082,2.18243,,6.33752,,,,1.49043,2.18243,-0.39046,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:06:17.53,2026-04-25T13:06:17.5348736-04:00,2026-04-25T17:06:17.5348736Z,GroundBall,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,cf740ae1-dcfc-41b2-9a5e-f36ed94d1067,54.51906,-123.97375,11.07133,5.41835,-1.6261,-12.9088,-1.68601,6.02461,-7.00837,358.502841,1.49464,136.90007,-18.78596,,,,,,,2.18552,-1.39646,-18.56888,,,,,,,-0.3898,22.37889,-2.98328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-25,13:07:00.80,3,1,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Cobb, Drake",1000305106,Right,SHO_UNI,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.66272,-1.48986,-4.658427,1884.741516,248.448209,2:15,5.33404,1.30081,6.22325,-31.2358,7.37508,15.59729,1.35139,-1.70757,77.7327,-7.298698,-1.851024,0.447225,,,,,,,,,,,,-9.29898,4.62177,-0.95866,50,5.20672,9.38983,-122.68075,-4.16948,-14.20529,23.73464,-25.11377,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,2d2bded0-40c9-11f1-b36a-fd46b7887f62,84.28065,,,6.93002,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:07:00.80,2026-04-25T13:07:00.8028672-04:00,2026-04-25T17:07:00.8028672Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,2a39be0b-b80a-444c-a54d-08ef3d0d7abd,54.27987,-123.50599,11.86732,5.33651,-3.29629,-12.55689,-1.29372,9.88374,-7.10264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,13:07:18.44,3,2,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Cobb, Drake",1000305106,Right,SHO_UNI,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.31211,-2.092674,-3.083784,1893.848138,248.347277,2:15,5.48048,1.36107,5.71861,-30.0236,8.81174,18.98308,1.02532,0.06742,78.0615,-7.639643,0.311881,0.448523,,,,,,,,,,,,-10.62564,5.44689,-1.1152,50,5.28649,5.89725,-123.6928,-5.52735,-16.40793,25.42964,-23.76303,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,37a6abb0-40c9-11f1-b36a-fd46b7887f62,84.03675,,,7.25062,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:07:18.44,2026-04-25T13:07:18.4415744-04:00,2026-04-25T17:07:18.4415744Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,5e62da5c-f0fd-4011-ab97-6b7363f3f030,54.78613,-124.67288,12.71482,5.48187,-4.6115,-11.88152,-1.35468,6.52963,-8.20397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,13:07:40.02,3,3,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Cobb, Drake",1000305106,Right,SHO_UNI,Undefined,1,Top,2,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.61316,-2.344396,-4.539984,2522.855348,224.700496,1:30,5.52362,1.32061,6.27076,-18.21938,16.42481,15.09099,1.83593,-1.61619,81.51051,-5.821174,-1.823412,0.42363,,,,,,,,,,,,-9.08536,9.53721,-0.99064,50,5.34039,9.67455,-129.71901,-5.83101,-15.4162,28.1897,-15.99114,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,447f3eb0-40c9-11f1-b36a-fd46b7887f62,88.97493,,,8.10265,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:07:40.02,2026-04-25T13:07:40.0211968-04:00,2026-04-25T17:07:40.0211968Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,63466bd3-a180-40ed-acb5-2d2bc64bfbd2,54.2307,-130.63517,14.09485,5.52145,-5.3113,-7.99557,-1.3132,10.17557,-7.7081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,13:08:00.01,3,4,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Cobb, Drake",1000305106,Right,SHO_UNI,Undefined,1,Top,2,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.98299,-2.631282,-3.920278,2469.714065,222.646618,1:30,5.50616,1.3813,6.10334,-16.4858,18.28997,15.69072,1.69134,-0.94253,81.31236,-5.800963,-1.101122,0.424434,,,,,,,,,,,,-9.2554,10.59296,-1.0871,50,5.29438,8.25456,-130.21109,-6.44322,-15.71155,30.21096,-14.19189,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,5072a1d0-40c9-11f1-b36a-fd46b7887f62,88.80645,,,8.67063,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:08:00.01,2026-04-25T13:08:00.0155136-04:00,2026-04-25T17:08:00.0155136Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,2ad5041b-5958-47e7-934f-3dfb6410911a,54.3975,-131.22741,15.10548,5.50311,-5.96579,-7.09595,-1.37367,8.78311,-7.85578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,13:08:31.79,4,1,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Newberry, Reece",1000134994,Right,SHO_UNI,Undefined,1,Top,2,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.7139,-0.433366,-1.763606,1893.445203,247.996022,2:15,5.51895,1.30825,5.7496,-30.75104,8.95764,18.61895,2.55269,1.21733,76.47882,-6.165963,1.570528,0.453539,,,,,,,,,,,,-10.10886,5.09902,-1.17348,50,5.4643,3.02477,-122.85826,-1.93593,-15.19772,28.06019,-24.50816,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,635fe870-40c9-11f1-b36a-fd46b7887f62,83.10745,,,8.23508,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:08:31.79,2026-04-25T13:08:31.7910528-04:00,2026-04-25T17:08:31.7910528Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,162019ca-50c0-4593-bad2-2d69ffa144f2,54.75315,-123.9391,14.0301,5.52069,-0.9919,-12.25408,-1.30126,3.61017,-7.59886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,13:08:53.48,4,2,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Newberry, Reece",1000134994,Right,SHO_UNI,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.82432,-0.828686,-3.796241,1997.979219,251.77565,2:30,5.49648,1.31983,6.18618,-31.4475,7.4565,18.48788,2.1089,-0.65018,76.87308,-6.713349,-0.465032,0.44892,,,,,,,,,,,,-10.69808,4.53158,-1.04173,50,5.41808,7.42627,-122.93075,-2.75754,-16.18576,26.93872,-25.31797,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,7051a8c0-40c9-11f1-b36a-fd46b7887f62,83.96256,,,7.95125,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:08:53.48,2026-04-25T13:08:53.4887424-04:00,2026-04-25T17:08:53.4887424Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,4af3d8fb-7089-42da-89a8-4a6847f03e60,54.31592,-123.87292,13.46936,5.49904,-1.87206,-12.65898,-1.31136,7.99236,-8.09288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,13:09:12.36,4,3,"Faulk, Ashton",1000123438,Right,SOU_WES1,"Newberry, Reece",1000134994,Right,SHO_UNI,Undefined,1,Top,2,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.36052,-1.503473,-4.245723,1921.690114,242.971332,2:00,5.51275,1.20508,6.07129,-30.02261,9.65075,16.098,1.61536,-1.38972,76.29173,-7.122127,-1.354228,0.453337,,,,,,,,,,,,-9.61536,5.87477,-0.88383,50,5.38009,8.42372,-122.094,-4.1395,-14.31472,27.12206,-23.42805,SOU_WES1,SHO_UNI,SouthernWesleyan,D2,CC,20260425-SouthernWesleyan-1,7b8da2c0-40c9-11f1-b36a-fd46b7887f62,83.14446,,,8.06879,,,,,,,55d99576-39bd-49e5-beb7-83b72ad9a072,2026-04-25,17:09:12.36,2026-04-25T13:09:12.3664896-04:00,2026-04-25T17:09:12.3664896Z,,v3,643-145851,643-145794,6630,"Garrett, Harrison",1000113359,Right,SOU_WES1,704853fc-8737-4abb-b077-ee3ac521c61a,54.43006,-123.07416,13.56103,5.51439,-3.29284,-11.71403,-1.1976,8.94104,-7.15736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
