PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:06:24.05,1,1,"Pettey, Corden",828248,Right,CAL_MUS,"Thomas, Matthew",1000242397,Right,CAL_MAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.88453,-2.662828,-2.204067,2168.982251,192.075746,12:30,5.68345,1.1036,6.84056,-14.70745,17.24737,3.47272,2.02592,-0.618,84.10673,-5.508931,-1.570116,0.406855,,,,,,,,,,,,-2.45524,10.20662,-0.96351,50,5.50684,5.00482,-133.46741,-6.55528,-4.42735,28.81083,-13.76915,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,66c1b560-41ab-11f1-891d-0545bf6df6b3,92.64346,,,7.7778,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:06:24.05,2026-04-26T13:06:24.0549888-07:00,2026-04-26T20:06:24.0549888Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,adf6e279-ea10-4350-831e-bb38174188e2,53.65928,-134.25499,14.40542,5.6809,-6.17888,-6.88458,-1.10198,5.12585,-2.21367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:06:40.06,1,2,"Pettey, Corden",828248,Right,CAL_MUS,"Thomas, Matthew",1000242397,Right,CAL_MAT,Undefined,1,Top,0,0,1,Curveball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.38421,-0.845786,-1.140897,2433.155314,77.414211,8:30,5.69128,1.11551,5.98682,-44.24935,-1.61445,-13.93174,1.2197,-1.10305,74.0328,-8.995293,-3.65026,0.469953,,,,,,,,,,,,6.80016,-0.12406,-1.01781,50,5.60032,2.88299,-118.11321,-3.17119,9.44018,26.12612,-32.34629,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,70572b50-41ab-11f1-891d-0545bf6df6b3,80.20476,,,7.35141,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:06:40.06,2026-04-26T13:06:40.0612864-07:00,2026-04-26T20:06:40.0612864Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,71a36cd4-7b00-4adb-aee2-3a01b62f1843,54.51364,-119.10743,13.06306,5.69757,-1.94028,-16.17314,-1.12068,2.52375,4.72009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,13:07:03.36,1,3,"Pettey, Corden",828248,Right,CAL_MUS,"Thomas, Matthew",1000242397,Right,CAL_MAT,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.64411,-2.250614,-2.938988,2554.719338,84.900674,8:45,5.62131,1.2917,6.30943,-38.2912,0.41976,-9.26792,0.35326,-2.19046,77.76343,-9.304509,-4.614906,0.447804,,,,,,,,,,,,3.99335,1.20665,-1.07167,50,5.43767,6.6422,-122.80739,-6.02466,6.04809,26.19907,-30.3465,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,7e32fd80-41ab-11f1-891d-0545bf6df6b3,84.17165,,,6.88068,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:07:03.36,2026-04-26T13:07:03.3686528-07:00,2026-04-26T20:07:03.3686528Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,512b8b32-abd5-47ed-9eeb-0deb40c01f3e,54.19279,-123.69862,13.09953,5.62505,-4.99234,-15.17325,-1.29412,6.43646,3.02405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:07:21.52,1,4,"Pettey, Corden",828248,Right,CAL_MUS,"Thomas, Matthew",1000242397,Right,CAL_MAT,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.15086,-2.982037,-1.614818,2419.292749,115.379939,9:45,5.73435,1.05378,6.15984,-34.85104,5.6902,-9.03654,0.07161,-1.19148,75.92232,-9.423337,-3.247363,0.458268,,,,,,,,,,,,4.22705,4.25685,-0.92642,50,5.48982,3.72998,-120.57328,-7.34878,6.13652,26.47267,-25.99423,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,88ff93e0-41ab-11f1-891d-0545bf6df6b3,82.24972,,,7.22854,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:07:21.52,2026-04-26T13:07:21.5259136-07:00,2026-04-26T20:07:21.5259136Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,1b6d4a37-1604-4891-81a0-b17ea0b0292d,54.34138,-121.52272,13.23634,5.73666,-6.4165,-12.99711,-1.05625,3.5099,3.06826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:07:48.23,1,5,"Pettey, Corden",828248,Right,CAL_MUS,"Thomas, Matthew",1000242397,Right,CAL_MAT,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.12121,-0.454605,-1.50419,2427.333081,87.551611,9:00,5.6697,0.99448,6.13907,-40.32514,0.95339,-9.24725,1.88898,-1.16661,75.12506,-7.913855,-3.17289,0.462417,,,,,,,,,,,,4.32906,1.03823,-0.8751,50,5.6144,3.48019,-119.2831,-2.21689,6.18793,24.63788,-30.69004,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,98edcb50-41ab-11f1-891d-0545bf6df6b3,81.51185,,,6.99615,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:07:48.23,2026-04-26T13:07:48.2330000-07:00,2026-04-26T20:07:48.2330000Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,bfa1c632-120d-47f6-bc5e-5f923f949a88,54.36138,-120.18056,12.31894,5.67479,-1.09897,-15.34502,-0.99777,3.25479,3.09397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.53079,,,1.001904,,,,0.16847,5.95123,0.35726,69.31316,3.32188,-55.47743,0.19858,73.51989,-4.53592,5.98588,11.5084,-14.14962,0.30538,-61.92161,6.24648,High,High,High,,,High,High,High
6,2026-04-26,13:08:19.76,2,1,"Pettey, Corden",828248,Right,CAL_MUS,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.1636,-3.220179,-0.420151,2346.691477,191.139678,12:15,5.67947,1.11275,6.74223,-13.74442,18.19194,3.37768,1.58875,1.01033,84.22428,-5.886444,0.196058,0.406738,,,,,,,,,,,,-1.90984,10.8669,-1.0863,50,5.46185,0.85216,-133.86628,-7.85058,-3.45609,29.64004,-12.50908,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,abaa8c10-41ab-11f1-891d-0545bf6df6b3,92.67018,,,7.93932,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:08:19.76,2026-04-26T13:08:19.7640704-07:00,2026-04-26T20:08:19.7640704Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,cb6c053e-6543-4f33-a2b5-56ea41e64307,53.75794,-134.69578,14.82002,5.67666,-7.5005,-6.25454,-1.1115,0.94888,-1.72804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:08:34.83,2,2,"Pettey, Corden",828248,Right,CAL_MUS,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.7152,-1.809585,-0.746406,2332.592176,187.66488,12:15,5.67569,1.14426,6.52199,-16.55812,16.00154,2.00874,2.63484,0.62677,83.51441,-4.992049,-0.381499,0.410688,,,,,,,,,,,,-1.26807,9.23583,-1.0931,50,5.54229,1.65482,-133.24576,-4.6472,-2.26762,30.05109,-15.65788,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,b4a82ed0-41ab-11f1-891d-0545bf6df6b3,91.77887,,,8.20079,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:08:34.83,2026-04-26T13:08:34.8381184-07:00,2026-04-26T20:08:34.8381184Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,1100b77e-0f39-4731-967f-9272e193a110,53.97664,-134.13961,15.02555,5.6736,-4.18146,-7.82894,-1.14332,1.72227,-1.13381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,13:08:49.17,2,3,"Pettey, Corden",828248,Right,CAL_MUS,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,Popup,Out,1,0,,78.44236,0.821618,-0.714874,2540.47951,44.784084,7:30,5.78109,1.01845,5.67445,-51.04263,-5.01725,-6.47347,2.29365,-0.18752,71.77059,-8.517822,-1.874049,0.488281,93.77444,34.828149,-9.458384,4725.198064,106.89412,70.28916,-25.95452,352.32651,350.89065,-22.137578,5.166057,3.09693,-2.42358,-0.95388,50,5.81794,1.66451,-113.9144,-0.04101,4.03656,22.50065,-35.333,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,bd3c3a50-41ab-11f1-891d-0545bf6df6b3,77.19408,93.77499,,6.67176,,,,2.43649,2.49831,0.16232,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:08:49.17,2026-04-26T13:08:49.1702272-07:00,2026-04-26T20:08:49.1702272Z,FlyBall,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,0b0de111-0687-4c5c-953a-096ec7db9068,54.8279,-114.86407,11.25033,5.7882,1.45026,-17.6665,-1.02054,1.49415,2.01828,150.293523,2.44094,111.2735,-24.94687,6.34421,-1.08912,0.10281,-0.00155,-0.00041,1E-05,2.49758,78.55525,-18.12638,0.06781,0.48865,-0.22318,0.05562,-0.00714,0.00036,0.1631,-18.56964,-4.66238,1.67045,-0.43476,0.08185,-0.01074,0.00089,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-26,13:09:24.00,3,1,"Pettey, Corden",828248,Right,CAL_MUS,"Panganiban, Kyle",822681,Right,CAL_MAT,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.94236,-2.068291,-1.594908,2369.860477,195.790302,12:30,5.69133,1.1379,6.77499,-15.1767,17.03399,4.50607,2.5365,0.05673,83.45098,-5.018115,-0.772808,0.40848,90.37255,40.937794,13.14321,5052.540732,105.22709,86.67032,32.05069,310.168,308.58793,22.246511,5.37203,-2.88024,9.98725,-1.03549,50,5.55035,3.54646,-133.55735,-5.18726,-5.15293,31.31737,-14.3062,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,d1ff7970-41ab-11f1-891d-0545bf6df6b3,92.27476,106.65815,,8.49138,,,,1.55048,2.63926,-0.01398,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:09:24.00,2026-04-26T13:09:24.0055808-07:00,2026-04-26T20:09:24.0055808Z,FlyBall,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Tayman, Ryan",822034,Right,CAL_MUS,0e78743b-8f84-41be-81b1-6447a3ebe047,53.7247,-134.4279,15.65869,5.68902,-4.78958,-7.1531,-1.13607,3.6897,-2.57647,200.500033,1.55616,97.39269,-23.05597,5.92183,-0.96106,0.06368,0.00677,-0.00142,7E-05,2.63773,86.86897,-20.32568,0.78898,0.23839,-0.15243,0.04061,-0.00527,0.00026,-0.01408,22.77156,0.74156,-0.62012,0.20439,-0.04029,0.00448,-0.00023,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-26,13:12:00.05,1,1,"Rogers, Charles",10941924,Right,CAL_MAT,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Bottom,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.12512,-1.119728,-2.494028,2312.52889,113.048119,9:45,5.41425,1.36518,5.2023,-42.00424,3.56815,-4.42173,0.85961,-1.35052,72.48681,-8.781982,-3.277617,0.485872,,,,,,,,,,,,1.36843,2.6502,-1.13061,50,5.27915,5.23363,-115.92898,-3.73705,1.82613,25.59562,-28.63742,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20260426-BaggettStadium-1,2f13c080-41ac-11f1-891d-0545bf6df6b3,77.57681,,,7.63831,,,,,,,73a5b6f3-70d5-4800-8c6b-184a2c2cde66,2026-04-26,20:12:00.05,2026-04-26T13:12:00.0545792-07:00,2026-04-26T20:12:00.0545792Z,,v3,471251,471256,f479ea7942024e2dab3475dd781a52d0,"Rios, Xavier",822555,Right,CAL_MAT,0ae61266-2197-48dd-9da4-e422e24e9c1e,55.29513,-117.09224,12.79781,5.41942,-2.43555,-14.31871,-1.36658,5.15063,0.91306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
