PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:02:36.11,1,1,"Lafferty, Drew",805298,Right,PIT_PAN,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.66781,-0.460924,-3.80569,2245.481152,247.546074,2:15,5.31925,2.96987,6.32154,-24.45808,8.39119,17.72647,2.85562,0.9368,83.55043,-5.059723,-0.605519,0.41251,,,,,,,,,,,,-10.23288,4.82677,-2.69899,50,5.27392,8.10233,-132.99145,-1.85676,-18.28684,29.10043,-23.54829,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,fdd27e90-4191-11f1-ab1c-bdbfa7babb25,91.37345,,,8.11738,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:02:36.11,2026-04-26T13:02:36.1180000-04:00,2026-04-26T17:02:36.1180000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,844fbf8f-4cce-4957-b4e2-be60f18448f1,54.17916,-133.90279,14.55022,5.32052,-1.1193,-11.77414,-2.96169,8.67502,-9.14342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:02:52.95,1,2,"Lafferty, Drew",805298,Right,PIT_PAN,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,1,0,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,85.50794,-0.022306,-3.366638,2332.367967,151.016989,11:00,5.26149,3.29198,6.08057,-31.98899,6.02721,-2.6861,2.57507,-0.05035,78.38419,-5.959819,-3.849025,0.443768,70.4889,50.541664,-1.340118,,108.53335,86.97157,-17.90285,177.84997,140.59649,-11.486243,4.840693,0.44846,3.45591,-3.03004,50,5.24271,7.40364,-124.08798,-1.07176,0.69867,25.02414,-26.79017,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,07d92ce0-4192-11f1-ab1c-bdbfa7babb25,84.93729,87.89658,,7.12375,,,,1.32713,2.70521,0.05582,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:02:52.95,2026-04-26T13:02:52.9550000-04:00,2026-04-26T17:02:52.9550000Z,Popup,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,48fb0033-9720-433e-8790-fea246c2c0ca,54.42097,-124.97635,12.51207,5.26387,-0.12069,-13.39509,-3.29243,7.37883,0.34933,160.062759,1.32955,65.61935,-16.31239,4.00312,-0.38406,-0.14417,0.06363,-0.00964,0.00053,2.70011,79.92743,-21.86901,2.16195,-0.59328,0.16385,-0.02484,0.0014,0,0.05649,-1.5581,-4.88714,1.69774,-0.25468,-0.0387,0.02581,-0.00437,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-26,13:03:27.31,2,1,"Lafferty, Drew",805298,Right,PIT_PAN,"Didawick, Harrison",703494,Left,VIR_CAV,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.17424,-1.771557,-5.088394,2371.770822,213.231966,1:00,5.56746,2.96929,6.62129,-16.88804,15.84064,9.72485,2.53082,-0.89248,83.70102,-5.000202,-3.329915,0.411752,,,,,,,,,,,,-6.45095,9.11036,-2.62675,50,5.43944,11.38768,-132.12,-4.54587,-11.4652,26.6999,-15.98233,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,1c52dfe0-4192-11f1-ab1c-bdbfa7babb25,91.54162,,,7.47322,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:03:27.31,2026-04-26T13:03:27.3110000-04:00,2026-04-26T17:03:27.3110000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,bbf9c912-1bb6-40f6-acbf-c65041bf34cc,53.88008,-132.90181,13.34995,5.56569,-4.07789,-7.99116,-2.96511,11.7234,-5.7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:03:44.11,2,2,"Lafferty, Drew",805298,Right,PIT_PAN,"Didawick, Harrison",703494,Left,VIR_CAV,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.17432,-0.18851,-2.974732,1372.156965,253.095045,2:30,5.41494,3.15519,6.54541,-33.72687,4.41217,10.94438,2.43125,1.3366,77.83791,-6.479745,-0.987717,0.444484,,,,,,,,,,,,-6.49079,2.71492,-2.9535,50,5.38756,5.96587,-122.39809,-1.39936,-9.93629,22.09784,-28.01794,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,265c2640-4192-11f1-ab1c-bdbfa7babb25,84.80042,,,6.33641,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:03:44.11,2026-04-26T13:03:44.1170000-04:00,2026-04-26T17:03:44.1170000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,c623ebc8-a9de-4f83-b828-d3060589906b,53.95709,-123.11043,11.04892,5.41811,-0.49618,-14.00897,-3.15098,6.28617,-4.96814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:04:03.19,2,3,"Lafferty, Drew",805298,Right,PIT_PAN,"Didawick, Harrison",703494,Left,VIR_CAV,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.37764,-1.253557,-3.964743,2370.699895,152.416611,11:00,5.45007,3.15303,6.118,-33.1673,4.51114,-1.82162,1.52416,-0.67032,79.41601,-7.354939,-4.291965,0.441792,,,,,,,,,,,,-0.015,2.9224,-2.84774,50,5.33609,8.65929,-123.96053,-3.78065,-0.02361,21.98352,-27.57205,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,31b80450-4192-11f1-ab1c-bdbfa7babb25,85.31715,,,5.96163,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:04:03.19,2026-04-26T13:04:03.1970000-04:00,2026-04-26T17:04:03.1970000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,84a92928-d0c5-4fb9-addf-fe1569473d5d,54.38577,-124.73589,10.99176,5.45228,-2.80818,-13.78603,-3.15317,8.66013,-0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,13:04:21.59,2,4,"Lafferty, Drew",805298,Right,PIT_PAN,"Didawick, Harrison",703494,Left,VIR_CAV,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.63956,-2.044445,-5.37588,2426.491405,214.421953,1:15,5.60538,2.95272,6.5993,-15.15958,17.43009,11.23064,2.45994,-1.05112,83.75141,-4.967263,-3.34746,0.410877,,,,,,,,,,,,-7.37662,10.03961,-2.58907,50,5.45851,12.04326,-132.66493,-5.13441,-13.16348,28.03723,-14.25852,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,3cab3580-4192-11f1-ab1c-bdbfa7babb25,91.73665,,,7.88815,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:04:21.59,2026-04-26T13:04:21.5900000-04:00,2026-04-26T17:04:21.5900000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,4b07fc30-7117-48fe-a3b4-ad6708fc0ce2,53.90178,-133.48698,14.01862,5.60292,-4.71635,-7.12926,-2.94783,12.42922,-6.58174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:04:42.02,2,5,"Lafferty, Drew",805298,Right,PIT_PAN,"Didawick, Harrison",703494,Left,VIR_CAV,Undefined,1,Top,1,3,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.7051,-1.985643,-4.577435,2404.480167,207.026962,1:00,5.55989,2.85188,6.41498,-15.25584,17.58489,8.41682,2.45642,-0.66414,83.51529,-4.924124,-3.059699,0.412456,74.40141,73.883957,4.863775,,,,,80.34118,80.34118,-17.439977,5.625484,-5.73512,10.09382,-2.52784,50,5.41039,10.29929,-132.83846,-5.01902,-10.21119,29.40512,-14.20234,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,48d5ae30-4192-11f1-ab1c-bdbfa7babb25,91.3853,132.46914,,8.18981,,,,2.09589,2.51475,0.62772,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:04:42.02,2026-04-26T13:04:42.0200000-04:00,2026-04-26T17:04:42.0200000Z,Popup,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,4de251ea-0c3c-4d96-ac94-4ac26dedbc13,54.08607,-133.73989,14.70256,5.55758,-4.58364,-7.10117,-2.84837,10.61232,-5.10559,,2.0881,30.30505,-10.70213,3.41097,-0.79871,0.15514,-0.02217,0.00182,-6E-05,2.50784,104.9755,-26.80371,3.93155,-1.32971,0.42531,-0.09155,0.01054,-0.00049,0.62083,2.68663,-5.53246,2.20982,-0.68301,0.17768,-0.03236,0.00331,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2026-04-26,13:05:16.94,3,1,"Lafferty, Drew",805298,Right,PIT_PAN,"Tiroly, Joe",840332,Right,VIR_CAV,Undefined,1,Top,2,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.91909,-0.81293,-4.497559,2277.144875,242.355974,2:00,5.25201,2.97313,6.44272,-22.84241,9.5789,16.36249,2.59911,0.19533,84.15035,-5.116176,-1.541457,0.409814,78.80959,-20.005548,3.248975,,,,,8.10053,7.85705,1.512802,0.06363,-9.79784,5.53233,-2.66036,50,5.18375,9.83585,-133.33484,-2.60237,-17.68035,28.02933,-22.19088,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,5dad5fb0-4192-11f1-ab1c-bdbfa7babb25,91.97452,2.5232,,7.76874,,,,1.1785,2.5232,-0.17892,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:05:16.94,2026-04-26T13:05:16.9470000-04:00,2026-04-26T17:05:16.9470000Z,GroundBall,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Pisacreta, Sebastian",804635,Right,PIT_PAN,7fc80702-e176-4088-9bdb-087e7ba47808,54.05982,-134.18557,14.01467,5.25252,-1.92885,-11.09544,-2.96704,10.37247,-8.84018,180,1.17539,108.74166,,,,,,,,2.52433,-39.65439,,,,,,,,-0.1791,6.17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2026-04-26,13:08:14.30,1,1,"Paone, John",832456,Right,VIR_CAV,"Nessler, AJ",1000097666,Left,PIT_PAN,Undefined,1,Bottom,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.56881,-0.86962,-4.715786,2169.984074,243.088746,2:00,4.74776,3.48037,6.17614,-22.32588,9.91709,17.59603,2.08134,0.58155,84.8873,-5.053967,-1.554091,0.408685,,,,,,,,,,,,-10.3513,5.66126,-3.13175,50,4.67032,10.33366,-134.20945,-2.77285,-18.97905,27.61856,-21.79412,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,c7617680-4192-11f1-ab1c-bdbfa7babb25,92.22855,,,7.68152,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:08:14.30,2026-04-26T13:08:14.3000000-04:00,2026-04-26T17:08:14.3000000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Weatherspoon, Jake",803735,Right,VIR_CAV,8c4ef242-3337-4c59-b5b1-10b5d7c500cf,54.32644,-135.09684,13.80928,4.74816,-2.0726,-10.89706,-3.47357,10.94346,-9.48952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,13:08:31.39,1,2,"Paone, John",832456,Right,VIR_CAV,"Nessler, AJ",1000097666,Left,PIT_PAN,Undefined,1,Bottom,0,0,1,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.1141,0.764783,-3.788237,2418.667764,81.986844,8:45,4.49369,3.69179,5.42482,-44.14254,-0.71756,-14.46646,1.53311,-1.06725,74.60586,-7.258566,-6.34975,0.474287,,,,,,,,,,,,6.27662,-0.25551,-3.34454,50,4.5307,8.35411,-117.55961,0.04778,8.76051,22.83757,-32.53069,PIT_PAN,VIR_CAV,CharlesCost,D1,ACC,20260426-CharlesCost-1,d198aab0-4192-11f1-ab1c-bdbfa7babb25,79.47178,,,6.50824,,,,,,,61a21d99-0017-4612-adcb-9bfb3585d30c,2026-04-26,17:08:31.39,2026-04-26T13:08:31.3900000-04:00,2026-04-26T17:08:31.3900000Z,,v3,471411,471482,e7fcb54814ea4b0c8badd8bcf1d27f93,"Weatherspoon, Jake",803735,Right,VIR_CAV,7fac4d26-bdcb-4c52-a421-c4f372bf9c1a,55.0786,-118.5421,11.41878,4.49854,1.44726,-16.26535,-3.69583,7.97723,4.38026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
