PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,12:01:51.42,1,1,"Asher, Nolan",1000251563,Right,CEN_COL,"Eidam, Cade",1000356075,Right,OGL_UNI,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.78125,-0.632471,0.222468,2150.20931,178.821711,12:00,6.18283,1.23735,6.20779,-21.90481,13.56324,-0.25803,3.77366,1.42117,80.97006,-4.753022,0.175862,0.428637,,,,,,,,,,,,0.18913,7.5102,-1.25392,50,6.12423,-0.48547,-127.68898,-2.06389,0.31512,24.01501,-19.66002,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,3d49ae80-4189-11f1-8b8f-9da0a128e1b3,87.93547,,,6.81119,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:01:51.42,2026-04-26T12:01:51.4225152-04:00,2026-04-26T16:01:51.4225152Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,0aa8469f-8693-4719-90ab-880ca2a8d54a,54.28907,-128.49311,12.00751,6.18232,-1.40559,-9.83001,-1.23749,-0.49602,0.15756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,12:02:07.88,1,2,"Asher, Nolan",1000251563,Right,CEN_COL,"Eidam, Cade",1000356075,Right,OGL_UNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.8843,-1.048168,-0.830333,2301.949148,180.414968,12:00,6.19243,1.11641,6.34641,-18.45257,16.79245,0.11421,3.68965,0.36154,80.96597,-4.55584,-0.809662,0.427288,,,,,,,,,,,,-0.27283,9.35453,-1.05619,50,6.10744,1.84854,-127.84797,-2.84615,-0.45497,24.51724,-16.57567,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,471d17d0-4189-11f1-8b8f-9da0a128e1b3,88.21329,,,6.91833,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:02:07.88,2026-04-26T12:02:07.8815232-04:00,2026-04-26T16:02:07.8815232Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,1e8f939a-8d68-4344-9256-4d0ee80bae28,54.1518,-128.64169,12.25862,6.19089,-2.30953,-8.28783,-1.11627,1.86327,-0.22749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,12:02:27.81,1,3,"Asher, Nolan",1000251563,Right,CEN_COL,"Eidam, Cade",1000356075,Right,OGL_UNI,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.61487,-0.591952,-1.074223,2324.258901,176.845673,12:00,6.1774,1.10172,6.48513,-21.03824,14.09391,-0.72307,3.88063,0.0551,81.04953,-4.569151,-1.205445,0.426603,,,,,,,,,,,,0.11598,7.83973,-1.02606,50,6.1263,2.41857,-127.51465,-1.90527,0.19325,23.24548,-19.10968,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,52eec220-4189-11f1-8b8f-9da0a128e1b3,88.3549,,,6.56534,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:02:27.81,2026-04-26T12:02:27.8157312-04:00,2026-04-26T16:02:27.8157312Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,1352b539-a2ac-4ecb-aa2c-d35a4dbb6d0a,54.01232,-128.24399,11.62274,6.17667,-1.30569,-9.55484,-1.10184,2.41251,0.09662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,12:02:47.54,1,4,"Asher, Nolan",1000251563,Right,CEN_COL,"Eidam, Cade",1000356075,Right,OGL_UNI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.9472,-1.047041,0.201333,2044.785983,188.484829,12:15,6.15125,1.1013,6.11351,-18.98737,15.94056,2.21606,3.60077,1.47212,81.44332,-4.64688,0.600832,0.425361,,,,,,,,,,,,-1.08118,8.83642,-1.11781,50,6.06089,-0.5465,-129.25363,-2.91452,-1.83227,26.49125,-17.19882,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,5ebbffa0-4189-11f1-8b8f-9da0a128e1b3,88.61282,,,7.50388,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:02:47.54,2026-04-26T12:02:47.5475456-04:00,2026-04-26T16:02:47.5475456Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,752d7007-f7b8-497c-906b-1582dd02a9c0,54.382,-130.14865,13.24563,6.14954,-2.33345,-8.59941,-1.10039,-0.4846,-0.91614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,12:03:07.33,1,5,"Asher, Nolan",1000251563,Right,CEN_COL,"Eidam, Cade",1000356075,Right,OGL_UNI,Undefined,1,Top,0,3,1,Fastball,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,87.84152,-0.013757,-0.268242,2086.597592,178.98719,12:00,6.17254,1.0114,6.23368,-21.32021,14.20052,-0.23236,4.38316,0.74459,80.64111,-4.04429,-0.310218,0.428956,,,,,,,,,,,,0.04909,7.6926,-0.9913,50,6.16077,0.60738,-127.73222,-0.65384,0.08152,25.04991,-19.39996,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,6a8397d0-4189-11f1-8b8f-9da0a128e1b3,87.87025,,,7.20041,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:03:07.33,2026-04-26T12:03:07.3376256-04:00,2026-04-26T16:03:07.3376256Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,677f52fb-f928-4cbb-8c2d-9febd3171ec0,54.26231,-128.56539,12.52495,6.17179,-0.00859,-9.69998,-1.01146,0.60467,0.04076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,12:03:38.57,2,1,"Asher, Nolan",1000251563,Right,CEN_COL,"Kinnan, Trey",1000164168,Right,OGL_UNI,Undefined,1,Top,0,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.05773,-0.810877,-1.524668,2491.244036,122.113757,10:00,5.96198,1.52358,5.97358,-34.8549,4.15028,-4.87906,2.30538,-0.29676,77.98962,-7.225846,-2.402271,0.449503,,,,,,,,,,,,2.14673,2.64996,-1.40018,50,5.87819,3.4392,-122.25305,-2.86421,3.28057,21.90285,-28.12449,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,7d204d70-4189-11f1-8b8f-9da0a128e1b3,83.8536,,,6.0681,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:03:38.57,2026-04-26T12:03:38.5743360-04:00,2026-04-26T16:03:38.5743360Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,2c8ef88f-b7a5-42e5-8971-ab9ade4781c3,54.52616,-123.06128,10.95142,5.96473,-1.82639,-14.06224,-1.52485,3.31815,1.64029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,12:04:02.80,2,2,"Asher, Nolan",1000251563,Right,CEN_COL,"Kinnan, Trey",1000164168,Right,OGL_UNI,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.19872,1.132475,-0.371334,2383.753753,124.429009,10:15,5.92588,1.6615,5.79853,-35.52065,5.30925,-5.72988,4.01929,0.83864,75.4775,-5.461965,-1.398101,0.459897,,,,,,,,,,,,2.78858,2.79965,-1.62764,50,5.99801,1.01688,-120.72482,1.21129,4.07745,25.52833,-28.0804,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,8b983890-4189-11f1-8b8f-9da0a128e1b3,81.95844,,,7.72123,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:04:02.80,2026-04-26T12:04:02.8088320-04:00,2026-04-26T16:04:02.8088320Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,3a525644-443d-4234-a130-f90322124375,54.69645,-121.71387,12.76416,5.93,2.29922,-14.0402,-1.66398,0.8589,2.03872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,12:04:23.50,2,3,"Asher, Nolan",1000251563,Right,CEN_COL,"Kinnan, Trey",1000164168,Right,OGL_UNI,Undefined,1,Top,0,1,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,1,0,,86.839,0.206505,-0.394064,2190.380648,171.489231,11:45,6.19683,1.15834,6.51299,-23.50123,12.43075,-1.70181,4.42789,0.65492,79.81144,-4.240826,-0.703129,0.431432,,,,,,,,,,,,0.78717,6.79516,-1.13021,50,6.20085,0.93308,-126.34958,-0.20612,1.2791,24.49465,-21.13246,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,97ecce80-4189-11f1-8b8f-9da0a128e1b3,87.36595,,,7.02757,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:04:23.50,2026-04-26T12:04:23.5005952-04:00,2026-04-26T16:04:23.5005952Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,dff8cd19-bb97-45a4-94c7-251331af9a09,53.9842,-127.11963,12.24732,6.19688,0.45823,-10.56623,-1.15891,0.89287,0.63955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24368,2.210122,0.911514,1.298608,-1.59164,4.19722,-0.61754,-0.04034,5.92497,0.16652,127.27769,3.99414,3.03495,0.19549,114.24729,-12.79568,5.94083,13.38572,-11.47918,0.07175,-2.16917,3.49632,High,High,High,,,High,High,High
9,2026-04-26,12:04:53.05,2,4,"Asher, Nolan",1000251563,Right,CEN_COL,"Kinnan, Trey",1000164168,Right,OGL_UNI,Undefined,1,Top,1,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.73649,0.831326,-0.864551,2377.179651,113.451477,9:45,6.03572,1.39237,5.79568,-36.00522,4.0826,-6.45079,3.80868,0.05059,76.44846,-5.827129,-2.020485,0.455698,,,,,,,,,,,,3.02626,2.25232,-1.31748,50,6.08271,2.09742,-121.58761,0.55594,4.51382,24.64738,-28.81459,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,a99f9950-4189-11f1-8b8f-9da0a128e1b3,82.71355,,,7.28803,,,,,,,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:04:53.05,2026-04-26T12:04:53.0586624-04:00,2026-04-26T16:04:53.0586624Z,,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,090ee77a-0625-4c0e-a8d6-6f630f9be604,54.70066,-122.53679,12.32369,6.03993,1.66559,-14.4073,-1.39491,1.92359,2.25691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,12:05:11.38,2,5,"Asher, Nolan",1000251563,Right,CEN_COL,"Kinnan, Trey",1000164168,Right,OGL_UNI,Undefined,1,Top,1,3,1,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,88.62026,-1.272039,-1.587297,2175.551922,173.644605,11:45,6.02888,1.0832,6.40559,-20.51686,14.32607,-1.47465,3.14887,-0.49957,81.17839,-5.163328,-1.85444,0.424843,71.48454,-17.050252,6.975618,,,,,11.24638,11.03751,8.479805,0.097046,0.33185,8.17394,-0.96894,50,5.92829,3.62603,-128.80313,-3.44179,0.55755,26.73678,-18.44152,CEN_COL,OGL_UNI,GaryWright,D3,Team,20260426-GaryWright-2,b47caa70-4189-11f1-8b8f-9da0a128e1b3,88.72077,3.14457,,7.44187,,,,1.59574,3.14457,0.49366,9c1cd3e9-27cc-4872-b95d-fce43b6f9494,2026-04-26,16:05:11.38,2026-04-26T12:05:11.3884672-04:00,2026-04-26T16:05:11.3884672Z,GroundBall,v3,643-144624,643-145538,,"Weyler, Evan",1000190342,Right,CEN_COL,5c7f9d62-bc33-42a0-b00b-6e4c4c5c6f95,54.09193,-129.64974,13.36839,6.02803,-2.85784,-9.22076,-1.08348,3.60838,0.27877,1.132295,1.59579,99.48704,-13.50833,,,,,,,3.14464,-30.75178,-17.02984,,,,,,,0.49367,12.1724,-1.75786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
