PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,12:01:19.27,1,1,"Rady, Aidan",1000190386,Right,GEO_FOX,"Shelor, Will",1000237125,Right,PAC_BOX,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.04481,-1.35328,-2.056609,2103.265367,208.424701,1:00,6.47116,0.72407,6.439,-20.95844,19.1697,9.60658,3.48003,-0.36606,75.15369,-5.384681,-0.315519,0.455928,,,,,,,,,,,,-5.61024,10.82788,-0.58175,50,6.3653,3.96231,-120.49466,-3.35694,-8.152,25.96099,-16.44052,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,4f157630-41a2-11f1-b809-cbb665830d01,82.67199,,,7.89112,,,,,,,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:01:19.27,2026-04-26T12:01:19.2771072-07:00,2026-04-26T19:01:19.2771072Z,,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,915f615f-3c88-4cfd-a7f5-fe445fccf1e7,54.05553,-121.3653,12.9805,6.46863,-2.80558,-8.22026,-0.71921,4.2357,-4.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,12:01:33.91,1,2,"Rady, Aidan",1000190386,Right,GEO_FOX,"Shelor, Will",1000237125,Right,PAC_BOX,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.9027,-0.630715,-1.45253,1307.258699,207.328513,1:00,6.59415,0.38587,5.77313,-24.14671,19.25159,9.14721,3.99481,-0.2038,73.09416,-5.208349,0.185254,0.474141,,,,,,,,,,,,-5.07622,10.43733,-0.27125,50,6.52768,2.60663,-117.2922,-1.9674,-6.98352,24.76443,-17.8151,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,57d60ff0-41a2-11f1-b809-cbb665830d01,79.49621,,,7.80854,,,,,,,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:01:33.91,2026-04-26T12:01:33.9129856-07:00,2026-04-26T19:01:33.9129856Z,,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,7e307a83-a43a-443a-909c-c11c895f3de0,54.72079,-118.28472,12.38221,6.59222,-1.2534,-8.90755,-0.38133,2.88652,-3.49176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,12:01:50.88,1,3,"Rady, Aidan",1000190386,Right,GEO_FOX,"Shelor, Will",1000237125,Right,PAC_BOX,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.67705,-2.773541,-1.064773,2121.873611,216.895103,1:15,6.50072,0.55687,6.38225,-18.13406,20.76387,14.50131,2.43569,0.7857,76.36807,-6.281158,1.56285,0.448885,64.67093,70.087036,84.075307,,,,,,37.90869,,,-7.90918,12.15871,-0.48652,50,6.29239,1.73069,-122.78591,-6.3788,-11.86116,28.31844,-13.94001,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,61eaef10-41a2-11f1-b809-cbb665830d01,83.9691,85.21298,,8.30898,,,,1.37834,2.43146,-0.78675,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:01:50.88,2026-04-26T12:01:50.8870656-07:00,2026-04-26T19:01:50.8870656Z,,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,cf279eb1-c766-435c-93a5-d4b6e744c3c1,54.11405,-123.7311,14.15922,6.49753,-5.91351,-6.97,-0.55089,2.12658,-5.93058,,1.37834,3.33707,-7.39154,2.93814,-1.79717,2.02573,-1.56839,0.63471,-0.10407,2.43146,89.17943,-24.67303,2.52748,-0.37509,-0.06017,0.10168,-0.04789,0.00842,-0.78675,32.13343,-4.97583,1.27312,-0.50774,0.50104,-0.37961,0.15221,-0.02484,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
4,2026-04-26,12:02:13.14,1,4,"Rady, Aidan",1000190386,Right,GEO_FOX,"Shelor, Will",1000237125,Right,PAC_BOX,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,77.23422,-0.324352,-0.118074,1971.866983,51.251911,7:45,6.44437,0.68269,5.74589,-49.81731,-2.27496,-4.86185,1.99095,0.16761,70.5374,-9.455748,-0.990838,0.496263,97.77859,-10.069968,-8.969294,,,,,12.29181,12.22305,-8.826359,0.077383,2.44756,-0.60323,-0.66984,50,6.38701,0.41134,-112.11835,-2.22048,3.07686,22.6158,-32.93239,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,6f3aade0-41a2-11f1-b809-cbb665830d01,75.95257,1.94278,,6.69683,,,,1.34012,1.94278,-0.18047,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:02:13.14,2026-04-26T12:02:13.1476480-07:00,2026-04-26T19:02:13.1476480Z,GroundBall,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,23ef3129-e7c6-4db4-83db-e68f15d2dd87,54.75289,-113.073,11.3079,6.4514,-0.83033,-16.46619,-0.68447,0.28146,1.53843,180,1.33797,139.64536,,,,,,,,1.94317,-25.10611,,,,,,,,-0.18013,-22.04094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-26,12:02:52.33,2,1,"Rady, Aidan",1000190386,Right,GEO_FOX,"Bergman, Miles",10273449,Right,PAC_BOX,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.78446,-2.352414,-2.085286,2105.408272,223.850055,1:30,6.43366,0.81928,6.39075,-23.14698,15.31879,13.44513,2.33843,0.02088,77.14752,-6.743624,0.350984,0.446384,,,,,,,,,,,,-7.59469,9.08969,-0.67497,50,6.25374,3.96216,-123.0096,-5.68411,-11.54293,26.23532,-18.35893,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,868de6b0-41a2-11f1-b809-cbb665830d01,84.43947,,,7.63694,,,,,,,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:02:52.33,2026-04-26T12:02:52.3390464-07:00,2026-04-26T19:02:52.3390464Z,,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,7545fb6e-afad-48bd-a9a4-7a3fa22d8a5c,54.10553,-123.88213,13.11766,6.43262,-5.07353,-9.17947,-0.81313,4.34605,-5.77146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,12:03:10.53,2,2,"Rady, Aidan",1000190386,Right,GEO_FOX,"Bergman, Miles",10273449,Right,PAC_BOX,Undefined,1,Top,0,0,1,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Sacrifice,1,0,,80.27262,-1.722046,-0.298908,1069.980206,234.648685,1:45,6.57292,0.53545,5.97747,-34.88596,8.433,9.91327,2.06895,1.08447,73.67194,-8.179699,1.486475,0.473708,34.39804,-58.338132,-72.554319,,,,,6.10378,6.10378,-24.296457,0.059158,-5.24575,5.21922,-0.51756,50,6.41728,0.24909,-116.60209,-4.56012,-7.19088,22.80881,-25.01959,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,9164b640-41a2-11f1-b809-cbb665830d01,79.569,2.58057,,6.60068,,,,,,,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:03:10.53,2026-04-26T12:03:10.5393664-07:00,2026-04-26T19:03:10.5393664Z,GroundBall,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,db475a57-3544-47e9-aead-aa870ce7f3be,54.52225,-117.48336,11.4044,6.57479,-3.59342,-12.50979,-0.53255,0.52693,-3.59544,,5.08485,8.065,,,,,,,,2.58704,-43.62155,,,,,,,,-0.98942,-25.66372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2026-04-26,12:03:43.28,3,1,"Rady, Aidan",1000190386,Right,GEO_FOX,"Nishina, Hunter",1000162944,Left,PAC_BOX,Undefined,1,Top,1,0,0,Splitter,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,79.60953,-0.553421,-0.661616,895.038701,248.307565,2:15,6.47845,0.65875,5.95321,-38.95376,5.46256,9.85867,2.71901,0.8667,72.40781,-7.778912,1.112641,0.47967,89.52583,30.19845,-14.432248,3387.108669,103.43472,55.34163,-37.43306,322.66675,320.50602,-28.702812,4.433446,-5.28764,3.4126,-0.61177,50,6.41274,0.96744,-115.56748,-2.31192,-7.06147,24.05694,-27.61664,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,a4edc7b0-41a2-11f1-b809-cbb665830d01,78.5799,68.23946,,7.20172,,,,1.43131,2.74845,-0.83253,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:03:43.28,2026-04-26T12:03:43.2848896-07:00,2026-04-26T19:03:43.2848896Z,FlyBall,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,e45d2415-b331-4478-902d-0ad20a0174c7,54.54461,-116.50967,12.02847,6.48211,-1.23033,-13.80832,-0.65507,1.24401,-3.53074,135.034001,1.43079,109.92085,-22.33987,5.35406,-1.1633,0.25052,-0.05301,0.00782,-0.0005,2.75052,65.99034,-17.94415,0.38407,0.38746,-0.22356,0.0644,-0.00907,0.00049,-0.83329,-28.26355,-5.59243,2.35633,-0.66428,0.14303,-0.02389,0.00261,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-26,12:04:17.06,4,1,"Rady, Aidan",1000190386,Right,GEO_FOX,"Lewis, Ben",1000327268,Right,PAC_BOX,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.72638,-2.046904,-2.086739,2183.378132,196.289072,12:30,6.49609,0.47311,6.57956,-19.33241,17.78619,4.84622,3.00708,-1.03633,78.36941,-5.748757,-1.206126,0.438498,,,,,,,,,,,,-3.11729,10.27461,-0.33176,50,6.34713,4.35309,-124.48773,-4.92979,-4.88389,25.36733,-16.07666,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,b90b9f10-41a2-11f1-b809-cbb665830d01,85.95814,,,7.35697,,,,,,,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:04:17.06,2026-04-26T12:04:17.0633216-07:00,2026-04-26T19:04:17.0633216Z,,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,2b86be86-3f03-4d4e-b573-8b1219b3632d,53.9166,-125.28329,12.68367,6.49383,-4.4256,-8.03833,-0.47068,4.50625,-2.44194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,12:04:32.70,4,2,"Rady, Aidan",1000190386,Right,GEO_FOX,"Lewis, Ben",1000327268,Right,PAC_BOX,Undefined,1,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.62776,-1.903015,-1.523846,1928.094655,6.065181,6:15,6.36706,0.88226,5.74985,-51.41723,-3.60504,-0.53744,0.3094,-0.58149,71.1441,-11.232952,-1.620441,0.497669,,,,,,,,,,,,-0.14886,-0.9487,-0.75539,50,6.17717,2.97983,-111.2952,-5.31691,-0.18662,20.0615,-33.36344,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,c26ac2c0-41a2-11f1-b809-cbb665830d01,75.73793,,,5.48365,,,,,,,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:04:32.70,2026-04-26T12:04:32.7093248-07:00,2026-04-26T19:04:32.7093248Z,,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,f442f82a-0b1e-4829-bb14-1d9cbf0a9068,54.75141,-112.1484,10.03075,6.37312,-3.898,-16.68172,-0.88228,2.98777,-0.09331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,12:04:54.11,4,3,"Rady, Aidan",1000190386,Right,GEO_FOX,"Lewis, Ben",1000327268,Right,PAC_BOX,Undefined,1,Top,2,1,1,ChangeUp,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.77435,-0.8243,-1.284337,1934.514494,25.248974,6:45,6.32558,0.81736,5.54423,-50.33412,-3.67252,-2.39323,1.36048,-0.58254,72.04427,-9.957003,-1.71237,0.491644,55.45627,19.360743,76.962006,5857.249988,,,,101.99418,60.52259,82.634925,1.553548,0.87189,-1.30591,-0.70444,50,6.22023,2.62213,-113.00368,-3.28321,1.12873,20.36741,-33.86467,GEO_FOX,PAC_BOX,GeorgeFox,D3,Team,20260426-GeorgeFox-3,cf2609c0-41a2-11f1-b809-cbb665830d01,76.66605,10.9158,,5.73008,,,,3.00614,1.46615,0.64571,4b10b5f7-7352-4f86-8cf3-bb64487c22cb,2026-04-26,19:04:54.11,2026-04-26T12:04:54.1120512-07:00,2026-04-26T19:04:54.1120512Z,GroundBall,v3,643-144938,643-145585,7911,"Corrigan, Declan",1000159907,Right,GEO_FOX,7678f146-7aa3-4137-ba48-1ae222cee411,54.95723,-113.89366,10.18371,6.33137,-1.80346,-16.93234,-0.81794,2.57281,0.56437,,3.00614,17.31099,-9.5447,2.38414,-0.50918,-0.07643,0.13951,-0.06672,0.01254,1.46615,26.96419,-20.60048,2.17161,-0.43317,0.14266,-0.07131,0.02883,-0.00513,0.64572,74.75731,-6.8186,0.13536,0.27579,-0.3374,0.24301,-0.10452,0.01857,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
