PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,12:06:04.14,1,1,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Prince, Owen",836141,Left,VIR_KEY,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.54754,-3.429665,-3.105254,2446.114856,201.651786,12:45,6.11343,1.90124,5.94382,-12.20083,20.91021,7.82233,1.90678,-0.33022,83.56206,-5.810769,-1.703125,0.41415,,,,,,,,,,,,-4.97319,12.13304,-1.65791,50,5.83262,6.9164,-133.87768,-8.3338,-8.91356,32.26037,-10.42773,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,d3e066e0-4189-11f1-8ef2-1b087e8bbb3e,91.01151,,,8.98548,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:06:04.14,2026-04-26T12:06:04.1421312-04:00,2026-04-26T16:06:04.1421312Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,58daf06f-e752-4600-8457-f082a272c06f,54.55505,-134.97084,16.13018,6.10903,-7.98045,-5.21386,-1.8974,7.21844,-4.45678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,12:06:17.00,1,2,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Prince, Owen",836141,Left,VIR_KEY,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.25712,-3.805997,-2.588678,2403.830627,207.013096,1:00,6.00017,2.01149,5.88271,-14.78875,18.50072,8.83115,1.22438,0.34171,83.66435,-6.634651,-1.005757,0.415264,,,,,,,,,,,,-5.3089,10.97493,-1.80745,50,5.68368,5.64807,-133.50328,-9.31334,-9.49238,31.23877,-12.55081,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,db87ef80-4189-11f1-8ef2-1b087e8bbb3e,90.76734,,,8.59277,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:06:17.00,2026-04-26T12:06:17.0008064-04:00,2026-04-26T16:06:17.0008064Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,bdb90e2c-bdad-449e-b0fb-2a1a6b9ccf5b,54.61718,-134.57933,15.61939,5.99704,-8.88102,-6.27541,-2.00764,5.97504,-4.74619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,12:06:30.96,1,3,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Prince, Owen",836141,Left,VIR_KEY,Undefined,1,Top,0,1,1,FourSeamFastBall,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.31829,-1.484012,-0.864773,2594.269359,221.571708,1:30,6.07337,1.7743,5.54951,-35.80187,3.20331,1.72189,1.70261,1.1096,78.17441,-8.039164,-0.557143,0.449503,,,,,,,,,,,,-1.11752,2.44583,-1.70059,50,5.92132,1.79581,-123.81104,-4.48613,-1.72848,25.53801,-28.39103,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,e3e35ed0-4189-11f1-8ef2-1b087e8bbb3e,83.85361,,,7.14388,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:06:30.96,2026-04-26T12:06:30.9637120-04:00,2026-04-26T16:06:30.9637120Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,c388fa5e-307a-438e-825b-4f922d9d55b3,54.95085,-124.82806,12.769,6.07745,-3.3555,-14.19552,-1.77348,1.86465,-0.86424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,12:06:47.09,1,4,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Prince, Owen",836141,Left,VIR_KEY,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.60143,-2.411634,-2.050271,2533.038187,232.718818,1:45,6.11088,1.92818,5.57324,-35.934,3.74969,2.86756,0.86093,0.25119,76.84647,-9.02632,-1.537866,0.453396,,,,,,,,,,,,-2.20248,3.16803,-1.75345,50,5.8795,4.31227,-123.81533,-6.4741,-3.32325,31.17281,-27.39394,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,ed748f00-4189-11f1-8ef2-1b087e8bbb3e,83.13364,,,8.75496,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:06:47.09,2026-04-26T12:06:47.0960000-04:00,2026-04-26T16:06:47.0960000Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,e783349c-208b-452e-bc9f-e6809c55d570,54.92603,-125.0494,15.58641,6.11433,-5.38963,-13.69697,-1.92677,4.44384,-1.66163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.67524,,,1.235742,,,,-2.39608,4.80046,3.6436,69.10933,7.04127,55.68506,-2.35494,62.176,-3.52294,4.87432,20.70352,-15.34753,3.70724,47.14803,-4.12637,High,High,High,,,High,High,High
5,2026-04-26,12:07:16.51,2,1,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Garner, Bradley",1000433144,Right,VIR_KEY,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.86782,-4.635799,-3.932411,2499.529623,203.476091,12:45,5.958,1.90718,6.22407,-15.52099,16.74682,6.81764,0.36753,-1.15894,85.09853,-7.578375,-2.705255,0.408843,,,,,,,,,,,,-4.65662,10.31823,-1.61604,50,5.60193,8.95294,-134.28895,-11.36013,-8.50426,29.0511,-13.33013,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,fef85a90-4189-11f1-8ef2-1b087e8bbb3e,92.19302,,,7.76928,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:07:16.51,2026-04-26T12:07:16.5194240-04:00,2026-04-26T16:07:16.5194240Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,376b6204-853b-41f9-862f-d4db9db12f15,54.27826,-135.21131,14.52555,5.95589,-10.9369,-6.66506,-1.90458,9.22294,-4.25213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,12:07:32.62,2,2,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Garner, Bradley",1000433144,Right,VIR_KEY,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.94508,-1.559941,-2.671119,2652.570254,152.722184,11:00,6.13938,1.8402,5.58262,-33.61604,4.01351,-1.43614,1.87924,-0.77591,79.54205,-7.721119,-2.927286,0.441505,,,,,,,,,,,,-0.05343,2.85579,-1.6094,50,5.98318,5.94153,-126.04234,-4.64103,-0.08552,26.8055,-27.60275,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,089cc4a0-418a-11f1-8ef2-1b087e8bbb3e,85.37259,,,7.40302,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:07:32.62,2026-04-26T12:07:32.6278144-04:00,2026-04-26T16:07:32.6278144Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,5c185a64-805f-44f6-942e-3d6ccbefa5c4,54.91811,-127.08397,13.40275,6.14268,-3.56842,-13.80137,-1.84034,5.94486,-0.04276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,12:07:51.51,2,3,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Garner, Bradley",1000433144,Right,VIR_KEY,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.7204,-4.472406,-4.001619,2412.838326,202.755343,12:45,6.10877,1.51205,5.89365,-13.80217,19.02674,7.52256,0.78736,-1.58261,84.72411,-7.102989,-2.656506,0.412382,,,,,,,,,,,,-4.95583,11.30965,-1.19344,50,5.7389,9.03961,-133.9721,-10.89244,-9.00265,29.07709,-11.62927,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,13e31ee0-418a-11f1-8ef2-1b087e8bbb3e,91.40176,,,7.99628,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:07:51.51,2026-04-26T12:07:51.5179008-04:00,2026-04-26T16:07:51.5179008Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,e96eebd3-5370-4731-8b14-bc9abd194369,54.6065,-134.96819,14.53855,6.10522,-10.49407,-5.81463,-1.50838,9.34801,-4.50132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,12:08:09.45,2,4,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Garner, Bradley",1000433144,Right,VIR_KEY,Undefined,1,Top,1,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.8767,-1.406181,-2.241399,2665.860879,109.646725,9:45,6.06686,1.5658,5.42368,-37.31707,2.94729,-4.08996,1.63867,-0.87561,76.68127,-8.246142,-2.96931,0.456701,,,,,,,,,,,,1.30039,2.40039,-1.36385,50,5.91637,4.98563,-122.86061,-4.36212,1.94897,28.76162,-28.57647,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,1e943e00-418a-11f1-8ef2-1b087e8bbb3e,82.53202,,,8.19544,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:08:09.45,2026-04-26T12:08:09.4574080-04:00,2026-04-26T16:08:09.4574080Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,b751d448-c1c9-4de8-b161-1daf54e51b87,55.07462,-124.04289,14.38081,6.07153,-3.18745,-14.28824,-1.56714,4.90551,0.97448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,12:08:26.93,2,5,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Garner, Bradley",1000433144,Right,VIR_KEY,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,84.67794,-0.667534,-2.243947,2650.344642,166.087657,11:30,6.23889,1.81513,5.49644,-36.27506,4.49138,-0.70402,2.59103,-0.34366,75.52355,-7.379043,-2.369359,0.459539,90.58898,31.183653,18.046942,4341.675244,102.07448,58.49516,40.99755,330.46528,325.0662,28.488243,4.486517,-0.47445,2.97059,-1.61822,50,6.15638,4.82904,-122.46768,-2.69816,-0.69829,31.15024,-27.80203,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,28f9fc40-418a-11f1-8ef2-1b087e8bbb3e,82.02221,73.20879,,9.15439,,,,1.52315,2.65514,0.36519,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:08:26.93,2026-04-26T12:08:26.9305856-04:00,2026-04-26T16:08:26.9305856Z,FlyBall,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,2335b925-2643-454e-ad91-025491e5e627,55.00059,-123.73306,15.57512,6.24305,-1.56878,-13.90101,-1.81496,4.85741,-0.34914,214.078237,1.5224,108.09032,-22.72199,5.82394,-1.2191,0.23675,-0.04367,0.00575,-0.00033,2.65742,68.74246,-17.92436,0.3607,0.29368,-0.16349,0.04427,-0.00587,0.0003,0.36534,35.21134,0.93293,-0.62757,0.1745,-0.0249,0.00093,0.0002,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-26,12:09:05.94,3,1,"Brachbill, Ty",1000278662,Right,HIG_PAN,"Fitzwater, Grayson",1000230988,Left,VIR_KEY,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.43699,-1.368414,-1.601856,2560.436174,197.017838,12:30,6.08316,1.94459,6.09186,-13.86879,19.44048,5.61213,3.66086,0.93011,83.13357,-4.052021,-0.591372,0.415388,,,,,,,,,,,,-3.33579,10.71926,-1.82383,50,5.97003,3.46842,-132.72543,-3.52663,-5.92426,29.57172,-13.13692,HIG_PAN,VIR_KEY,HighPointUniversity,D1,BSOU,20260426-HighPointUniversity-1,40356750-418a-11f1-8ef2-1b087e8bbb3e,90.74032,,,8.30342,,,,,,,feec2e5f-abd0-4946-a468-bb33363fcda5,2026-04-26,16:09:05.94,2026-04-26T12:09:05.9429888-04:00,2026-04-26T16:09:05.9429888Z,,v3,471515,471480,16131,"Oh, Seojun",1000086706,Right,HIG_PAN,f45355b9-d48f-4344-88ee-6f714170270b,54.40684,-133.70369,14.78586,6.07951,-3.09205,-6.56846,-1.94181,3.6644,-2.96213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
