PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,15:05:15.07,1,1,"Johnson, Meade",813874,Right,SIU_SAL,"Chisolm, Connor",824608,Left,MUR_RAC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.00114,-1.607722,-1.475555,2430.519758,189.506378,12:15,6.02237,2.33105,6.89173,-14.69595,16.98808,2.6813,3.33213,1.2099,84.30246,-4.457386,-0.985299,0.405127,,,,,,,,,,,,-1.81669,9.75241,-2.23864,50,5.91492,3.34317,-133.7956,-4.09222,-3.29974,28.32416,-14.46048,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,40fde470-41ab-11f1-96b4-83976d2c8964,93.03852,,,7.69868,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:05:15.07,2026-04-26T15:05:15.0780000-05:00,2026-04-26T20:05:15.0780000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,69c13cf2-5d18-451e-af90-baba3add3fc9,53.60662,-134.55695,14.16208,6.0197,-3.70353,-7.23024,-2.32969,3.43187,-1.64987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,15:05:28.31,1,2,"Johnson, Meade",813874,Right,SIU_SAL,"Chisolm, Connor",824608,Left,MUR_RAC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.38428,-3.0736,-2.062998,2517.14456,183.384064,12:00,6.13043,2.28782,6.68499,-14.83654,18.36812,1.02421,2.07825,0.48543,82.8722,-5.934152,-1.876571,0.414735,98.70939,11.804908,5.419263,1173.493176,109.48784,18.07357,10.59824,258.18203,258.18203,6.079168,2.420055,-1.11335,10.88682,-2.15051,50,5.91879,4.68955,-131.25001,-7.40844,-1.94329,27.62074,-13.17192,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,48e7f450-41ab-11f1-96b4-83976d2c8964,90.88313,19.12517,,7.51208,,,,1.15942,2.05464,-0.46073,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:05:28.31,2026-04-26T15:05:28.3100000-05:00,2026-04-26T20:05:28.3100000Z,LineDrive,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,2f7c3264-7dfd-40f5-a868-81387299fb67,53.81528,-132.05047,13.81037,6.12796,-7.02672,-6.58596,-2.28723,4.74586,-0.97165,190.386585,1.15942,141.07822,-22.87288,5.14056,-1.09002,0.22732,-0.04276,0.00577,-0.00038,2.05464,29.61733,-12.92333,-0.06844,0.18136,-0.07062,0.01793,-0.00246,0.00014,-0.46073,13.38354,-0.70697,-0.14233,0.08989,-0.03001,0.00693,-0.001,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-26,15:06:05.36,2,1,"Johnson, Meade",813874,Right,SIU_SAL,"Mistone, Luke",823955,Right,MUR_RAC,Undefined,1,Top,0,0,0,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.60369,-2.857273,-5.230022,1683.285769,232.294638,1:45,6.02861,1.99156,6.51207,-32.1864,10.02331,11.26201,0.71122,-1.88277,74.37542,-8.849533,-3.194436,0.467603,,,,,,,,,,,,-7.36611,6.41969,-1.63062,50,5.81423,10.29988,-116.67214,-6.72533,-10.18414,21.32893,-23.29841,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,5f039780-41ab-11f1-96b4-83976d2c8964,80.60771,,,6.22827,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:06:05.36,2026-04-26T15:06:05.3690000-05:00,2026-04-26T20:06:05.3690000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,1dc195b0-d72c-4a71-9796-891a0ecf2a2b,53.98932,-117.39916,10.66447,6.02994,-5.93118,-11.64921,-1.98762,10.64702,-5.09207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,15:06:44.48,2,2,"Johnson, Meade",813874,Right,SIU_SAL,"Mistone, Luke",823955,Right,MUR_RAC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.27019,-0.303778,-1.747521,2510.32415,184.977424,12:15,6.18039,2.02472,6.64387,-13.89316,19.92966,1.62921,4.74442,0.56036,81.14497,-3.048859,-1.451199,0.418578,,,,,,,,,,,,-1.4148,10.87961,-1.90735,50,6.15347,3.93036,-131.00934,-0.97515,-2.41842,31.93089,-13.57703,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,764b3790-41ab-11f1-96b4-83976d2c8964,90.04879,,,9.12523,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:06:44.48,2026-04-26T15:06:44.4870000-05:00,2026-04-26T20:06:44.4870000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,b456da66-0901-46c2-9817-9e536f2c3e71,53.85047,-131.94448,15.96545,6.17621,-0.57753,-6.78852,-2.0235,4.00118,-1.20921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,15:07:24.08,2,3,"Johnson, Meade",813874,Right,SIU_SAL,"Mistone, Luke",823955,Right,MUR_RAC,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.42848,-0.893603,-2.636354,2564.053792,190.591743,12:15,6.20994,1.89622,6.93567,-12.83839,19.45651,3.43874,4.32572,-0.21874,83.07029,-3.428078,-2.008045,0.409014,,,,,,,,,,,,-2.58642,10.89343,-1.73259,50,6.1487,5.98164,-132.81162,-2.31528,-4.5932,29.96547,-12.82848,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,8de6eb10-41ab-11f1-96b4-83976d2c8964,92.15436,,,8.3582,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:07:24.08,2026-04-26T15:07:24.0870000-05:00,2026-04-26T20:07:24.0870000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,0b3f519d-6d55-45c8-ba03-62fb76cb15dd,53.56105,-133.61266,14.98274,6.20601,-1.97234,-6.41424,-1.89413,6.10443,-2.2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,15:07:43.02,2,4,"Johnson, Meade",813874,Right,SIU_SAL,"Mistone, Luke",823955,Right,MUR_RAC,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.44676,-2.35817,-3.0298,2446.566176,177.618235,12:00,6.13167,1.83623,6.79169,-14.1043,19.13277,-0.74992,2.79955,-0.99443,82.38566,-5.106993,-3.16634,0.414938,,,,,,,,,,,,-0.49402,11.12583,-1.63933,50,5.97239,6.97491,-131.22795,-5.7114,-0.85703,29.09742,-12.8723,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,99313cf0-41ab-11f1-96b4-83976d2c8964,90.83881,,,8.0611,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:07:43.02,2026-04-26T15:07:43.0220000-05:00,2026-04-26T20:07:43.0220000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,5adcd105-7385-447f-b27b-44c32d49176c,53.70549,-132.04702,14.54871,6.12806,-5.34906,-6.43615,-1.83601,6.99903,-0.42851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,15:08:19.60,3,1,"Johnson, Meade",813874,Right,SIU_SAL,"Hokenson, Kris",809727,Left,MUR_RAC,Undefined,1,Top,0,0,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.36222,0.639831,-3.487045,2652.143696,76.801136,8:30,5.94029,2.44559,6.19931,-45.75298,-0.43673,-8.05311,2.71931,-1.44848,71.7912,-7.815319,-4.936468,0.484505,,,,,,,,,,,,3.11815,0.06114,-2.17926,50,5.96597,7.21629,-113.66841,-0.10223,4.05261,22.12168,-32.09458,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,af0f8900-41ab-11f1-96b4-83976d2c8964,77.79574,,,6.57103,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:08:19.60,2026-04-26T15:08:19.6090000-05:00,2026-04-26T20:08:19.6090000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,c0737acf-60ac-4c36-8c13-2380e97b9e86,54.30029,-114.50226,11.06084,5.94702,1.10753,-16.04729,-2.44839,7.06353,2.02631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,15:09:26.84,4,1,"Johnson, Meade",813874,Right,SIU_SAL,"Jorge, Kainen",1000102863,Right,MUR_RAC,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.08788,0.874569,-2.620461,2827.040515,78.989264,8:45,5.9858,2.24327,6.28212,-44.24715,-1.49114,-13.95497,3.10553,-1.33657,74.06539,-7.293818,-5.138664,0.47062,,,,,,,,,,,,6.53941,-0.60311,-2.04354,50,6.02927,5.82738,-116.41007,0.43599,9.00376,21.16173,-33.00445,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,d718dd20-41ab-11f1-96b4-83976d2c8964,80.09111,,,6.02248,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:09:26.84,2026-04-26T15:09:26.8480000-05:00,2026-04-26T20:09:26.8480000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,7a06caa7-2cb0-461d-9adb-ffcd201d0581,54.2198,-117.17466,10.58086,5.99197,1.62847,-16.50223,-2.24821,5.50207,4.50188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,15:09:45.92,4,2,"Johnson, Meade",813874,Right,SIU_SAL,"Jorge, Kainen",1000102863,Right,MUR_RAC,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.29699,0.765309,-2.391573,2830.808612,68.78106,8:15,6.0032,2.3088,6.05064,-49.27759,-4.13685,-14.0041,2.60586,-1.07344,72.49747,-8.27283,-4.910349,0.483566,,,,,,,,,,,,6.57323,-1.9265,-2.11529,50,6.03644,5.25616,-113.803,-0.00884,8.64288,20.37443,-34.7071,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,e27c3540-41ab-11f1-96b4-83976d2c8964,77.94684,,,5.79952,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:09:45.92,2026-04-26T15:09:45.9220000-05:00,2026-04-26T20:09:45.9220000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,1251da6f-963d-4131-ace3-17f24fd5408b,54.45209,-114.5973,10.18721,6.01041,1.34422,-17.35355,-2.31363,4.91921,4.32144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,15:10:05.60,4,3,"Johnson, Meade",813874,Right,SIU_SAL,"Jorge, Kainen",1000102863,Right,MUR_RAC,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.41376,-1.565535,-3.0891,2843.714859,52.604142,7:45,5.94029,2.22683,6.2231,-47.58278,-4.73811,-7.9193,0.52805,-1.28624,74.34951,-10.278193,-4.519925,0.471107,,,,,,,,,,,,3.26815,-1.72925,-1.99157,50,5.79901,6.57499,-116.75286,-4.64504,4.4906,22.91137,-34.55011,SIU_SAL,MUR_RAC,ItchyJonesStadium,D1,MVC,20260426-ItchyJonesStadium-2,ee2dad60-41ab-11f1-96b4-83976d2c8964,80.00817,,,6.06425,,,,,,,c654711c-8a59-4af1-90d3-0a610f972215,2026-04-26,20:10:05.60,2026-04-26T15:10:05.6030000-05:00,2026-04-26T20:10:05.6030000Z,,v3,471447,471368,11692,"McKenzie, Jacob",813322,Right,SIU_SAL,28d2bcc3-9269-4351-83bd-81c0478b0aa9,54.27999,-117.58976,11.45569,5.94564,-3.38301,-17.27506,-2.22874,6.41095,2.2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
