PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:05:12.44,1,1,"Couture, Alec",1000120944,Right,MON_HAW,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.97457,-0.68004,-2.97831,2096.596271,252.568172,2:30,5.20752,1.20573,6.73782,-27.98994,7.72685,21.07741,2.2528,0.23844,79.74344,-5.960374,0.863923,0.430138,,,,,,,,,,,,-12.03808,4.60047,-1.01729,50,5.15182,5.82705,-126.45598,-2.29311,-19.49561,25.7523,-24.72361,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,1698cf60-4192-11f1-bddd-059adebb36e5,87.62873,,,7.23113,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:05:12.44,2026-04-26T13:05:12.4472320-04:00,2026-04-26T17:05:12.4472320Z,,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,9486a148-aa6f-42d9-927c-a9ce28068a95,53.76284,-127.21996,12.87615,5.20897,-1.55965,-12.36181,-1.19874,6.40541,-9.74781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:05:27.44,1,2,"Couture, Alec",1000120944,Right,MON_HAW,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,76.4247,-0.2931,-1.539617,2390.868118,123.670891,10:00,5.19612,1.20903,6.03472,-41.16644,6.11374,-7.09918,1.49408,-0.80856,70.73994,-7.888641,-2.817817,0.494893,62.08938,53.852232,11.28645,,106.49881,66.78317,27.53125,145.91837,143.74548,14.940079,4.56136,3.29768,3.5963,-1.08485,50,5.1506,3.2274,-111.12617,-1.76063,4.14248,19.06128,-27.65642,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,1f916910-4192-11f1-bddd-059adebb36e5,76.16288,78.37608,,5.68476,,,,2.95511,1.82592,0.69944,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:05:27.44,2026-04-26T13:05:27.4491392-04:00,2026-04-26T17:05:27.4491392Z,Popup,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,6bdac3c8-76e8-43c8-b321-838e0c41b230,54.46551,-111.88951,9.53064,5.19893,-0.65309,-13.82821,-1.21077,3.06151,2.07124,186.893985,2.95663,52.64358,-11.54484,2.68104,-0.38541,0.0223,0.00086,0.00015,-4E-05,1.82637,73.51809,-19.94503,1.3175,-0.00139,-0.11803,0.04304,-0.00665,0.00038,0.69966,10.50862,-0.82046,0.0771,0.00641,0.0001,-0.0021,0.00054,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-26,13:06:02.72,2,1,"Couture, Alec",1000120944,Right,MON_HAW,"Hartmann, Erich",1000239317,Left,RID_BRO,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.82051,-1.850715,-3.017699,2187.067456,223.304621,1:30,5.50456,0.80857,6.95778,-18.84926,15.92324,13.97725,2.24697,-0.7749,80.4532,-5.477468,-0.461113,0.424414,,,,,,,,,,,,-8.30371,9.34418,-0.62561,50,5.38288,6.2366,-127.62001,-4.57734,-13.70277,26.11745,-16.7543,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,34a03020-4192-11f1-bddd-059adebb36e5,88.81062,,,7.36731,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:06:02.72,2026-04-26T13:06:02.7258368-04:00,2026-04-26T17:06:02.7258368Z,,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,24a05079-1a44-4854-88f3-e1aec18228eb,53.54111,-128.34266,13.05872,5.50311,-4.11377,-8.37715,-0.80342,6.61574,-6.85138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:06:18.16,2,2,"Couture, Alec",1000120944,Right,MON_HAW,"Hartmann, Erich",1000239317,Left,RID_BRO,Undefined,1,Top,1,0,1,Splitter,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,79.06271,-0.766812,-2.404184,1087.265583,246.634059,2:15,5.36704,1.23252,6.3519,-39.22782,4.93929,8.0528,1.39158,-0.31062,72.32803,-8.073853,-0.945457,0.478323,,,,,,,,,,,,-4.95418,3.19441,-1.06189,50,5.29295,4.54528,-114.82967,-2.65255,-6.56698,22.7,-27.93972,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,3dc83e40-4192-11f1-bddd-059adebb36e5,78.80126,,,6.73468,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:06:18.16,2026-04-26T13:06:18.1658624-04:00,2026-04-26T17:06:18.1658624Z,,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,c0d1f0d1-d9f3-4130-ad36-ab20ee82e786,54.14705,-115.64657,11.35,5.37032,-1.64709,-13.96986,-1.22971,4.7816,-3.28349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:06:52.32,3,1,"Couture, Alec",1000120944,Right,MON_HAW,"Neri, Kyle",1000115802,Right,RID_BRO,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,89.07293,-0.594855,-2.156941,2213.863088,252.914456,2:30,5.18916,1.28108,6.47989,-25.80887,8.61036,24.49895,2.49182,1.3412,81.5111,-5.453476,2.290153,0.422252,74.67595,0.334888,-32.57647,2896.735833,,,,36.68026,35.53013,-32.604112,0.32764,-13.52828,4.99461,-1.13998,50,5.13586,3.94676,-129.53257,-2.12239,-22.9383,27.56778,-23.70528,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,521bf2b0-4192-11f1-bddd-059adebb36e5,89.26522,2.4179,,7.56183,,,,1.74414,2.41391,-1.18571,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:06:52.32,2026-04-26T13:06:52.3244544-04:00,2026-04-26T17:06:52.3244544Z,GroundBall,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,9f7c4bca-0af2-4fe4-bdd4-f1277ddb9089,54.02109,-130.38555,13.78389,5.19018,-1.38892,-11.85264,-1.27308,4.6565,-11.46915,,1.74458,92.27404,-10.03944,,,,,,,2.41862,0.44898,-23.94356,,,,,,,-1.18615,-58.95188,6.8664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2026-04-26,13:07:45.08,4,1,"Couture, Alec",1000120944,Right,MON_HAW,"Paskell, Anthony",1000182625,Right,RID_BRO,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.70523,-0.610298,-0.967578,2212.625036,180.906673,12:00,5.44685,1.27638,6.10434,-30.62517,9.11524,0.12343,2.33027,0.39181,76.31417,-6.334032,-0.945321,0.45372,,,,,,,,,,,,-0.35291,5.26508,-1.20211,50,5.38388,2.04882,-121.58743,-2.23003,-0.52456,25.41129,-24.34797,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,7189c140-4192-11f1-bddd-059adebb36e5,83.07428,,,7.39106,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:07:45.08,2026-04-26T13:07:45.0897408-04:00,2026-04-26T17:07:45.0897408Z,,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,919fd3c2-7cd6-489b-9dbe-292b87026086,54.39349,-122.50221,12.70565,5.44839,-1.35353,-12.17399,-1.27621,2.0677,-0.26228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:08:06.19,4,2,"Couture, Alec",1000120944,Right,MON_HAW,"Paskell, Anthony",1000182625,Right,RID_BRO,Undefined,1,Top,2,0,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,75.50268,1.150294,-0.95445,2270.798976,88.22398,9:00,5.29181,1.35208,5.78753,-48.04203,1.36827,-7.53307,2.35871,-0.16367,69.08136,-7.695367,-2.304771,0.505918,84.03451,42.430675,-3.862627,3236.165645,109.84476,88.70161,-5.84034,286.96635,283.73669,-2.072188,5.514815,3.58575,0.78433,-1.26878,50,5.35754,2.0952,-109.63638,0.74031,4.33725,20.51078,-31.22536,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,7e2c5020-4192-11f1-bddd-059adebb36e5,74.50307,106.14771,,6.42132,,,,2.11723,2.51872,0.13605,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:08:06.19,2026-04-26T13:08:06.1954048-04:00,2026-04-26T17:08:06.1954048Z,FlyBall,v3,4164,471421,31764,"Buecker, Brendan",1000136252,Right,MON_HAW,56b3f57f-41a2-4911-b152-64249bf2b5b0,54.71141,-110.51427,10.25539,5.29725,2.0768,-15.61268,-1.35449,1.90955,2.16863,,2.12213,90.67282,-18.04227,4.01184,-0.57886,0.03864,0.00138,-0.00029,1E-05,2.51719,83.17406,-19.09551,1.22022,-0.0466,-0.06575,0.02329,-0.00323,0.00016,0.13553,-6.11865,2.01236,-0.47619,0.07863,-0.00818,0.00045,-2E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-26,13:10:48.99,1,1,"Batt, Kyle",1000249842,Right,RID_BRO,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.04489,0.634331,-1.809443,1933.388968,265.758898,2:45,4.98652,1.23687,5.3224,-37.35002,3.05229,24.0706,2.4696,1.54419,76.95242,-6.197292,2.467408,0.457483,,,,,,,,,,,,-12.92107,1.57807,-1.09218,50,5.01652,2.89172,-122.05692,0.02604,-19.45141,24.49457,-29.79839,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,df287fc0-4192-11f1-bddd-059adebb36e5,82.39099,,,7.09247,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:10:48.99,2026-04-26T13:10:48.9996800-04:00,2026-04-26T17:10:48.9996800Z,,v3,4164,471421,31764,"Shuhet, Nick",1000278568,Right,RID_BRO,72e090bd-74cc-4a55-b276-ba31e28d6c26,55.18037,-123.09214,12.24728,4.98881,1.28541,-14.8992,-1.23176,3.71379,-9.72571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,13:11:01.53,1,2,"Batt, Kyle",1000249842,Right,RID_BRO,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Bottom,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.00816,-0.317258,-3.308614,1883.150935,262.500473,2:45,4.89192,1.30388,5.32132,-36.09309,4.42658,23.79088,1.58594,0.17811,76.91001,-6.918596,0.914463,0.458147,,,,,,,,,,,,-13.02583,2.62492,-1.02266,50,4.83686,6.06306,-121.84736,-1.9626,-19.56127,24.18864,-28.23211,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,e6aa57f0-4192-11f1-bddd-059adebb36e5,82.27156,,,7.09815,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:11:01.53,2026-04-26T13:11:01.5370240-04:00,2026-04-26T17:11:01.5370240Z,,v3,4164,471421,31764,"Shuhet, Nick",1000278568,Right,RID_BRO,ec22cd50-a5ac-43ea-bdb8-65b40c45fb63,55.18019,-122.87141,12.09432,4.89465,-0.76737,-14.11605,-1.29688,6.89121,-9.78064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,13:11:16.45,1,3,"Batt, Kyle",1000249842,Right,RID_BRO,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Bottom,0,2,0,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.03257,2.09486,-1.768599,1943.008796,263.438268,2:45,4.98733,1.15468,5.40751,-35.46947,4.15319,24.71982,3.99607,1.5571,77.15514,-4.437865,2.62567,0.453047,,,,,,,,,,,,-13.14741,1.76662,-1.01591,50,5.14895,2.78236,-123.33716,3.2552,-20.09251,26.33407,-29.47425,MON_HAW,RID_BRO,MonmouthU,D1,CAA,20260426-MonmouthU-1,ef938850-4192-11f1-bddd-059adebb36e5,83.19763,,,7.87743,,,,,,,dfc33387-1b25-44ac-b81f-998d0496c063,2026-04-26,17:11:16.45,2026-04-26T13:11:16.4522496-04:00,2026-04-26T17:11:16.4522496Z,,v3,4164,471421,31764,"Shuhet, Nick",1000278568,Right,RID_BRO,fb75189e-ff23-49bb-8cae-00fbe088f650,55.09353,-124.41994,13.16704,4.99019,4.4671,-14.73712,-1.14729,3.6085,-10.04626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
